Index,Release Note,Release Note Abstract
1,,
2,"What's Changed

rename bundle identifier to app.codeedit.CodeEdit by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1287
Bump Build Number to 34 by @github-actions in https://github.com/CodeEditApp/CodeEdit/pull/1319

Full Changelog: https://github.com/CodeEditApp/CodeEdit/compare/0.0.3-alpha.33...0.0.3-alpha.34","What's Changed
rename bundle identifier to app.codeedit.CodeEdit by @Wouter01 in link
Bump Build Number to 34 by @github-actions in link
Full Changelog: link"
3,"What's Changed

Fixed inspector toolbar background color and inspector maxWidth by @austincondiff in https://github.com/CodeEditApp/CodeEdit/pull/1214
Add pixel to top of first line by @evanlwang in https://github.com/CodeEditApp/CodeEdit/pull/1229
docs: add evanlwang as a contributor for code by @allcontributors in https://github.com/CodeEditApp/CodeEdit/pull/1230
[chore]: updates SwiftLintPlugin to the latest version by @lukepistrol in https://github.com/CodeEditApp/CodeEdit/pull/1231
Fix a bug with the image preview bounds by @luah5 in https://github.com/CodeEditApp/CodeEdit/pull/1233
bugfix: renaming a file uses the wrong background color by @aaryankotharii in https://github.com/CodeEditApp/CodeEdit/pull/1241
Move to macOS Ventura-style Settings in place of Preferences by @austincondiff in https://github.com/CodeEditApp/CodeEdit/pull/1215
fix: Fix issues when adding/displaying GitHub/GitLab accounts by @Cubik65536 in https://github.com/CodeEditApp/CodeEdit/pull/1244
fix(AccountsSettingsDetailsView): Fix Delete Account button (#1245) by @Cubik65536 in https://github.com/CodeEditApp/CodeEdit/pull/1248
Performance improvements for settings by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1250
Update CodeEditTextView to 0.6.2 by @austincondiff in https://github.com/CodeEditApp/CodeEdit/pull/1251
Fixing Theme not updating on click by @bombardier200 in https://github.com/CodeEditApp/CodeEdit/pull/1255
Refactored WorkspaceClient and sidebar by @matthijseikelenboom in https://github.com/CodeEditApp/CodeEdit/pull/1243
Account Setting SSH Keys Picker by @austincondiff in https://github.com/CodeEditApp/CodeEdit/pull/1249
Sidebar tab bar position setting by @austincondiff in https://github.com/CodeEditApp/CodeEdit/pull/1257
feat: Notify the user when an error is encountered when adding new accounts (#1252) by @Cubik65536 in https://github.com/CodeEditApp/CodeEdit/pull/1253
Add holding priority view modifier by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1265
Quicklook Previews in Open Quickly overlay by @luah5 in https://github.com/CodeEditApp/CodeEdit/pull/1266
Add setting for letter spacing by @luah5 in https://github.com/CodeEditApp/CodeEdit/pull/1269
Remove Unused UI by @austincondiff in https://github.com/CodeEditApp/CodeEdit/pull/1272
Add Missing Text View Settings by @thecoolwinter in https://github.com/CodeEditApp/CodeEdit/pull/1271
Fix for non-updating font size by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1283
Fix Settings color picker by @adisve in https://github.com/CodeEditApp/CodeEdit/pull/1277
Fix: #1035 finding in project bug by @RayZhao1998 in https://github.com/CodeEditApp/CodeEdit/pull/1268
Extensions Base by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1274
update codeeditkit dependency by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1286
refactor: Refactor font changes codes in ViewCommands by @Cubik65536 in https://github.com/CodeEditApp/CodeEdit/pull/1285
Improve textfield behavior in Project Navigator by @dscyrescotti in https://github.com/CodeEditApp/CodeEdit/pull/1291
Debug area tabs by @bombardier200 in https://github.com/CodeEditApp/CodeEdit/pull/1261
[chore]: Update CodeEditTextView to 0.6.4 by @thecoolwinter in https://github.com/CodeEditApp/CodeEdit/pull/1300
Enhancement: #218 Fuzzy search for QuickOpen by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1307
Using grouped form design in the file inspector by @austincondiff in https://github.com/CodeEditApp/CodeEdit/pull/1313
feat: Use terminal title as the terminal tab title (#1298) by @Cubik65536 in https://github.com/CodeEditApp/CodeEdit/pull/1302
docs: add Cubik65536 as a contributor for code by @allcontributors in https://github.com/CodeEditApp/CodeEdit/pull/1314
Sync file selection state between tab group and outline view by @dscyrescotti in https://github.com/CodeEditApp/CodeEdit/pull/1296
docs: add dscyrescotti as a contributor for code by @allcontributors in https://github.com/CodeEditApp/CodeEdit/pull/1315
added upgrade alert by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1297
Bump Build Number to 33 by @github-actions in https://github.com/CodeEditApp/CodeEdit/pull/1316
Update pre-release.yml to fix CI by @bombardier200 in https://github.com/CodeEditApp/CodeEdit/pull/1317
Update Sparkle Path for CI by @bombardier200 in https://github.com/CodeEditApp/CodeEdit/pull/1318

New Contributors

@evanlwang made their first contribution in https://github.com/CodeEditApp/CodeEdit/pull/1229
@adisve made their first contribution in https://github.com/CodeEditApp/CodeEdit/pull/1277
@dscyrescotti made their first contribution in https://github.com/CodeEditApp/CodeEdit/pull/1291

Full Changelog: https://github.com/CodeEditApp/CodeEdit/compare/0.0.3-alpha.32...0.0.3-alpha.33","What's Changed
Fixed inspector toolbar background color and inspector maxWidth by @austincondiff in link
Add pixel to top of first line by @evanlwang in link
docs: add evanlwang as a contributor for code by @allcontributors in link
[chore]: updates SwiftLintPlugin to the latest version by @lukepistrol in link
Fix a bug with the image preview bounds by @luah5 in link
bugfix: renaming a file uses the wrong background color by @aaryankotharii in link
Move to macOS Ventura-style Settings in place of Preferences by @austincondiff in link
fix: Fix issues when adding/displaying GitHub/GitLab accounts by @Cubik65536 in link
fix(AccountsSettingsDetailsView): Fix Delete Account button (#1245) by @Cubik65536 in link
Performance improvements for settings by @Wouter01 in link
Update CodeEditTextView to 0.6.2 by @austincondiff in link
Fixing Theme not updating on click by @bombardier200 in link
Refactored WorkspaceClient and sidebar by @matthijseikelenboom in link
Account Setting SSH Keys Picker by @austincondiff in link
Sidebar tab bar position setting by @austincondiff in link
feat: Notify the user when an error is encountered when adding new accounts (#1252) by @Cubik65536 in link
Add holding priority view modifier by @Wouter01 in link
Quicklook Previews in Open Quickly overlay by @luah5 in link
Add setting for letter spacing by @luah5 in link
Remove Unused UI by @austincondiff in link
Add Missing Text View Settings by @thecoolwinter in link
Fix for non-updating font size by @Wouter01 in link
Fix Settings color picker by @adisve in link
Fix: #1035 finding in project bug by @RayZhao1998 in link
Extensions Base by @Wouter01 in link
update codeeditkit dependency by @Wouter01 in link
refactor: Refactor font changes codes in ViewCommands by @Cubik65536 in link
Improve textfield behavior in Project Navigator by @dscyrescotti in link
Debug area tabs by @bombardier200 in link
[chore]: Update CodeEditTextView to 0.6.4 by @thecoolwinter in link
Enhancement: #218 Fuzzy search for QuickOpen by @Wouter01 in link
Using grouped form design in the file inspector by @austincondiff in link
feat: Use terminal title as the terminal tab title (#1298) by @Cubik65536 in link
docs: add Cubik65536 as a contributor for code by @allcontributors in link
Sync file selection state between tab group and outline view by @dscyrescotti in link
docs: add dscyrescotti as a contributor for code by @allcontributors in link
added upgrade alert by @Wouter01 in link
Bump Build Number to 33 by @github-actions in link
Update pre-release.yml to fix CI by @bombardier200 in link
Update Sparkle Path for CI by @bombardier200 in link
New Contributors
@evanlwang made their first contribution in link
@adisve made their first contribution in link
@dscyrescotti made their first contribution in link
Full Changelog: link"
4,"What's Changed

Search overlay preview toggle by @austincondiff in https://github.com/CodeEditApp/CodeEdit/pull/1185
Add open quickly animation by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1187
Code cleanup: improve code up to Swift 5.7 standard: simplify if let and guard let statements by @richardtop in https://github.com/CodeEditApp/CodeEdit/pull/1183
Add text zoom shortcut by @luah5 in https://github.com/CodeEditApp/CodeEdit/pull/1191
Fix Inspector toggling by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1192
Remove files related to plugin extension system by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1195
Add setting to determine what happens after closing the last open workspace by @luah5 in https://github.com/CodeEditApp/CodeEdit/pull/1194
[chore]: Update CodeEditTextView, Remove unused GRDB by @lukepistrol in https://github.com/CodeEditApp/CodeEdit/pull/1196
docs: add luah5 as a contributor for code by @allcontributors in https://github.com/CodeEditApp/CodeEdit/pull/1201
Status Bar and Debugger Drawer UI Improvements by @austincondiff in https://github.com/CodeEditApp/CodeEdit/pull/1199
Code Cleanup: Simplify AppDelegate by @richardtop in https://github.com/CodeEditApp/CodeEdit/pull/1184
Add terminal zoom in/out (building on top of #1191) by @luah5 in https://github.com/CodeEditApp/CodeEdit/pull/1209
[chore]: Update CodeEditTextView to 0.6.1 by @lukepistrol in https://github.com/CodeEditApp/CodeEdit/pull/1219
Bump Build Number to 32 by @github-actions in https://github.com/CodeEditApp/CodeEdit/pull/1220

Full Changelog: https://github.com/CodeEditApp/CodeEdit/compare/0.0.3-alpha.31...0.0.3-alpha.32","What's Changed
Search overlay preview toggle by @austincondiff in link
Add open quickly animation by @Wouter01 in link
Code cleanup: improve code up to Swift 5.7 standard: simplify if let and guard let statements by @richardtop in link
Add text zoom shortcut by @luah5 in link
Fix Inspector toggling by @Wouter01 in link
Remove files related to plugin extension system by @Wouter01 in link
Add setting to determine what happens after closing the last open workspace by @luah5 in link
[chore]: Update CodeEditTextView, Remove unused GRDB by @lukepistrol in link
docs: add luah5 as a contributor for code by @allcontributors in link
Status Bar and Debugger Drawer UI Improvements by @austincondiff in link
Code Cleanup: Simplify AppDelegate by @richardtop in link
Add terminal zoom in/out (building on top of #1191) by @luah5 in link
[chore]: Update CodeEditTextView to 0.6.1 by @lukepistrol in link
Bump Build Number to 32 by @github-actions in link
Full Changelog: link"
5,"What's Changed

Partial move to SwiftUI lifecycle by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1152
Fix for runtime errors by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1154
Make ""Latest Release"" button clickable and point to the latest GitHub release by @richardtop in https://github.com/CodeEditApp/CodeEdit/pull/1153
Fix for background color of toolbar in inspector by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1155
Remove Welcome Window reopening after last document is closed by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1168
Files & folders dropped on Welcome Window are opened by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1169
Update README.md by @richardtop in https://github.com/CodeEditApp/CodeEdit/pull/1171
Code of conduct amendment: low quality PRs by @austincondiff in https://github.com/CodeEditApp/CodeEdit/pull/1176
Fixed bug where about window wouldn’t open by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1177
Overlay UI Improvements by @austincondiff in https://github.com/CodeEditApp/CodeEdit/pull/1159
Fix #1158 Using Delayed Appearance and Focus by @thecoolwinter in https://github.com/CodeEditApp/CodeEdit/pull/1175
Bump Build Number to 31 by @github-actions in https://github.com/CodeEditApp/CodeEdit/pull/1178

Full Changelog: https://github.com/CodeEditApp/CodeEdit/compare/0.0.3-alpha.30...0.0.3-alpha.31","What's Changed
Partial move to SwiftUI lifecycle by @Wouter01 in link
Fix for runtime errors by @Wouter01 in link
Make ""Latest Release"" button clickable and point to the latest GitHub release by @richardtop in link
Fix for background color of toolbar in inspector by @Wouter01 in link
Remove Welcome Window reopening after last document is closed by @Wouter01 in link
Files & folders dropped on Welcome Window are opened by @Wouter01 in link
Update README.md by @richardtop in link
Code of conduct amendment: low quality PRs by @austincondiff in link
Fixed bug where about window wouldn’t open by @Wouter01 in link
Overlay UI Improvements by @austincondiff in link
Fix #1158 Using Delayed Appearance and Focus by @thecoolwinter in link
Bump Build Number to 31 by @github-actions in link
Full Changelog: link"
6,"What's Changed

Fix for appcast link by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1124
Added setting to change font size, so can now change the default font… by @scrapp08 in https://github.com/CodeEditApp/CodeEdit/pull/1128
Rename Breadcrumbs to PathBar and fix comments by @iggy890 in https://github.com/CodeEditApp/CodeEdit/pull/1113
chore(typos): fix typos by @stavares843 in https://github.com/CodeEditApp/CodeEdit/pull/1121
Revised issue and PR templates by @austincondiff in https://github.com/CodeEditApp/CodeEdit/pull/1133
Fix for retain cycles & splitview recreation issue by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1132

New Contributors

@scrapp08 made their first contribution in https://github.com/CodeEditApp/CodeEdit/pull/1128
@stavares843 made their first contribution in https://github.com/CodeEditApp/CodeEdit/pull/1121

Full Changelog: https://github.com/CodeEditApp/CodeEdit/compare/0.0.3-alpha.29...0.0.3-alpha.30","What's Changed
Fix for appcast link by @Wouter01 in link
Added setting to change font size, so can now change the default font… by @scrapp08 in link
Rename Breadcrumbs to PathBar and fix comments by @iggy890 in link
chore(typos): fix typos by @stavares843 in link
Revised issue and PR templates by @austincondiff in link
Fix for retain cycles & splitview recreation issue by @Wouter01 in link
New Contributors
@scrapp08 made their first contribution in link
@stavares843 made their first contribution in link
Full Changelog: link"
7,"What's Changed

Splitview by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1080
[chore]: Update Version Number to 0.0.3 by @lukepistrol in https://github.com/CodeEditApp/CodeEdit/pull/1123

Full Changelog: https://github.com/CodeEditApp/CodeEdit/compare/0.0.2-alpha.28...0.0.3-alpha.29","What's Changed
Splitview by @Wouter01 in link
[chore]: Update Version Number to 0.0.3 by @lukepistrol in link
Full Changelog: link"
8,"What's Changed

Scroll to tab by @maxkel in https://github.com/CodeEditApp/CodeEdit/pull/1085
docs: add maxkel as a contributor for code by @allcontributors in https://github.com/CodeEditApp/CodeEdit/pull/1087
Revert ""Internal URL fix (in documentation)"" by @austincondiff in https://github.com/CodeEditApp/CodeEdit/pull/1091
Revert ""Internal URL fix (line 13) in documentation"" by @austincondiff in https://github.com/CodeEditApp/CodeEdit/pull/1092
Added note about project issues to readme by @austincondiff in https://github.com/CodeEditApp/CodeEdit/pull/1098
Changed project symbol by @austincondiff in https://github.com/CodeEditApp/CodeEdit/pull/1104
Fix for vertical scroller in project navigator by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1112
Addressing features/bugs with the terminal by @bombardier200 in https://github.com/CodeEditApp/CodeEdit/pull/1117
Fix for excessive files in recents list by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1114
Bump Build Number to 28 by @github-actions in https://github.com/CodeEditApp/CodeEdit/pull/1119

Full Changelog: https://github.com/CodeEditApp/CodeEdit/compare/0.0.2-alpha.27...0.0.2-alpha.28","What's Changed
Scroll to tab by @maxkel in link
docs: add maxkel as a contributor for code by @allcontributors in link
Revert ""Internal URL fix (in documentation)"" by @austincondiff in link
Revert ""Internal URL fix (line 13) in documentation"" by @austincondiff in link
Added note about project issues to readme by @austincondiff in link
Changed project symbol by @austincondiff in link
Fix for vertical scroller in project navigator by @Wouter01 in link
Addressing features/bugs with the terminal by @bombardier200 in link
Fix for excessive files in recents list by @Wouter01 in link
Bump Build Number to 28 by @github-actions in link
Full Changelog: link"
9,"What's Changed

Save UI state per Workspace by @Code-DJ in https://github.com/CodeEditApp/CodeEdit/pull/984
Don't run haptic feedback when the UI is rendered. by @Code-DJ in https://github.com/CodeEditApp/CodeEdit/pull/1069
Improvements to breadcrumbs by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1067
Improved welcomewindow by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1039
Push newly created file into the workspace (#696) by @RenanGreca in https://github.com/CodeEditApp/CodeEdit/pull/1057
docs: add RenanGreca as a contributor for code by @allcontributors in https://github.com/CodeEditApp/CodeEdit/pull/1074
improvement to window state by @Wouter01 in https://github.com/CodeEditApp/CodeEdit/pull/1068
Fix typo (line 28) in documentation by @kant in https://github.com/CodeEditApp/CodeEdit/pull/1075
Internal URL fix (in documentation) by @kant in https://github.com/CodeEditApp/CodeEdit/pull/1079
Removed close animations on tabs by @maxkel in https://github.com/CodeEditApp/CodeEdit/pull/1081
docs: add maxkel as a contributor for bug by @allcontributors in https://github.com/CodeEditApp/CodeEdit/pull/1082
Typo fix (line 05) in documentation by @kant in https://github.com/CodeEditApp/CodeEdit/pull/1077
Internal URL fix (line 13) in documentation by @kant in https://github.com/CodeEditApp/CodeEdit/pull/1078
Bump Build Number to 27 by @github-actions in https://github.com/CodeEditApp/CodeEdit/pull/1086

New Contributors

@RenanGreca made their first contribution in https://github.com/CodeEditApp/CodeEdit/pull/1057
@kant made their first contribution in https://github.com/CodeEditApp/CodeEdit/pull/1075
@maxkel made their first contribution in https://github.com/CodeEditApp/CodeEdit/pull/1081

Full Changelog: https://github.com/CodeEditApp/CodeEdit/compare/0.0.2-alpha.26...0.0.2-alpha.27","What's Changed
Save UI state per Workspace by @Code-DJ in link
Don't run haptic feedback when the UI is rendered. by @Code-DJ in link
Improvements to breadcrumbs by @Wouter01 in link
Improved welcomewindow by @Wouter01 in link
Push newly created file into the workspace (#696) by @RenanGreca in link
docs: add RenanGreca as a contributor for code by @allcontributors in link
improvement to window state by @Wouter01 in link
Fix typo (line 28) in documentation by @kant in link
Internal URL fix (in documentation) by @kant in link
Removed close animations on tabs by @maxkel in link
docs: add maxkel as a contributor for bug by @allcontributors in link
Typo fix (line 05) in documentation by @kant in link
Internal URL fix (line 13) in documentation by @kant in link
Bump Build Number to 27 by @github-actions in link
New Contributors
@RenanGreca made their first contribution in link
@kant made their first contribution in link
@maxkel made their first contribution in link
Full Changelog: link"
10,"What's Changed

[Chore] Removes CodeEditCli folder by @matthijseikelenboom in https://github.com/CodeEditApp/CodeEdit/pull/1037
fix: Don't use defaultType to determine file extension by @SwampThingTom in https://github.com/CodeEditApp/CodeEdit/pull/1030
Resolve #1029: Support files and folders to be dragged in externally … by @RayZhao1998 in https://github.com/CodeEditApp/CodeEdit/pull/1040
Issue States and Add to Project Actions by @austincondiff in https://github.com/CodeEditApp/CodeEdit/pull/1047
[chore]: Update dependencies, Bump min deployment target to 13.0 by @lukepistrol in https://github.com/CodeEditApp/CodeEdit/pull/1063
Bump Build Number to 26 by @github-actions in https://github.com/CodeEditApp/CodeEdit/pull/1064

New Contributors

@SwampThingTom made their first contribution in https://github.com/CodeEditApp/CodeEdit/pull/1030

Full Changelog: https://github.com/CodeEditApp/CodeEdit/compare/0.0.1-alpha.25...0.0.2-alpha.26","What's Changed
[Chore] Removes CodeEditCli folder by @matthijseikelenboom in link
fix: Don't use defaultType to determine file extension by @SwampThingTom in link
Resolve #1029: Support files and folders to be dragged in externally … by @RayZhao1998 in link
Issue States and Add to Project Actions by @austincondiff in link
[chore]: Update dependencies, Bump min deployment target to 13.0 by @lukepistrol in link
Bump Build Number to 26 by @github-actions in link
New Contributors
@SwampThingTom made their first contribution in link
Full Changelog: link"
