Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Mention that gnirehtet is not actively maintained,0.70566326,Gnirehtet v2.2,,1
Cargo update,0.43497002, - update relay-rust dependencies,"Execute ""cargo update"" to update dependencies for the versions listed in Cargo.toml. Fixes #475 link",0
Remove useless borrowing,0.18130635, - Improve logs,,0
Prefix unused field by _,0.13330531, - discard non-IPv4 packets (#69),The 'version' field is only used in tests (gnirehtet only supports IPv4).,0
Fix trailing semicolon warning,0.33792627, - Always log error messages to stderr (fixes #62),warning: trailing semicolon in macro used in expression position,0
Read process output before waiting,0.32928386, - Handle command-line parsing natively (in Java and Rust),"The process may stuck because its output buffer is full, but the output was consumed only after the process was terminated, causing a deadlock. Consume process output before waiting for process termination to fix the problem. Refs #369 link Refs #370 link Co-authored-by: tusenpo tusenpo@pinduoduo.com",0
Fix datagram buffer remaining size,0.5459321," - Fix buffer size to avoid ""Not an Ipv4 packet"" error (#273)","In the Java version, a datagram was incorrectly rejected if its size was exactly the remaining buffer size (this was harmless). In the Rust version, the datagram buffer considered it had enough space if a packet was 1 byte too big (causing packet overwriting). Refs #345 link",0
Fix typo in comment,0.20205455, - Improve logs and error messages,,0
Add Homebrew instructions to the README,0.3041892, - Add a Rust version of the relay server,Signed-off-by: Romain Vimont rom@rom1v.com,0
Update release v2.5 links in README,0.3326761, - update relay-rust dependencies,,0
Bump version to 2.5,0.40246797, - Support Android O (fixes #44),,0
Fix deprecation and other warnings,0.44246542, - Support Android O (fixes #44),Reported by clippy and rustc. PR #284 link Signed-off-by: Romain Vimont rom@rom1v.com,0
Use sufficient buffer size,0.4934603," - Fix buffer size to avoid ""Not an Ipv4 packet"" error (#273)","The buffer size (2^12 bytes) to read a packet from the VPN was smaller than the largest possible packet (2^16 bytes), causing packets to be truncated. Increase the buffer size to fix the problem. Fixes #273 link",0
Fix code style,0.1876601, - Improve logs and error messages,,0
Add more packet data logs,0.4742654, - Improve logs and error messages,,0
Log packet data as verbose logs,0.4441475, - Improve logs and error messages,,0
Add a missing space in logs,0.5267958, - Improve logs,,0
Improve packet logging,0.5335699, - Improve logs and error messages,"If verbose is enabled, print the packet size and the 20 first bytes (the IP header) only in a single line.",0
Remove useless parentheses,0.22431237, - Improve logs,,0
Remove useless return type,0.28596106, - discard non-IPv4 packets (#69),"The monitor() function just loops, it cannot fails.",0
Allow to set a custom path for client APK,0.7868181, - Make apk path configurable (#90),Use the environment variable GNIREHTET_APK to use a custom path for the gnirehtet client. Ref link,1
Allow to set a custom path for adb,0.9278599, - Make adb path configurable,Use the environment variable ADB to use a custom adb executable.,1
Update release v2.4 links in README,0.3499203, - update relay-rust dependencies,,0
Bump version to 2.4,0.4027279, - Support Android O (fixes #44),,0
Update relay-rust dependencies,0.9858892, - update relay-rust dependencies,"Generated by ""cargo update"".",1
Update README and DEVELOP,0.31399524, - update relay-rust dependencies,The commands to run gnirehet manually have changed since commit f8681809a28a0073f791f0d9eae65da02ae73c3d.,0
Rename config field,0.27991,Add command-line option to use a custom port (#210),"Fix a checkstyle issue: the ""config"" parameter hid the class field.",0
Merge pull request #210 from jessedusty:add_port_option,0.6284332,Add command-line option to use a custom port (#210),Add port option to allow multiple instances of the gnirehtet relay to run,0
Add port -p option to rust relay,0.75130314, - Add a Rust version of the relay server,Signed-off-by: Romain Vimont rom@rom1v.com,1
Add port -p option to java relay,0.5525571,Add command-line option to use a custom port (#210),Signed-off-by: Romain Vimont rom@rom1v.com,0
Reorder Android manifest,0.33507633,"   so that the intent is always allowed by Android (#112, #117, #146,",Declare permissions before the application tag (to make the linter happy).,0
Upgrade targetSdkVersion to 29,0.34999484, - Support Android O (fixes #44),,0
