Index,Release Note,Release Note With Abstraction
1,"IJulia v1.24.0
Diff since v1.23.3
Closed issues:
- support for pdf plot output (#1035)
- Kernel frequently restarts during sessions (#1037)
- Unlike in REPL, passing (e, catch_backtrace()) to the @error macro displays unreadable raw stacktrace instead of text representation (#1043)
- Errors Linking Julia 1.8 and Jupyter Lab 3.3.4-2 (#1050)
- Permission error when Jupyterhub user launches Julia (#1058)
- Kernel does not start with Julia 1.9 (#1062)
Merged pull requests:
- Correct kernelspec name (#1004) (@jks-liu)
- Update help link (#1006) (@raphbacher)
- Replace SimpleLogger with ConsoleLogger (#1045) (@BoZenKhaa)
- Add Julia svg logo (#1053) (@steff456)","IJulia v1.24.0
Diff since v1.23.3
Closed issues:
- support for pdf plot output (#1035)
- Kernel frequently restarts during sessions (#1037)
- Unlike in REPL, passing (e, catch_backtrace()) to the @error macro displays unreadable raw stacktrace instead of text representation (#1043)
- Errors Linking Julia 1.8 and Jupyter Lab 3.3.4-2 (#1050)
- Permission error when Jupyterhub user launches Julia (#1058)
- Kernel does not start with Julia 1.9 (#1062)
Merged pull requests:
- Correct kernelspec name (#1004) (@jks-liu)
- Update help link (#1006) (@raphbacher)
- Replace SimpleLogger with ConsoleLogger (#1045) (@BoZenKhaa)
- Add Julia svg logo (#1053) (@steff456)"
2,"IJulia v1.23.3
Diff since v1.23.2
Closed issues:
- Jupyter Kernels Getting Overwritten (#908)
- JuliaPro V1.4.2 cannot find Jupyter Notebook previous install  (#942)
- f(<tab> tries to autocomplete and writes the function definition (#992)
- won't catch the wrong syntax (#994)
- IJulia is very slow at first calculation (#995)
- Display/println order incorrect (#998)
- Pkg output not showing in Jupyter notebook (#1008)
- Jupyter notebook fails to open with Julia 1.6.0 kernel  (#1009)
- IJulia no longer loads shared library dependencies (#1010)
- What is the meaning of this? (#1011)
- IJulia not showing output from package manager mode (#1017)
- IJulia/kernel.jl should not change the global_logger (#1018)
- IJulia in local environment, dead kernel (#1021)
- Kernel on Jupyter Notebook constantly dies  (#1022)
- IJulia fails on 1.7 with Mac M1 (#1027)
- works in Jupyter Notebook but not in Jupyter Lab (#1029)
- Error: Could not spawn setenv (#1032)
- Feature: show methods applicable to object  (methodswith) (#1033)
- tab completion and unicode not working in Jupyter notebook (#1034)
Merged pull requests:
- respect should_complete return value from REPLCompletions.completions (#993) (@stevengj)
- Fix broken link (#997) (@bluesmoon)
- flush stdio before display (#999) (@stevengj)
- Note about default environment (#1007) (@lamorton)
- Compare kernel.jl files rather than filenames (#1025) (@bluesmoon)","IJulia v1.23.3
Diff since v1.23.2
Closed issues:
- Jupyter Kernels Getting Overwritten (#908)
- JuliaPro V1.4.2 cannot find Jupyter Notebook previous install  (#942)
- f( tries to autocomplete and writes the function definition (#992)
- won't catch the wrong syntax (#994)
- IJulia is very slow at first calculation (#995)
- Display/println order incorrect (#998)
- Pkg output not showing in Jupyter notebook (#1008)
- Jupyter notebook fails to open with Julia 1.6.0 kernel  (#1009)
- IJulia no longer loads shared library dependencies (#1010)
- What is the meaning of this? (#1011)
- IJulia not showing output from package manager mode (#1017)
- IJulia/kernel.jl should not change the global_logger (#1018)
- IJulia in local environment, dead kernel (#1021)
- Kernel on Jupyter Notebook constantly dies  (#1022)
- IJulia fails on 1.7 with Mac M1 (#1027)
- works in Jupyter Notebook but not in Jupyter Lab (#1029)
- Error: Could not spawn setenv (#1032)
- Feature: show methods applicable to object  (methodswith) (#1033)
- tab completion and unicode not working in Jupyter notebook (#1034)
Merged pull requests:
- respect should_complete return value from REPLCompletions.completions (#993) (@stevengj)
- Fix broken link (#997) (@bluesmoon)
- flush stdio before display (#999) (@stevengj)
- Note about default environment (#1007) (@lamorton)
- Compare kernel.jl files rather than filenames (#1025) (@bluesmoon)"
3,"IJulia v1.23.2
Diff since v1.23.1
Closed issues:
- [feature request] syntax highlight in vscode (#933)
- Can't Use on OSX (#967)
- IJulia kernel doesn't work for Julia 1.6 on macOS (#968)
- No window open in the browser (#970)
- ZMQ unsatiable constraints (#971)
- errors thrown from a kernel are not pretty printed (#974)
- IJulia installs conda by itself (#979)
- Failed to start the kernel - Jupyter Notebook error (#980)
- Urgent: Julia on Jupyter notebook, error:keep restarting kernel (#982)
- Why can only 8 columns be displayed in JupyterLab (#984)
- redirect_stdio is broken by Julia 1.7 (#986)
- Unable to download the miniconda while using IJulia (#988)
Merged pull requests:
- add nteract to README (#965) (@willingc)
- Convert uuid4 to a string before using as msg_id (#972) (@bluesmoon)
- Change uuid to a string in all locations. (#973) (@bluesmoon)
- fix heartbeat on 1.6 (#985) (@stevengj)
- Proposed fix for #986. (#989) (@rgobbel)","IJulia v1.23.2
Diff since v1.23.1
Closed issues:
- [feature request] syntax highlight in vscode (#933)
- Can't Use on OSX (#967)
- IJulia kernel doesn't work for Julia 1.6 on macOS (#968)
- No window open in the browser (#970)
- ZMQ unsatiable constraints (#971)
- errors thrown from a kernel are not pretty printed (#974)
- IJulia installs conda by itself (#979)
- Failed to start the kernel - Jupyter Notebook error (#980)
- Urgent: Julia on Jupyter notebook, error:keep restarting kernel (#982)
- Why can only 8 columns be displayed in JupyterLab (#984)
- redirect_stdio is broken by Julia 1.7 (#986)
- Unable to download the miniconda while using IJulia (#988)
Merged pull requests:
- add nteract to README (#965) (@willingc)
- Convert uuid4 to a string before using as msg_id (#972) (@bluesmoon)
- Change uuid to a string in all locations. (#973) (@bluesmoon)
- fix heartbeat on 1.6 (#985) (@stevengj)
- Proposed fix for #986. (#989) (@rgobbel)"
4,"IJulia v1.23.1
Diff since v1.23.0
Merged pull requests:
- Don't use --startup-file=yes (it is default anyways). (#963) (@fredrikekre)","IJulia v1.23.1
Diff since v1.23.0
Merged pull requests:
- Don't use --startup-file=yes (it is default anyways). (#963) (@fredrikekre)"
5,"IJulia v1.23.0
Diff since v1.22.0
Closed issues:
- Error: syntax: undefined reference in AST (#960)
Merged pull requests:
- Allow users to opt out of the default kernel. (#958) (@vchuravy)","IJulia v1.23.0
Diff since v1.22.0
Closed issues:
- Error: syntax: undefined reference in AST (#960)
Merged pull requests:
- Allow users to opt out of the default kernel. (#958) (@vchuravy)"
6,"IJulia v1.22.0
Diff since v1.21.4
Closed issues:
- I can't install IJulia (#952)
- v1.21.4 breaks IJulia with ""InteractiveUtils not defined"" Error (#955)
- Error in installing IJulia.jl (#956)
- Autocomplete DataFrame column names (#957)
Merged pull requests:
- Add kwarg julia_cmd to installkernel (to support JupyterHub with containers, etc.) (#948) (@oschulz)","IJulia v1.22.0
Diff since v1.21.4
Closed issues:
- I can't install IJulia (#952)
- v1.21.4 breaks IJulia with ""InteractiveUtils not defined"" Error (#955)
- Error in installing IJulia.jl (#956)
- Autocomplete DataFrame column names (#957)
Merged pull requests:
- Add kwarg julia_cmd to installkernel (to support JupyterHub with containers, etc.) (#948) (@oschulz)"
7,"IJulia v1.21.4
Diff since v1.21.3
Merged pull requests:
- Organize/add docstrings in API docs (#945) (@jlumpe)
- support repl_ast_transforms in Julia 1.5 (#947) (@stevengj)
- Load InteractiveUtils from the IJulia namespace in src/kernel.jl. (#951) (@fredrikekre)","IJulia v1.21.4
Diff since v1.21.3
Merged pull requests:
- Organize/add docstrings in API docs (#945) (@jlumpe)
- support repl_ast_transforms in Julia 1.5 (#947) (@stevengj)
- Load InteractiveUtils from the IJulia namespace in src/kernel.jl. (#951) (@fredrikekre)"
8,"IJulia v1.21.3
Diff since v1.21.2
Closed issues:
- Pkg.add(""IJulia"") git proxy error without using proxy (#916)
- Jupyter notebook freezes after typing ""round""... (#917)
- Cell content disappears  (#919)
- Add to startup (#922)
- Trouble installing IJulia (#923)
- Typing characters '.0' causes cell to freeze (#924)
- IJulia doesnt work (#926)
- Error in utf-8 decoding (#927)
- IJulia bails on typing ""00"" in jupyter lab 2.1 (#929)
- Underscore notation for numbers makes number different colours. (#932)
- Kernel exception on autocomplete (#935)
- Documentation? (#936)
- Handling of local y = (x = i) in soft scope (#938)
- Jupyterlab won't work with Julia 1.5 and Python 3.7.7 (#939)
Merged pull requests:
- Add documentation with Documenter.jl (#941) (@jlumpe)
- Fix the ""dev"" docs badge (#943) (@DilumAluthge)
- TagBot: use DOCUMENTER_KEY (#944) (@DilumAluthge)","IJulia v1.21.3
Diff since v1.21.2
Closed issues:
- Pkg.add(""IJulia"") git proxy error without using proxy (#916)
- Jupyter notebook freezes after typing ""round""... (#917)
- Cell content disappears  (#919)
- Add to startup (#922)
- Trouble installing IJulia (#923)
- Typing characters '.0' causes cell to freeze (#924)
- IJulia doesnt work (#926)
- Error in utf-8 decoding (#927)
- IJulia bails on typing ""00"" in jupyter lab 2.1 (#929)
- Underscore notation for numbers makes number different colours. (#932)
- Kernel exception on autocomplete (#935)
- Documentation? (#936)
- Handling of local y = (x = i) in soft scope (#938)
- Jupyterlab won't work with Julia 1.5 and Python 3.7.7 (#939)
Merged pull requests:
- Add documentation with Documenter.jl (#941) (@jlumpe)
- Fix the ""dev"" docs badge (#943) (@DilumAluthge)
- TagBot: use DOCUMENTER_KEY (#944) (@DilumAluthge)"
9,"IJulia v1.21.2
Diff since v1.21.1
Closed issues:
- Error installing Jupyter via conda in Win10 (#874)
- Windows Permission Denied (#878)
- I bulid Ijulia (#879)
- Package name should ideally be Jupyter.jl (#904)
- Deprecation from PyCall.jl (#905)
- [Solved][Linux] IJulia install error (#906)
- Zero before another number breaks ijulia (#907)
- can not start notebook  (#910)
- @DIR does nto behave as ""expected"" in IJulia (#915)
Merged pull requests:
- Install TagBot as a GitHub Action (#901) (@JuliaTagBot)
- Update [compat] to allow MbedTLS v1 (#912) (@jaakkor2)
- Set version to 1.21.2, limit tagbot to once per day. (#914) (@fredrikekre)","IJulia v1.21.2
Diff since v1.21.1
Closed issues:
- Error installing Jupyter via conda in Win10 (#874)
- Windows Permission Denied (#878)
- I bulid Ijulia (#879)
- Package name should ideally be Jupyter.jl (#904)
- Deprecation from PyCall.jl (#905)
- [Solved][Linux] IJulia install error (#906)
- Zero before another number breaks ijulia (#907)
- can not start notebook  (#910)
- @DIR does nto behave as ""expected"" in IJulia (#915)
Merged pull requests:
- Install TagBot as a GitHub Action (#901) (@JuliaTagBot)
- Update [compat] to allow MbedTLS v1 (#912) (@jaakkor2)
- Set version to 1.21.2, limit tagbot to once per day. (#914) (@fredrikekre)"
10,"v1.21.1 (2020-02-08)
Diff since v1.21.0
Closed issues:

Tag a release (#898)

Merged pull requests:

use _set_conda_env to launch jupyter (#900) (stevengj)
","v1.21.1 (2020-02-08)
Diff since v1.21.0
Closed issues:
Tag a release (#898)
Merged pull requests:
use _set_conda_env to launch jupyter (#900) (stevengj)"
