Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
only bundle libraries that are needed (#823),0.7130827,- Be a bit more careful about what files we bundle in an app / library (#578),,1
bump version (#814),0.78333426,- Bump version (#810) (@KristofferC),,1
fix importing executable before trying to compile its julia_main (#813),0.9806162,- fix importing executable before trying to compile its julia_main (#813) (@KristofferC),,1
Bump version (#810),0.7717445,- Bump version (#810) (@KristofferC),,1
fix: pass CPU targets as cmd args (#804),0.78212273,- Pass CPU targets as cmdline args (#804) (@ven-k)," Sysimages built with CPU targets as env var, tend to ignore them and result segfaults,  when relocated to the target machine",1
Mention uuid too in error (#733),0.9192574,- Mention uuid too in error (#733) (@rikhuijzer),Co-authored-by: Kristoffer Carlsson kcarlsson89@gmail.com,1
"Allow the create_app function to accept and propagate the script::Union{Nothing, String} kwarg (#788)",0.9841256,"- Allow the create_app function to accept and propagate the script::Union{Nothing, String} kwarg (#788) (@DilumAluthge)",,1
"Some fixes to precompile ""replay"" (#805)",0.9465966,"- Some fixes to precompile ""replay"" (#805) (@KristofferC)",,1
Build and run MyLib (#732),0.87638736,- Build and run MyLib (#732) (@rikhuijzer),Co-authored-by: Kristoffer Carlsson kcarlsson89@gmail.com,1
fail early if both incremental and filter_stdlibs (#800),0.9394901,- fail early if both incremental and filter_stdlibs (#800) (@baggepinnen),,1
Fix two typos (#797),0.7674053,- Fix two typos (#797) (@goggle),Signed-off-by: Alexander Seiler seileralex@gmail.com,1
suggest using Plots.init() (#750),0.9342133,- suggest using Plots.init() (#750) (@rdiaz02),This solves issue in https://discourse.julialang.org/t/plots-do-not-display-unless-i-call-gui-when-using-custom-sysimage/92207 Co-authored-by: Dilum Aluthge dilum@aluthge.com,1
bump version (#782),0.7315531,- bump version (#749) (@KristofferC),,1
propagate build flags into sysimg (#774),0.9022826,- RFC: propagate build flags into sysimg (#774) (@sjkelly),"This removes the enforced -O and g levels, and propogates the passed arguments to the entire build. We filter a few arguments from the base sysimg to prevent some failures and avoid known bugs.",1
clarify that project arg should be a path. (#773),0.91620624,- clarify that project arg should be a path. (#773) (@sjkelly),,1
use micromamba_jll rather than MKL_jll to test lazy artifacts (#772),0.9504875,- use smaller micromamba_jll rather than huge MKL_jll to test lazy artifacts (#772) (@IanButterworth),,1
README: Fix the CI status badge (#777),0.9574865,- README: Fix the CI status badge (#777) (@DilumAluthge),,1
CI: add the ci_started job (#776),0.94423157,- CI: add the ci_started job (#776) (@DilumAluthge),,1
CI: Combine the tests and the docs into a single CI workflow (#775),0.96486354,- CI: Combine the tests and the docs into a single CI workflow (#775) (@DilumAluthge),,1
"Test suite: on Julia 1.6, remove LLVMExtra_jll from the MyApp/Project.toml file (#771)",0.9801463,"- Test suite: on Julia 1.6, remove LLVMExtra_jll from the MyApp/Project.toml file (#771) (@DilumAluthge)",  Skip broken tests on 1.6 CI   Update runtests.jl   Remove some CI jobs while debugging this PR   Update Project.toml   Update runtests.jl   Update test.yml   Apply suggestions from code review   Co-authored-by: Ian Butterworth i.r.butterworth@gmail.com  Co-authored-by: Ian Butterworth i.r.butterworth@gmail.com,1
Call get_compiler_cmd() at the beginning of create_sysimage and create_app (#770),0.9724132,- Call get_compiler_cmd() at the beginning of create_sysimage and create_app (#770) (@DilumAluthge),Co-authored-by: Ian Butterworth i.r.butterworth@gmail.com Co-authored-by: Ian Butterworth i.r.butterworth@gmail.com,1
Drop 1.7 CI. Limit concurrency to leave CI space for org (#764),0.5157448,- run CI on 1.7 (#584) (@KristofferC),,0
PackageCompiler v2.1.4 (#763),0.92422533,- PackageCompiler v2.1.4 (#763) (@IanButterworth),,1
Fixes for 1.10 (#762),0.8903216,- Fixes for 1.10 (#762) (@IanButterworth),Fixes https://github.com/JuliaLang/PackageCompiler.jl/issues/761,1
Patch bump. Set CI timeout to 90 mins (#760),0.94463515,- Patch bump. Set CI timeout to 90 mins (#760) (@IanButterworth),,1
Fix 1.9 (#757),0.81724435,- Fix 1.9 (#757) (@IanButterworth),Co-authored-by: Kristoffer Carlsson kcarlsson89@gmail.com Closes https://github.com/JuliaLang/PackageCompiler.jl/issues/755,1
Grammar (#758),0.6593147,- Grammar (#758) (@LilithHafner),,0
Add an inner testsets to help find failures (#754),0.9228395,- Add an inner testsets to help find failures (#754) (@IanButterworth),,1
Run CI on 1.9-nightly (#753),0.912203,- Run CI on 1.9-nightly (#753) (@IanButterworth),,1
bump version (#749),0.7746931,- bump version (#749) (@KristofferC),,1
Add script kwarg to create_library to enable running of custom Julia code (#748),0.96362853,- Add script kwarg to create_library to enable running of custom Julia code (#748) (@sharanry),,1
PackageCompiler v2.1.1 (#745),0.9258586,- PackageCompiler v2.1.1 (#745) (@IanButterworth),,1
Monitor for low free memory during sysimage generation (#740),0.8938152,- Monitor for low free memory during sysimage generation (#740) (@IanButterworth),Fixes https://github.com/JuliaLang/PackageCompiler.jl/issues/739,1
"Factor out the ""find compiler"" logic into a separate get_compiler_cmd function (#731)",0.9702056,"- Factor out the ""find compiler"" logic into a separate get_compiler_cmd function (#731) (@DilumAluthge)","  Factor out the ""find compiler"" logic into a separate get_compiler_cmd function   Bump the version from ""2.0.11"" to ""2.1.0"" ",1
Reinstate RelocatableFolders compat & patch bump (#729),0.9320725,- Reinstate RelocatableFolders compat & patch bump (#729) (@IanButterworth),,1
remove use of jl_set_value on 1.9. fix UndefVarError for new nightly error formatting (#709),0.96514004,- remove use of jl_set_value on 1.9. fix UndefVarError for new nightly error formatting (#709) (@simonbyrne),Co-authored-by: Ian Butterworth i.r.butterworth@gmail.com,1
Merge pull request #728 from JuliaLang/ib/bump,0.6202525,Merged pull requests:,,0
PackageCompiler 2.0.10,0.99052924,PackageCompiler v2.0.10,,1
Support RelocatableFolders v1 (#722),0.92586017,- Support RelocatableFolders v1 (#722) (@AshlinHarris),,1
CI: change '~1.8.0-0' to '1.8' (#723),0.92219937,- CI: change '~1.8.0-0' to '1.8' (#723) (@DilumAluthge),,1
Don't check the docs/Manifest.toml file into source control,0.7238258,- Remove Manifest.toml from MyLib/build (#536) (@kmsquire),,1
run CI on julia 1.8 (#707),0.92963517,- run CI on julia 1.8 (#707) (@simonbyrne),  run CI on julia 1.8   Disable CI on '1' (redundant) ,1
Fix an incorrect warning message (#715),0.7830876,- Fix an incorrect warning message (#715) (@DilumAluthge),,1
Add concurrency control to GitHub workflow runs (#712),0.98545015,- Add concurrency control to GitHub workflow runs (#712) (@davidanthoff),,1
Bump version,0.63601494,- bump version (#749) (@KristofferC),,0
also bundle certificate (#711),0.79574776,- also bundle certificate (#711) (@KristofferC), also bundle certificate  should fix https://github.com/JuliaLang/MbedTLS.jl/pull/219#issuecomment-1206080455,1
check if manifest file exists instead of if manifest empty (#705),0.94540894,- check if manifest file exists instead of if manifest empty (#705) (@simonbyrne),Theoretically you could compile a package with an empty manifest,1
bump version,0.63601494,- bump version (#749) (@KristofferC),,0
fix lazy artifacts (#696),0.8535847,- fix lazy artifacts (#696) (@KristofferC),,1
Fix a few typos (#701),0.7692542,- Fix two typos (#797) (@goggle),"also expand OSes, arguably easier to understand",1
also test on LTS and nightly,0.46310234,- nightly (1.9) tests failing (#708),,0
Update CompatHelper.yml (#684),0.9445038,- Update CompatHelper.yml (#684) (@JackDunnNZ),,1
"Fix the message in create_sysimg_object_file to correctly say ""incremental"" or ""nonincremental"" (#694)",0.93745655,"- Fix the message in create_sysimg_object_file to correctly say ""incremental"" or ""nonincremental"" (#694) (@DilumAluthge)",,1
add support for dynamic artifact selection (#690),0.9117477,- add support for dynamic artifact selection (#690) (@KristofferC),,1
Fix formatting of executables keyword in docstring (#679),0.95962775,- Fix formatting of executables keyword in docstring (#679) (@blegat),,1
fix accidental removal of Base.@ccallable from library function,0.48173493,- Documentation for libraries still mentions @ccallable (#668),,0
Bump version to 2.0.5,0.5031945,- add some upgrade notes for pre 1.0 PackageCompiler (#343) (@KristofferC),,0
Fix windows library filename (#655),0.93370926,- Fix windows library filename (#655) (@kmsquire),"  Fix library name on Windows   The name was accidentally changed to sys.dll in a previous refactor   Also rename get_sysimg_file -> get_library_filename.  It used to   be used to get the sysimg filename for create_app and create_lib,   but now it's only used by create_lib.   Remove extra whitespace ",1
make package test work without an installed General registry (#646),0.9643067,- make package test work without an installed General registry (#646) (@KristofferC),,1
bump patch version,0.54438436,- bump version (#749) (@KristofferC),,0
add precompile statements for functions called from main in apps (#649),0.9617735,- add precompile statements for functions called from main in apps (#649) (@JeffBezanson),remove dependency on at-eval in main,1
use debug libs when Julia is debug build (#644),0.9724551,- use debug libs when Julia is debug build (#644) (@jaakkor2),,1
Typo (#642),0.7228009,- Typo (#642) (@PallHaraldsson), Typo  [skip ci]  Upper case,1
remove old docs for ccall in app entry points,0.41943544,- Rebuild docs (#562),,0
add a note about removing @ccallable for apps,0.53207237,- Documentation for libraries still mentions @ccallable (#668),,0
Bump patch version,0.54438436,- bump version (#749) (@KristofferC),,0
use abspath (#636),0.7869996,- use abspath (#636) (@terasakisatoshi),,1
Fix typo in docs: use correct default cpu target (#633),0.9548542,- Fix typo in docs: use correct default cpu target (#633) (@ikirill),"A very small typo, but it's annoying because it means the user could think they were asked to pass ""nativea"" instead of ""native"".",1
fix doc typo (#632),0.8539165,- Fix doc typo (#632) (@alhirzel),,1
Fix code block on apps documentation (#631),0.9581095,- Fix code block on apps documentation (#631) (@guilhermebodin),,1
"syimage -> sysimage in ""Upgrading from..."" section (#628)",0.9480075,"- syimage -> sysimage in ""Upgrading from..."" section (#628) (@chriselrod)",,1
fix link,0.5854837,- [docs] Fix link in apps.md (#386) (@OliverEvans96),,0
release 2.0,0.7286817,- Release v1 (#337),,1
fix bug when the same artifact was used more than once in the project (#626),0.9440156,- fix bug when the same artifact was used more than once in the project (#627) (@KristofferC),,1
