Index,Release Note,Release Note With Abstraction
1,"This is Julia version 1.9.0, the ninth minor release in the 1.x series of releases.
Release notes: https://github.com/JuliaLang/julia/tree/v1.9.0/NEWS.md","This is Julia version 1.9.0, the ninth minor release in the 1.x series of releases.
Release notes: link"
2,Full Changelog: https://github.com/JuliaLang/julia/compare/v1.9.0-rc2...v1.9.0-rc3,Full Changelog: link
3,"What's Changed

Backports for 1.9.0-rc2 by @KristofferC in https://github.com/JuliaLang/julia/pull/48935
release-1.9: set VERSION to 1.9.0-rc2 by @KristofferC in https://github.com/JuliaLang/julia/pull/49208

Full Changelog: https://github.com/JuliaLang/julia/compare/v1.9.0-rc1...v1.9.0-rc2","What's Changed
Backports for 1.9.0-rc2 by @KristofferC in link
release-1.9: set VERSION to 1.9.0-rc2 by @KristofferC in link
Full Changelog: link"
4,"What's Changed

Backports for 1.9.0-rc1 by @KristofferC in https://github.com/JuliaLang/julia/pull/48733
set VERSION to 1.9.0-rc1 by @KristofferC in https://github.com/JuliaLang/julia/pull/48924

Full Changelog: https://github.com/JuliaLang/julia/compare/v1.9.0-beta4...v1.9.0-rc1","What's Changed
Backports for 1.9.0-rc1 by @KristofferC in link
set VERSION to 1.9.0-rc1 by @KristofferC in link
Full Changelog: link"
5,"What's Changed

Backports for Julia 1.9.0-beta4 by @KristofferC in https://github.com/JuliaLang/julia/pull/48311
set VERSION to 1.9.0-beta4 by @KristofferC in https://github.com/JuliaLang/julia/pull/48574

Full Changelog: https://github.com/JuliaLang/julia/compare/v1.9.0-beta3...v1.9.0-beta4","What's Changed
Backports for Julia 1.9.0-beta4 by @KristofferC in link
set VERSION to 1.9.0-beta4 by @KristofferC in link
Full Changelog: link"
6,Full Changelog: https://github.com/JuliaLang/julia/compare/v1.9.0-beta2...v1.9.0-beta3,Full Changelog: link
7,"What's Changed

Backports for Julia 1.8.5 by @KristofferC in https://github.com/JuliaLang/julia/pull/48011
release-1.8: set VERSION to 1.8.5 by @KristofferC in https://github.com/JuliaLang/julia/pull/48132

Full Changelog: https://github.com/JuliaLang/julia/compare/v1.8.4...v1.8.5","What's Changed
Backports for Julia 1.8.5 by @KristofferC in link
release-1.8: set VERSION to 1.8.5 by @KristofferC in link
Full Changelog: link"
8,"What's Changed

Backports for 1.9.0-beta2 by @KristofferC in https://github.com/JuliaLang/julia/pull/48026
set VERSION to 1.9.0-beta2 by @KristofferC in https://github.com/JuliaLang/julia/pull/48034

Full Changelog: https://github.com/JuliaLang/julia/compare/v1.9.0-beta1...v1.9.0-beta2","What's Changed
Backports for 1.9.0-beta2 by @KristofferC in link
set VERSION to 1.9.0-beta2 by @KristofferC in link
Full Changelog: link"
9,"What's Changed

release-1.9: Backports for julia 1.9.0-alpha2 / 1.9.0-beta1 by @KristofferC in https://github.com/JuliaLang/julia/pull/47602
release-1.9: set VERSION to 1.9.0-beta1 by @KristofferC in https://github.com/JuliaLang/julia/pull/48013

Full Changelog: https://github.com/JuliaLang/julia/compare/v1.9.0-alpha1...v1.9.0-beta1","What's Changed
release-1.9: Backports for julia 1.9.0-alpha2 / 1.9.0-beta1 by @KristofferC in link
release-1.9: set VERSION to 1.9.0-beta1 by @KristofferC in link
Full Changelog: link"
10,,
11,"This is the first alpha pre-release in the 1.9 release series.
Please note that the full source tarball, available as julia-*-full.tar.gz for other releases, is not available for this release.","This is the first alpha pre-release in the 1.9 release series.
Please note that the full source tarball, available as julia-*-full.tar.gz for other releases, is not available for this release."
12,This is the third patch release in the 1.8 series of releases.,This is the third patch release in the 1.8 series of releases.
13,This is the second patch release in the 1.8 series of releases.,This is the second patch release in the 1.8 series of releases.
14,This is the first patch release in the 1.8 series of releases.,This is the first patch release in the 1.8 series of releases.
15,"This is Julia version 1.8.0, the eighth minor release in the 1.x series of releases.
Release notes: https://github.com/JuliaLang/julia/tree/v1.8.0/NEWS.md","This is Julia version 1.8.0, the eighth minor release in the 1.x series of releases.
Release notes: link"
16,This is the fourth release candidate for the upcoming stable version 1.8.0.,This is the fourth release candidate for the upcoming stable version 1.8.0.
17,This is the seventh patch release in the 1.6 LTS series of releases.,This is the seventh patch release in the 1.6 LTS series of releases.
18,This is the third release candidate for the upcoming stable version 1.8.0.,This is the third release candidate for the upcoming stable version 1.8.0.
19,This is the first release candidate for the upcoming stable version 1.8.0.,This is the first release candidate for the upcoming stable version 1.8.0.
20,This is the third patch release in the 1.7 series of releases.,This is the third patch release in the 1.7 series of releases.
