Index,Message,Description,Message Abstract,Description Abstract
1,docs: adjust base image to ubuntu20.04 (#17846),,docs: adjust base image to ubuntu20.04 (#17846),
2,"Update rich requirement from <=13.0.1,>=12.3.0 to >=12.3.0,<=13.4.2 in /requirements (#17834)",Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,"Update rich requirement from <=13.0.1,>=12.3.0 to >=12.3.0,<=13.4.2 in /requirements (#17834)",Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
3,bump starlette & fastapi req. (#17615),,bump starlette & fastapi req. (#17615),
4,"Update redis requirement from <=4.2.4,>=4.0.1 to >=4.0.1,<=4.5.5 in /requirements (#17751)",Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,"Update redis requirement from <=4.2.4,>=4.0.1 to >=4.0.1,<=4.5.5 in /requirements (#17751)",Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
5,Update websocket-client requirement from <1.5.2 to <1.5.3 in /requirements (#17752),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,Update websocket-client requirement from <1.5.2 to <1.5.3 in /requirements (#17752),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
6,"Update panel requirement from <=0.13.1,>=0.12.7 to >=0.12.7,<=1.0.2 in /requirements (#17675)",Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Jirka Borovec 6035284+Borda@users.noreply.github.com,"Update panel requirement from <=0.13.1,>=0.12.7 to >=0.12.7,<=1.0.2 in /requirements (#17675)",Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Jirka Borovec 6035284+Borda@users.noreply.github.com
7,Update urllib3 requirement from <=1.26.13 to <=2.0.2 in /requirements (#17753),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,Update urllib3 requirement from <=1.26.13 to <=2.0.2 in /requirements (#17753),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
8,Bump vite from 2.9.13 to 2.9.16 in /src/lightning/app/cli/react-ui-template/ui (#17760),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,Bump vite from 2.9.13 to 2.9.16 in /src/lightning/app/cli/react-ui-template/ui (#17760),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
9,Remove automatic sharding support with Fabric.run or fabric.launch(fn) (#17832),Co-authored-by: Jirka Borovec 6035284+Borda@users.noreply.github.com,Remove automatic sharding support with Fabric.run or fabric.launch(fn) (#17832),Co-authored-by: Jirka Borovec 6035284+Borda@users.noreply.github.com
10,Document tensor shape requirements in all_gather (#17816),,Document tensor shape requirements in all_gather (#17816),
11,ci: hotfix for doctests (#17841),,ci: hotfix for doctests (#17841),
12,Adding test for legacy checkpoint created with 2.0.3 (#17778),Co-authored-by: Borda Borda@users.noreply.github.com,Adding test for legacy checkpoint created with 2.0.3 (#17778),Co-authored-by: Borda Borda@users.noreply.github.com
13,Bump playwright from 1.32.1 to 1.35.0 in /requirements (#17835),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Jirka jirka.borovec@seznam.cz,Bump playwright from 1.32.1 to 1.35.0 in /requirements (#17835),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Jirka jirka.borovec@seznam.cz
14,Update onnxruntime requirement from <1.14.0 to <1.16.0 in /requirements (#17838),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,Update onnxruntime requirement from <1.14.0 to <1.16.0 in /requirements (#17838),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
15,docs: bump sphinx ver. (#17824),  docs: bump sphinx ver.   myst-parser   myst-parser   myst-parser   6.2 ,docs: bump sphinx ver. (#17824),docs: bump sphinx ver. myst-parser myst-parser myst-parser 6.2
16,"Update myst-parser requirement from <1.0.0,>=0.18.1 to >=0.18.1,<3.0.0 in /requirements (#17839)",Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,"Update myst-parser requirement from <1.0.0,>=0.18.1 to >=0.18.1,<3.0.0 in /requirements (#17839)",Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
