Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
docs: adjust base image to ubuntu20.04 (#17846),0.33005488,    # 2: Convert the image into a PIL Image to bytes and encode it with base64,,0
"Update rich requirement from <=13.0.1,>=12.3.0 to >=12.3.0,<=13.4.2 in /requirements (#17834)",0.56137323,Improved exception message if rich version is less than 10.2.2 (#10839),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
bump starlette & fastapi req. (#17615),0.4002626,"@awaelchli, @borda, @carmocca, @kaushikb11, @tchaton",,0
"Update redis requirement from <=4.2.4,>=4.0.1 to >=4.0.1,<=4.5.5 in /requirements (#17751)",0.4061278,Setup: added requirement freeze for the next major version (#14480),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Update websocket-client requirement from <1.5.2 to <1.5.3 in /requirements (#17752),0.38697737,"    version=""0.0.1"",",Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
"Update panel requirement from <=0.13.1,>=0.12.7 to >=0.12.7,<=1.0.2 in /requirements (#17675)",0.49098724,Setup: added requirement freeze for the next major version (#14480),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Jirka Borovec 6035284+Borda@users.noreply.github.com,0
Update urllib3 requirement from <=1.26.13 to <=2.0.2 in /requirements (#17753),0.5014738,Add missing python-multipart dependency (#17244),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Bump vite from 2.9.13 to 2.9.16 in /src/lightning/app/cli/react-ui-template/ui (#17760),0.5318257,- Removed the deprecated `LightningCLI` arguments ([#16380](https://github.com/Lightning-AI/lightning/pull/16380)),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Remove automatic sharding support with Fabric.run or fabric.launch(fn) (#17832),0.61099494,The Fabric.run() method is no longer abstract (#14992),Co-authored-by: Jirka Borovec 6035284+Borda@users.noreply.github.com,0
Document tensor shape requirements in all_gather (#17816),0.6693094,Auto convert tensors to contiguous format when gather_all (#4907),,0
ci: hotfix for doctests (#17841),0.5313719,The point of this release is more bug fixes ahead of v 1.0.0. We now have CI tests on TPU thanks to @zcain117 from Google! :slightly_smiling_face:,,0
Adding test for legacy checkpoint created with 2.0.3 (#17778),0.64640766,Removed deprecated checkpoint argument filepath (#5321),Co-authored-by: Borda Borda@users.noreply.github.com,0
Bump playwright from 1.32.1 to 1.35.0 in /requirements (#17835),0.41049296,Setup: added requirement freeze for the next major version (#14480),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Jirka jirka.borovec@seznam.cz,0
Update onnxruntime requirement from <1.14.0 to <1.16.0 in /requirements (#17838),0.48160142,Setup: added requirement freeze for the next major version (#14480),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
docs: bump sphinx ver. (#17824),0.58542365,Pinned sphinx-autodoc-typehints with <v1.15 (#11400),  docs: bump sphinx ver.   myst-parser   myst-parser   myst-parser   6.2 ,0
"Update myst-parser requirement from <1.0.0,>=0.18.1 to >=0.18.1,<3.0.0 in /requirements (#17839)",0.5295448,Parsed local package versions (#13933),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Update ipython[all] requirement from <8.7.1 to <8.14.1 in /requirements (#17837),0.5499615,Add missing python-multipart dependency (#17244),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
"Update sphinx-copybutton requirement from <=0.5.0,>=0.3 to >=0.3,<=0.5.2 in /requirements (#17836)",0.6413437,Pinned sphinx-autodoc-typehints with <v1.15 (#11400),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
