Index,Message,Description
1,Support F38 [VPNLINUX-584],
2,Merge branch 'fix/VPNLINUX-533-move-prod-client-to-v3-folder' into 'develop',Setup new path to CI config and remove F36 references [VPNLINUX-533] See merge request ProtonVPN/linux/v3/linux-app!109
3,Setup new path to CI config and remove F36 references [VPNLINUX-533],
4,Merge branch 'fix/VPNLINUX-425-raise-invalid-session-when-api-fails-with-invalid-session' into 'develop',"If at any point a request is made with an invalid session, logout the user [VPNLINUX-425]. See merge request ProtonVPN/linux/linux-app!108"
5,"If at any point a request is made with an invalid session, logout the user [VPNLINUX-425].",
6,Merge branch 'feature/drop-f34-35-and-add-f37' into 'develop',Drop F34-35 and add F37 [VPNLINUX-441] See merge request ProtonVPN/linux/linux-app!107
7,Drop F34-35 and add F37 [VPNLINUX-441],
8,Merge branch 'release-1.11.0-2' into 'develop',Release 1.11.0 2 See merge request ProtonVPN/linux/linux-app!106
9,Stop displaying new brand dialog on new login [VPNLINUX-431],
10,Remove leftovers,
11,Fix crash when attempting to reach API while connection is running,
12,Do not reset username/password if login has failed,
13,Fix crash occuring on Ubuntu 20.04 and simillar distros,
14,Merge branch 'fix/VPNLINUX-418-refresh-logic' into 'develop',Inform user if session is invalid and logout if so [VPNLINUX-425] See merge request ProtonVPN/linux/linux-app!105
15,Inform user if session is invalid and logout if so [VPNLINUX-425],
16,Merge branch 'fix/new-brand-dialog-pop-up-during-app-lifetime' into 'develop',Fix bug where new brand dialog would appear multiple times during app lifetime See merge request ProtonVPN/linux/linux-app!104
17,Fix bug where new brand dialog would appear multiple times during app lifetime,
18,Merge branch 'fix/update-icon-for-fedora' into 'develop',Update taskbar icon See merge request ProtonVPN/linux/linux-app!103
19,Update taskbar icon,
20,Merge branch 'fix/run-in-threads' into 'develop',Fix bug for GIO versions lower then 2.63.2 See merge request ProtonVPN/linux/linux-app!102
21,Fix bug for GIO versions lower then 2.63.2,"As per documentation, the run_in_thread was introduced in 2.36 (https://docs.gtk.org/gio/callback.TaskThreadFunc.html), but after discussing with the devs, they actually forgot to implement the attribute for GTask, which meant that if one would try GTask.run_in_thread() on versions between 2.32 and 2.63.1, an exception with AttributeError would occur. Thus a check had to be implemented so that if it identifies and incompatible version, it should fallback to native python threads"
22,Merge branch 'fix/rpm-changelog' into 'develop',Update rpm changelog See merge request ProtonVPN/linux/linux-app!101
23,Update rpm changelog,
24,Merge branch 'fix/VPNLINUX-327-update-strings-and-changelog' into 'develop',Update 'ProtonVPN' to 'Proton VPN' and changelog [VPNLINUX-327] See merge request ProtonVPN/linux/linux-app!100
