Index,Release Note,Release Note Abstract
1,"!! Warning !!
Appium Desktop is unsupported, no longer maintained, and has known security vulnerabilities. It is advised not to use it at all. See the README for more information. Use at your own risk.
Changelog

Fixed signature issue in v1.22.3.

No other changes in the functionality level.","!! Warning !!
Appium Desktop is unsupported, no longer maintained, and has known security vulnerabilities. It is advised not to use it at all. See the README for more information. Use at your own risk.
Changelog
Fixed signature issue in v1.22.3.
No other changes in the functionality level."
2,"Please use https://github.com/appium/appium-desktop/releases/tag/v1.22.3-4 to avoid codesign problem.

bump the embedded appium version to 1.22.3

Note: On Windows environment, it might get a warning as https://github.com/appium/appium-desktop/issues/1995 . Then, please uninstall the old one and re-install the new one.  If you got a JS error on macOS 12.3, please try https://github.com/appium/appium-desktop#installing-on-macos out, especially the codesign.","Please use link to avoid codesign problem.
bump the embedded appium version to 1.22.3
Note: On Windows environment, it might get a warning as link . Then, please uninstall the old one and re-install the new one.  If you got a JS error on macOS 12.3, please try link out, especially the codesign."
3,"
bump the embedded appium version to 1.22.2
",bump the embedded appium version to 1.22.2
4,"Since this version, please use https://github.com/appium/appium-inspector as an inspector.

Moved the inspector feature (New session windows section) to https://github.com/appium/appium-inspector
Bump embedded Appium version to 1.22.0
The version still expects to have /wd/hub prefix as Remote Path


","Since this version, please use link as an inspector.
Moved the inspector feature (New session windows section) to link
Bump embedded Appium version to 1.22.0
The version still expects to have /wd/hub prefix as Remote Path"
5,"this is a patch release for https://github.com/appium/appium-desktop/pull/1906. This does not include Appium 1.22.0 stuff.
Please refer to https://github.com/appium/appium-inspector for Appium 1.22 and newer versions.","this is a patch release for link. This does not include Appium 1.22.0 stuff.
Please refer to link for Appium 1.22 and newer versions."
6,"
Bump Appium version to 1.21.0
",Bump Appium version to 1.21.0
7,"
Feat: add UA in the header like appium-inspector/version
(Browserstack) Feat: add sessionName in the attach to session dropdown #1694
Fix: request to remote server not sent in case of fresh installation https://github.com/appium/appium-desktop/pull/1732
Fix: stale session ids being displayed in the attach to session dropdown #1727
Fix: attached sessions getting timeout due to inactivity #1726
","Feat: add UA in the header like appium-inspector/version
(Browserstack) Feat: add sessionName in the attach to session dropdown #1694
Fix: request to remote server not sent in case of fresh installation link
Fix: stale session ids being displayed in the attach to session dropdown #1727
Fix: attached sessions getting timeout due to inactivity #1726"
8,"
fix: getCurrentSessions for cloud providers using Basic Auth https://github.com/appium/appium-desktop/pull/1693


The base branch is 1.20.2","fix: getCurrentSessions for cloud providers using Basic Auth link
The base branch is 1.20.2"
9,"
Appium 1.20.2 base
https://github.com/appium/appium-desktop/pull/1666


The base branch is 1.20.0","Appium 1.20.2 base
link
The base branch is 1.20.0"
10,"
Bump Appium version to 1.20.0
Update translations

No changes except for the above since AD 1.19.1","Bump Appium version to 1.20.0
Update translations
No changes except for the above since AD 1.19.1"
