Index,Message,Description,Message Abstract,Description Abstract
1,add sunset message,,add sunset message,
2,disable slack notification again,,disable slack notification again,
3,disable slack notification,,disable slack notification,
4,disable slack notification,,disable slack notification,
5,Merge pull request #541 from atom/fix-stable-ci-failure,Fixes CI failure on stable,Merge pull request #541 from atom/fix-stable-ci-failure,Fixes CI failure on stable
6,fixed assertions,,fixed assertions,
7,Merge pull request #534 from atom/failing-test-beta,Fixes failing CI build,Merge pull request #534 from atom/failing-test-beta,Fixes failing CI build
8,rm ;,,rm ;,
9,added atom beta to conditional assertion,,added atom beta to conditional assertion,
10,added conditional assertions,,added conditional assertions,
11,commented unused var,,commented unused var,
12,removed conditional assertions,,removed conditional assertions,
13,Merge pull request #515 from atom/failing-build-master,Failing build on Dev channel,Merge pull request #515 from atom/failing-build-master,Failing build on Dev channel
14,conditionaly implemented assertions,,conditionaly implemented assertions,
15,Merge pull request #471 from atom/dependabot/npm_and_yarn/lodash-4.17.15,Bump lodash from 4.17.10 to 4.17.15,Merge pull request #471 from atom/dependabot/npm_and_yarn/lodash-4.17.15,Bump lodash from 4.17.10 to 4.17.15
16,Merge pull request #470 from atom/dependabot/npm_and_yarn/js-yaml-3.13.1,Bump js-yaml from 3.12.0 to 3.13.1,Merge pull request #470 from atom/dependabot/npm_and_yarn/js-yaml-3.13.1,Bump js-yaml from 3.12.0 to 3.13.1
17,Bump lodash from 4.17.10 to 4.17.15,Bumps lodash from 4.17.10 to 4.17.15. - Release notes - Commits Signed-off-by: dependabot[bot] support@github.com,Bump lodash from 4.17.10 to 4.17.15,Bumps lodash from 4.17.10 to 4.17.15. - Release notes - Commits Signed-off-by: dependabot[bot] support@github.com
18,Bump js-yaml from 3.12.0 to 3.13.1,Bumps js-yaml from 3.12.0 to 3.13.1. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com,Bump js-yaml from 3.12.0 to 3.13.1,Bumps js-yaml from 3.12.0 to 3.13.1. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com
19,Merge pull request #463 from atom/fix-dev-build,Fix tests that run against Atom dev channel by upgrading to Ubuntu 16,Merge pull request #463 from atom/fix-dev-build,Fix tests that run against Atom dev channel by upgrading to Ubuntu 16
20,Try Xenial on Travis,,Try Xenial on Travis,
21,Prepare 0.13.4 release,,Prepare 0.13.4 release,
22,Merge pull request #453 from atom/upgrade-teletype-server,⬆️ @atom/teletype-server@0.18.2,Merge pull request #453 from atom/upgrade-teletype-server,⬆️ @atom/teletype-server@0.18.2
23,⬆️ @atom/teletype-server@0.18.2,,⬆️ @atom/teletype-server@0.18.2,
24,Merge pull request #429 from atom/aw/lock-it-up,Include package-lock.json,Merge pull request #429 from atom/aw/lock-it-up,Include package-lock.json
25,Include package-lock.json,,Include package-lock.json,
26,Prepare 0.13.3 release,,Prepare 0.13.3 release,
27,:arrow_up: teletype-client@0.38.4,Fixes https://github.com/atom/teletype/issues/382,:arrow_up: teletype-client@0.38.4,Fixes link
28,:arrow_up: teletype-client@0.38.3,,:arrow_up: teletype-client@0.38.3,
29,Prepare 0.13.2 release,,Prepare 0.13.2 release,
30,:arrow_up: teletype-client@0.38.2,Closes #368,:arrow_up: teletype-client@0.38.2,Closes #368
31,Prepare 0.13.1 release,,Prepare 0.13.1 release,
32,:arrow_up: teletype-client@0.38.1,,:arrow_up: teletype-client@0.38.1,
33,Prepare 0.13.0 release,,Prepare 0.13.0 release,
34,Merge pull request #344 from atom/add-rfc-for-streamlining-collaboration-setup,Add RFC for streamlining collaboration set-up,Merge pull request #344 from atom/add-rfc-for-streamlining-collaboration-setup,Add RFC for streamlining collaboration set-up
35,Include ability to remove recent collaborator,/xref https://github.com/atom/teletype/pull/344#discussion_r182509071,Include ability to remove recent collaborator,/xref link
36,Merge pull request #365 from atom/use-cursor-color-for-avatar-borders,Add border around avatar to identify their cursor color,Merge pull request #365 from atom/use-cursor-color-for-avatar-borders,Add border around avatar to identify their cursor color
37,Be more lenient (for consistency),,Be more lenient (for consistency),
38,:arrow_up: teletype-client@0.38.0,,:arrow_up: teletype-client@0.38.0,
39,✅ Test rendering of cursor colors for site position avatars,,✅ Test rendering of cursor colors for site position avatars,
40,:art: Refactor site position avatar tests,,:art: Refactor site position avatar tests,
41,:art: Refactor site colors,,:art: Refactor site colors,
42,Move icon,To make it look better with a site border,Move icon,To make it look better with a site border
43,Show colored border around each site avatar matching site's cursor color,"Whenever Teletype is displaying a cursor for a remote participant, enhance the SitePositionsComponent to show a corresponding border around that site's avatar, with the border color matching the site's cursor color.",Show colored border around each site avatar matching site's cursor color,"Whenever Teletype is displaying a cursor for a remote participant, enhance the SitePositionsComponent to show a corresponding border around that site's avatar, with the border color matching the site's cursor color."
44,:arrow_up: teletype-client,,:arrow_up: teletype-client,
45,Resolve deprecation warning re: undo: 'skip' option,Refs: https://github.com/atom/teletype/commit/9d864c925cdb1370baa762b81d9ac6cac2b36c25,Resolve deprecation warning re: undo: 'skip' option,Refs: link
46,Resolve question re: invitations in multiple Atom windows,,Resolve question re: invitations in multiple Atom windows,
47,Remove resolved question re: location of collaborator lists,The mockups now depict the location of the collaborator lists. /xref https://github.com/atom/teletype/pull/344#pullrequestreview-112376121,Remove resolved question re: location of collaborator lists,The mockups now depict the location of the collaborator lists. /xref link
48,Update and add more mockups,,Update and add more mockups,
49,Update mockups,,Update mockups,
50,Add mockups,,Add mockups,
51,:art:,,:art:,
52,:art:,,:art:,
53,"Document ""change permission"" alternative","Capture the ""change permission"" alternative that @simurai described in https://github.com/atom/teletype/pull/344#issuecomment-379157889.","Document ""change permission"" alternative","Capture the ""change permission"" alternative that @simurai described in link."
54,Improve UX when inviting mutually-trusted collaborator,"Update RFC to resolve the following drawback:  Imagine you code together every day with a particular coworker. When you add them as a trusted collaborator, and you invite them to join your portal, and they don't join right away, you can't tell if it's because they're not online, or if they declined your invitation, or if they didn't see your invitation, or if they don't have you listed as a trusted collaborator. If you were expecting them to join your portal, you have to reach out to them via some other communication medium to find out why they haven't joined.  When you opt-in to adding someone as a trusted collaborator, Teletype will inform you that the person will be able to see whether you're online and will be able to send you in-Atom portal invitations. Because you're opting to mark them as a trusted collaborator, Teletype will also inform them when if you decline an invitation.",Improve UX when inviting mutually-trusted collaborator,"Update RFC to resolve the following drawback: Imagine you code together every day with a particular coworker. When you add them as a trusted collaborator, and you invite them to join your portal, and they don't join right away, you can't tell if it's because they're not online, or if they declined your invitation, or if they didn't see your invitation, or if they don't have you listed as a trusted collaborator. If you were expecting them to join your portal, you have to reach out to them via some other communication medium to find out why they haven't joined. When you opt-in to adding someone as a trusted collaborator, Teletype will inform you that the person will be able to see whether you're online and will be able to send you in-Atom portal invitations. Because you're opting to mark them as a trusted collaborator, Teletype will also inform them when if you decline an invitation."
55,Remove words,,Remove words,
56,Merge branch 'master' into add-rfc-for-streamlining-collaboration-setup,,Merge branch 'master' into add-rfc-for-streamlining-collaboration-setup,
57,Add RFC-003 (from #344),,Add RFC-003 (from #344),
58,Prepare 0.12.2 release,,Prepare 0.12.2 release,
59,:arrow_up: teletype-client@0.37.2,Fixes #360,:arrow_up: teletype-client@0.37.2,Fixes #360
60,Merge pull request #363 from atom/sm-fix-click-through,Fix clicking on lines next to the avatars,Merge pull request #363 from atom/sm-fix-click-through,Fix clicking on lines next to the avatars
61,Make SitePositionsComponent invisible to clicks,,Make SitePositionsComponent invisible to clicks,
62,Prepare 0.12.1 release,,Prepare 0.12.1 release,
63,:shirt:,Co-authored-by: Antonio Scandurra as-cii@github.com,:shirt:,Co-authored-by: Antonio Scandurra as-cii@github.com
64,Teach getGuestPortalBindings to exclude portals that could not be joined,Fixes #357 Co-authored-by: Antonio Scandurra as-cii@github.com,Teach getGuestPortalBindings to exclude portals that could not be joined,Fixes #357 Co-authored-by: Antonio Scandurra as-cii@github.com
65,Merge pull request #358 from atom/friendlier-return-value-for-get-remote-editor,Return empty list of editors if PortalBinderManager is unavailable,Merge pull request #358 from atom/friendlier-return-value-for-get-remote-editor,Return empty list of editors if PortalBinderManager is unavailable
66,Return empty list of editors if PortalBinderManager is unavailable,Refs: https://github.com/atom/fuzzy-finder/pull/343,Return empty list of editors if PortalBinderManager is unavailable,Refs: link
67,Merge pull request #356 from CaptainJohnyAppleSeed/patch-2,Update Workflow,Merge pull request #356 from CaptainJohnyAppleSeed/patch-2,Update Workflow
68,Tweak doc formatting,,Tweak doc formatting,
69,Prepare 0.12.0 release,,Prepare 0.12.0 release,
70,:art:,,:art:,
71,Update Workflow,Reflect updated workflow in atom/teletype-client#57 and atom/teletype#353 Refs: atom/teletype#352,Update Workflow,Reflect updated workflow in atom/teletype-client#57 and atom/teletype#353 Refs: atom/teletype#352
72,Merge pull request #353 from odoyle71/mod,[Code Submission] RFC-002: Sync Buffer Path Changes from Host To Guest,Merge pull request #353 from odoyle71/mod,[Code Submission] RFC-002: Sync Buffer Path Changes from Host To Guest
73,"Update status of RFC-002 to ""Implemented""",,"Update status of RFC-002 to ""Implemented""",
74,Use FakeBufferProxy in editor-binding-test.js,,Use FakeBufferProxy in editor-binding-test.js,
75,:arrow_up teletype-client@0.37.0,,:arrow_up teletype-client@0.37.0,
76,:shirt:,Co-authored-by: Antonio Scandurra as-cii@github.com,:shirt:,Co-authored-by: Antonio Scandurra as-cii@github.com
77,Use FakeBufferProxy in FakePortal::createBufferProxy,Co-authored-by: Antonio Scandurra as-cii@github.com,Use FakeBufferProxy in FakePortal::createBufferProxy,Co-authored-by: Antonio Scandurra as-cii@github.com
78,Remove Demeter violation in monkeyPatchEditorMethods,Co-authored-by: Antonio Scandurra as-cii@github.com,Remove Demeter violation in monkeyPatchEditorMethods,Co-authored-by: Antonio Scandurra as-cii@github.com
79,:art: Inline BufferFile and rename to RemoteFile,Co-authored-by: Antonio Scandurra as-cii@github.com,:art: Inline BufferFile and rename to RemoteFile,Co-authored-by: Antonio Scandurra as-cii@github.com
80,:art:,Co-authored-by: Antonio Scandurra as-cii@github.com,:art:,Co-authored-by: Antonio Scandurra as-cii@github.com
81,:fire: Remove unimplemented/unused function,Co-authored-by: Antonio Scandurra as-cii@github.com,:fire: Remove unimplemented/unused function,Co-authored-by: Antonio Scandurra as-cii@github.com
82,Dispose BufferFile when disposing BufferBinding,Co-authored-by: Antonio Scandurra as-cii@github.com,Dispose BufferFile when disposing BufferBinding,Co-authored-by: Antonio Scandurra as-cii@github.com
83,:art: Inline method,Co-authored-by: Antonio Scandurra as-cii@github.com,:art: Inline method,Co-authored-by: Antonio Scandurra as-cii@github.com
84,:art: Inline method,Co-authored-by: Antonio Scandurra as-cii@github.com,:art: Inline method,Co-authored-by: Antonio Scandurra as-cii@github.com
85,:art: Rename method,,:art: Rename method,
