Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Update requirements.txt for docs (#7581),0.5048523,Build docs always from the current local version (#7472) (#7475) (7aaddd45a) -- Fabian Braun,,0
fix: create page wizard fails with Asian page titles/unicode slugs (#7565),0.5270811,Unlocalize page and node ids when rendering the page tree in the admin (#7188) (9e3c57946) -- Marco Bonetti,Dynamic unihan decoder selection based on page language Update test fix eslint error add eslint exception for new-cap Update wizards.py (typo fix),0
Merge pull request #7556 from fsbraun/fix/django_dark_mode,0.4801517,Support for Django 4.1 (#7404) (777864af3) -- Fabian Braun,fix: Respect system presets when color scheme (dark mode) is enabled,0
Merge branch 'develop' into fix/django_dark_mode,0.4189513,Remove outdated Django setting SEND_BROKEN_LINK_EMAILS,,0
Merge pull request #7557 from django-cms/dependabot/npm_and_yarn/qs-and-browser-sync-and-body-parser-and-karma-sauce-launcher-6.11.0,0.4852105,add Python 3.11 support for Django CMS (#7422) (3fe1449e6) -- Vinit Kumar,"build: bump qs, browser-sync, body-parser and karma-sauce-launcher",0
"build: bump qs, browser-sync, body-parser and karma-sauce-launcher",0.37877735,add release scripts for develop-4 branch (#7466) (ddbc99a53) -- Fabian Braun,"Bumps qs to 6.11.0 and updates ancestor dependencies qs, browser-sync, body-parser and karma-sauce-launcher. These dependencies need to be updated together. Updates qs from 6.5.2 to 6.11.0 - Changelog - Commits Updates browser-sync from 2.27.7 to 2.29.1 - Release notes - Changelog - Commits Updates body-parser from 1.19.1 to 1.20.2 - Release notes - Changelog - Commits Updates karma-sauce-launcher from 0.3.1 to 4.3.6 - Release notes - Changelog - Commits updated-dependencies: - dependency-name: qs   dependency-type: indirect - dependency-name: browser-sync   dependency-type: direct:development - dependency-name: body-parser   dependency-type: indirect - dependency-name: karma-sauce-launcher   dependency-type: direct:development ... Signed-off-by: dependabot[bot] support@github.com",0
fix: require Django >= 3.2 (#7562),0.6523198,add django 4.2 support (#7481) (5478faa5c) -- Vinit Kumar,,0
Remove unwanted changes to make-release,0.39890137,add release scripts for develop-4 branch (#7466) (ddbc99a53) ,,0
build: bump django from 3.2 to 3.2.19 in /test_requirements (#7551),0.6027134,Pin django-treebeard version to < 4.5 required for django CMS 3.8,build: bump django from 3.2 to 3.2.19 in /test_requirements Bumps django from 3.2 to 3.2.19. - Commits updated-dependencies: - dependency-name: django   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com Update django-2.2.txt Update django-3.1.txt Update django-3.2.txt Update django-4.0.txt Update django-4.1.txt Update django-4.2.txt Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Fabian Braun fsbraun@gmx.de,0
fxi tpyos,0.23371708,fsbraun,,0
"Update docs, avoid setting personal preference to system preset",0.45395732,Build docs always from the current local version (#7472) (#7475) (7aaddd45a) -- Fabian Braun,,0
Fix: respect pre-set,0.2601846,Changing color scheme resets session settings to defaults (#7407) (fcfe77f63) -- Fabian Braun,,0
Merge branch 'django-cms:develop' into develop,0.4967922,Pin django-treebeard version to < 4.5 required for django CMS 3.8,,0
