Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,Re-alphabetize option/parameter docs,0.44907308,Automatically insert ElectronAsarIntegrity into Info.plist files (#1279),,0
2,Longer test timeout on Mac for win32 tests,0.3952254,Usage docs for win32metadata.application-manifest and win32metadata.requested-execution-level,Bumps sinon from 15.0.3 to 15.0.4. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: sinon   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
3,Merge pull request #893 from electron-userland/mojave-dark-mode,0.56705785,refactor: migrate from electron-notarize to @electron/notarize by @MarshallOfSound in https://github.com/electron/electron-packager/pull/1433,"Bumps @electron/asar from 3.2.3 to 3.2.4. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: ""@electron/asar""   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
4,Travis: force install NPM 5.1.0,0.44166672,Do not error out immediately if a download.mirror is specified and an unofficial arch/platform,Bumps fs-extra from 11.1.0 to 11.1.1. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: fs-extra   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
5,Merge pull request #534 from electron-userland/list-option-type-checking,0.53091425,electronVersion (--electron-version via CLI) option (#547),Bumps actions/checkout from 3.3.0 to 3.5.2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: actions/checkout   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
6,Replace copyObject with object-assign,0.4143156,"Refactor to use Promises internally. This has the side effect of somewhat parallelizing building two or more targets at once and/or two or more functions for a given hook, via Promise.all (#753)",,0
7,docs: fix require statement for hooks examples,0.49466377,Utility function to execute hooks serially (#814),Bumps sinon from 15.0.1 to 15.0.3. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: sinon   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
8,Added API section to readme,0.6383645,API documentation moved from readme.md to docs/api.md (#296),,0
9,Fix regression with the asar code,0.48201543,"Upgrade asar to ^1.0.0, which removes a vulnerable transitive dependency (#952)",Also adds a status badge for the “electron-nightly canary” scheduled workflow,0
10,Rename & move normalizeExt into the App class,0.5021527,Option to set the executable name separate from the app name (#758),Bumps eslint-plugin-import from 2.26.0 to 2.27.5. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: eslint-plugin-import   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
11,Merge pull request #46 from zaggino/zaggino/fix-win,0.4905944,"win32metadata option (#331, #463)",Bumps sinon from 14.0.1 to 15.0.1. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: sinon   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
12,build(deps-dev): bump sinon from 10.0.1 to 11.0.0 (#1243),0.59743154,Bump got to 2.0.0 (#1397),Bumps fs-extra from 10.1.0 to 11.1.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: fs-extra   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
13,Prune user-namespaced modules,0.93649006,Prune user-namespaced modules (#889),Bumps eslint-plugin-ava from 12.0.0 to 13.2.0. - Release notes - Commits  updated-dependencies: - dependency-name: eslint-plugin-ava   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
14,Upgrade yargs-parser to ^10.0.0,0.77362084,Switch from minimist to yargs-parser (#732),Bumps http-cache-semantics from 4.1.0 to 4.1.1. - Release notes - Commits  updated-dependencies: - dependency-name: http-cache-semantics   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
15,Merge pull request #807 from malept/login-helper,0.45847842,Don't handle EH/NP Helpers if they don't exist (Backport of #894),,0
16,6.0.2,0.6276169,  is 1.8.2-beta.5 or above (#800),,0
17,test(macOS): disable win32 target testing (#1078),0.5277175,win32metadata.requested-execution-level option (#610),,0
18,Cleanup metadata functions,0.49417147,Retrieving metadata from package.json by upgrading get-package-info (#505),"Bumps @electron/asar from 3.2.2 to 3.2.3. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: ""@electron/asar""   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
19,docs: add electron-notarize to DEBUG list,0.6664763,Compatibility with electron-notarize@^1.1.0 (#1278),Bumps json5 from 1.0.1 to 1.0.2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: json5   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
20,Docs: clarify that ignore=Function does not use default ignores,0.55400074,Allow the ignore parameter to take a function (#247),"Bumps @electron/osx-sign from 1.0.1 to 1.0.4. - Release notes - Commits  updated-dependencies: - dependency-name: ""@electron/osx-sign""   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
21,Merge pull request #678 from electron-userland/no-bin,0.569645,refactor: migrate from electron-notarize to @electron/notarize by @MarshallOfSound in https://github.com/electron/electron-packager/pull/1433,,0
22,Merge pull request #580 from j-f1/camel-case-api,0.46139196,derefSymlinks option (#410),,0
23,"Split up issue template into bugs/feature requests/""questions"" (#971)",0.44807422,Basic debugging messages via the debug module - see CONTRIBUTING.md for usage (#433),"Bumps @electron/universal from 1.3.3 to 1.3.4. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: ""@electron/universal""   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
24,fix: send the properly formatted options from the CLI to electron-osx-sign (#1047),0.97069114,Send the properly formatted options from the CLI to electron-osx-sign (#1047),,1
25,Host arch utilities moved to electron-download,0.89349693,"Host arch utilities moved to electron-download. This is not a breaking change, as the existing API",  chore: update galactus   build: add lockfile ,1
26,Upgrade to asar@0.12.3,0.65051216,"Upgrade asar to ^1.0.0, which removes a vulnerable transitive dependency (#952)",,0
27,Remove duplicate isPlatformMac function,0.4670261,Removed,,0
28,Update tempy requirement from ^0.2.1 to ^0.3.0 (#980),0.5158756,  1.8.0 or above (#711),,0
29,feat: add new afterFinalizePackageTargets hook (#1437),0.84271127,feat: add new afterFinalizePackageTargets hook by @MarshallOfSound in https://github.com/electron/electron-packager/pull/1437,,1
30,Merge pull request #247 from paulcbetts/ignore-fn,0.5099986,derefSymlinks option (#410),,0
31,chore: update electron version in v6 tests,0.654738,Upgrade to electron-osx-sign 0.4.x (#384),  feat: add new afterFinalizeTargetMatrix hook   chore: rename to target calculation hook   chore: update NEWS ,0
