Index,Release Note,Release Note Abstract
1,"What's Changed

fix: allow packaging twice simultaneously by @MarshallOfSound in https://github.com/electron/electron-packager/pull/1439

Full Changelog: https://github.com/electron/electron-packager/compare/v17.1.0...v17.1.1","What's Changed
fix: allow packaging twice simultaneously by @MarshallOfSound in link
Full Changelog: link"
2,"What's Changed

refactor: migrate from electron-notarize to @electron/notarize by @MarshallOfSound in https://github.com/electron/electron-packager/pull/1433
feat: New lifecycle hooks: afterAsar, afterComplete, afterCopyExtraResources, beforeAsar, beforeCopy, beforeCopyExtraResources by @erikian in https://github.com/electron/electron-packager/pull/1297
feat: add new afterFinalizePackageTargets hook by @MarshallOfSound in https://github.com/electron/electron-packager/pull/1437

New Contributors

@erikian made their first contribution in https://github.com/electron/electron-packager/pull/1297

Full Changelog: https://github.com/electron/electron-packager/compare/v17.0.0...v17.1.0","What's Changed
refactor: migrate from electron-notarize to @electron/notarize by @MarshallOfSound in link
feat: New lifecycle hooks: afterAsar, afterComplete, afterCopyExtraResources, beforeAsar, beforeCopy, beforeCopyExtraResources by @erikian in link
feat: add new afterFinalizePackageTargets hook by @MarshallOfSound in link
New Contributors
@erikian made their first contribution in link
Full Changelog: link"
3,"Changed

BREAKING: Replaced electron-osx-sign with @electron/osx-sign.  The accepted properties on the osxSign options object are now slightly different.  Please see the migration guide for more information on these changes. (#1428)
Replaced asar with @electron/asar. The configuration options are unchanged. This migration is purely cosmetic. (#1431)
","Changed
BREAKING: Replaced electron-osx-sign with @electron/osx-sign.  The accepted properties on the osxSign options object are now slightly different.  Please see the migration guide for more information on these changes. (#1428)
Replaced asar with @electron/asar. The configuration options are unchanged. This migration is purely cosmetic. (#1431)"
4,"Fixed

Properly import info logger (#1405)

Added

Node 16 & 18 support (#1399)

Changed

Bump got to 2.0.0 (#1397)

Removed

Node 12 support (#1399)
","Fixed
Properly import info logger (#1405)
Added
Node 16 & 18 support (#1399)
Changed
Bump got to 2.0.0 (#1397)
Removed
Node 12 support (#1399)"
5,"Fixed

Package should not log info on --quiet flag
Ignore node_gyp_bins directory if it exists
","Fixed
Package should not log info on --quiet flag
Ignore node_gyp_bins directory if it exists"
6,"Added

New universal architecture supported when packaging for macOS to generate a universal app
osxUniveral option to allow providing options to @electron/universal when packaging a universal app
","Added
New universal architecture supported when packaging for macOS to generate a universal app
osxUniveral option to allow providing options to @electron/universal when packaging a universal app"
7,"Added

extendHelperInfo option to allow extending helper app Info.plist files (#1233)
Automatically insert ElectronAsarIntegrity into Info.plist files (#1279)

Fixed

Compatibility with electron-notarize@^1.1.0 (#1278)
","Added
extendHelperInfo option to allow extending helper app Info.plist files (#1233)
Automatically insert ElectronAsarIntegrity into Info.plist files (#1279)
Fixed
Compatibility with electron-notarize@^1.1.0 (#1278)"
8,"Added

Bundled app validation to ensure that both package.json and the main entry point exist (#1257)
Support for customizing Windows targets on darwin/arm64 (#1260)
Support for customizing Windows targets on WSL without Wine installed (#1260)
","Added
Bundled app validation to ensure that both package.json and the main entry point exist (#1257)
Support for customizing Windows targets on darwin/arm64 (#1260)
Support for customizing Windows targets on WSL without Wine installed (#1260)"
9,"Added

Upgrade electron-osx-sign to 0.5.0 which adds a new option, entitlementsForFile (#1189)

Fixed

Add package manager lockfiles to default ignore list (#1182)
Allow checking official builds against prerelease versions (#1191)
","Added
Upgrade electron-osx-sign to 0.5.0 which adds a new option, entitlementsForFile (#1189)
Fixed
Add package manager lockfiles to default ignore list (#1182)
Allow checking official builds against prerelease versions (#1191)"
10,"Added

add darwin/arm64 and mas/arm64 as official platform/arch combinations (#1168)

Fixed

TypeScript: ensure OsxNotarizeOptions definition contains credentials (#1167)
","Added
add darwin/arm64 and mas/arm64 as official platform/arch combinations (#1168)
Fixed
TypeScript: ensure OsxNotarizeOptions definition contains credentials (#1167)"
11,"Added

mac: app API key notarization (#1127)
TypeScript definition (#1131)

Changed

Replace cross-zip with extract-zip (#1139)

Removed

Node < 10 support (#1122)
","Added
mac: app API key notarization (#1127)
TypeScript definition (#1131)
Changed
Replace cross-zip with extract-zip (#1139)
Removed
Node < 10 support (#1122)"
