Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
refactor: remove unused InspectableWebContentsView::GetWebView() (#38799),0.64395845,"Removed experimental APIs: BrowserView.{destroy, fromId, fromWebContents, getAllViews} and the id property of BrowserView. #23578 ",,0
chore: bump chromium to 116.0.5833.0 (main) (#38809),0.80282354,Updated Chromium to 116.0.5831.0. #38783 ,chore: bump chromium in DEPS to 116.0.5833.0 chore: update patches 4530656: Add DeviceLoginScreenWebHidAllowDevicesForUrls policy link Split CertDatabase notifications between trust changes and client cert changes link Co-authored-by: electron-roller[bot] 84116207+electron-roller[bot]@users.noreply.github.com Co-authored-by: PatchUp 73610968+patchup[bot]@users.noreply.github.com Co-authored-by: John Kleinschmidt jkleinsc@electronjs.org,1
fix: webContents.print({ silent: true }) not working correctly (#38741),0.64475024,Converted webContents.printToPDF() to return a Promise instead of taking a callback. #16795,fix: webContents.print({ silent: true }) not working correctly,0
refactor: use node scheme imports in spec (#38487),0.5980641,Updated node types version. #33452 (Also in 18),Co-authored-by: Milan Burda miburda@microsoft.com,0
refactor: constexpr lookup tables (#38771),0.3316308,Fix documentation tyop. #14477 ,refactor: use a constexpr lookup table in GetPathConstant() refactor: use a constexpr lookup table in SystemPreferences::GetColor() refactor: use a constexpr lookup table in SimpleURLLoaderWrapper::Create(),0
chore: bump chromium to 116.0.5831.0 (main) (#38784),0.8026691,Updated Chromium to 116.0.5831.0. #38783 ,chore: bump chromium in DEPS to 116.0.5831.0 chore: update patches Co-authored-by: electron-roller[bot] 84116207+electron-roller[bot]@users.noreply.github.com Co-authored-by: John Kleinschmidt jkleinsc@electronjs.org,1
build: update appveyor image to latest version -  e-116.0.5829.0 (#38779),0.6773507,ci: Rename appveyor-override.yml to appveyor.yml (3-0-x). #14558 ,build: update appveyor image to latest version Co-authored-by: jkleinsc jkleinsc@users.noreply.github.com,0
chore: remove unused std includes (#38767),0.6126633,chore: remove unused module. #15924 ,,0
build: update to latest TypeScript (#38763),0.77838147,"Switched to a new TypeScript Definitions generator, which generates more precise definitions. If your TypeScript build fails, this is the likely cause. #18103",,1
fix: preferCSSPageSize error type (#38761),0.5193217,- Fix setting maximum/minimum size overriding minimum/maximum size. #6455,fix: preferCSSPageSize error type,0
fix: asar integration for require('node:child_process') (#38742),0.6929152,- Allow toggling asar support in Node's built-in modules with process.noAsar.,,0
build: update typescript-generator and docs-parser (#38747),0.7577596,"Switched to a new TypeScript Definitions generator, which generates more precise definitions. If your TypeScript build fails, this is the likely cause. #18103",build: update typescript-generator and docs-parser again... build: handle more specific pageSize types,1
build: move chrome_lib_arc to chromium_src/BUILD.gn (#38764),0.6011488,Updated Chromium to 114.0.5735.35. #38320 ,,0
refactor: use compile-time cli arg sets. (#38748),0.5693232,Add ability to set arbitrary arguments in a renderer process. #11850,"We're currently building these on the heap with std::set but this can be a very small compile-time container instead. Marking as 'refactor' rather than 'perf' since this isn't called often, but moving from heap to compile-time is good and using this container makes the code more readable.",0
docs: add missing isSameDocument property to will-frame-navigate event details (#37940),0.6135693,- Add isMainFrame parameter to the did-navigate-in-page event. #6810,Co-authored-by: Milan Burda miburda@microsoft.com,0
build: update appveyor image to latest version  e-116.0.5815.0. (#38739),0.6578882,ci: Rename appveyor-override.yml to appveyor.yml (3-0-x). #14558 ,build: update appveyor image to latest version Co-authored-by: jkleinsc jkleinsc@users.noreply.github.com,0
build: remove enable_osr build flag (#38703),0.5874474,[#12196] fix: Mac build when enable_run_as_node==false,Co-authored-by: Milan Burda miburda@microsoft.com,0
