Index,Message,Description,Message Abstract,Description Abstract
1,fix(vite-plugin): process exit on electron process exit (#3236),,fix(vite-plugin): process exit on electron process exit (#3236),
2,fix(plugin-vite): right time to start (#3220),,fix(plugin-vite): right time to start (#3220),
3,fix(core): silent failures when linking forge dependencies in tests (#3219),,fix(core): silent failures when linking forge dependencies in tests (#3219),
4,fix(template-vite): ignore browser field for isomorphic packages,"Packages like axios have a browser field in package.json. The main process needs to resolve the node module, not the browser module.",fix(template-vite): ignore browser field for isomorphic packages,"Packages like axios have a browser field in package.json. The main process needs to resolve the node module, not the browser module."
5,feat(plugin-vite): auto-update server.port (#3201),,feat(plugin-vite): auto-update server.port (#3201),
6,refactor(publisher-github): use Array.flatMap (#3199),,refactor(publisher-github): use Array.flatMap (#3199),
7,docs(publisher-github): clean up extra backticks (#3207),,docs(publisher-github): clean up extra backticks (#3207),
8,build: rename package.json to avoid dependabot scan (#3216),,build: rename package.json to avoid dependabot scan (#3216),
9,v6.1.1,,v6.1.1,
10,fix: normalize artifact paths in makeResult dryRunResume (#3206),,fix: normalize artifact paths in makeResult dryRunResume (#3206),
11,fix(publisher-s3): Make S3 upload fail non-silently (#3194),Fixes electron/forge#3166 See also: https://github.com/aws/aws-sdk-js-v3/issues/2311,fix(publisher-s3): Make S3 upload fail non-silently (#3194),Fixes electron/forge#3166 See also: link
12,fix(plugin-vite): correctly close vite dev-server (#3202),,fix(plugin-vite): correctly close vite dev-server (#3202),
13,chore: add needed Vite infra details (#3197),,chore: add needed Vite infra details (#3197),
14,v6.1.0,,v6.1.0,
15,build(deps): bump webpack from 5.69.1 to 5.76.0 (#3191),Bumps webpack from 5.69.1 to 5.76.0. - Release notes - Commits  updated-dependencies: - dependency-name: webpack   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,build(deps): bump webpack from 5.69.1 to 5.76.0 (#3191),Bumps webpack from 5.69.1 to 5.76.0. - Release notes - Commits updated-dependencies: - dependency-name: webpack   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
16,fix(plugin-fuses): resetAdHocDarwinSignature rules on Mac (#3190),  fix(plugin-fuses): set resetAdHocDarwinSignature to true on platform=mas when the osxSign config is missing   docs(plugin-fuses): fixed minor typo in the README ,fix(plugin-fuses): resetAdHocDarwinSignature rules on Mac (#3190),fix(plugin-fuses): set resetAdHocDarwinSignature to true on platform=mas when the osxSign config is missing docs(plugin-fuses): fixed minor typo in the README
17,fix(plugin-vite): start Vite error (#3189),  fix: start Vite error   fix(plugin-vite): fs.rm instead fs.rmdir ,fix(plugin-vite): start Vite error (#3189),fix: start Vite error fix(plugin-vite): fs.rm instead fs.rmdir
