Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
v6.2.1,0.69502485,Release 6.0.0 beta.69 by @VerteDinde in link,,0
fix(template): add missing config in plugin (#3253),0.6620662,Config: Changed plugins syntax (#2963),,0
fix(core): properly log invalid plugin configs (#3254),0.91512096,fix(core): properly log invalid plugin configs by @erickzhao in link,,1
v6.2.0,0.70605826,Release 6.0.0 beta.69 by @VerteDinde in link,,1
fix(package): pass user-defined afterComplete hooks to packager (#3123),0.7368624,fix(package): pass missing user-defined hooks to packager by @erikian in link,,1
feat(template): enable asar by default (#3077),0.9388699,feat(template): enable asar by default by @erickzhao in link,,1
build: lint JS in Markdown (#3251),0.48853165,template-typescript-webpack:  lint tsx files by default (#2403) (c2e6c49f),docs: improve local-electron plugin forge.config.js example build(deps): upgrade @electron/lint-roller build: lint JS in Markdown,0
fix(publisher-s3): ensure published files do not overwrite multiple arches (#3108),0.8937074,fix(publisher-s3): ensure published files do not overwrite multiple arches by @MarshallOfSound in link,,1
feat(make): allow async maker configs (#3248),0.9149695,feat(make): allow async maker configs by @erickzhao in link,Co-authored-by: Samuel Attard sam@electronjs.org,1
build(deps): bump vite from 4.1.4 to 4.1.5 (#3245),0.56059736,build(deps): bump json5 from 1.0.1 to 1.0.2 by @dependabot in link,Bumps vite from 4.1.4 to 4.1.5. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: vite   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
build: lint Markdown (#3247),0.58358526,build: actually enable husky/lint-staged by @MarshallOfSound in link,,0
docs: update README status badge (#3244),0.5223292,docs: update release process by @georgexu99 in link,,0
build: migrate from github actions to circleci (#3188),0.49103618,ci: fix the build and tests by @erickzhao in link,initial config tackle some validation errors debug windows and linux fix linux and windows workflows chore: dependency SMASH refactor cleanup remove snapcraft.yaml clean up,0
fix(vite-plugin): process exit on electron process exit (#3236),0.9647105,fix(vite-plugin): process exit on electron process exit by @john830316 in link,,1
fix(plugin-vite): right time to start (#3220),0.8463,fix(plugin-vite): right time to start by @caoxiemeihao in link,,1
fix(core): silent failures when linking forge dependencies in tests (#3219),0.65254366,fix(core): init should install the latest caret version of Forge by @malept in link,,0
fix(template-vite): ignore browser field for isomorphic packages,0.9687739,fix(template-vite): ignore browser field for isomorphic packages by @jclab-joseph in link,"Packages like axios have a browser field in package.json. The main process needs to resolve the node module, not the browser module.",1
