Index,Release Note
1,"What's Changed

Update POTFILES by @ryonakano in https://github.com/elementary/appcenter/pull/2006
StripeDialog: Add translator comment by @davidmhewitt in https://github.com/elementary/appcenter/pull/2009
Many fixed and updated translations

Full Changelog: https://github.com/elementary/appcenter/compare/7.2.0...7.2.1"
2,"What's Changed

AppListUpdateView: Rewrite with ListStore by @danirabbit in https://github.com/elementary/appcenter/pull/1979
AppListUpdateView: Show when up to date by @danirabbit in https://github.com/elementary/appcenter/pull/1980
Update flatpak.vapi by @tintou in https://github.com/elementary/appcenter/pull/1991
Flatpak repair by @meisenzahl in https://github.com/elementary/appcenter/pull/1983
CategoryView: Fix crash by @meisenzahl in https://github.com/elementary/appcenter/pull/1993

Full Changelog: https://github.com/elementary/appcenter/compare/7.1.0...7.2.0"
3,"What's Changed

Show warnings when an app may not be localized by @danirabbit in https://github.com/elementary/appcenter/pull/1975
Fix warnings for native packages, OS and Runtime updates by @meisenzahl in https://github.com/elementary/appcenter/pull/1977

Full Changelog: https://github.com/elementary/appcenter/compare/7.0.0...7.1.0"
4,"What's Changed

PackageKitBackend: resolve addons in appstream pool by @danirabbit in https://github.com/elementary/appcenter/pull/1946
Gresource: add more category icons by @danirabbit in https://github.com/elementary/appcenter/pull/1948
Fix visual issues with category icons by @danirabbit in https://github.com/elementary/appcenter/pull/1954
Flatpak Runtimes by @meisenzahl in https://github.com/elementary/appcenter/pull/1956
Size information for Runtime Updates by @meisenzahl in https://github.com/elementary/appcenter/pull/1957
Install PackageKit based Operating System Updates as Offline Updates by @meisenzahl in https://github.com/elementary/appcenter/pull/1943
Pretty output Flatpak package origins by @meisenzahl in https://github.com/elementary/appcenter/pull/1962
Warn running in Demo Mode by @meisenzahl in https://github.com/elementary/appcenter/pull/1963
Show Operating System Updates and Runtime Updates only if available by @meisenzahl in https://github.com/elementary/appcenter/pull/1960
Make loading updates async from main AppCenter window by @meisenzahl in https://github.com/elementary/appcenter/pull/1964
Gettext: install git by @danirabbit in https://github.com/elementary/appcenter/pull/1968
Gresource: mark OARS icons as scalable, scale all to 32px by @danirabbit in https://github.com/elementary/appcenter/pull/1970
Metainfo Improvements by @danirabbit in https://github.com/elementary/appcenter/pull/1972
Fix crash activating category while checking for updates by @vjr in https://github.com/elementary/appcenter/pull/1973

New Contributors

@vjr made their first contribution in https://github.com/elementary/appcenter/pull/1973

Full Changelog: https://github.com/elementary/appcenter/compare/4.0.0...7.0.0"
5,"New features:

Rewritten navigation with multitouch gestures to go back
Recently updated apps are shown at the top of category views
A status overlay bar is now shown when tasks are in progress

App Info Page Improvements:

Screenshot carousels fill the width of the window, showing more screenshots at once
An app's accent color is now shown behind screenshots
Get brand colors from the AppStream standard so more apps are supported
Wrap links at the bottom pages instead of ellipsize
Better dark style support

Updates View Improvements:

Release notes are shown in a dialog
Better fallback icons for components
The ""Update All"" header now sticks to the top of the window when scrolling

Other Improvements:

Redesigned ""Fun & Games"" category card
Performance improvements
Stability improvements
Updated translations
"
6,"New features:

Added an option to automatically update apps
Manually check for new updates
Warn when apps are built against older runtimes

Fixes:

Prevent back button from disappearing or requiring multiple clicks

Improvements:

Don't show a warning dialog about apps from alt stores
Show screenshot captions in a tooltip
Show ""Try for Free"" when setting an app's price to 0
Performance improvements
Updated translations
"
7,"Fixes:

Prevent potential crashes when updating

Improvements:

Link to Flathub's search page when no search results are found
Updated translations
"
8,"Improvements:

Amusements appear in the Games category
Categories show as a grid instead of a list
Allow window to shrink to much narrower sizes
Updated translations
"
9,"What's Changed

FlatpakBackend: Handle transaction success state correctly by @davidmhewitt in https://github.com/elementary/appcenter/pull/1730
FlatpakBackend: Sort stable apps in XML first by @davidmhewitt in https://github.com/elementary/appcenter/pull/1731
FlatpakBackend: Improve XML parsing efficiency by @davidmhewitt in https://github.com/elementary/appcenter/pull/1733

Full Changelog: https://github.com/elementary/appcenter/compare/3.8.1...3.8.2"
10,"Fixes:

Don't store $0 app installs as paid
Fix missing illicit substances icon
Don't show plugins on the homepage
Only show ""Multiplayer"" badge for games

Improvements:

Show installation progress in a more compact way
Updated translations
"
