Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,fixed backspace button functionality,0.52106434,Flat titlebar,Currently translated at 100.0% (30 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/id/,0
2,Release 0.1,0.5352584,pantheon-calculator 0.1.3 is out!,Currently translated at 100.0% (30 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/id/,0
3,Translated using Weblate (Português (Brasil)),0.5786096,Updated translations,Currently translated at 56.6% (17 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/id/,0
4,hotfix,0.28997278,New features:,Currently translated at 56.6% (17 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/id/,0
5,Redesign app icon (#232),0.8873754,Redesigned app icon,,1
6,Translated using Weblate (Spanish),0.6266216,Updated translations,Bumps flatpak/flatpak-github-actions from 5 to 6. - Release notes - Commits  updated-dependencies: - dependency-name: flatpak/flatpak-github-actions   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
7,Update history dialog after caluclations (#43),0.6798266,"Add a ""Clear History"" button to the history dialog",  Bump runtime to 7.2   Update ci.yml   Update merge.yml   Update release.yml ,0
8,Test with Houston CI (#63),0.30937594,pantheon-calculator 0.1.3 is out!,,0
9,Translated using Weblate (Danish),0.6138164,Updated translations,Bumps docker/setup-qemu-action from 1 to 2. - Release notes - Commits  updated-dependencies: - dependency-name: docker/setup-qemu-action   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
10,Create CODE_OF_CONDUCT.md (#19),0.41242212,* Misc. core code improvements,Bumps bilelmoussaoui/flatpak-github-actions from 4 to 5. - Release notes - Commits  updated-dependencies: - dependency-name: bilelmoussaoui/flatpak-github-actions   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
11,Update and rename INSTALL to README.md (#12),0.38956088,Other updates:,,0
12,Bump runtime to 7.2 (#251),0.54210246,Update to elementary 6.1 runtime,,0
13,Added log button and Trignometric Inverse Functions (#140),0.79734254,Add log and inverse trigonometric functions,Currently translated at 100.0% (30 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ka/,1
14,MainWindow: Use GLib.Action for clear (#104),0.4974189,Showing advanced controls only affects the focused window,,0
15,Translated using Weblate (Ukrainian),0.60691994,Updated translations,  Copy shortcut   Fix   Fix   Fix lint    Co-authored-by: Jeremy Wootten jeremy@elementaryos.org,0
16,Translated using Weblate (Dutch),0.59913373,Updated translations,Currently translated at 23.3% (7 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ka/,0
17,Bump docker/setup-qemu-action from 1 to 2 (#248),0.33566198,* Misc. core code improvements,Currently translated at 3.3% (1 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ka/,0
18,hotfix for bug #1403298 - no segfaults from Core.Stack anymore,0.3314907,* Misc. core code improvements,Currently translated at 100.0% (47 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/ka/,0
19,Translated using Weblate (German),0.60756516,Updated translations,Currently translated at 76.5% (36 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/ka/,0
20,RDNN appdata.xml (#30),0.35873002,Redesigned app icon,Currently translated at 76.5% (36 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/ka/,0
21,Make strings translatable in the .desktop file,0.4878495,Updated translations,Currently translated at 56.6% (17 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/nb/,0
22,code style cleanup,0.54500186,* Misc. core code improvements,Currently translated at 100.0% (30 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/en_GB/,0
23,Translated using Weblate (Norwegian Nynorsk),0.5803902,Updated translations,Currently translated at 56.6% (17 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/nl/,0
24,MainWindow: connect to insert_text instead of key_press (#227),0.49891782,Focus the main text entry on startup,Currently translated at 56.6% (17 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/nl/,0
25,Travis.yml: Update Houston CI (#87),0.44061768,Other updates:,Currently translated at 100.0% (30 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/mr/,0
26,Clear the entry with escape.,0.30548728,The list of issues closed by this release can be found here.,Currently translated at 82.9% (39 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/nn/,0
27,fixed the way Shunting Yard works,0.2898156,Fix selection replace,Currently translated at 100.0% (47 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/ru/,0
28,Update to elementary 6.1 runtime (#215),0.9391917,Update to elementary 6.1 runtime,Currently translated at 100.0% (47 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/ja/,1
29,Translated using Weblate (Mongolian),0.59454095,Updated translations,,0
30,Use Granite style constants (#105),0.3005914,Add log and inverse trigonometric functions,,0
31,Translated using Weblate (Norwegian Bokmål),0.57227755,Updated translations,,0
32,Port to Gtk4 (#221),0.566316,Update for OS 7 and Gtk 4,Currently translated at 70.0% (21 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/hu/,0
33,updated language file,0.71422744,Updated translations,Currently translated at 100.0% (30 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/sk/,1
34,added ANS button and improved history dialog UI,0.81009024,"Add a ""Clear History"" button to the history dialog",Currently translated at 100.0% (30 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ja/,1
35,Translated using Weblate (Romanian),0.6034652,* Improved translations,Currently translated at 100.0% (30 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/pt/,0
36,Translated using Weblate (Sinhala),0.64552546,Updated translations,Currently translated at 100.0% (30 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/fr/,0
37,Update io.elementary.calculator.appdata.xml.in,0.518954,Update to elementary 6.1 runtime,Currently translated at 100.0% (30 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ru/,0
38,Translated using Weblate (Marathi),0.6327568,Updated translations,Currently translated at 100.0% (30 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/he/,0
39,Create FUNDING.yml,0.39659485,Animate Infobar when hiding and showing,Currently translated at 100.0% (30 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ca/,0
40,Translated using Weblate (Bulgarian),0.5860452,* Improved translations,Currently translated at 100.0% (30 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/pl/,0
41,Translated using Weblate (Arabic),0.59615266,Updated translations,,0
42,Release 2.0.0 (#229),0.5112946,Other updates:,,0
43,Specify gettext domain in AppData (#124),0.25874346,Redesigned app icon,  Release 2.0.1   Update meson.build   Update io.elementary.calculator.appdata.xml.in   Update io.elementary.calculator.appdata.xml.in ,0
44,Translated using Weblate (Slovak),0.58985686,Updated translations,Currently translated at 100.0% (30 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ja/,0
45,update appdata.xml,0.53386015,Redesigned app icon,Currently translated at 100.0% (30 of 30 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/uk/,0
46,merging some token work from Evaluation.vala into Scanner.vala,0.343084,* Improved translations,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/",0
47,Now using a custom Button class.,0.4607193,"Add a ""Clear History"" button to the history dialog","Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/",0
48,Translated using Weblate (Serbian),0.54275465,Updated translations,,0
49,Translated using Weblate (Czech),0.62157285,Updated translations,,0
50,Bump flatpak/flatpak-github-actions from 5 to 6 (#252),0.3867279,Flat titlebar,,0
51,Release 2.0.1 (#230),0.54265696,pantheon-calculator 0.1.3 is out!,,0
52,Set settings with a bind instead of on window destroy connect,0.47048467,Showing advanced controls only affects the focused window,Currently translated at 100.0% (47 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/ca/,0
53,Translated using Weblate (Kurdish (Central)),0.58559954,Updated translations,,0
54,bug #1409287 fixed - backspace button behaviour fixed,0.39918563,Fix missing icon for Ukrainian,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/fr/,0
55,Application: use startup () and clean up (#237),0.54825187,Focus the main text entry on startup,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ja/,0
56,remove about dialog (#24),0.4700598,"Add a ""Clear History"" button to the history dialog",Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/pt/,0
57,created .pot file.,0.24161944,New features:,Currently translated at 67.8% (19 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/hu/,0
58,added event handler function,0.34959495,Showing advanced controls only affects the focused window,Currently translated at 67.8% (19 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/hu/,0
59,Respect an OS-wide dark preference (#93),0.35493332,* Misc. core code improvements,Currently translated at 64.2% (18 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/hu/,0
60,Code style (#51),0.4888933,* Misc. core code improvements,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/he/,0
61,Translated using Weblate (Bengali),0.61882067,Updated translations,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ca/,0
62,Merge remote-tracking branch 'origin/master',0.27765596,Improved decimal separator localization,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/pl/,0
63,Release 1.7.0 (#191),0.57938063,Update for OS 7 and Gtk 4,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/tr/,0
64,"Add ""Clear History"" button to HistoryDialog.vala (#190)",0.8554381,"Add a ""Clear History"" button to the history dialog",Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ru/,1
65,bug #1403147 fixed,0.40642264,Fix an issue with negative decimals without leading digits,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/uk/,0
66,Translated using Weblate (Vietnamese),0.5753541,Updated translations,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/",0
67,Translated using Weblate (Swedish),0.5956819,Updated translations,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/",0
68,Fix #88 and #92 by changing decimal key behavior (#94),0.60077465,Fix an issue with negative decimals without leading digits,,0
69,Use GLib.Queue instead of own Stack class (#54),0.26639807,Update to elementary 6.1 runtime,,0
70,Translated using Weblate (English (Australia)),0.6093547,Updated translations,,0
71,Add pt and pt_BR to LINGUAS (#84),0.5674013,* Improved translations,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ru/,0
72,Update Flatpak actions to v3 (#174),0.4741661,Update to elementary 6.1 runtime,Currently translated at 64.2% (18 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/hu/,0
73,Update Flatpak runtime to 7.1 (#233),0.56650466,Update to elementary 6.1 runtime,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ru/,0
74,smaller buttons,0.44848013,Use slim titlebar,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/uk/,0
75,rework of HistoryDialog,0.80556035,More informative copy in history dialog,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/uk/,1
76,MainWindow: inline namespace (#228),0.45769104,Show the correct window title in Multitasking View,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/uk/,0
77,Update translation template,0.7711803,Updated translations,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/uk/,1
78,added support for implicit multipling via parentheses,0.61848986,* Stricter treatment of parentheses,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ko/,0
79,heavy Scanner/Evaluation rework + desktop file creation,0.3938762,* Misc. core code improvements,Currently translated at 75.0% (21 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ko/,0
80,Fix meson warnings (#254),0.48886788,* Less aggressive error messages,Currently translated at 100.0% (47 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/ko/,0
81,fixed bug #1413257 (handle numbers with nothing preceding a decimal as 0),0.7720912,Fix an issue with negative decimals without leading digits,Currently translated at 75.0% (21 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ko/,1
82,"Use new class ""rounded"" to set rounded bottom window corners",0.37429667,Show the correct window title in Multitasking View,Currently translated at 57.1% (16 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ko/,0
83,Adds thousands comma separator in result (#35),0.4892471,Improved decimal separator localization,Currently translated at 68.0% (32 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/ko/,0
84,MainWindow: Focus the entry by default (#197),0.6331311,Focus the main text entry on startup,Currently translated at 46.4% (13 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ko/,0
85,fixed display of ouput numbers,0.5225036,Fix an issue with negative decimals without leading digits,Currently translated at 46.4% (13 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ko/,0
86,Add tests for calculator core (#50),0.6054873,calculator 1.5.3 is out! ,Currently translated at 46.4% (13 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ko/,0
87,updated translation files,0.8831163,Updated translations,Currently translated at 65.9% (31 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/ko/,1
88,pot and .desktop file updated.,0.48697862,Other updates:,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/zh_Hans/,0
89,bugfix #1406913 (make history button insensitive when activated),0.6547277,"Add a ""Clear History"" button to the history dialog",Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/zh_Hant/,0
90,CI: enable running tests with flatpak action (#151),0.35563254,* Misc. core code improvements,Currently translated at 7.1% (2 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/zh/,0
91,Translated using Weblate (Georgian),0.6163407,Updated translations,Currently translated at 40.4% (19 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/zh/,0
92,Translated using Weblate (简体中文(Chinese Simplified)),0.56868106,* Improved translations,Currently translated at 100.0% (47 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/zh_Hant/,0
93,RDNN gschema (#31),0.38680092,Update for OS 7 and Gtk 4,Currently translated at 38.2% (18 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/zh/,0
94,now using the current locale's decimal mark (fixed bug #1414721),0.7163974,Improved decimal separator localization,Currently translated at 38.2% (18 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/zh/,1
95,fixed cursor position after calculation,0.46800768,Showing advanced controls only affects the focused window,Currently translated at 29.7% (14 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/zh/,0
96,UI improvement for HistoryDialog,0.7129313,"Add a ""Clear History"" button to the history dialog",Currently translated at 29.7% (14 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/zh/,1
97,adding core functionality. Shunting Yard does not work.,0.41976798,* Misc. core code improvements,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/tr/,0
98,Add editorconfig file (#67),0.36056614,* Misc. core code improvements,,0
99,Added flatpak manifest (#101),0.49589425,Flat titlebar,,0
100,added INSTALL file,0.37851888,Fix inserting multi-byte characters,,0
101,Updates the date to 2015,0.613503,Other updates:,,0
102,Translated using Weblate (Tamil),0.5949588,Updated translations,,0
103,Evaluation: Fix variable naming convention,0.5271486,Fix selection replace,Currently translated at 96.4% (27 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/tr/,0
104,changed button layout for math operations,0.42425686,Redesigned app icon,,0
105,Release 1.5.1,0.57539225,Calculator 1.5.1 is out!,,0
106,Merged launchpad translations into local branch..,0.5528719,Updated translations,Currently translated at 25.5% (12 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/mg/,0
107,CI: bump flatpak action (#152),0.41085938,Flat titlebar,Currently translated at 25.5% (12 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/mn/,0
108,Translated using Weblate (Malagasy),0.6426923,Updated translations,Currently translated at 63.8% (30 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/ko/,0
109,Add missing LINGUAS,0.6000583,* Improved translations,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/mr/,0
110,Fixed Pantheon Calculator files and code to unify it's AppID to 'org.pantheon.calculator',0.56995463,pantheon-calculator 0.1.3 is out!,Currently translated at 100.0% (47 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/mr/,0
111,CI: Add Flatpak (#144),0.4530759,Flat titlebar,,0
112,Replace Gtk.Dialog with Granite.Dialog (#160),0.5150015,Update for OS 7 and Gtk 4,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ja/,0
113,Fixed Infobar.,0.63824385,Animate Infobar when hiding and showing,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ckb/,0
114,fixes bug 1412890 (segfault on specific scenario) and corrects the way Shunting Yard works,0.37442616,* Misc. core code improvements,Currently translated at 100.0% (47 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/ckb/,0
115,l10n: Correctly setup the locales (#186),0.47741044,Improved decimal separator localization,Currently translated at 100.0% (47 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/ckb/,0
116,changes in programm architecture.,0.57762563,* Misc. core code improvements,Currently translated at 38.2% (18 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/ckb/,0
117,Added keyboard shortcut for quitting out of app.,0.4609395,Redesigned app icon,Currently translated at 7.1% (2 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ckb/,0
118,lang support partial integrated.,0.43864235,* Improved translations,Currently translated at 36.1% (17 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/ckb/,0
119,Clean up .desktop and drop Office category,0.4153322,Use slim titlebar,Currently translated at 100.0% (28 of 28 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/sk/,0
120,Aligned main and extended grid.,0.33597338,Improved decimal separator localization,Currently translated at 93.6% (44 of 47 strings) Translation: Calculator/Calculator Translate-URL: https://l10n.elementary.io/projects/calculator/calculator/mr/,0
