Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Update translation files,0.65815496,* Updated translations,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Mail/Mail (Extra) Translate-URL: https://l10n.elementary.io/projects/mail/extra/",0
Translated using Weblate (Hebrew),0.47547996,Updated translations,Currently translated at 100.0% (122 of 122 strings) Translation: Mail/Mail Translate-URL: https://l10n.elementary.io/projects/mail/mail/he/,0
Translated using Weblate (English (United Kingdom)),0.5324431,Updated translations,Currently translated at 100.0% (122 of 122 strings) Translation: Mail/Mail Translate-URL: https://l10n.elementary.io/projects/mail/mail/en_GB/,0
Translated using Weblate (Polish),0.5019865,Updated translations,Currently translated at 100.0% (122 of 122 strings) Translation: Mail/Mail Translate-URL: https://l10n.elementary.io/projects/mail/mail/pl/,0
Translated using Weblate (Japanese),0.46496546,Updated translations,Currently translated at 100.0% (122 of 122 strings) Translation: Mail/Mail Translate-URL: https://l10n.elementary.io/projects/mail/mail/ja/,0
Update translation template,0.546684,* Updated translations,,0
Move the composer editor toolbar into its own class (#908),0.53577787,"ComposerWidget: replace grid/box, code style by @danirabbit in https://github.com/elementary/mail/pull/839",,0
Sort special folders to top (#910),0.33462626,Ensure conversations are re-sorted by date when new messages appear,,0
Add support for inline images in the composer (#907),0.47926873,Remove inline composer by @leolost2605 in https://github.com/elementary/mail/pull/860,Co-authored-by: Ryan Kornheisl ryan@skarva.tech,0
Translated using Weblate (Russian),0.47169003,Updated translations,Currently translated at 100.0% (116 of 116 strings) Translation: Mail/Mail Translate-URL: https://l10n.elementary.io/projects/mail/mail/ru/,0
Translated using Weblate (Norwegian Bokmål (nb)),0.47613156,Updated translations,Currently translated at 87.0% (101 of 116 strings) Translation: Mail/Mail Translate-URL: https://l10n.elementary.io/projects/mail/mail/nb/,0
Translated using Weblate (Hungarian),0.47012088,Updated translations,Currently translated at 100.0% (116 of 116 strings) Translation: Mail/Mail Translate-URL: https://l10n.elementary.io/projects/mail/mail/hu/,0
Translated using Weblate (Catalan),0.45771357,Updated translations,Currently translated at 100.0% (116 of 116 strings) Translation: Mail/Mail Translate-URL: https://l10n.elementary.io/projects/mail/mail/ca/,0
Create flatpak-x-checker.yml (#909),0.5340085,Bump flatpak/flatpak-github-actions from 5 to 6 by @dependabot in https://github.com/elementary/mail/pull/850,,0
Translated using Weblate (German),0.51663226,Updated translations,Currently translated at 100.0% (116 of 116 strings) Translation: Mail/Mail Translate-URL: https://l10n.elementary.io/projects/mail/mail/de/,0
Translated using Weblate (Ukrainian),0.45672596,Updated translations,Currently translated at 100.0% (116 of 116 strings) Translation: Mail/Mail Translate-URL: https://l10n.elementary.io/projects/mail/mail/uk/,0
Use flatpak portal for background and autostart (#882),0.3541958,Bump flatpak/flatpak-github-actions from 5 to 6 by @dependabot in https://github.com/elementary/mail/pull/850,Co-authored-by: Danielle Foré danielle@elementary.io Co-authored-by: Gustavo Marques pushstarttocontinue@outlook.com,0
