Index,Release Note,Release Note Abstract
1,"What's Changed

PlaybackManager: use GLib.Once by @danirabbit in https://github.com/elementary/music/pull/732
Handle dropped folder by @jeremypw in https://github.com/elementary/music/pull/739
metainfo: Add translation field by @tintou in https://github.com/elementary/music/pull/740
Bump bilelmoussaoui/flatpak-github-actions from 4 to 5 by @dependabot in https://github.com/elementary/music/pull/742
Bump docker/setup-qemu-action from 1 to 2 by @dependabot in https://github.com/elementary/music/pull/741
Bump actions/checkout from 1 to 3 by @dependabot in https://github.com/elementary/music/pull/743
Update flatpak actions to new namespace by @davidmhewitt in https://github.com/elementary/music/pull/744
Update runtime to 7.2 by @danirabbit in https://github.com/elementary/music/pull/748
Bump flatpak/flatpak-github-actions from 5 to 6 by @dependabot in https://github.com/elementary/music/pull/749
Allow to open directories directly by @aitor-gomila in https://github.com/elementary/music/pull/747
Update metainfo for next release by @jeremypw in https://github.com/elementary/music/pull/751
MainWindow: use HeaderBars by @danirabbit in https://github.com/elementary/music/pull/753
MainWindow: Gtk.DropTarget: use drop instead on_drop by @leolost2605 in https://github.com/elementary/music/pull/754
Release 7.1.0 by @danirabbit in https://github.com/elementary/music/pull/755

New Contributors

@dependabot made their first contribution in https://github.com/elementary/music/pull/742
@aitor-gomila made their first contribution in https://github.com/elementary/music/pull/747
@leolost2605 made their first contribution in https://github.com/elementary/music/pull/754

Full Changelog: https://github.com/elementary/music/compare/7.0.1...7.1.0","What's Changed
PlaybackManager: use GLib.Once by @danirabbit in link
Handle dropped folder by @jeremypw in link
metainfo: Add translation field by @tintou in link
Bump bilelmoussaoui/flatpak-github-actions from 4 to 5 by @dependabot in link
Bump docker/setup-qemu-action from 1 to 2 by @dependabot in link
Bump actions/checkout from 1 to 3 by @dependabot in link
Update flatpak actions to new namespace by @davidmhewitt in link
Update runtime to 7.2 by @danirabbit in link
Bump flatpak/flatpak-github-actions from 5 to 6 by @dependabot in link
Allow to open directories directly by @aitor-gomila in link
Update metainfo for next release by @jeremypw in link
MainWindow: use HeaderBars by @danirabbit in link
MainWindow: Gtk.DropTarget: use drop instead on_drop by @leolost2605 in link
Release 7.1.0 by @danirabbit in link
New Contributors
@dependabot made their first contribution in link
@aitor-gomila made their first contribution in link
@leolost2605 made their first contribution in link
Full Changelog: link"
2,"What's Changed

Use file basename instead of uri for the default audio object title. by @vjr in https://github.com/elementary/music/pull/710
Skip invalid files instead of stopping playback. by @vjr in https://github.com/elementary/music/pull/711
Enable the NEXT button if repeat mode is set to ALL or ONE. by @vjr in https://github.com/elementary/music/pull/712
Application: hard code gtk styles by @danirabbit in https://github.com/elementary/music/pull/723
Metainfo: Use branding tag and screenshot caption by @danirabbit in https://github.com/elementary/music/pull/724
Metainfo improvements by @danirabbit in https://github.com/elementary/music/pull/728
Update Flatpak runtime to 7.1 by @danirabbit in https://github.com/elementary/music/pull/729
Update music.metainfo.xml.in by @danirabbit in https://github.com/elementary/music/pull/730
Release 7.0.1 by @danirabbit in https://github.com/elementary/music/pull/731

Full Changelog: https://github.com/elementary/music/compare/7.0.0...7.0.1","What's Changed
Use file basename instead of uri for the default audio object title. by @vjr in link
Skip invalid files instead of stopping playback. by @vjr in link
Enable the NEXT button if repeat mode is set to ALL or ONE. by @vjr in link
Application: hard code gtk styles by @danirabbit in link
Metainfo: Use branding tag and screenshot caption by @danirabbit in link
Metainfo improvements by @danirabbit in link
Update Flatpak runtime to 7.1 by @danirabbit in link
Update music.metainfo.xml.in by @danirabbit in link
Release 7.0.1 by @danirabbit in link
Full Changelog: link"
3,Complete rewrite,Complete rewrite
4,"Drop support for Last.FM
Updated translations","Drop support for Last.FM
Updated translations"
5,"Fix an issue with saving smart playlists
Drop support for CD-ROM
Dark style support
Minor visual improvements
Updated translations","Fix an issue with saving smart playlists
Drop support for CD-ROM
Dark style support
Minor visual improvements
Updated translations"
6,"music 5.0.5 is out! 
Fix removing items from the queue
Fix equalizer sliders not properly disabled sometimes
Updated translations
Performance improvements","music 5.0.5 is out! 
Fix removing items from the queue
Fix equalizer sliders not properly disabled sometimes
Updated translations
Performance improvements"
7,"Music 5.0.4 is out!
Changes:
* Removed old gsignond vapi
* LibraryWindow: Use Granite.MessageDialog for showing alerts
* PlaylistsUtils: Use Gtk.FileChooserNative
* Accurately remember window size
* Updated translations","Music 5.0.4 is out!
Changes:
* Removed old gsignond vapi
* LibraryWindow: Use Granite.MessageDialog for showing alerts
* PlaylistsUtils: Use Gtk.FileChooserNative
* Accurately remember window size
* Updated translations"
8,"Music 5.0.3 is out!
Changes:
* Scale album art properly at high resolutions
* Accurately select Music Folder Location for directories with spaces in name
* New MediaKeyListener path for gnome-settings-daemon
* Updated translations","Music 5.0.3 is out!
Changes:
* Scale album art properly at high resolutions
* Accurately select Music Folder Location for directories with spaces in name
* New MediaKeyListener path for gnome-settings-daemon
* Updated translations"
9,"Music 5.0.2 is out!
Changes:
* AlbumView: double-click to play album
* Associate with s3m files
* Queue fixes
* Properly restore playlists
* Always respect custom music folder setting
* Updated translations","Music 5.0.2 is out!
Changes:
* AlbumView: double-click to play album
* Associate with s3m files
* Queue fixes
* Properly restore playlists
* Always respect custom music folder setting
* Updated translations"
10,"Music 5.0.1 is out!
Changes:
* Fix list and column view sorting
* Add orange accent color
* Add shortcut accels to tooltips","Music 5.0.1 is out!
Changes:
* Fix list and column view sorting
* Add orange accent color
* Add shortcut accels to tooltips"
