Index,Message,Description,Message Abstract,Description Abstract
1,Translated using Weblate (Indonesian),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/id/,Translated using Weblate (Indonesian),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: link/
2,Translated using Weblate (Hungarian),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/hu/,Translated using Weblate (Hungarian),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: link/
3,Translated using Weblate (Ukrainian),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/uk/,Translated using Weblate (Ukrainian),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: link/
4,Translated using Weblate (Georgian),Currently translated at 51.4% (400 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ka/,Translated using Weblate (Georgian),Currently translated at 51.4% (400 of 778 strings) Translation: Photos/Photos Translate-URL: link/
5,Bump flatpak/flatpak-github-actions from 5 to 6 (#741),Bumps flatpak/flatpak-github-actions from 5 to 6. - Release notes - Commits  updated-dependencies: - dependency-name: flatpak/flatpak-github-actions   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,Bump flatpak/flatpak-github-actions from 5 to 6 (#741),Bumps flatpak/flatpak-github-actions from 5 to 6. - Release notes - Commits updated-dependencies: - dependency-name: flatpak/flatpak-github-actions   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
6,Translated using Weblate (Japanese),Currently translated at 100.0% (47 of 47 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ja/,Translated using Weblate (Japanese),Currently translated at 100.0% (47 of 47 strings) Translation: Photos/Photos (Extra) Translate-URL: link/
7,Translated using Weblate (Japanese),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ja/,Translated using Weblate (Japanese),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: link/
8,Translated using Weblate (Russian),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ru/,Translated using Weblate (Russian),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: link/
9,Update flatpak actions to new namespace (#740),,Update flatpak actions to new namespace (#740),
10,Switch to GHCR containers (#738),Co-authored-by: Danielle Foré danielle@elementary.io,Switch to GHCR containers (#738),Co-authored-by: Danielle Foré danielle@elementary.io
11,Bump bilelmoussaoui/flatpak-github-actions from 3 to 5 (#739),Bumps bilelmoussaoui/flatpak-github-actions from 3 to 5. - Release notes - Commits  updated-dependencies: - dependency-name: bilelmoussaoui/flatpak-github-actions   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,Bump bilelmoussaoui/flatpak-github-actions from 3 to 5 (#739),Bumps bilelmoussaoui/flatpak-github-actions from 3 to 5. - Release notes - Commits updated-dependencies: - dependency-name: bilelmoussaoui/flatpak-github-actions   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
12,Create .github/dependabot.yml,,Create .github/dependabot.yml,
13,Translated using Weblate (Georgian),Currently translated at 29.8% (232 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ka/,Translated using Weblate (Georgian),Currently translated at 29.8% (232 of 778 strings) Translation: Photos/Photos Translate-URL: link/
14,Translated using Weblate (Georgian),Currently translated at 27.6% (13 of 47 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ka/,Translated using Weblate (Georgian),Currently translated at 27.6% (13 of 47 strings) Translation: Photos/Photos (Extra) Translate-URL: link/
15,Translated using Weblate (German),Currently translated at 85.1% (40 of 47 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/de/,Translated using Weblate (German),Currently translated at 85.1% (40 of 47 strings) Translation: Photos/Photos (Extra) Translate-URL: link/
16,Translated using Weblate (Japanese),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ja/,Translated using Weblate (Japanese),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: link/
17,Add translation field (#735),,Add translation field (#735),
18,Translated using Weblate (English (United Kingdom)),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/en_GB/,Translated using Weblate (English (United Kingdom)),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: link/
19,Translated using Weblate (Norwegian Bokmål (nb)),Currently translated at 97.4% (758 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/nb/,Translated using Weblate (Norwegian Bokmål (nb)),Currently translated at 97.4% (758 of 778 strings) Translation: Photos/Photos Translate-URL: link/
20,Translated using Weblate (Dutch),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/nl/,Translated using Weblate (Dutch),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: link/
21,Translated using Weblate (Dutch),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/nl/,Translated using Weblate (Dutch),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: link/
22,Fix a few vala semantic issues with type-argmunents,,Fix a few vala semantic issues with type-argmunents,
23,Translated using Weblate (Russian),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ru/,Translated using Weblate (Russian),Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: link/
