Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Translated using Weblate (Indonesian),0.45396852,Translation updates,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: link/,0
Translated using Weblate (Dutch),0.46040982,Translation updates,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: link/,0
Translated using Weblate (Finnish),0.46184516,Translation updates,Currently translated at 98.4% (766 of 778 strings) Translation: Photos/Photos Translate-URL: link/,0
Translated using Weblate (Hungarian),0.4573437,Translation updates,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: link/,0
Translated using Weblate (Ukrainian),0.44217744,Translation updates,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: link/,0
Translated using Weblate (Georgian),0.41355872,Translation updates,Currently translated at 51.4% (400 of 778 strings) Translation: Photos/Photos Translate-URL: link/,0
Bump flatpak/flatpak-github-actions from 5 to 6 (#741),0.19843616,Photos 2.6.0 is out!,Bumps flatpak/flatpak-github-actions from 5 to 6. - Release notes - Commits updated-dependencies: - dependency-name: flatpak/flatpak-github-actions   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Translated using Weblate (Japanese),0.46824658,Translation updates,Currently translated at 100.0% (47 of 47 strings) Translation: Photos/Photos (Extra) Translate-URL: link/,0
Translated using Weblate (Russian),0.44703332,Translation updates,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: link/,0
Update flatpak actions to new namespace (#740),0.2186331,New actions to copy image or metadata to clipboard,,0
Switch to GHCR containers (#738),0.3404146,* Fix building against latest gexiv2,Co-authored-by: Danielle Foré danielle@elementary.io,0
Bump bilelmoussaoui/flatpak-github-actions from 3 to 5 (#739),0.22218016,* Fix building against latest gexiv2,Bumps bilelmoussaoui/flatpak-github-actions from 3 to 5. - Release notes - Commits updated-dependencies: - dependency-name: bilelmoussaoui/flatpak-github-actions   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Create .github/dependabot.yml,0.16958171,* Fix building against latest gexiv2,,0
Translated using Weblate (German),0.49810743,Translation updates,Currently translated at 85.1% (40 of 47 strings) Translation: Photos/Photos (Extra) Translate-URL: link/,0
Add translation field (#735),0.5645111,Translation updates,,0
Translated using Weblate (English (United Kingdom)),0.4869033,Translation updates,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: link/,0
Translated using Weblate (Norwegian Bokmål (nb)),0.42749774,Translation updates,Currently translated at 97.4% (758 of 778 strings) Translation: Photos/Photos Translate-URL: link/,0
Fix a few vala semantic issues with type-argmunents,0.19477727,* Fix building against latest gexiv2,,0
po/extra/zh_HK.po: Change charset to UTF-8 (#732),0.32916385,Translation updates,,0
Update translation files,0.8435601,Translation updates,"Updated by ""Update LINGUAS file"" hook in Weblate. Translation: Photos/Photos Translate-URL: link/",1
Update translation template,0.7084839,Translation updates,,1
actions/checkout@v3 (#731),0.20590542,New actions to copy image or metadata to clipboard,,0
Translated using Weblate (Portuguese),0.49661422,Translation updates,Currently translated at 100.0% (49 of 49 strings) Translation: Photos/Photos (Extra) Translate-URL: link/,0
Release 2.8.0 (#729),0.44691417,pantheon-photos 0.2.4 is out!,,0
Resources: use fd.o icon name for calendar (#724),0.4226787,Redesigned app icon,,0
Translated using Weblate (Chinese (Simplified)),0.43972588,Translation updates,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: link/,0
Fix empty Open with context submenus (#723),0.40945637,Show saved state correctly in the context-menu,Fix empty Open with context submenus Set pixel-size,0
Translated using Weblate (Kurdish (Central)),0.39978015,Translation updates,Currently translated at 0.1% (1 of 778 strings) Translation: Photos/Photos Translate-URL: link/,0
