Index,Message,Description,Message Abstract,Description Abstract
1,chore: Update webpack (#8608),  chore: bump webpack   move to deps from dev-deps   update deps ,chore: Update webpack (#8608),chore: bump webpack move to deps from dev-deps update deps
2,chore(deps): update pnpm to v8.5.0 (#8604),  chore(deps): update pnpm to v8.5.0   Update package.json   use patch    Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com Co-authored-by: Chris Thoburn runspired@users.noreply.github.com Co-authored-by: Chris Thoburn runspired@gmail.com,chore(deps): update pnpm to v8.5.0 (#8604),chore(deps): update pnpm to v8.5.0 Update package.json use patch Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com Co-authored-by: Chris Thoburn runspired@users.noreply.github.com Co-authored-by: Chris Thoburn runspired@gmail.com
3,fix(deps): update dependency semver to ^7.5.1 (#8605),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,fix(deps): update dependency semver to ^7.5.1 (#8605),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
4,chore(deps): update code-quality (#8602),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update code-quality (#8602),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
5,chore(deps): update dependency rollup to ^3.21.7 (#8603),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update dependency rollup to ^3.21.7 (#8603),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
6,docs: fix forgotten references to FetchManager (#8601),,docs: fix forgotten references to FetchManager (#8601),
7,Release v5.1.0-alpha.10,,Release v5.1.0-alpha.10,
8,Release v5.1.0-alpha.9,,Release v5.1.0-alpha.9,
9,Release v5.1.0-alpha.8,,Release v5.1.0-alpha.8,
10,fix: docs generation should maintain a stable relative path (#8598),,fix: docs generation should maintain a stable relative path (#8598),
11,Avoid unnecessary identity notification when record is saved (#8566),"  Add failing test   Ignore JetBrains IDE files   Revise failing test   Call setRecordId only for new records   Add (failing) test for updated id from server   update test   error when appropriate, thread context to give cache responsibility   fix lint    Co-authored-by: Chris Thoburn runspired@gmail.com",Avoid unnecessary identity notification when record is saved (#8566),"Add failing test Ignore JetBrains IDE files Revise failing test Call setRecordId only for new records Add (failing) test for updated id from server update test error when appropriate, thread context to give cache responsibility fix lint Co-authored-by: Chris Thoburn runspired@gmail.com"
12,fix: dont share promise cache for all fields (#8597),,fix: dont share promise cache for all fields (#8597),
13,fix: LegacyHandler should provide unfrozen options to Adapters (resolves #8576), Co-authored-by: Chris Thoburn runspired@gmail.com,fix: LegacyHandler should provide unfrozen options to Adapters (resolves #8576),Co-authored-by: Chris Thoburn runspired@gmail.com
14,fix: restore Store extends EmberObject :( (#8594),  fix: restore Store extends EmberObject :(   fix EmberObject bs ,fix: restore Store extends EmberObject :( (#8594),fix: restore Store extends EmberObject :( fix EmberObject bs
15,chore(deps): update dependency eslint to ^8.40.0 (#8593),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update dependency eslint to ^8.40.0 (#8593),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
16,chore(deps): update dependency ember-cli-fastboot to ^4.1.1 (#8592),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update dependency ember-cli-fastboot to ^4.1.1 (#8592),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
17,chore(deps): update dependency rimraf to v5 (#8563),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update dependency rimraf to v5 (#8563),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
18,remove unneeded glob (#8591),,remove unneeded glob (#8591),
19,chore(deps): update dependency rollup to ^3.21.5 (#8577),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update dependency rollup to ^3.21.5 (#8577),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
20,chore(deps): update code-quality (#8580),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update code-quality (#8580),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
21,chore: bump webpack (#8590),,chore: bump webpack (#8590),
22,chore: bump build deps (#8589),,chore: bump build deps (#8589),
