Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Release v5.2.0-alpha.2,0.8219974,"Release 2.5.0-beta.4 (April 1, 2016)",,1
Release v5.2.0-alpha.1,0.8298167,"Release 2.5.0-beta.4 (April 1, 2016)",,1
chore(deps): update asset-compilation to ^7.22.5 (#8638),0.59480476,#5508 [CHORE] Update Dependencies,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update dependency rollup to ^3.24.0 (#8637),0.755406,#5508 [CHORE] Update Dependencies,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,1
Release v5.2.0-alpha.0,0.8266562,"Release 2.5.0-beta.4 (April 1, 2016)",,1
update changelog for 5.0,0.73934734,#3656 Update the changelog for 2.0.0-beta.2,,1
chore(deps): update dependency tslib to ^2.5.3 (#8631),0.6682008,#5508 [CHORE] Update Dependencies,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update dependency rollup to ^3.23.1 (#8633),0.7442311,#5508 [CHORE] Update Dependencies,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,1
chore(deps): update pnpm to v8.6.1 (#8634),0.7157379,"#8481 chore: bump pnpm, remove @glimmer/env dependency (@runspired)",  chore(deps): update pnpm to v8.6.1   Update package.json    Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com Co-authored-by: Chris Thoburn runspired@users.noreply.github.com,1
chore(deps): update code-quality (#8629),0.641476,#5700 [CHORE] remove deprecations targeted for 3.5 (#5700),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update dependency @rollup/plugin-node-resolve to ^15.1.0 (#8628),0.64403933,#8108 fix earlier versions of node-14 (@runspired),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
Release v5.1.0-alpha.15,0.7844496,"Release 2.5.0-beta.4 (April 1, 2016)",,1
Release v5.1.0-alpha.14,0.78680056,"Release 2.5.0-beta.4 (April 1, 2016)",,1
Release v5.1.0-alpha.13,0.768067,"Release 2.5.0-beta.4 (April 1, 2016)",,1
chore(deps): update code-quality to ^5.59.8 (#8627),0.6352934,#5700 [CHORE] remove deprecations targeted for 3.5 (#5700),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update asset-compilation to ^7.22.4 (#8626),0.59133315,#5508 [CHORE] Update Dependencies,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update pnpm to v8.6.0 (#8625),0.71339786,"#8481 chore: bump pnpm, remove @glimmer/env dependency (@runspired)",  chore(deps): update pnpm to v8.6.0   Update package.json    Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com Co-authored-by: Chris Thoburn runspired@users.noreply.github.com,1
Release v5.1.0-alpha.12,0.7992062,"Release 2.5.0-beta.4 (April 1, 2016)",,1
chore(deps): update dependency eslint-plugin-ember to ^11.7.2 (#8623),0.7864834,#3905 [BUGFIX release] Update the dependencies for Ember 2.x,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,1
chore(deps): update asset-compilation (#8624),0.6420623,#5508 [CHORE] Update Dependencies,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
Release v5.1.0-alpha.11,0.7624279,"Release 2.5.0-beta.4 (April 1, 2016)",,1
