Index,Message,Description
1,Return GitHub PAT token from view model (#1241),Fix a bug in the in-proc UI logic for returning the personal access token. We were accidentally returning the password field rather than the token field for PATs.
2,github: return PAT token from view model,Fix a bug in the in-proc UI logic for returning the personal access token. We were accidentally returning the password field rather than the token field for PATs.
3,Lazily initalise the HttpClient for the Bitbucket OAuth2ClientRegistry (#1239),Lazily acquire the module instance from the factory inside of the module. There is a relatively large cost to creating a new module instance (especially the first; due to config reading) that is being paid each time we just register the entire Bitbucket host provider. Whilst we are here also cleanup some of the styling/field naming in this class to be consistent with the rest of GCM. This saves approximately 120ms of startup time.
4,bitbucket: guard against disposing a null ref,
5,bitbucket: lazily init the HttpClient for OAuthRegistry,Lazily acquire the HttpClient instance from the factory inside of the OAuth2ClientRegistry. There is a relatively large cost to creating a new HttpClient instance (especially the first; due to config reading) that is being paid each time we just register the entire Bitbucket host provider. Whilst we are here also cleanup some of the styling/field naming in this class to be consistent with the rest of GCM.
6,Fix several UI bugs in 2.1 pre-release (#1238),Fix a few bugs that were spotted during testing of the 2.1 pre-release:  Missing Atlassian logo resource from the compiled binaries Remote URL is shown even for Bitbucket cloud with in-proc GUI In-proc basic auth GUI user name field should only be set if non-null or whitespace  Also bump the VERSION to 2.1.1 in the expectation for this to replace 2.1.0.
7,version: bump to 2.1.1.0,
8,basic-auth: only set username if not-null,
9,bitbucket: only show URL if not Bitbucket Cloud,Only show the URL if the remote is NOT Bitbucket Cloud in the in-proc UI. This is same behaviour as the helper UI.
10,bitbucket: include Atlassian logo resource,Make sure to include the Atlassian logo as an AvaloniaResource so it's included in the compiled binaries.
11,Merge branch 'release' into main,
12,Add support for using the current Windows user for WAM on DevBox (#1197),"Add the ability to configure MSAL to use the default OS account when the broker is enabled. Also detect when we are in a Microsoft Dev Box environment, and if we are, then default to enabling the new setting (and enable WAM). Show a confirmation prompt before continuing to use the current OS account, which is similar to how Microsoft Teams operates. image Left: Avalonia UI, Right: fallback WPF window Fixes #917"
13,build(deps): bump DavidAnson/markdownlint-cli2-action from 10.0.0 to 10.0.1 (#1232),Bumps link from 10.0.0 to 10.0.1.
14,build(deps): bump DavidAnson/markdownlint-cli2-action,Bumps link from 10.0.0 to 10.0.1. - link - link  updated-dependencies: - dependency-name: DavidAnson/markdownlint-cli2-action   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] link
15,versioning: transition from nerdbank to version file (#1231),"With the link, it became clear that link was no longer an option for versioning the project. This is because module requires history to calculate things like link, and the formula requires a tarball to build, which, of course, has no history. This change pivots GCM to the simpler strategy of using a version specified in a module file at root. This version will be updated by maintainers prior to release - giving them more granular control of versioning, which in turn allows for versioning to be more predictable (i.e. maintainers will know what the version will be before publication of the release). The version specified in the file is the one slated for the next release: module. Note: This change link due to a link unless we ensure all projects have at least 1 dependency. We are working around this issue by adding Newtonsoft.Json as this dependency (since we were already shipping it anyway)."
16,workflows: update checkout actions,"Remove fetch-depth from checkout actions, since that was required by Nerdbank.GitVersioning. Also take this opportunity to use consistent version and naming for checkout actions."
17,version: remove nerdbank tasks,Remove Nerdbank.GitVersioning tasks (which have been superceded by the use of the new VERSION file) from the release workflow.
18,version: update release workflow versioning,"Update release workflow to use VERSION file for versioning, rather than Nerdbank.GitVersioning."
19,version: replace nerdbank with version file,"Remove Nerdbank.GitVersioning dependency from project in favor of a new VERSION file, which will be updated ahead of each release. Versioning in this file will begin with the version we plan to use for the next release: 2.1.0.0. This change involves the addition of a new custom MSBuild task, which reads in the contents of the VERSION file, converts it to a Version object, and then sets the various version-related MSBuild properties with the correct value (some with the module component appended, others without). Note that there is a bug in MSAL link that causes build failures for projects without dependencies with this change. We add Newtonsoft.Json as a global dependency in Directory.Build.props to work around this problem until the fix is released."
20,build(deps): bump DavidAnson/markdownlint-cli2-action from 9.0.0 to 10.0.0 (#1223),Bumps link from 9.0.0 to 10.0.0.
21,docs: add trace2 to config/env documentation (#1230),Add Trace2 config/env var options to GCM's configuration/environment documentation to improve discoverability.
22,docs: add trace2 to config/env documentation,Add Trace2 config/env var options to GCM's configuration/environment documentation to improve discoverability.
23,Add Git configuration options for trace & debug (#1228),Add options for enabling tracing and debugging in Git configuration. Today the below options were only supported via environment variable:  module module module module
24,settings: add git cfg options for trace & debug,Add options for enabling tracing and debugging in Git configuration. Today the below options were only supported via environment variable:  GCM_TRACE GCM_TRACE_SECRETS GCM_TRACE_MSAUTH GCM_DEBUG
25,build(deps): bump DavidAnson/markdownlint-cli2-action,Bumps link from 9.0.0 to 10.0.0. - link - link  updated-dependencies: - dependency-name: DavidAnson/markdownlint-cli2-action   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] link
26,docs: add link to dotnet sdk,"Add link to the install instructions for the dotnet SDK. Note that, due to installation instructions differing based on the distro and version users are running, the best we are able to do is link to the page that provides further links for users to follow to use their respective package managers to install."
27,devbox: enable msauth default account and broker in devbox,"Detect when we are in a Microsoft Dev Box environment, and if we are, then default to enabling the default OS account setting and enabling WAM."
28,msauth: use default OS account when enabled,Add the ability to configure MSAL to use the default OS account when the broker is enabled. Default to disabled.
29,Make Avalonia UI the default on all platforms and move in-process (#1207),"Today GCM has an architecture that delegates all GUI prompting to (bundled) external executables, using WPF-based helpers on Windows and Avalonia UI helpers on Mac and Linux. Each host provider has its own GUI helper executable, meaning we currently bundle four (GitHub.UI, GitLab.UI, Atlassian.Bitbucket.UI, git-credential-manager.ui [for generic auth]) helpers in addition to the core git-credential-manager CLI executable. On Linux we use the ""publish as a single-file"" model for each of these executables, meaning we have a copy of the CLR included for each executable! That means five CLRs! Now that the Avalonia UI-based GUI helpers have matured, we can look at dropping the WPF helpers and reduce the effort required to ship new GUI by 50% (we no longer need to do everything twice: once with WPF and once with Avalonia UI). In addition, in a recent spike, I found that it may be possible to bring the Avalonia UI helpers in-process, with nearly zero net-new code. This would help reduce our installation footprint on Linux down to approximately 1/4 of the current size. The single executable model would also help decrease build times, and increase end-user performance since we no longer pay the process startup costs using external processes! We need to be mindful that this change may result in a small increase in the Windows installation as we now bring in extra libraries used to support Avalonia UI, whereas previously we relied on WPF libraries as included with Windows 'for free'. This is expected to be minimal. As for the current GUI extensibility model, we are not aware of any consumers, but it would not be much effort to keep the existing external process model, but now just default to using our in-process GUI options in the absence of external configuration. This still gives tools like VS or VSCode options to integrate native UI for GCM in the future. Initially, we are still keeping the WPF helpers around on Windows but disabled by default. We can drop these after at least one release using the in-proc Avalonia helpers. To switch back to the WPF helpers, use module or module."
30,windows: simplify Inno setup defn and reduce payload size,"To keep the size of the Windows distribution small, directly target the Win32 Avalonia packages rather than the Desktop package that includes macOS and Linux dependencies."
31,ui: draw window border on windows,
32,ui: fix textbox layout bug in v11,
33,ui: workaround AvaloniaUI/Avalonia #10296,
34,ui: add app version to about window,
35,ui: enable IDE Avalonia designer,
36,ui: fix deadlock in Avalonia runloop start on Windows,
37,ui: use custom window chrome on Windows,
38,ui: support dark theme base colour resources,Support dark theme resource dictionaries.
39,ui: target latest version of AvaloniaUI,
40,ui: only include Avn.Diagnostics in debug,
41,gitlab: move logos to resource files,
42,gitlab: simplify terminal/interaction checks,"Simplify where we check for user interaction and/or terminal prompts during authentication, to only need to check at the start of each module call. Note that is is a behaviour change - we now require user interaction to be allowed to perform authentication even with only 1 mode available. This is technically more 'correct' because when the user disables interactivity, we should never require interaction to continue. Although we are not asking the user to select a mode of authentication, we still either need them to enter a username/password, or respond to a browser OAuth flow."
43,gitlab: add in-proc UI implementation,
44,github: add in-proc UI implementation,
45,bitbucket: add in-proc UI implementation,
46,oauth: add in-proc UI implementation,
47,basic: add in-proc UI implementation,
48,docs: add bitbucket app password requirements (#1213),"Separate instructions for authentication into a new module file. For Password/Token authentication, add a callout that, when using an App Password, account read permissions are required. Closes #1119"
49,docs: add bitbucket app password requirements,Separate Bitbucket Authentication information for users from development information for developers. Use this opportunity to also add the permissions requirements for users attempting to authenticate to Bitbucket with an App Password.
50,build(deps): bump lycheeverse/lychee-action from 1.6.1 to 1.7.0 (#1206),Bumps link from 1.6.1 to 1.7.0.
51,ui: add window parent/cancellation helpers,
52,ui: set default GUI window title,
53,ui: default to showing GCM branding in generic prompts,
54,ui: use in-proc by default with fallback option for WPF,"Default to using the in-proc Avalonia GUI on all platforms, with a fallback flag that can be set on Windows to continue to use the legacy WPF, out-of-proc UI helpers."
55,gitlab: extract Helper and TTY prompt methods,
56,github: extract Helper and TTY prompt methods,
57,bitbucket: extract Helper and TTY prompt methods,
58,oauth: extract Helper and TTY prompt methods,
59,basic: rename ByUi method to ViaHelper,
60,gitlab: merge .UI.Avn and .UI in to GitLab,
