Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Prefer authority from wwwauth[] if present for Azure Repos (#1289),0.66754377,Enable Azure Repos OAuth-mode by default on DevBox (#1245),"Now that Git can forward on the WWW-Authenticate headers from the remote, we no longer need to make a second, redundant, HEAD query to the organisation URL to rediscover the header values. If we have been provided such a header from Git, use it in the first instance! Otherwise continue to make a HEAD query (and cache it). Note this only affects the OAuth mode, just as the authority caching only works here.",0
build(deps): bump DavidAnson/markdownlint-cli2-action from 10.0.1 to 11.0.0 (#1292),0.5001496,Release pipeline fixes #995 #1009 #1061,Bumps DavidAnson/markdownlint-cli2-action from 10.0.1 to 11.0.0.,0
install from source: designate arch linux as unsupported (#1291),0.41949117,Support macOS arm64 installs via Homebrew (#798) ,"Arch Linux was incorrectly added to the install-from-source script and accompanying validation as a .NET-supported distribution, when this is not actually the case. A list of supported distributions can be found here: link Instead of removing unsupported distros, we plan to print out a message notifying users that, while they can be installed, they are not officially validated or supported by the GCM project.",0
install from source: designate archlinux as unsupported,0.40325058,Support macOS arm64 installs via Homebrew (#798) ,"Arch Linux was incorrectly added to the install-from-source script and accompanying validation as a .NET-supported distribution, when this is not actually the case. A list of supported distributions can be found here: link Instead of removing unsupported distros, we plan to print out a message notifying users that, while they can be installed, they are not officially validated or supported by the GCM project.",0
build(deps): bump DavidAnson/markdownlint-cli2-action,0.417691,Release pipeline fixes #995 #1009 #1061,Bumps DavidAnson/markdownlint-cli2-action from 10.0.1 to 11.0.0. - Release notes - Commits updated-dependencies: - dependency-name: DavidAnson/markdownlint-cli2-action   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com,0
azrepos: look at wwwauth[] for authority in first instance,0.4522471,Generic OAuth support via config 🎉 #1062,"Use the new wwwauth[] header information from Git to determine the Azure authority for Azure Repos, before needing to resort to a cached value, or making a HEAD call.",0
Read new wwwauth[] input from Git 2.41 (#1288),0.570158,Add preliminary support for OAuth with GitHub AE (requires server support/changes) (#343),,0
Use 127.0.0.1 redirect over localhost for GitHub (#1286),0.55227315,"- Allow overriding the selection of host provider; also supports GitHub Enterprise scenarios (configuration option, migration guide for users of the credential.authority setting) (#59)","Use an IPv4 loopback redirect URL instead of the localhost name. This is in accordance with the recommendation in the OAuth spec^1 and also GitHub's documentation^3. Note that this change depends on an update to the Git Credential Manager OAuth application on GitHub to add the ""link/"" redirect (with a trailing slash!). We will be strictly adding the new URL, and keep the older localhost-based redirect URL untouched for older clients. The change to the OAuth app registration can occur before this is merged. Fixes #594 ",0
streamexttests: use AssertDictionary helper,0.32879582,Guard against null pipe client (#1135),,0
input: parse and surface wwwauth[] Git input args,0.5193073,Improved usability for GitHub auth (#587),Add the new wwwauth[] credential property to the input arguments surfaced to providers and commands.,0
dict: add support for read/writing multidictionaries,0.18846485,Create Linux plaintext store with safer directory permissions (#397),"Add support for reading and writing multi-dictionaries in Git's credential helper I/O format. Multi-dictionaries differ from normal dictionaries by being key:value relation 1:N. Git prepends ""[]"" to the end of keys that should be treated as lists or having mutliple values. An empty value in the list has the effect of cleaning/resetting the values in the list so far. The first multiple-valued key is expected to be 'wwwauth[]' from this patch series: link/",0
