Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
build(deps): bump github.com/evanw/esbuild from 0.18.3 to 0.18.4,0.90148133,build(deps): bump github.com/evanw/esbuild from 0.8.3 to 0.8.4 2f0917cc @dependabot[bot] ,Bumps github.com/evanw/esbuild from 0.18.3 to 0.18.4. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: github.com/evanw/esbuild   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,1
"Replace the old log setup, with structured logging etc.",0.6391284,Logging support,Fixes #11124,0
"Revert ""snap: Transition base snap from core20 to core22 (#11101)"" (#11125)",0.62824285,"Update to ""base: core20"" 243951eb @anthonyfok ",Closes #11116,0
build(deps): bump github.com/evanw/esbuild from 0.18.2 to 0.18.3,0.90328753,build(deps): bump github.com/evanw/esbuild from 0.15.16 to 0.15.18 535ea8cc @dependabot[bot] ,Bumps github.com/evanw/esbuild from 0.18.2 to 0.18.3. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: github.com/evanw/esbuild   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,1
Fix upstream Go templates bug with reversed key/value assignment,0.6264177,Handle truncated identifiers in Go template errors 2d7709d1 @bep #5346,"The template packages are based on go1.20.5 with the patch in befec5ddbbfbd81ec84e74e15a38044d67f8785b  added. This also includes a security fix that now disallows Go template actions in JS literals (inside backticks). This will throw an error saying ""... appears in a JS template literal"". If you're really sure this isn't a security risk in your case, you can revert to the old behaviour: toml [security] [security.gotemplates] allowActionJSTmpl = true See https://github.com/golang/go/issues/59234 Fixes #11112",0
build(deps): bump golang.org/x/sync from 0.2.0 to 0.3.0,0.8066553,build(deps): bump golang.org/x/tools from 0.2.0 to 0.3.0 63f7f0ff @dependabot[bot] ,Bumps golang.org/x/sync from 0.2.0 to 0.3.0. - Commits  updated-dependencies: - dependency-name: golang.org/x/sync   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,1
common/collections: Always make a copy of the input slice in Append,0.5223439,tpl/collections: Fix some index cases where the indices given is a slice and be more lenient with nil inputs d373774c @bep #10489 ,Fixes #10458.,0
tpl/collections: Fix append when appending a slice to a slice of slices,0.66204745,tpl/collections: Fix some index cases where the indices given is a slice and be more lenient with nil inputs d373774c @bep #10489 ,Fixes #11093,0
build(deps): bump google.golang.org/api from 0.123.0 to 0.127.0,0.8978863,build(deps): bump google.golang.org/api from 0.76.0 to 0.123.0 1a7d57c0 @dependabot[bot] ,Bumps google.golang.org/api from 0.123.0 to 0.127.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: google.golang.org/api   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,1
build(deps): bump golang.org/x/tools from 0.9.1 to 0.9.3,0.9275497,build(deps): bump golang.org/x/tools from 0.4.0 to 0.9.1 bba54e69 @dependabot[bot] ,Bumps golang.org/x/tools from 0.9.1 to 0.9.3. - Release notes - Commits  updated-dependencies: - dependency-name: golang.org/x/tools   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,1
Re-add site.RSSLink (and deprecate it),0.8005888,The deprecated .RSSlink is now removed. Use .RSSLink.,Fixes #11110,1
build(deps): bump github.com/kyokomi/emoji/v2 from 2.2.11 to 2.2.12,0.9538069,build(deps): bump github.com/kyokomi/emoji/v2 from 2.2.10 to 2.2.11 dd37163f @dependabot[bot] ,Bumps github.com/kyokomi/emoji/v2 from 2.2.11 to 2.2.12. - Release notes - Commits  updated-dependencies: - dependency-name: github.com/kyokomi/emoji/v2   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,1
build(deps): bump github.com/getkin/kin-openapi from 0.117.0 to 0.118.0,0.9682838,build(deps): bump github.com/getkin/kin-openapi from 0.107.0 to 0.108.0 24eaa290 @dependabot[bot] ,Bumps github.com/getkin/kin-openapi from 0.117.0 to 0.118.0. - Release notes - Commits  updated-dependencies: - dependency-name: github.com/getkin/kin-openapi   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,1
build(deps): bump golang.org/x/net from 0.10.0 to 0.11.0,0.88948685,build(deps): bump golang.org/x/net from 0.1.0 to 0.2.0 900904fd @dependabot[bot] ,Bumps golang.org/x/net from 0.10.0 to 0.11.0. - Commits  updated-dependencies: - dependency-name: golang.org/x/net   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,1
Fix .Width and .Height for animated gifs,0.70439446,resources/images: Fix 2 animated GIF resize issues 3a9cb7b0 @bep #10354 ,Fixes #11079,1
snap: Transition base snap from core20 to core22 (#11101),0.62223387,"Update to ""base: core20"" 243951eb @anthonyfok ", Syntax changes Bump Go from 1.19 to 1.20 Remove unused build tag logic (we only build the extended version),0
Merge commit '3c1deaf201a35de08d23cc58f8f03682cace3349',0.72350866,Merge branch 'release-0.86.1' 268065cb @bep ,,1
Squashed 'docs/' changes from 1d5548d73..85befbb4d,0.6227689,docs: Another fix related docs example d5601e83 @bep ,85befbb4d Update plainify.md 56e137043 Update comparison operators (#2104) 4241135e0 Front matter docu: improve link to TOML spec (#2102) 5115de3c0 netlify: Hugo 0.113.0 99b74a053 Merge branch 'temp01130' 1622d5d1a docs: Regenerate CLI docs adb4297eb netlify: Hugo 0.112.7 cd6813309 Update editors.md to include vim-hugo (#2098) f7c2406dd netlify: Hugo 0.112.6 b891028c3 docs: Regenerate CLI docs git-subtree-dir: docs git-subtree-split: 85befbb4dc2f526da99fa9f47d54a12e6282d36e,0
build(deps): bump gocloud.dev from 0.24.0 to 0.29.0,0.93587726,build(deps): bump gocloud.dev from 0.24.0 to 0.29.0 baa55690 @dependabot[bot] ,Bumps gocloud.dev from 0.24.0 to 0.29.0. - Release notes - Commits  updated-dependencies: - dependency-name: gocloud.dev   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,1
"tpl/math: Allow variadic math functions to take slice args, add math.Product, math.Sum",0.5669856,"tpl/math: Allow multi numbers in add, sub, mul, div, min and max 84201e8d @septs "," Update math.Min and math.Max to allow 1 or more args, either scalar or slice, or combination of the two Add math.Sum (allow 1 or more args, either scalar or slice, or combination of the two) Add math.Product (allow 1 or more args, either scalar or slice, or combination of the two)  Fixes #11030",0
Fix config merge regression with root slices (e.g. disableKinds),0.5382188,Fix config handling with empty config entries after merge 19aa95fc @bep #8701,Fixes #11089,0
build(deps): bump golang.org/x/image from 0.7.0 to 0.8.0,0.9288377,build(deps): bump golang.org/x/image from 0.5.0 to 0.7.0 9cea58a8 @dependabot[bot] ,Bumps golang.org/x/image from 0.7.0 to 0.8.0. - Commits  updated-dependencies: - dependency-name: golang.org/x/image   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,1
"commands: Remove flags log, verboseLog, add flag logLevel, deprecate flags verbose and debug",0.59314245,Make WARN the new default log log level 4b7d3e57 @bep #5203,Fixes #9648 Fixes #11071,0
build(deps): bump github.com/magefile/mage from 1.14.0 to 1.15.0,0.8094008,build(deps): bump github.com/magefile/mage from 1.13.0 to 1.14.0 9860e0e1 @dependabot[bot] ,Bumps github.com/magefile/mage from 1.14.0 to 1.15.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: github.com/magefile/mage   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,1
build(deps): bump github.com/pelletier/go-toml/v2 from 2.0.6 to 2.0.8,0.9459305,build(deps): bump github.com/pelletier/go-toml/v2 from 2.0.4 to 2.0.6 bafb389b @dependabot[bot] ,Bumps github.com/pelletier/go-toml/v2 from 2.0.6 to 2.0.8. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: github.com/pelletier/go-toml/v2   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,1
build(deps): bump github.com/evanw/esbuild from 0.17.19 to 0.18.2,0.91661847,build(deps): bump github.com/evanw/esbuild from 0.15.16 to 0.15.18 535ea8cc @dependabot[bot] ,Bumps github.com/evanw/esbuild from 0.17.19 to 0.18.2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: github.com/evanw/esbuild   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,1
Fix handling of aliases (e.g. hugo serve),0.6044494,Symlinks are not supported outside of the main project ((the project you run hugo or hugo server from).,Fixes #11090,0
cache: Set default cache path based on $USER,0.6127681,Allow to set cache dir in config file,"Change the default cache directory to $TMPDIR/hugo_cache_$USER, so that multi-user systems do not have caches that interfere with each other.  The other cache-choosing logic (e.g. Netlify exceptions, configuration options) are not affected. Fixes #7391",0
build(deps): bump go.uber.org/atomic from 1.10.0 to 1.11.0,0.92834795,build(deps): bump go.uber.org/atomic from 1.9.0 to 1.10.0 2de393c7 @dependabot[bot] ,Bumps go.uber.org/atomic from 1.10.0 to 1.11.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: go.uber.org/atomic   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,1
build(deps): bump github.com/hairyhenderson/go-codeowners,0.7484814,build(deps): bump golang.org/x/image 79b03b3f @dependabot[bot] ,Bumps github.com/hairyhenderson/go-codeowners from 0.2.3-0.20201026200250-cdc7c0759690 to 0.3.0. - Release notes - Commits  updated-dependencies: - dependency-name: github.com/hairyhenderson/go-codeowners   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,1
resources: Remove failing and superflous test assertion,0.57700026,Adjust  test assertion ab4e1dfa @bep #8625,,0
build(deps): bump github.com/frankban/quicktest from 1.14.4 to 1.14.5,0.93274456,build(deps): bump github.com/frankban/quicktest from 1.14.3 to 1.14.4 74776726 @dependabot[bot] ,Bumps github.com/frankban/quicktest from 1.14.4 to 1.14.5. - Commits  updated-dependencies: - dependency-name: github.com/frankban/quicktest   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,1
build(deps): bump github.com/mattn/go-isatty from 0.0.17 to 0.0.19,0.9545299,build(deps): bump github.com/mattn/go-isatty from 0.0.14 to 0.0.16 4219993b @dependabot[bot] ,Bumps github.com/mattn/go-isatty from 0.0.17 to 0.0.19. - Commits  updated-dependencies: - dependency-name: github.com/mattn/go-isatty   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,1
build(deps): bump github.com/spf13/afero from 1.9.3 to 1.9.5,0.9456842,build(deps): bump github.com/spf13/afero from 1.9.2 to 1.9.3 4b675ddd @dependabot[bot] ,Bumps github.com/spf13/afero from 1.9.3 to 1.9.5. - Release notes - Commits  updated-dependencies: - dependency-name: github.com/spf13/afero   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,1
"commands,config: Fix typo in log and error messages",0.6470777,Truncate the error log on repeated config errors 1e9ac3dc @bep ,,0
helpers: Avoid url.Parse in RelURL and AbsURL if we can,0.63181114,"absURL and relURL, both of which takes the BaseURL setting into account",``` RelURL-10            159ns ± 5%      18ns ± 4%   -88.89%  (p=0.029 n=4+4) AbsURL/relurl-10     532ns ± 0%     537ns ± 0%    +1.09%  (p=0.029 n=4+4) AbsURL/absurl-10     142ns ± 0%       4ns ± 3%   -96.91%  (p=0.029 n=4+4) name              old alloc/op   new alloc/op   delta RelURL-10             144B ± 0%        0B       -100.00%  (p=0.029 n=4+4) AbsURL/relurl-10      544B ± 0%      544B ± 0%      ~     (all equal) AbsURL/absurl-10      144B ± 0%        0B       -100.00%  (p=0.029 n=4+4) name              old allocs/op  new allocs/op  delta RelURL-10             1.00 ± 0%      0.00       -100.00%  (p=0.029 n=4+4) AbsURL/relurl-10      10.0 ± 0%      10.0 ± 0%      ~     (all equal) AbsURL/absurl-10      1.00 ± 0%      0.00       -100.00%  (p=0.029 n=4+4) ```,0
Adjust benchmarks,0.7979944,Adjust site benchmarks 4ed6ebef @bep ,,1
Adjust benchmark,0.78837097,Adjust site benchmarks 4ed6ebef @bep ,,1
Add BenchmarkAbsURL,0.6869941,Add another site benchmark dc1d4a92 @bep ,,0
helpers: Improve schema detection when creating relative URLs,0.59693104,Support for relative permalinks,Fixes #11080,0
helpers: Add a basic benchmark for RelURL,0.5828395,Make benchmark command more useful #2432,,0
config: Remove unexpected _merge keys introduced in author and social maps,0.5623179,Fix merge of config with map[string]string values. 4a9d408f @bep #8679,Fixes #11083,0
Upgrade to v2 of the Dart Sass Embedded Protocol,0.8983438,Update to Dart Sass Protocol beta6 441b11be @bep ,Fixes #11059,1
Fix indented SASS imports for Dart Sass,0.7317447,Add Dart Sass support cea15740 @bep #7380#8102,Fixes #11074,1
releaser: Prepare repository for 0.114.0-DEV,0.8506371,releaser: Prepare repository for 0.101.0-DEV 4daac654 @bep ,[ci skip],1
releaser: Bump versions for release of 0.113.0,0.88024604,releaser: Bump versions for release of 0.102.0 0ff4a932 @bep ,[ci skip],1
docs: Regenerate CLI docs,0.90563035,Regenerate CLI docs c8da8eb1 @bep ,,1
commands: Update CLI docs vs server and production,0.603102,Regenerate CLI docs c8da8eb1 @bep ,Fixes #11067,0
commands: Add TLS/HTTPS support to hugo server,0.8170013,"This release adds TLS/HTTPS support to hugo server (see cf38c73f and #11064  for details) entirely backed by mkcert. We still default to http which is recommended and good enough for 99% of the Hugo use, but there are some situations where you really need it."," commands: Add TLS/HTTPS support to hugo server  The ""auto cert"" handling in this PR is backed by mkcert (see link below). To get this up and running on a new PC, you can: hugo server trust hugo server --tlsAuto When --tlsAuto (or --tlsCertFile and --tlsKeyFile) is set and no --baseURL is provided as a flag, the server is started with TLS and https as the protocol. Note that you only need to run hugo server trust once per PC. If you already have the key and the cert file (e.g. by using mkcert directly), you can do: hugo server --tlsCertFile mycert.pem --tlsKeyFile mykey.pem See https://github.com/FiloSottile/mkcert Fixes #11064",1
releaser: Prepare repository for 0.113.0-DEV,0.8650468,releaser: Prepare repository for 0.102.0-DEV 15463f83 @bep ,[ci skip],1
releaser: Bump versions for release of 0.112.7,0.89152074,releaser: Bump versions for release of 0.102.0 0ff4a932 @bep ,[ci skip],1
