Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,"tpl: Add hasPrefix to the template funcs' ""smoke test""",0.5884933,tpl: Improve template funcs GoDoc cd1ed563 @bep ,,0
2,Make sure drafts etc. are not processed,0.5149134,make sure documentation intro text only appears once 8d725128 @TheHippo ,Fixes #10629 Fixes #10491,0
3,Release 0.40.1,0.7303726,Release 0.42.1 d67e843c @bep ,Fixes #10950,1
4,Release 0.39,0.73012936,Release 0.49.2 c397f2c0 @bep ,Updates #10953,1
5,Render main content language in root by default,0.5468286,"You can now have a top level cascade (or one per language, if needed) section in your site configuration (e.g. config.toml). This way you can control default front matter values from outside of the content files.",,0
6,releaser: Add release notes for 0.79.0,0.81493354,releaser: Add release notes for 0.89.4 [ci skip] f97da9ec @bep ,To allow publishDir to be set in config file.,1
7,Merge commit '6dbde8d731f221b027c0c60b772ba82dad759943',0.67347264,Add merge helper c98132e3 @bep ,Updates #10953,0
8,hugolib: Remove some superflous TODO comments,0.6820257,remove TODO comment about subfolders; handled by GoCDK blob URLs 5e83f425 @vangent ,Closes gohugoio/hugoDocs#1760,0
9,Add new TableOfContents Page variable (Markdown only),0.65975034,.Page.TableOfContents is good to go (but does not support shortcodes in headlines; this is unchanged),Updates #10947,0
10,Fixed link to Google Prettify,0.64438736,Revert sitemap template change to make the Google validator happy 5109ed520 @bep #3978,"We now have much improved end to end tests, so cut the building of the docs site to save some time of the PR builds.",0
11,Remove CODEOWNERS,0.6248811,Rename Codeowners() to CodeOwners() cff14144 @bep ,Updates #10947,0
12,deps: Update Blackfriday,0.8199688,Update blackfriday to v1.5.2 1cbb501b @dbirks ,Updates #10947,1
13,helpers: Improve the language prefix logic,0.5267711,"    ""language_code"" ""nb""",As in: Get the Kubernetes site to build with the new Hugo version. Updates #10947,0
14,Improve error message when no Babel installed,0.859429,Improve error message when no Babel installed 2fd0a5a6 @bep ,Updates #10947,1
15,"hugolib, output: Restrict Render to regular Pages",0.69087064,"The above fetches regular pages not of page or about type unless they are pinned. And finally, we exclude all pages with no images set in Page params.",Updates #10947,0
16,docs: Clarify Creating a New Theme,0.6342268,Creating a new theme,"I shouldn't have merged this without running the tests. This libray logs to stderr on init, which is a no go for us. Re. test failure: [stderr] 2023/05/17 18:21:04 maxprocs: Leaving GOMAXPROCS=2: CPU quota undefined This reverts commit 59050f97f637b7cb423e6f5b63e36c1ea973c183.",0
17,hugolib: Simplify Prev/Next,0.700173,Simplify Prev/Next 79dd7cb3 @bep ,Fixes #10950,1
18,Fix static sync issue with virtual mounts,0.88567704,Fix static sync issue with virtual mounts 166a394a @bep #6165,See link Updates #10947,1
19,docs: Add Emacs plugin easy-hugo,0.5910143,"Hugo 0.19 brings native Emacs Org-mode content support ( #1483 ), big thanks to @chaseadamsio.",,0
20,deploy: Add tests; fix Windows,0.6771209,Add tests; fix Windows 5dc6d0df @vangent ,Fixes #10941.,0
21,common/hugio: Fix CopyDir when fs is not OS,0.90010417,common/hugio: Fix CopyDir when fs is not OS c4bbc1ee @bep ,"Primary motivation is documentation, but it will also hopefully simplify the code. Also, Lower case the default output format names; this is in line with the custom ones (map keys) and how it's treated all the places. This avoids doing stringds.EqualFold everywhere. Closes #10896 Closes #10620",1
22,Take 2: Load templates from the Afero source fs,0.67430925,Templates,module Fixes #10942,0
23,docs: Add tutorialonfly.com to the showcase,0.56377596,Add a “Deployment with rsync” tutorial page #2658,,0
