Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,Limit Nav Header max lines of username and url to 2,0.5442727,Fix navigation drawer header when having a long server URL by @cyb3rko ,TranslucentStatusBar by default.,0
2,Update Share design,0.5365604,Update app design by @cyb3rko ,,0
3,Merge pull request #249 from quthla/change_wording,0.40876144,Rename some texts,,0
4,Show precise timestamp when pressing on message time (closes #90).,0.77361727,Show precise timestamp on click (#90 via #103 by @leopoldsedev),feat: observe network changes,1
5,Reformat lambda expressions,0.42199147,Rename some texts,"syncExec synced on the Listener instance, but it modified properties of the WebSocketConnection without synchronizing on the WebSocketConnection.",0
6,added some lines to get foreground notification (a little) less intrusive,0.7212664,Make the foreground notification less intrusive (#30 fxied in #33 by @ialokim),,1
7,Update sdk version 30,0.6063454,Increase targetSdkVersion to 33,Fix F-Droid metadata folder,0
8,Added local Picasso instance instead of singleton,0.3155188,Fix base64 markdown images,,0
9,Fix sportless issues,0.44046193,Fix release,,0
10,Add LogManager for reading the logs in react-native,0.5844552,Update log view after log is cleared,Co-authored-by: Jannis Mattheis contact@jmattheis.de,0
11,Add gif & tables plugin,0.5097425,Fix links inside tables (https://github.com/gotify/android/commit/e7b376a501b3436f7624f727584373612c2c081a),Separate Notification channels for each app,0
12,Add fastlane metadata and images,0.99765795,Add fastlane metadata + images,,1
13,Add Readme,0.37590545,Add copy logs button (#57 via #105 by @happymario),"The PicassoHandler doesn't really need access to the full list, as it only requires the application image.",0
14,Add LED light for message notifications,0.5898926,Change notification icon by @PanderMusubi,,0
15,Simplify and optimize Kotlin code snippets,0.48577148,Add compact message layout by @cyb3rko,,0
16,Version 2.0.0,0.5582055,Update dependencies,,0
17,deletebutton,0.74778974,Add delete application button (#150 by @p1gp1g),,1
18,Update code to use new client,0.54731834,Update app design by @cyb3rko ,Fix pink button background bug,0
19,Fix crash on delete (app|message|client),0.6650133,Add delete message undo (#99 by @leopoldsedev),,0
20,Add LogsActivity,0.6538495,Add logs button to login (#23),,0
21,Add client::notification.bigImageUrl extra,0.90654945,Add client::notification.bigImageUrl extra (#200 by @ngruychev),,1
