Index,Message,Description
1,resource: owner references must include a uid (#17169),
2,Update HCP bootstrapping to support existing clusters (#16916)," Persist HCP management token from server config  We want to move away from injecting an initial management token into Consul clusters linked to HCP. The reasoning is that by using a separate class of token we can have more flexibility in terms of allowing HCP's token to co-exist with the user's management token. Down the line we can also more easily adjust the permissions attached to HCP's token to limit it's scope. With these changes, the cloud management token is like the initial management token in that iit has the same global management policy and if it is created it effectively bootstraps the ACL system.  Update SDK and mock HCP server  The HCP management token will now be sent in a special field rather than as Consul's ""initial management"" token configuration. This commit also updates the mock HCP server to more accurately reflect the behavior of the CCM backend.  Refactor HCP bootstrapping logic and add tests  We want to allow users to link Consul clusters that already exist to HCP. Existing clusters need care when bootstrapped by HCP, since we do not want to do things like change ACL/TLS settings for a running cluster. Additional changes:   Deconstruct MaybeBootstrap so that it can be tested. The HCP Go SDK   requires HTTPS to fetch a token from the Auth URL, even if the backend   server is mocked. By pulling the hcp.Client creation out we can modify   its TLS configuration in tests while keeping the secure behavior in   production code.   Add light validation for data received/loaded.   Sanitize initial_management token from received config, since HCP will   only ever use the CloudConfig.MangementToken.   Add changelog entry "
3,APIGW: Update how status conditions for certificates are handled (#17115),"  Move status condition for invalid certifcate to reference the listener that is using the certificate   Fix where we set the condition status for listeners and certificate refs, added tests   Add changelog "
4,Merge pull request #5288 from hashicorp/NET-3648_fix (#17163),NET-3648: perform envoy version verification
5,Support Envoy's MaxEjectionPercent and BaseEjectionTime config entries for passive health checks (#15979),  Add MaxEjectionPercent to config entry   Add BaseEjectionTime to config entry   Add MaxEjectionPercent and BaseEjectionTime to protobufs   Add MaxEjectionPercent and BaseEjectionTime to api   Fix integration test breakage   Verify MaxEjectionPercent and BaseEjectionTime in integration test upstream confings   Website docs for MaxEjectionPercent and BaseEjection time   Add make docs to browse docs at http://localhost:3000   Changelog entry   so that is the difference between consul-docker and dev-docker   blah   update proto funcs   update proto    Co-authored-by: Maliz maliheh.monshizadeh@hashicorp.com
6,fixed aliases for sameness group (sameness_group) (#17161),
7,docs: fixup note about node scope for admin partitions (#17147),
8,TProxy integration test (#17103)," TProxy integration test Fix GHA compatibility integration test command  Previously, when test splitting allocated multiple test directories to a runner, the workflow ran go tests ""./test/dir1 ./test/dir2"" which results in a directory not found error. This fixes that."
9,[CC-4519] Include Consul NodeID in Envoy bootstrap metadata (#17139),"This is being added so that metrics sent to HCP can be augmented with the source node's ID. Opting not to add this to stats_tag out of caution, since it would increase the cardinality of metrics emitted by Envoy for all users. There is no functional impact to Envoy expected from this change."
10,proto-public: document resource service (#17119),
11,fix backward compat issue caused by localities being set to null when they are unset (#17144),
12,api: ensure empty locality field is not transmitted to Consul (#17137),
13,add acl filter logs (#17143),
14,add sameness intentions in api package (#17096),
15,Cleanup from unblocking the pipeline 🧹 (#17121),
16,testing: RunResourceService helper (#17068),
