Index,Message,Description
1,"[ui, deployments] Don't separate allocation groups based on their deployment health unless they're ""running"" (#17016)",  Group up non-running allocs regardless of deploymenthealth   Better asynchrony in test 
2,percy-specific css to hide table cells in the job status panel acceptance test (#17021),
3,Move the token JWT console log out of an interator (#17010),
4,docs: add more notes about artifact breaking changes in 1.5.0 (#17005),  changelog: note artifact breaking changes for 1.5.0   docs: add note about environment variables to artifact job spec docs   Update website/content/docs/job-specification/artifact.mdx   Co-authored-by: Luiz Aoqui luiz@hashicorp.com  Co-authored-by: Luiz Aoqui luiz@hashicorp.com
5,deps: update go-bexpr from 0.1.11 to 0.1.12 (#16991),Pulls in https://github.com/hashicorp/go-bexpr/pull/38 Fixes #16758
6,testing: improve fidelity of mock driver task restore (#16990),"While working on client status update improvements, I encountered problems getting tests with the mock driver to correctly restore. Unlike typical drivers the mock driver doesn't have an external source of truth for whether the task is running (ex. making API calls to dockerd or looking for a running PID), and so in order to make up that information, it re-parses the original task config. But the taskrunner doesn't call the encoding step for RecoverTask, only StartTask, so the task config the mock driver gets is missing data. Update the mock driver to stash the ""external"" state in the task state that we'll get from the task runner, so that we don't have to try to recover from the original TaskConfig anymore. This should bring the mock driver closer to the behavior of the other drivers."
7,docs: use appropriate file extension for autoscaler agent config. (#16993),
8,[ui] Fixed: Evaluations sidebar/response not scrollable (#16960),  Sets up a CSS grid for Evaluations sidebar   Flex seems more sensible for this actually   Tighten up the header margin   Percy found a diff; the expand button wasnt showing for view logs sidebar 
9,vars: ensure struct reciever names are consistent. (#16995),
10,scale: do not allow scaling of jobs with type system. (#16969),
11,tools: update dependencies and use tree set (#16974),  tools: bump go mod deps for tools module   tools: use treeset in tools/missing 
12,"[ui, feature] Job Page Redesign (#16932)","  [ui] Service job status panel (#16134)   it begins   Hacky demo enabled   Still very hacky but seems deece   Floor of at least 3 must be shown   Width from on-high   Other statuses considered   More sensible allocTypes listing   Beginnings of a legend   Total number of allocs running now maps over job.groups   Lintfix   base the number of slots to hold open on actual tallies, which should never exceed totalAllocs   Versions get yer versions here   Versions lookin like versions   Mirage fixup   Adds Remaining as an alloc chart status and adds historical status option   Get tests passing again by making job status static for a sec   Historical status panel click actions moved into their own component class   job detail tests plz chill   Testing if percy is fickle   Hyper-specfic on summary distribution bar identifier   Perhaps the 2nd allocSummary item no longer exists with the more accurate afterCreate data   UI Test eschewing the page pattern   Bones of a new acceptance test   Track width changes explicitly with window-resize   testlintfix   Alloc counting tests   Alloc grouping test   Alloc grouping with complex resizing   Refined the list of showable statuses   PR feedback addressed   renamed allocation-row to allocation-status-row   [ui, job status] Make panel status mode a queryParam (#16345)   queryParam changing   Test for QP in panel   Adding @tracked to legacy controller   Move the job of switching to Historical out to larger context   integration test mock passed func   [ui] Service job deployment status panel (#16383)   A very fast and loose deployment panel   Removing Unknown status from the panel   Set up oldAllocs list in constructor, rather than as a getter/tracked var   Small amount of template cleanup   Refactored latest-deployment new logic back into panel.js   Revert now-unused latest-deployment component   margin bottom when ungrouped also   Basic integration tests for job deployment status panel   Updates complete alloc colour to green for new visualizations only (#16618)   Updates complete alloc colour to green for new visualizations only   Pale green instead of dark green for viz in general   [ui] Job Deployment Status: History and Update Props (#16518)   Deployment history wooooooo   Styled deployment history   Update Params   lintfix   Types and groups for updateParams   Live-updating history   Harden with types, error states, and pending states   Refactor updateParams to use trigger component   [ui] Deployment History search (#16608)   Functioning searchbox   Some nice animations for history items   History search test   Fixing up some old mirage conventions   some a11y rule override to account for scss keyframes   Split panel into deploying and steady components   HandleError passed from job index   gridified panel elements   TotalAllocs added to deploying.js   Width perc to px   [ui] Splitting deployment allocs by status, health, and canary status (#16766)   Initial attempt with lots of scratchpad work   Style mods per UI discussion   Fix canary overflow bug   Dont show canary or health for steady/prev-alloc blocks   Steady state   Thanks Julie   Fixes steady-state versions   Legen, wait for it...   Test fixes now that we have a minimum block size   PR prep   Shimmer effect on pending and unplaced allocs (#16801)   Shimmer effect on pending and unplaced   Dont show animation in the legend   [ui, deployments] Linking allocblocks and legends to allocation / allocations index routes (#16821)   Conditional link-to component and basic linking to allocations and allocation routes   Job versions filter added to allocations index page   Steady state legends link   Legend links   Badge count links for versions   Fix: faded class on steady-state legend items   version link now wont show completed ones   Fix a11y violations with link labels   Combining some template conditional logic   [ui, deployments] Conversions on long nanosecond update params (#16882)   Conversions on long nanosecond nums   Early return in updateParamGroups comp prop   [ui, deployments] Mirage Actively Deploying Job and Deployment Integration Tests (#16888)   Start of deployment alloc test scaffolding   Bit of test cleanup and canary for ungrouped allocs   Flakey but more robust integrations for deployment panel   De-flake acceptance tests and add an actively deploying job to mirage   Jitter-less alloc status distribution removes my bad math   bugfix caused by summary.desiredTotal non-null   More interesting mirage active deployment alloc breakdown   Further tests for previous-allocs row   Previous alloc legend tests   Percy snapshots added to integration test   changelog "
13,Demo: NFS CSI Plugins (#16875),"Demo (and easily reproduce, locally) a CSI setup with separate controller and node plugins. This runs NFS in a container backed by a host volume and CSI controller and node plugins from rocketduck:   gitlab.com/rocketduck/csi-plugin-nfs Co-authored-by: Florian Apolloner florian@apolloner.eu Co-authored-by: Tim Gross tgross@hashicorp.com"
14,services: un-mark group services as deregistered if restart hook runs (#16905), services: un-mark group services as deregistered if restart hook runs  This PR may fix a bug where group services will never be deregistered if the group undergoes a task restart.   e2e: add test case for restart and deregister group service   cl: add cl   e2e: add wait for service list call 
15,build(deps): bump github.com/shoenig/test from 0.6.3 to 0.6.4 in /api (#16895),Bumps github.com/shoenig/test from 0.6.3 to 0.6.4. - Release notes - Commits  updated-dependencies: - dependency-name: github.com/shoenig/test   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
16,copywrite: excempt example assets from copywrite headers (#16971),
