Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
"chore: correct constructs docs ""Through Validations"" example",0.62766916,chore(docs): improve community documentation #1066,,0
fix(hcl2json): do not always overwrite global.performance,0.59244883,fix(hcl2json): don't overwrite crypto if it's set already #2282,"new node version already have a performance global, see link it contains many methods, see link when always overwriting it, other modules like undici which use the performance object won't work any more. in general using the performance object becomes unusable as soon as the @cdktf/hcl2json package is required. discussion/bug: link this PR adjusts the checked in sourcefile to the latest upstream version: link",0
fix(hcl2cdk): parse handling of null providers and aliases,0.72126776,fix(hcl2cdk): Convert null provider #1142,,1
chore: remove dependency updates,0.6745939,chore: ensure we run all tests on dependency updates #2323,We will onboard the tool run by security instead,0
chore: add 0.17 link to side-bar,0.83651173,chore(docs): add sidebar link #1674,,1
chore: update docs,0.8056644,chore(docs): Update docs link #1162,,1
chore: update changelog,0.72891617,chore(release): Update changelog to contain backported release for 0.10.4 #1773,,1
Update website/docs/cdktf/release/upgrade-guide-v0-17.mdx,0.6442849,chore: create upgrade guide #2494,Co-authored-by: Ansgar Mertens ansgar@hashicorp.com,0
chore: release 0.17,0.7607377,chore(docs): review cli reference #1158,,1
chore: update snapshot,0.6641624,chore(deps): add script to update all snapshot tests #1139,,0
chore: update tests,0.7358007,chore: ensure we run all tests on dependency updates #2323,,1
chore: adjust tests,0.5856615,chore(tests): Align workflow trigger #931,,0
chore: remove existing feature flags,0.920463,chore: remove existing feature flags #2937,I'm leaving the mechanism if we want to add new ones in the future,1
fix: complete revert of backend validation,0.5559433,fix(lib): Alternative Validation Approach #911,,0
"Revert ""chore: update api reference""",0.6621322,chore(docs): revert link change #1177,This reverts commit f20580064f2324394578479bfaa7513822f96b28.,0
refactor: remove attributePath function on scope,0.42071342,refactor,,0
chore: document removed fields,0.53781384,chore(docs): fix some docs #2483,,0
chore: remove more resources,0.5585787,chore(examples): clean up examples #2069,,0
refactor: change wording,0.7096432,refactor,Co-authored-by: Ansgar Mertens ansgar@hashicorp.com,1
"feat(provider-generator): allow removing big, cost intensive structures",0.93451273,"feat(provider-generator): allow removing big, cost intensive structures #2932",,1
chore: add list of attributes to be skipped,0.502001,chore(docs): Add Example for Complex input variables #2309,,0
chore: update example to latest aws provider,0.7814528,chore(examples): Use AWS provider 3.0 #1155,,1
chore: add failing test,0.5850686,chore(cli): fix typo in test assertion #1591,,0
chore: remove legacy comment,0.9268378,chore: remove legacy comment #2938,This was solved in #2375 already Closes #2532,1
chore: Add test for validation of repeat init,0.577836,chore: only trigger unit tests once #2362,,0
chore: Add test placeholder for repeated init testing,0.5756088,chore: split provider tests into one test per provider #1862,,0
fix: syntax error,0.6575229,fix: use correctly named syntax in comments #2562,,0
"fix(cli): Always run init, but selectively skip locking providers",0.9396098,"fix(cli): Always run init, but selectively skip locking providers #2617",Resolves #2616,1
refactor: exit after cdktf project commands finishes,0.9641102,refactor: exit after cdktf project commands finishes #2934,,1
chore: remove PR sizing,0.90774304,chore: remove PR sizing #2925,,1
chore: remove update snapshots CI job,0.9370806,chore: remove update snapshots CI job #2924,,1
chore: add missing dependency,0.6844524,chore: fix config for dependabot #1057,,0
fix(cli): exit ink app when done synthesizing,0.9439885,fix(cli): exit ink app when done synthesizing #2933,,1
chore: add comment,0.5510465,chore: Update contributing #2479,,0
chore: clean up not working performance profiling,0.5517844,chore: remove long-running hooks #2418,,0
fix: make memory monitoring more robust,0.5011537,fix: increase memory for integration:update command #1490,,0
chore: add required copyright headers,0.65168685,chore: ensure we have license header #1960,Signed-off-by: hashicorp-copywrite[bot] 110428419+hashicorp-copywrite[bot]@users.noreply.github.com,0
chore: add flag to documentation examples,0.60094035,chore(docs): Adds descriptions example drafts #1073,,0
feat(cli): print performance data via flag,0.6651301,feat(cli): add flag to display memory / time used for get and synth #2914,,0
previous was hard to find,0.3314023,Before,,0
use custom format flag,0.3098145,chore: document CI flag #1888,,0
chore: debug build example,0.6116621,chore(docs): document how to debug cdktf programs #1758,,0
chore: remove variable that doesn't exist,0.5464825,chore: document variable flags #2495,,0
chore: pin all workflows after update,0.9084018,chore: pin all workflows after update #2926,"This adds a step to the automated GitHub Action update job to pin all the workflows. If a new version hasn't been added to TSCCR yet, this effectively undoes the upgrade, the idea being the auto-update script will run again in a week, and hopefully in the meantime the new version will have been added to TSCCR. Note: hasn't been tested, as with all my GitHub Actions work, this will probably fail on first try. 😅",1
chore: fix CODEOWNERS,0.8118974,chore: fix CODEOWNERS #2921,Heimdall has already been helpful to me in flagging there was an error with our CODEOWNERS file; someone had departed the company and no longer has write access to the repo. We should avoid naming individuals and try to use teams instead for that reason. Also removed the line about branch protection rules because that may stop being true in the future as per new security policy that will be rolling out.,1
chore: undo custom node_options environment fix as it's already part of the github action,0.59961206,fix: don't overwrite all NODE_OPTIONS #2009,,0
fix: only add node heap settings on synth when needed,0.6586665,fix(cli): increase default max memory for node process when running app command for synth #1915,,0
chore: export bash variable,0.52526873,chore(docs): Fix Environment Variables and Best Practices #1839,,0
fix: Enable bigger heap size for building providers,0.5729786,fix(cli): increase default max memory for node process when running app command for synth #1915,,0
chore: wrap telemetry with try catch to prevent failures,0.6865647,chore(cli): send telemetry on errors #829,,0
fix: add robustness for project telem reporting,0.550321,feat(cli): Improve telemetry reporting #2840,,0
fix: unpack payload being sent in projectTelemetry,0.46308833,feat(cli): Improve telemetry reporting #2840,,0
"feat: add telemetry events for diff, destroy, and deploy",0.6293089,feat(cli): support refresh only option for diff and deploy #1851,,0
"feat: add language, provider, error info to synth events",0.5387945,feat(cli): include language used in cdktf init telemetry event #2123,,0
fix: empty payload in get events,0.43821356,Make sure tokens resolved before converting to json #439,,0
chore: fix typo,0.90204036,chore: fix typo #2316,,1
chore(cli): apply suggestions from code review,0.58054674,chore(docs): review cli reference #1158,Co-authored-by: Mutahhir Hayat mutahhir.hayat@hashicorp.com,0
fix(cli): reword message a bit,0.71776927,fix(cli): add better messaging on inint #1524,,1
fix(cli): Give hint when cdktf synth failed to create config,0.9532343,fix(cli): Give hint when cdktf synth failed to create config #2714,,1
chore: update inquirer,0.62513894,refactor(cli): upgrade inquirer to @inquirer/prompts #2853,,0
refactor(cli): upgrade inquirer to @inquirer/prompts,0.9665233,refactor(cli): upgrade inquirer to @inquirer/prompts #2853,They take up way less space and let us get rid of our rxjs dependency,1
fix(cli): remove unused folder that had been added into init template options,0.53839844,chore(docs): remove old layouts folder #1522,,0
refactor(cli): remove inquirer from cli-core,0.7002026,refactor(cli): upgrade inquirer to @inquirer/prompts #2853,,1
chore: update api reference,0.6738053,chore: document updating the API documentation #2046,,0
feat: add skip validation app option,0.41998047,feat(cli): throw an error if a user tries to create a new project with TFC on an old TF version #2062,,0
chore(lib): remove test.only and add another test case,0.6179118,chore: split up unit tests per package #2122,,0
feat(lib): Add validation for accidental backend reuse,0.53382313,feat(lib): throw error when a token is used in a construct name #1181,,0
fix(lib): fix cause for circular dependency in tests when importing app,0.59787184,fix(lib): Fix testing setup #1027,,0
add a test for non-computed case,0.3748352,test,,0
update snapshot,0.55904853,chore: remove update snapshots CI job #2924,,0
remove fail block,0.48325843,fix(docs): remove empty code block #2102,,0
test(provider-generator): Add failing test case for #2841,0.6977226,chore: split provider tests into one test per provider #1862,,0
fix(lib): Support List>,0.6497086,fix(lib): Support Computed List> #2850,,0
chore: add test helper for csharp,0.61339164,chore(hcl2cdk): add testing infrastructure for convert in Python & CSharp #2716,,0
chore: refactor to abstract synth,0.5217482,chore: Mock synth to make parallelism test fail less #2831,,0
chore: implement test setup for python,0.57618976,chore(hcl2cdk): add testing infrastructure for convert in Python & CSharp #2716,,0
refactor(hcl2cdk): move project setup into functions to make it language specific,0.5225584,fix(hcl2cdk): Always using module binding for convert command #1120,,0
feat: make testing more resilient towards usage with app.synth,0.92789865,feat: make testing more resilient towards usage with app.synth #2762,,1
chore: add merge queue and remove timechart,0.94123137,chore: add merge queue and remove timechart #2909,,1
feat(provider-generator): Add docstring to main class generated for modules,0.93753016,feat(provider-generator): Add docstring to main class generated for modules #2589,includes link to the Terraform Registry if the module is sourced from there,1
Fix typo,0.7583974,Fix typo in execTerraformSynth #554,Rung -> Run,1
