Index,Release Note
1,"BUG FIXES:

resource/aws_appautoscaling_target: Fix module related to link introduced in link (link)
"
2,"NOTES:

resource/aws_instance: The module argument is deprecated in favor of the module block. The module block can set module (link)
resource/aws_instance: The module argument is deprecated in favor of the module block. The module block can set module (link)

FEATURES:

New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)

ENHANCEMENTS:

data-source/aws_autoscaling_group: Add module attribute (link)
data-source/aws_autoscaling_group: Add module attribute (link)
data-source/aws_autoscaling_group: Add module attribute (link)
data-source/aws_autoscaling_group: Add module attribute (link)
data-source/aws_autoscaling_group: Add module attribute (link)
data-source/aws_autoscaling_group: Add module attribute (link)
data-source/aws_autoscaling_group: Add module attribute (link)
datasource/aws_launch_template: Add module attribute (link)
resource/aws_appautoscaling_policy: Add module to the module configuration block in support of link (link)
resource/aws_appautoscaling_target: Add module attribute (link)
resource/aws_appautoscaling_target: Add module argument and module attribute to support resource tagging (link)
resource/aws_autoscaling_group: Add module attribute (link)
resource/aws_autoscaling_group: Add module attribute (link)
resource/aws_directory_service_conditional_forwarder: Add plan time validation for module (link)
resource/aws_directory_service_directory: Correct plan time validation for module (link)
resource/aws_elasticache_user: Add support for defining custom timeouts (link)
resource/aws_fsx_lustre_file_system: Add module argument (link)
resource/aws_glue_catalog_database: Add tagging support (link)
resource/aws_grafana_workspace: Make module optional so that its value can be specified in configuration (link)
resource/aws_instance: Add module argument (link)
resource/aws_instance: Add module argument (link)
resource/aws_lambda_function: Add support for module module value (link)
resource/aws_lambda_layer_version: Add support for module module value (link)
resource/aws_launch_template: Add module argument (link)
resource/aws_medialive_channel: Added H265 support. (link)
resource/aws_rds_cluster_role_association: Add configurable Create and Delete timeouts (link)
resource/aws_redshift_scheduled_action: Add plan time validation for module argument (link)
resource/aws_redshiftserverless_workgroup: Add support for defining custom timeouts (link)
resource/aws_sagemaker_domain: Add module, module, and module arguments (link)
resource/aws_sagemaker_endpoint_configuration: Add module and module arguments (link)
resource/aws_sagemaker_user_profile: Add module and module arguments (link)
resource/aws_servicecatalog_provisioning_artifact: Add module attribute (link)
resource/aws_sfn_state_machine: Add configurable timeouts (link)
resource/aws_spot_fleet_request: Add 'aws_spot_fleet_request.context' argument (link)
resource/aws_vpn_connection: Add module and module arguments (link)

BUG FIXES:

data-source/aws_nat_gateway: Guarantee that all attributes are set when the NAT Gateway is associated with a single address (link)
data-source/aws_networkfirewall_firewall_policy: Add module attribute, fixing module error (link)
resource/aws_connect_routing_profile: Remove the limit on the maximum number of queues that can be associated with a routing profile. Batch processing is now done when there are more than 10 queues associated or disassociated at a time. (link)
resource/aws_db_instance: Consider module a valid pending state for resource deletion (link)
resource/aws_inspector2_enabler: Correctly supports module resource scanning (link)
resource/aws_inspector2_enabler: Correctly supports multiple accounts (link)
resource/aws_inspector2_enabler: No longer calls module API for status checking (link)
resource/aws_nat_gateway: Guarantee that all attributes are set when the NAT Gateway is associated with a single address (link)
resource/aws_rds_cluster_instance: Consider module a valid pending state for resource deletion (link)
resource/aws_servicecatalog_provisioned_product: Changes in the provisioning_artifact_name attribute are now reflected correctly in AWS (link)
resource/aws_servicecatalog_provisioned_product: Fix module update handling (link)
"
3,"NOTES:

data-source/aws_db_instance: With the retirement of EC2-Classic themodule attribute has been deprecated and will be removed in a future version (link)
data-source/aws_elasticache_cluster: With the retirement of EC2-Classic themodule attribute has been deprecated and will be removed in a future version (link)
data-source/aws_launch_configuration: With the retirement of EC2-Classic themodule and module attributes have been deprecated and will be removed in a future version (link)
data-source/aws_redshift_cluster: With the retirement of EC2-Classic the module attribute has been deprecated and will be removed in a future version (link)
resource/aws_config_organization_custom_policy_rule: Because we cannot easily test this functionality, it is best effort and we ask for community help in testing (link)

FEATURES:

New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)

ENHANCEMENTS:

data-source/aws_ami_ids: Add module argument (link)
data-source/aws_backup_report_plan: Add module, module and module attributes to the module block (link)
data-source/aws_imagebuilder_image: Add module attribute to the module block (link)
resource/aws_appstream_stack: Add module attribute (link)
resource/aws_backup_report_plan: Add module, module and module attributes to the module block (link)
resource/aws_chime_voice_connector_streaming: Add module argument (link)
resource/aws_db_subnet_group: Add module attribute (link)
resource/aws_fis_experiment_template: Add support for module Network Actions to module (link)
resource/aws_gamelift_game_session_queue: Add module argument (link)
resource/aws_imagebuilder_image: Add module attribute to the module block (link)
resource/aws_networkfirewall_rule_group: Add limit for module (link)
resource/aws_networkmanager_core_network: Wait for the network policy to be in the module state before executing any changes (link)
resource/aws_s3outposts_endpoint: Add module and module arguments (link)
resource/aws_wafv2_web_acl: Add module argument (link)
various IAM resource types: more detailed error messages for invalid policy document JSON (link)

BUG FIXES:

resource/aws_api_gateway_api_key: Fix module minimum length verification when specified. (link)
resource/aws_apprunner_service: Allow additional module and module values (link)
resource/aws_dms_replication_task: Fix perpetual diff on dms replication_task settings (link)
resource/aws_ds_shared_directory: Properly handle paged response objects on read (link)
resource/aws_ecs_service: Fix removal of module configuration block (link)
resource/aws_redshiftdata_statement: Fix module errors reading expired statements (link)
resource/aws_vpc_endpoint_route_table_association: Retry resource Create for EC2 eventual consistency (link)
resource/aws_vpc_endpoint_service_allowed_principal: Fix module error (link)
"
4,"FEATURES:

New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)

ENHANCEMENTS:

data-source/aws_cloudfront_response_headers_policy: Add module attribute (link)
data-source/aws_ecs_task_definition: Add module attribute (link)
data-source/aws_eks_node_group: Add module attribute (link)
data-source/aws_iam_role: Add module attribute (link)
data-source/aws_kms_key: Add module, module, module, module, and module attributes (link)
data-source/aws_lakeformation_data_lake_settings: Add module, module and module attributes (link)
data-source/aws_outposts_outpost: Add module, module, module and module attributes (link)
data-source/aws_servicequotas_service_quota: Add module attribute (link)
data-source/aws_subnet: Add module attribute (link)
resource/aws_appsync_datasource: Add module argument (link)
resource/aws_cloudfront_response_headers_policy: Add module argument (link)
resource/aws_cloudwatch_event_target: Add module argument (link)
resource/aws_cloudwatch_metric_stream: Add module argument (link)
resource/aws_dms_replication_instance: Increase default timeout for module (link)
resource/aws_eks_node_group: Add plan time validation to module and module arguments (link)
resource/aws_elastic_beanstalk_application: Add plan time validation to module and module arguments (link)
resource/aws_emr_cluster: Add module argument (link)
resource/aws_fis_experiment_template: Add support for module Network Actions to module (link)
resource/aws_iam_role: Add module attribute (link)
resource/aws_iot_topic_rule: Add module, module, module, module, module and module arguments (link)
resource/aws_kinesis_firehose_delivery_stream: Add module block (link)
resource/aws_kinesis_firehose_delivery_stream: Add module as a valid module value (link)
resource/aws_lakeformation_data_lake_settings: Add module, module and module arguments (link)
resource/aws_lambda_event_source_mapping: Add module configuration block (link)
resource/aws_lambda_function: Add support for module module value (link)
resource/aws_lambda_layer_version: Add support for module module value (link)
resource/aws_main_route_table_association: Add configurable timeouts (link)
resource/aws_route: Allow module value of module when updating a Route (link)
resource/aws_route_table_association: Add configurable timeouts (link)
resource/aws_s3_bucket: Correct S3 Object Lock error handling for third-party S3-compatible API implementations (link)
resource/aws_s3_bucket_object_lock_configuration: Correct error handling for third-party S3-compatible API implementations (link)
resource/aws_securityhub_account: Add module, module and module attributes (link)
resource/aws_servicequotas_service_quota: Add module attribute (link)
resource/aws_ssoadmin_account_assignment: Extend timeout delay and min timeout (link)
resource/aws_ssoadmin_permission_set: Extend timeout delay and min timeout (link)
resource/aws_subnet: Add module attribute (link)
resource/aws_vpc_endpoint_service_allowed_principal: Changed id to use ServicePermissionId (link)
resource/aws_wafv2_rule_group: Add module argument (link)
resource/aws_wafv2_rule_group: Add module argument (link)
resource/aws_wafv2_web_acl: Add module and module arguments (link)

BUG FIXES:

data-source/aws_lakeformation_permissions: Change module from module to module as order is not significant (link)
data-source/aws_lakeformation_permissions: Remove limit on number of module blocks (link)
resource/aws_cloudwatch_event_rule: Add retry to read step, resolving module error (link)
resource/aws_default_vpc: Fix adoption of default VPC with generated IPv6 (link)
resource/aws_dx_gateway: Remove plan time validation from module argument (link)
resource/aws_ecs_service: Fix error importing service with an IAM role with a path (link)
resource/aws_fsx_windows_file_system: Increase module first to avoid module errors (link)
resource/aws_lakeformation_permissions: Change module from module to module as order is not significant (link)
resource/aws_lakeformation_permissions: Change module, module, module, module, module and module to link (link)
resource/aws_lakeformation_permissions: Remove limit on number of module blocks (link)
resource/aws_lambda_event_source_mapping: Fix IAM eventual consistency errors on resource Update (link)
resource/aws_medialive_channel: Fix to properly expand module field (link)
resource/aws_networkfirewall_firewall_policy: Fix unexpected module updates from module to module (link)
resource/aws_networkfirewall_rule_group: Fix unexpected module updates from module to module (link)
resource/aws_quicksight_data_set: Correct custom_sql documentation (link)
resource/aws_quicksight_data_set: Correctly persist module field (link)
resource/aws_quicksight_data_set: Fix to properly expand module field (link)
resource/aws_quicksight_data_set: Fix to properly flatten module field (link)
resource/aws_sagemaker_app: Fix crash when app is not found (link)
resource/aws_sns_topic: Fix IAM eventual consistency error creating SNS topics with ABAC-controlled permissions (link)
resource/aws_vpc: Don't overwrite any configured value for module with IPAM Managed (link)
"
5,"FEATURES:

New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)

ENHANCEMENTS:

data-source/aws_dx_connection: Add module attribute (link)
data-source/aws_lambda_function_url: Add module attribute (link)
data-source/aws_nat_gateway: Add module attribute (link)
data-source/aws_sagemaker_prebuilt_ecr_image: Added sagemaker-model-monitor-analyzer images (link)
resource/aws_acmpca_certificate: Add module argument (link)
resource/aws_api_gateway_rest_api: Added module attribute (link)
resource/aws_dx_connection: Add module attribute (link)
resource/aws_dx_gateway: Add plan time validation to module argument (link)
resource/aws_dx_gateway: Allow updates to module without forcing resource replacement (link)
resource/aws_ec2_client_vpn_route: Increase Create and Delete timeouts to 4 minutes (link)
resource/aws_lambda_function_url: Add module attribute (link)
resource/aws_mwaa_environment: Add module and module attributes (link)
resource/aws_nat_gateway: Add module attribute (link)
resource/aws_servicecatalog_provisioned_product: Surfaces more clear error message when resource fails to apply (link)
resource/aws_wafv2_web_acl: Add module to module configuration block (link)

BUG FIXES:

resource/aws_batch_compute_environment: Fix crash when module is empty (link)
resource/aws_cognito_managed_user_pool_client: Allow removing module (link)
resource/aws_cognito_user_pool_client: Allow removing module (link)
resource/aws_db_instance: Allow module and module to be set when module is set (link)
resource/aws_db_instance: Fixes panic when updating module (link)
resource/aws_dynamodb_table_item: Would report spurious diffs when List and Map attributes were changed out-of-band (link)
resource/aws_elasticache_user_group: Change module to link (link)
resource/aws_launch_template: Fix crash when module is empty (link)
resource/aws_msk_serverless_cluster: Change module to Computed (link)
resource/aws_quicksight_data_set: Fix to properly send module when set (link)
resource/aws_quicksight_data_set: Fix to properly send module when set (link)
resource/aws_rds_cluster: Prevent module from causing errors on minor upgrades (link)
resource/aws_rds_cluster_parameter_group: Fixes differences being reported on every apply when setting system-source parameters (link)
"
6,"FEATURES:

New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)

ENHANCEMENTS:

data-source/aws_route_table: Ignore routes managed by VPC Lattice (link)
data-source/aws_secretsmanager_secret: Add module and module attributes (link)
data-source/aws_secretsmanager_secret_rotation: Add module and module attributes (link)
resource/aws_default_route_table: Ignore routes managed by VPC Lattice (link)
resource/aws_emrserverless_application: Add module field (link)
resource/aws_imagebuilder_container_recipe: Add module field (link)
resource/aws_route_table: Ignore routes managed by VPC Lattice (link)
resource/aws_s3_bucket:  Enable S3-compatible providers with no support for bucket tagging (link)
resource/aws_sagemaker_endpoint_configuration: Add module argument (link)
resource/aws_sagemaker_feature_group: Add module to the module configuration block (link)
resource/aws_secretsmanager_secret: Add module and module attributes to module configuration block (link)
resource/aws_secretsmanager_secret_rotation: Add module and module attributes to module configuration block (link)

BUG FIXES:

resource/aws_ce_cost_category: Fixed module being reset on any changes despite module having the same value (link)
resource/aws_db_instance: Fix crash when updating module (link)
resource/aws_glue_crawler: Fix InvalidInputException error string matching (link)
resource/aws_glue_trigger: Fix InvalidInputException error string matching (link)
resource/aws_medialive_channel: Fix attribute module spelling in module (link)
resource/aws_rds_cluster: Fix crash when updating module (link)
resource/aws_rds_cluster: Fix inconsistent final plan errors when module updates are not applied immediately (link)
resource/aws_rds_cluster: Send module on all modify requests when set (link)
resource/aws_rds_cluster_instance: Fix inconsistent final plan errors when module updates are not applied immediately (link)
resource/aws_rds_instance: Fix inconsistent final plan errors when module updates are not applied immediately (link)
resource/aws_s3_bucket_lifecycle_configuration: Allow module = 0 (link)
resource/aws_scheduler_schedule: Mark module property of module as a required property (link)
"
7,"FEATURES:

New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)

ENHANCEMENTS:

data-source/aws_db_instance: Add module attribute (link)
data-source/aws_globalaccelerator_accelerator: Add module attribute (link)
data-source/aws_rds_cluster: Add module attribute (link)
resource/aws_appmesh_gateway_route: Add module, module and module to the module and module configuration blocks (link)
resource/aws_appmesh_gateway_route: Add module to the module, module and module configuration blocks to support Virtual Services with multiple listeners (link)
resource/aws_appmesh_gateway_route: Add module to the module configuration block (link)
resource/aws_appmesh_route: Add module and module to the module and module configuration blocks (link)
resource/aws_appmesh_route: module and module are Optional (link)
resource/aws_appmesh_virtual_node: Add module and module to the module configuration block (link)
resource/aws_db_instance: Add module, module and module arguments to support RDS managed master password in Secrets Manager (link)
resource/aws_globalaccelerator_accelerator: Add module attribute (link)
resource/aws_lakeformation_lf_tag: Increase values MaxItem up to 1000 to match with AWS real limit (link)
resource/aws_rds_cluster: Add module, module and module arguments to support RDS managed master password in Secrets Manager (link)
resource/aws_sagemaker_endpoint_configuration: Add module and module arguments (link)

BUG FIXES:

datasource/aws_ecs_task_execution: Fix type assertion panic on module attribute (link)
datasource/aws_ecs_task_execution: Fix type assertion panic on module attribute (link)
datasource/aws_ecs_task_execution: Fix type assertion panic on module attribute (link)
resource/aws_appmesh_virtual_router: module is Optional (link)
resource/aws_fsx_openzfs_file_system: Fix module validation in module to allow values for module and module (link)
resource/aws_lakeformation_lf_tag: Fix support for lf-tag keys with colons in the name (link)
resource/aws_launch_template: Allow module to be applied when module is not configured (link)
resource/aws_ssm_activation: Fix IAM eventual consistency errors on resource Create (link)
resource/aws_ssm_document: Correctly set module, module, module, module and module as Computed when module changes (link)
resource/aws_wafv2_ip_set: Fix module on module to detect changes for unknown values (link)
"
8,"FEATURES:

New Data Source: module (link)
New Data Source: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)

ENHANCEMENTS:

data-source/aws_ecs_cluster: Add module attribute (link)
resource/aws_appmesh_virtual_gateway: Add module configuration block (link)
resource/aws_appmesh_virtual_node: Add module configuration block (link)
resource/aws_rds_cluster: Conflict module and module attributes, preventing misleading results on restore (link)
resource/aws_securityhub_account: Add module argument (link)
resource/aws_securityhub_member: module is Optional (link)

BUG FIXES:

data-source/aws_appmesh_mesh: Don't attempt to list tags if the current AWS account is not the mesh owner (link)
data-source/aws_appmesh_virtual_service: Don't attempt to list tags if the current AWS account is not the mesh owner (link)
resource/aws_apigateway_domain_name: Add ability to update module in place (link)
resource/aws_apigatewayv2_domain_name: Add ability to update module in place (link)
resource/aws_appmesh_gateway_route: Use configured module when deleting shared gateway route (link)
resource/aws_appmesh_route: Use configured module value when deleting shared route (link)
resource/aws_appmesh_virtual_gateway: Use configured module value when deleting shared virtual gateway (link)
resource/aws_appmesh_virtual_node: Use configured module value when deleting shared virtual node (link)
resource/aws_appmesh_virtual_router: Use configured module value when deleting shared virtual router (link)
resource/aws_appmesh_virtual_service: Use configured module value when deleting shared virtual service (link)
resource/aws_cognito_risk_configuration: Adds validation to module and requires at least one of module, module, or module. (link)
resource/aws_medialive_channel: Change module to module on module, to get more precise actions from plan output (link)
resource/aws_medialive_channel: Fix type casting for module in module (link)
resource/aws_medialive_channel: Fix type casting of module, module and module for module (link)
resource/aws_opsworks_application: Don't return an error like module after successful Delete (link)
resource/aws_pinpoint_app: Don't return an error like module after successful Delete (link)
resource/aws_placement_group: Change module to Computed (link)
resource/aws_security_group: Improve respect for delete timeout set by user and retry of certain errors (link)
resource/aws_transfer_server: Fix error refreshing module value (link)
"
9,"NOTES:

resource/aws_connect_queue: The module attribute is being deprecated in favor of module (link)
resource/aws_connect_routing_profile: The module attribute is being deprecated in favor of module (link)

FEATURES:

New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)
New Resource: module (link)

ENHANCEMENTS:

aws_cognito_user_pool_domain: Add ability to update module in place (link)
data-source/aws_aws_lb: Add module, module and module attributes (link)
data-source/aws_ce_cost_category: Add module attribute (link)
data-source/aws_dynamodb_table: Add module attribute (link)
data-source/aws_opensearch_domain: Add module attribute (link)
resource/aws_amplify_domain_association: Add module argument (link)
resource/aws_appflow_flow: Add attribute module to module in module (link)
resource/aws_appsync_datasource: Add module argument to support AppSync EventBridge data sources (link)
resource/aws_aws_lb: Add module, module and module arguments (link)
resource/aws_batch_compute_environment: Allow a maximum of 2 modules (link)
resource/aws_cloudwatch_metric_alarm: Add module parameter to module (link)
resource/aws_cloudwatch_metric_alarm: Add validation to module parameter of module (link)
resource/aws_cognito_user_pool_domain: Add module and module attributes (link)
resource/aws_dynamodb_table: Add module argument (link)
resource/aws_ecs_task_definition: Add module attribute (link)
resource/aws_elasticache_user: Add module argument (link)
resource/aws_fms_policy: Add module argument (link)
resource/aws_fsx_openzfs_file_system: Add support for module module (link)
resource/aws_glue_crawler: Add module attribute to the module configuration block (link)
resource/aws_inspector2_organization_configuration: Add module attribute to module configuration block (link)
resource/aws_instance: Add ability to update module in place (link)
resource/aws_lb_target_group: Add module argument (link)
resource/aws_opensearch_domain: Add module attribute (link)
resource/aws_qldb_ledger: Add configurable timeouts (link)
resource/aws_s3_bucket: Add error handling for module errors when reading module, module, module, module, or module into terraform state. (link)
resource/aws_securityhub_organization_configuration: Add module attribute (link)
resource/aws_wafv2_web_acl_association: Add configurable timeout for Create (link)

BUG FIXES:

data-source/aws_opensearch_domain: Add missing module attribute (link)
resource/aws_api_gateway_integration: Fix bug that cleared unchanged module values on Update (link)
resource/aws_apigatewayv2_integration: Retry errors like module (link)
resource/aws_budgets_action: Extend and add configurable timeouts for create and update (link)
resource/aws_cognito_user_pool: Remove link from module and module allowing their values to be removed (link)
resource/aws_cognito_user_pool: module is Optional+Computed (link)
resource/aws_ecr_repository: Fix unhandled errors and nil output on read (link)
resource/aws_elasticache_user: Change module to link (link)
resource/aws_elasticsearch_domain: Remove upper bound validation for module as the 1,000 MB/s limit can be raised (link)
resource/aws_lambda_function: Fix empty environment variable update (link)
resource/aws_lightsail_domain_entry: Allow for the domain entry to begin with an underscore. (link)
resource/aws_lightsail_domain_entry: Moved the error handling of an improperly formatted ID to be before attempting to access the id_parts. This will cause a proper empty resource message instead of a panic when ID is not properly formed. (link)
resource/aws_lightsail_instance: Added a check to ensure that the availability_zone value is within the current region of the provider. (link)
resource/aws_lightsail_instance: Fix module validation to allow instances to start with a numeric character (link)
resource/aws_medialive_channel: Fix setting of module and module for module. (link)
resource/aws_medialive_channel: Fix setting of module for module. (link)
resource/aws_medialive_channel: Fix spelling for attribute module and correct type for module in module (link)
resource/aws_medialive_channel: Removed module flag from module and module in module (link)
resource/aws_medialive_channel: Removed module flag from module, ´ac3_settingsmoduleeac3_atmos_settingsmoduleeac3_settingsmodulemp2_settingsmodulepass_through_settingsmodulewav_settingsmodulecodec_settings`. (link)
resource/aws_neptune_cluster: Change lower bound validation for module to 1 Neptune Capacity Unit (NCU) (link)
resource/aws_network_acl_association: Add retry to read step, resolving module error (link)
resource/aws_opensearch_domain: Remove upper bound validation for module as the 1,000 MB/s limit can be raised (link)
resource/aws_route: Allow module to be specified for a module target (link)
resource/aws_sagemaker_endpoint_configuration: Fix module generation when unset (link)
"
10,"FEATURES:

New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Data Source: module (link)
New Resource: module (link)
New Resource: module (link)

ENHANCEMENTS:

data-source/aws_ec2_transit_gateway_attachment: Add module and module attributes (link)
data-source/aws_instances: Add module attribute (link)
resource/aws_acm_certificate: Change module to module (link)
resource/aws_amplify_domain_association: Add module argument (link)
resource/aws_cloudhsm_v2_hsm: Enforce module for module and module arguments (link)
resource/aws_db_instance: Add module attribute (link)
resource/aws_db_instance: Add plan time validations for module, module, and module (link)
resource/aws_flow_log: Add module argument (link)
resource/aws_grafana_workspace: Add module argument (link)
resource/aws_sesv2_configuration_set: Add module argument (link)
resource/aws_transfer_server: Add module argument (link)
resource/aws_transfer_workflow: Add module to the module and module configuration blocks (link)
resource/db_snapshot: Add module argument (link)

BUG FIXES:

resource/aws_acm_certificate: Update module in place rather than replacing the resource (link)
resource/aws_batch_job_definition: Prevents perpetual diff when container properties environment variable has empty value. (link)
resource/aws_elastic_beanstalk_configuration_template: Map errors like module to module so module correctly removes the resource from state (link)
resource/aws_flow_log: Fix IAM eventual consistency errors on resource Create (link)
resource/aws_grafana_workspace: Allow removing module (link)
resource/aws_medialive_channel: Fix setting of the module attribute in module (link)
resource/aws_medialive_channel: Fix setting of the module attribute in module (link)
"
