Index,Message,Description
1,v3.54.0,
2,Update CHANGELOG.md #21514,
3,New Resource : azurerm_storage_mover_job_definition (#21514),
4,Update CHANGELOG.md #21526,
5,azurerm_email_communication_service - New resource (#21526),
6,Contributor docs: fix the build and use a stable tag for mkdocs-deploy-gh-pages action (#21580),
7,azurerm_redis_cache - Fix the issue about data persistence could not be switched (#20286),
8,azurerm_container_registry_token_password - Eliminate callilng listCredentials (#21481),
9,d/azurerm_platform_image: fix crash for empty image list (#21471),
10,Update CHANGELOG.md for #21555,
11,azurerm_active_directory_domain_service - domain_name now supports a length of 30 (#21555),
12,Additional changelog notice for #21583,
13,Update CHANGELOG.md for #21583,
14,dependencies: updating to v0.20230427.1112058 of github.com/hashicorp/go-azure-sdk (#21583),Co-authored-by: Steph steph@hashicorp.com
15,refactor: removing a rogue reference to the Track1 Attestation SDK (#21582),
16,refactor: updating images to use hashicorp/go-azure-sdk (#21435),  refactor: updating images to use hashicorp/go-azure-sdk   linting   cleanup: removing a duplicate set line   check OsDisk and DataDisks from users config   make fmt   Fix tests   Fix TestAccDataSourceAzureRMImages_basic    Co-authored-by: Steph steph@hashicorp.com Co-authored-by: Matthew mbfrahry@gmail.com
17,Doc: Add a useful example (#21570),
18,bump attestation data plane to 2022-08-01 (#21560),
19,Fix linter error on d/netapp_volume_group_sap_hana,
20,Update CHANGELOG.md for #21090,
21,New Resource: azurerm_cosmosdb_postgresql_cluster (#21090),
22,Update CHANGELOG.md for #21290,
23,New Resource: azurerm_netapp_volume_group_sap_hana (#21290),
24,bump kermit to v0.20230424.1090808 (#21559),
25,updating to include #21323,
26,Merge pull request #21323 from hashicorp/e_search_fix,"azurerm_search_service - add support for local_authentication_enabled, authentication_failure_mode, authentication_options and hosting_mode"
27,r/search_service: refactoring comments from PR review,
28,azurerm_sentinel_alert_rule_template: fix the id trim when reading by display name (#21054),  fix https://github.com/hashicorp/terraform-provider-azurerm/issues/21040   update per comments   golint   update per comment 
29,Update for #21533,
30,azurerm_mysql_flexible_server - fix identity (#21533),
31,Updating based on 84ba7477 (#21547),Co-authored-by: hc-github-team-tf-azure <>
32,refactor: updating the Key Vault Vault ID references to use commonids (#21502),"  refactor: updating the Key Vault ""Vault"" Resource ID parser to come from commonids   refactor: updating the keyvault package to use the commonid parser   refactor: updating usages of NewVaultID to use commonids   refactor: updating the keyvault variable to be consistent   keyvault: updating the Validate function to wrap calling commonids   refactor: updating the validation functions to use the Resource ID Schema validator   goimports    Co-authored-by: Steph steph@hashicorp.com"
33,consistencies,
34,updating to include #21524,
35,Merge pull request #21524 from hashicorp/b/attestation-data-plane,r/attestation_provider: conditionally building the Authorizer as needed and refactoring the Resource
36,azurerm_key_vault_certificate_contacts - fix existing logic (#21532),
37,internal/provider: validating that the schema does not contain local_authentication_disabled (#21546),"We have mixed usages of both local_authentication_disabled and local_authentication_enabled in use across the provider - rather than having these separate fields, we should make this behaviourally consistent (as local_authentication_enabled)"
