Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
bump actions/stale (#2142),0.36358383,* Fix perpetual diff in StatefulSet when update_strategy is not specified (#1088),,0
Fix field_manager attribute name in node_taint docs (#2138),0.5856917,Fix documentation example for field_manager block (#1410),,0
Add wait_for_default_service_account attribute to kubernetes_namespace resource (#2119),0.81727004,resource/kubernetes_secret_v1: Add a new attribute wait_for_service_account_token and corresponding create timeout [GH-1833],,1
Clarify import address syntax in kubernetes_manifest documentation (#2096),0.7219186,* kubernetes_manifest supports import operations,,1
v2.21.1 (hotfix) (#2132),0.68621635,HOTFIX:,,0
"Revert ""add conflictsWith to provider schema (#2084)"" (#2131)",0.88741,"Revert add ""conflictsWith"" to provider block schema. [GH-2131]",,1
Update release workflow version (#2129),0.48582867,Generating changelog for release-v2.19.0 from v2.18.1...,,0
Update CHANGELOG.md for v2.21.0 release (#2128),0.74532974,Generating changelog for release-v2.19.0 from v2.18.1...,,1
add conflictsWith to provider schema (#2084),0.81094486,"Revert add ""conflictsWith"" to provider block schema. [GH-2131]",add conflictsWith to provider schema remove cluster_ca_certificate requirement of other attributes add changelog-entry provider updates update conflictsWith on insecure attribute update conflictsWith for cluster_ca_certificate fix typo remove Required host from client certificate/key,1
kubernetes_node_taint: don't fail if node is missing (#2099),0.8973538,resource/kubernetes_node_taint: Don't fail when there is a taint in the state file for a node that no longer exists. [GH-2099],"Show a warning instead of an error if a tainted node is missing.  Otherwise, taints for deleted nodes can only be removed via terraform state rm.",1
