Index,Release Note
1,"ENHANCEMENTS:
kubernetes/resource_kubernetes_env.go: add support for initContainers [GH-2067]
kubernetes/resource_kubernetes_node_taint.go: Remove MaxItems from taint attribute [GH-2046]
BUG FIXES:

Fix diff after import when importing resources containing volume_mount [GH-2061]
resource/kubernetes_node_taint: Fix an issue when updating taint does not update the ID in the state file. [GH-2077]
"
2,"Generating changelog for release-v2.19.0 from v2.18.1...
FEATURES:
New Resource: kubernetes_token_request_v1. [GH-2024]
BUG FIXES:

data_source/kubernetes_secret_v1: Fix an issue where data_source cannot read secret created with generate_name. [GH-2028]
data_source/kubernetes_secret: Fix an issue where data_source cannot read secret created with generate_name. [GH-2028]
kubernetes/schema_pod_spec.go: Fix unexpected volumes appearing on plan [GH-2006]
resource/kubernetes_cron_job_v1: Fix annotation logic to prevent internalkeys from being removed in templates [GH-1983]
resource/kubernetes_manifest: Fix a panic when constructing the diagnostic message about incompatible attribute types [GH-2054]
resource/kubernetes_manifest: Fix crash when manifest config contains unknown values of unknown type (DynamicPseudoType) [GH-2055]
"
3,"HOTFIX:

kubernetes_manifest: fix crash when waiting on conditions that are not yet present [GH-2008]
"
4,"FEATURES:

New data source: data_source/kubernetes_nodes. [GH-1921]
New data source: data_source/kubernetes_resources. [GH-1967]
New resource: resource/kubernetes_node_taint. [GH-1921]

ENHANCEMENT:

resource/kubernetes_annotations: Add a new attribute template_annotations that allows adding annotations to resources with pod templates. [GH-1972]
resource/kubernetes_cron_job_v1: Add a new attribute spec.timezone. [GH-1971]

BUG FIXES:

resource/kubernetes_mutating_webhook_configuration: Fix an issue when the delete operation may not be idempotent. [GH-1999]
resource/kubernetes_network_policy_v1: Fix an issue when the delete operation may not be idempotent. [GH-1999]
resource/kubernetes_network_policy: Fix an issue when the delete operation may not be idempotent. [GH-1999]
resource/kubernetes_persistent_volume_claim_v1: Fix an issue when the delete operation may not be idempotent. [GH-1999]
resource/kubernetes_persistent_volume_claim: Fix an issue when the delete operation may not be idempotent. [GH-1999]
resource/kubernetes_storage_class_v1: Fix an issue when changing the value of the attribute allow_volume_expansion does not alter Kubernetes resource. [GH-1519]
resource/kubernetes_storage_class: Fix an issue when changing the value of the attribute allow_volume_expansion does not alter Kubernetes resource. [GH-1519]

DOCS:

New data source: data_source/kubernetes_nodes. [GH-1921]
New data source: data_source/kubernetes_resources. [GH-1967]
New resource: resource/kubernetes_node_taint. [GH-1921]
provider: Add a note regarding the KUBECONFIG environment variable. [GH-1989]
resource/kubernetes_annotations: Add a new attribute template_annotations. [GH-1972]
resource/kubernetes_job_v1: Add documentation for the attribute spec.completion_mode. [GH-1997]
resource/kubernetes_job: Add documentation for the attribute spec.completion_mode. [GH-1997]
resource/resource_kubernetes_cron_job_v1: Add a new attribute spec.timezone. [GH-1971]

Community Contributors :raised_hands:

@AnisimoffNikita made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1519
@partcyborg made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1921
"
5,"ENHANCEMENT:

Add a new optional attribute grpc to pod.spec.container.liveness_probe, pod.spec.container.readiness_probe, and pod.spec.container.startup_probe. That affects all resources and data sources that use mentioned pod.spec.container probes directly or as a template. [GH-1915]
resource/kubernetes_cluster_role_binding_v1: add attribute generate_name to produce a unique random name [GH-1899]
resource/kubernetes_cluster_role_binding: add attribute generate_name to produce a unique random name [GH-1899]
resource/kubernetes_cluster_role_v1: add attribute generate_name to produce a unique random name [GH-1899]
resource/kubernetes_cluster_role: add attribute generate_name to produce a unique random name [GH-1899]
resource/kubernetes_ingress_v1: add create and delete timeouts [GH-1936]
resource/kubernetes_ingress_v1: make the attribute spec.ingress_class_name computed [GH-1947]
resource/kubernetes_persistent_volume_v1: add additional validation on the delete operation to make it idempotent [GH-1935]
resource/kubernetes_persistent_volume: add additional validation on the delete operation to make it idempotent [GH-1935]
resource/kubernetes_role_binding_v1: add attribute generate_name to produce a unique random name [GH-1899]
resource/kubernetes_role_binding: add attribute generate_name to produce a unique random name [GH-1899]

Community Contributors :raised_hands:

@AmandaHassoun made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1944
@shihai1991 made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1922
@Tensho made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1936
@multani made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1899
@sherifabdlnaby made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1935
@dgnemo made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1915
"
6,"ENHANCEMENTS:

Add additional validation on the delete operation to make it idempotent. [GH-1914], [GH-1919], [GH-1898]

This affects the following resources:
  - kubernetes_api_service
  - kubernetes_api_service_v1
  - kubernetes_cluster_role
  - kubernetes_cluster_role_v1
  - kubernetes_cluster_role_binding
  - kubernetes_cluster_role_binding_v1
  - kubernetes_config_map
  - kubernetes_config_map_v1
  - kubernetes_daemonset
  - kubernetes_daemon_set_v1
  - kubernetes_deployment
  - kubernetes_deployment_v1
  - kubernetes_endpoints
  - kubernetes_endpoints_v1
  - kubernetes_horizontal_pod_autoscaler
  - kubernetes_horizontal_pod_autoscaler_v1
  - kubernetes_horizontal_pod_autoscaler_v2beta2
  - kubernetes_horizontal_pod_autoscaler_v2
  - kubernetes_mutating_webhook_configuration
  - kubernetes_mutating_webhook_configuration_v1
  - kubernetes_network_policy
  - kubernetes_network_policy_v1
  - kubernetes_persistent_volume_claim
  - kubernetes_persistent_volume_claim_v1
  - kubernetes_pod
  - kubernetes_pod_v1
  - kubernetes_pod_disruption_budget
  - kubernetes_pod_disruption_budget_v1
  - kubernetes_pod_security_policy
  - kubernetes_pod_security_policy_v1beta1 
  - kubernetes_priority_class
  - kubernetes_replication_controller
  - kubernetes_resource_quota
  - kubernetes_role
  - kubernetes_role_binding
  - kubernetes_secret
  - kubernetes_namespace
  - kubernetes_service
  - kubernetes_service_account
  - kubernetes_stateful_set
  - kubernetes_storage_class
  - kubernetes_validating_webhook_configuration
  - kubernetes_validating_webhook_configuration_v1
Special thanks to @sheneska for making these changes as part of her internship @hashicorp! 🚀"
7,"FEATURES:

New data source: kubernetes_endpoints_v1 [GH-1805]

ENHANCEMENT:

Add a new optional attribute runtime_class_name to pod.spec. That affects all resources and data sources that use pod.spec directly or as a template. [GH-1895]
Add a new optional attribute fs_group_change_policy to pod.spec.security_context. That affects all resources and data sources that use pod.spec directly or as a template. [GH-1892]
The kubernetes status field is now available in the kubernetes_resource datasource [GH-1802]
r/kubernetes_pod_v1: changing values of spec.container.resources.limits or spec.container.resources.requests will force resource recreation. [GH-1889]
r/kubernetes_pod: changing values of spec.container.resources.limits or spec.container.resources.requests will force resource recreation. [GH-1889]

BUG FIXES:

Fix an issue when changing values of spec.container.resources.limits or spec.container.resources.requests does not update appropriate Kubernetes resources. Affected resources: kubernetes_pod, kubernetes_pod_v1. [GH-1889]
Fix an issue when empty values of spec.container.resources.limits or spec.container.resources.requests produce continuous diff output during plan although no real changes were made. Affected resources: kubernetes_pod, kubernetes_pod_v1, kubernetes_daemonset, kubernetes_daemon_set_v1, kubernetes_deployment, kubernetes_deployment_v1. [GH-1889]
Fix an issue with timeouts for StatefulSet, Deployment, and DaemonSet resources when in some cases changes of Update or Create timeout doesn't affect related actions. [GH-1902]

DOCS:

resource/kubernetes_service_account_v1: mark attribute default_secret_name as deprecated [GH-1883]
resource/kubernetes_service_account: mark attribute default_secret_name as deprecated [GH-1883]

Thanks to all our contributors! :tada:
Community Contributors :raised_hands:

@Dudesons made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1805
@St0rmingBr4in made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1802
@kylecarbs made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1895
"
8,"ENHANCEMENT:

Add new resource resource_kubernetes_env [GH-1838]
Add ""field_manager"" attribute to kubernetes_labels, kubernetes_annotations, kubernetes_config_map_v1_data [GH-1831]
r/kubernetes_horizontal_pod_autoscaler_v2: make attribute spec.behavior.scale_down computed [GH-1853]
r/kubernetes_horizontal_pod_autoscaler_v2: make attribute spec.behavior.scale_up computed [GH-1853]
r/kubernetes_horizontal_pod_autoscaler_v2: make attribute spec.behavior computed [GH-1853]
r/kubernetes_horizontal_pod_autoscaler_v2beta2: make attribute spec.behavior.scale_down computed [GH-1853]
r/kubernetes_horizontal_pod_autoscaler_v2beta2: make attribute spec.behavior.scale_up computed [GH-1853]
r/kubernetes_horizontal_pod_autoscaler_v2beta2: make attribute spec.behavior computed [GH-1853]
"
9,"ENHANCEMENT:

Added ""preemption_policy"" attribute to the priority_class resource. [GH-1846]
new attribute: Add immutable attribute to resource_config_map [GH-1849]
resource/kubernetes_secret: Add a new attribute wait_for_service_account_token and corresponding create timeout
resource/kubernetes_secret_v1: Add a new attribute wait_for_service_account_token and corresponding create timeout [GH-1833]

DOCS:

r/kubernetes_service: make spec.port block optional [GH-1856]
r/kubernetes_service_v1: make spec.port block optional [GH-1856]

2.13.1 (August 29, 2022)
BUG FIXES:

[TK-78009] Fix propagation of non-fatal Diagnostics in the type morphing logic
"
10,"BUG FIXES:

[TK-78009] Fix propagation of non-fatal Diagnostics in the type morphing logic
"
