Index,Message,Description,Message Abstract,Description Abstract
1,"update Gradle version, remove unused Firebase library",,"update Gradle version, remove unused Firebase library",
2,Fix a crash when resuming the app,,Fix a crash when resuming the app,
3,Fix a crash when copying a URL,,Fix a crash when copying a URL,
4,Fix a few issues related to ACTION_SEND intents,,Fix a few issues related to ACTION_SEND intents,
5,Update pastebin JSON endpoint hostname,,Update pastebin JSON endpoint hostname,
6,v4.30,,v4.30,
7,Add a field to modify the pastebin syntax highlighting mode,,Add a field to modify the pastebin syntax highlighting mode,
8,build with the latest version of Android Studio and Gradle 8,,build with the latest version of Android Studio and Gradle 8,
9,use the full URL when copying / sharing from a thumbnail,,use the full URL when copying / sharing from a thumbnail,
10,update Gradle configuration,,update Gradle configuration,
11,Don't send typing notifications to console buffers,,Don't send typing notifications to console buffers,
12,Fix a few crashes,,Fix a few crashes,
13,Fix image URL detection when filename contains multiple . characters,,Fix image URL detection when filename contains multiple . characters,
14,Fix a crash,,Fix a crash,
15,Fix a crash,,Fix a crash,
16,fix typing indicator formatting,,fix typing indicator formatting,
17,Fix a crash,,Fix a crash,
18,update Gradle config,,update Gradle config,
19,v4.29.1,,v4.29.1,
20,attempt to reconnect instead of logging out for auth errors that aren't in response to an auth command,,attempt to reconnect instead of logging out for auth errors that aren't in response to an auth command,
21,enable message editing on IRC servers that support labeled-response cap,,enable message editing on IRC servers that support labeled-response cap,
22,increase touch area around delete button in files list,,increase touch area around delete button in files list,
23,adjust margins,,adjust margins,
24,bump versionCode,,bump versionCode,
25,adjust typing indicator padding,,adjust typing indicator padding,
26,Adjust the input area layout,,Adjust the input area layout,
27,fix a crash,,fix a crash,
28,remove extra debug message,,remove extra debug message,
29,add some additional debug logging around logging out and migrate session cookies to hardware-backed secure storage on newer versions of Android,,add some additional debug logging around logging out and migrate session cookies to hardware-backed secure storage on newer versions of Android,
30,Send replies to the correct thread when retrying a failed message,,Send replies to the correct thread when retrying a failed message,
31,Fix a crash and disable TrustKit for image loading,,Fix a crash and disable TrustKit for image loading,
32,workaround a TLS issue on Android 5.x and 6.x,,workaround a TLS issue on Android 5.x and 6.x,
33,throttle typing status messages,,throttle typing status messages,
34,Fix a few crashes,,Fix a few crashes,
35,Fix a typo,,Fix a typo,
36,enable Android 13 themed launcher icon,,enable Android 13 themed launcher icon,
37,use bid from savedInstanceState on clean launch,,use bid from savedInstanceState on clean launch,
38,various fixes for Android 5.x,,various fixes for Android 5.x,
39,improve jump to channel,,improve jump to channel,
40,replace string scoring library,,replace string scoring library,
41,Jump to channel dialog,,Jump to channel dialog,
42,adjust sizes,,adjust sizes,
43,v4.29,,v4.29,
44,typing status indicator,,typing status indicator,
45,downgrade Crashlytics due to a known issue: https://github.com/firebase/firebase-android-sdk/issues/4223,,downgrade Crashlytics due to a known issue: link,
46,v4.28.3,,v4.28.3,
47,Chrome PendingIntent needs to be PendingIntent.FLAG_MUTABLE so Chrome can update the URL,,Chrome PendingIntent needs to be PendingIntent.FLAG_MUTABLE so Chrome can update the URL,
48,Add missing URI to pendingintent,,Add missing URI to pendingintent,
49,"Remove support for Google SmartLock password manager, as it has been deprecated",,"Remove support for Google SmartLock password manager, as it has been deprecated",
50,update Play Services,,update Play Services,
51,disable Android Auto,,disable Android Auto,
52,v4.28.1,,v4.28.1,
53,Fix a few crashes,,Fix a few crashes,
54,Fix remove pin appearing incorrectly for archived channels,,Fix remove pin appearing incorrectly for archived channels,
55,add pin/unpin actions to the overflow menu,,add pin/unpin actions to the overflow menu,
56,Emoji 14 :emocode: shortcuts,,Emoji 14 :emocode: shortcuts,
57,Emoji 14 :emocode: shortcuts,,Emoji 14 :emocode: shortcuts,
58,ensure the notifications are sorted by time before display,,ensure the notifications are sorted by time before display,
59,update firebase,,update firebase,
60,add additional lines to the WHOIS dialog,,add additional lines to the WHOIS dialog,
61,make channel URLs tappable,,make channel URLs tappable,
62,update Google Play Services and Firebase,,update Google Play Services and Firebase,
63,Trim whitespace from email address during login or requesting an access link,,Trim whitespace from email address during login or requesting an access link,
64,"Fix an issue that could cause large embedded image files to crash the app, prevent HEIC files from opening in the image viewer as webkit doesn't support them",,"Fix an issue that could cause large embedded image files to crash the app, prevent HEIC files from opening in the image viewer as webkit doesn't support them",
65,hide Add Network when showing share target chooser,,hide Add Network when showing share target chooser,
66,Fix a crash,,Fix a crash,
67,update Google Play Services,,update Google Play Services,
68,Fix a crash,,Fix a crash,
69,bump versionCode,,bump versionCode,
70,Fix vibration/sound when sending messages from the notification reply input,,Fix vibration/sound when sending messages from the notification reply input,
71,bump versionCode,,bump versionCode,
72,Fix a crash,,Fix a crash,
73,bump versionCode,,bump versionCode,
74,remove obsolete preference,,remove obsolete preference,
75,Disable PrecomputedText to work around a crash in Emoji2 library,,Disable PrecomputedText to work around a crash in Emoji2 library,
76,Remove obsolete EmojiCompat library,,Remove obsolete EmojiCompat library,
77,bump versionCode,,bump versionCode,
78,put 'Add a network' at the bottom of the buffers list,,put 'Add a network' at the bottom of the buffers list,
79,update AndroidX and Firebase,,update AndroidX and Firebase,
80,upgrade Gradle,,upgrade Gradle,
81,v4.28,,v4.28,
82,Prepare for Android 12,,Prepare for Android 12,
83,increase JPEG compression quality,,increase JPEG compression quality,
84,Emoji 13.1 :emocode:,,Emoji 13.1 :emocode:,
85,Remove unused library from Gradle config,,Remove unused library from Gradle config,
86,Fix a few crashes,,Fix a few crashes,
87,Fix a few cases where the app would fail to reconnect on resume,,Fix a few cases where the app would fail to reconnect on resume,
88,Clean up some unused methods,,Clean up some unused methods,
89,Add missing permissions required by Firebase,,Add missing permissions required by Firebase,
90,bump versionCode,,bump versionCode,
91,"Fix race condition when setting API host, update Firebase",,"Fix race condition when setting API host, update Firebase",
92,Fix a crash,,Fix a crash,
93,enable HTTP keepAlive for REST requests,,enable HTTP keepAlive for REST requests,
94,update Play Services / AndroidX deps,,update Play Services / AndroidX deps,
95,Prevent external URLs from opening in the pastebin viewer webview,,Prevent external URLs from opening in the pastebin viewer webview,
96,update dependencies,,update dependencies,
97,Fix a crash,,Fix a crash,
98,v4.26.1,,v4.26.1,
99,update networks URL,,update networks URL,
100,Reset API host before logging in,,Reset API host before logging in,
101,use happy-eyeballs HTTP class to fetch configuration,,use happy-eyeballs HTTP class to fetch configuration,
102,update Google libraries,,update Google libraries,
103,use api_host from login/signup/set_shard,,use api_host from login/signup/set_shard,
104,update dependencies,,update dependencies,
105,Remove phone number hyperlinks that contain a percent symbol,,Remove phone number hyperlinks that contain a percent symbol,
106,Fix a crash when launching invalid URL schemes,,Fix a crash when launching invalid URL schemes,
107,Fix italics on /me messages,,Fix italics on /me messages,
108,reconnect if OOB recieves a failure message,,reconnect if OOB recieves a failure message,
109,fix blockquotes,,fix blockquotes,
110,v4.26,,v4.26,
111,fix blockquotes,,fix blockquotes,
112,Fix mention positions when IRC color formatting is disabled,,Fix mention positions when IRC color formatting is disabled,
113,bump versionCode,,bump versionCode,
114,disable unnecessary filesystem access from WebKit views,,disable unnecessary filesystem access from WebKit views,
115,Allow Google Play Services to update the OpenSSL library,,Allow Google Play Services to update the OpenSSL library,
116,remove unused Android 4.x assets,,remove unused Android 4.x assets,
117,Replace EditText with com.google.android.material.textfield.TextInputEditText inside TextInputLayouts,,Replace EditText with com.google.android.material.textfield.TextInputEditText inside TextInputLayouts,
118,bump versionCode,,bump versionCode,
119,Remove support for Android 4.4,,Remove support for Android 4.4,
120,Fix a typo in log date format,,Fix a typo in log date format,
121,update default API host,,update default API host,
122,fix initial socket host and path,,fix initial socket host and path,
123,"Add send feedback button to login/signup error dialog, improve feedback sharing intent to only query email clients",,"Add send feedback button to login/signup error dialog, improve feedback sharing intent to only query email clients",
124,Add a comment about the Giphy public beta API key,,Add a comment about the Giphy public beta API key,
125,Fix a crash,,Fix a crash,
126,bump versionCode,,bump versionCode,
127,notify the UI about connection status change sooner,,notify the UI about connection status change sooner,
128,update set_shard,,update set_shard,
129,use socket_host from api_host/config,,use socket_host from api_host/config,
130,update :emocode: data,,update :emocode: data,
131,update :emocode: data,,update :emocode: data,
132,update Google libraries,,update Google libraries,
133,"use a better default buffer when launching the app, fix an issue where the app could switch buffers unexpectedly when resuming",,"use a better default buffer when launching the app, fix an issue where the app could switch buffers unexpectedly when resuming",
134,Migrate to Firebase Crashlytics,,Migrate to Firebase Crashlytics,
