Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,Move the Topic heading above the card,0.5093049,• Added the author and timestamp to topic popup,,0
2,Don't call logout after unregistering the GCM ID due to a version upgrade,0.50072503,• Fixed: Post-update logout bug,,0
3,Prevent sending empty pastebins,0.5519991,• Fix an issue displaying pastebins on Android 2.x,,0
4,migrate to DBFlow 4.0,0.42768225,• Improved support for Slack multi-person DMs,,0
5,remove the drawer slide animation,0.59525645,"• Now using navigation drawer UI. Sidebars need to be swiped from the edge of the screen, to match standard behaviour",,0
6,Nullpointerexception,0.41416714,• Fixed mark as read bug,,0
7,Improve double-tap-to-remove mentions so it doesn't partially match the beginning of words,0.5547755,• Remove duplicates from the autocomplete suggestions,,0
8,Add actual_host to the whois popup,0.6858084,• You can now long-press any /who result to whois and copy hostmasks,,0
9,ensure the notifications are sorted by time before display,0.7458912,• Add notification timestamps,,1
10,Track whether a notification event has been displayed and only update grouped notifications that have a new event to display. Don't clear all the notifications when reconnecting the websocket,0.6579092,• Improved notification syncing,,0
11,"Only allow dragging from the drag handle so you can still scroll the list, updated move drawable",0.6506721,• Fixed scrolling and dragging when re-ordering the connections list,,0
12,trace_response,0.5490792,• Display output from /trace command,,0
13,"Show a progress spinner when selecting a buffer, fix the list separator on color Holo",0.4763059,• Closing the formatting menu will now automatically dismiss the color picker,,0
14,Facebook video URLs,0.7891426,• The in-app video player now supports Facebook public video URLs,,1
15,remove archived buffers from the recent conversations list,0.6556823,• Archived and deleted channels and conversations should no longer re-appear in the drawer,,0
16,x-auth-formtoken,0.36977047,• Improved monospace font,,0
17,Use ArrayLists instead of sqlite,0.32275987,"• Dialogs for ban exception, quiet, and invite lists",,0
18,add additional lines to the WHOIS dialog,0.98782206,• Add some additional lines to the WHOIS dialog,,1
19,GCM registration / deregistration,0.40705377,• Fix an issue with push notifications registration,,0
20,"cap_ls, cap_req, cap_ack",0.42284733,• Enable message editing on IRCv3 servers that support labeled-response CAP,,0
21,channel-disableTrackUnread pref,0.69531304,• Channels can now be marked as read automatically,,0
22,Add some transition animations between activities,0.57228076,• Animated GIF thumbnails,,0
23,Improvements to the collapsed events,0.5546591,"• Stability improvements, and minor fixes",,0
24,v1.27,0.5394194,• Initial release,,0
25,Allow Gradle to override some config settings,0.4874314,• Adjust @nick autocomplete,,0
26,Possible fix for reappearing notifications,0.8855623,• Fix an issue that could prevent notifications from appearing,,1
27,update to build with Android Studio 4.0 and add additional notification metadata for Android 11 Conversations,0.7506957,• Improved notifications on Android 4.x,,1
28,Workaround for servers that use lower case y for oper mode,0.7671486,• Support for IRC servers that use mode +y for opers,,1
29,Merge branch 'master' into N,0.38008064,• Connection reordering,,0
30,Try the last_selected_bid before falling back to firstBid when the connection is deleted,0.5635184,• Disconnect button now cancels connections that are waiting to retry,,0
31,Higher res launcher icon,0.5747837,• Android 13 themed icon support,,0
32,Prepare for Android Q media permission name changes,0.5636328,• Support the new sharing interface in Android Q,,0
33,remove some obsolete resources,0.505886,• Remove duplicates from the autocomplete suggestions,,0
34,Fix a crash when installing the notification ringtone on Samsung devices that have been upgraded to Marshmallow,0.8426802,• Fixed a crash when launching the app on Samsung Galaxy S7 after upgrading to Marshmallow,,1
35,remove obsolete preference,0.62184477,• Remove duplicates from the autocomplete suggestions,,0
36,DRY,0.464388, ,,0
37,Close the image viewer when tapping the up button,0.7421033,"• Added a ""Close Preview"" option when you press and hold on an inline image preview",,1
38,Remove /crash test command,0.5440918,• Fix a crash on launch if crash reporting was disabled,,0
39,Use the EXIF orientation when resizing photos,0.6883043,• Resize photos before uploading to imgur,,0
40,add dawn to the theme switcher,0.76325774,• Fix background colors on alert dialogs when using the Dawn theme,,1
41,"Bold text for unread and highlights, sort the buffers by type, and start work on topic display and message send button",0.6475818,• Fixed the edit/delete buttons visibility when viewing your own text snippets,,0
42,Request token before logging in,0.5604552,• Fix an issue that could cause push messages to be displayed after logging out,,0
43,improve formatting,0.6607392,• Adjustable message font size,,0
44,Android N certificate pinning,0.52713513,• Fixed: copying URLs on some Samsung devices,,0
45,use irccloud:// instead of irc:// for internal channel hyperlinks,0.789132,• Improved hyperlinking of IRC channel names in messages,,1
46,use happy-eyeballs HTTP class to fetch configuration,0.46858755,• HTTP proxy support,,0
47,Android Auto support,0.7288754,• Android Auto support: view and reply to highlights and PMs using voice actions in Android Auto-compatible cars,,1
48,cleanup old notifications,0.7235399,• Fix an issue where old notifications could be displayed again when resuming the app,,1
49,Remove HockeyApp SDK,0.49723557,• Fix an issue that could cause the app to get stuck offline,,0
50,Update the current buffer's draft before changing orientation,0.5192046,• Upload progress is now visible in the notification drawer,,0
51,tidy up the notification channels after full backlog load,0.64590406,• Fixed: No more push notifications after logging out,,0
52,"Refactor pastebin API, refactor success/failure event processing, convert pastebins list to data bindings",0.48333368,"• You can now browse, create, and edit pastebins in the app",,0
53,send the GCM ID on launch,0.40190214,• Fix an issue with push notifications registration,,0
54,"Fix the vertical padding values on the 9-patch images, adjust some dimensions so the login screen fits on landscape HVGA mdpi devices",0.5527581,• Resize photos before uploading to imgur,,0
55,emoji-disableconvert,0.7775476,• Autocomplete suggestions for emoji :emocodes:,,1
56,"Scroll faster on Android 3.x+, jump to the top on Android 2.x, serialize the expanded archives list and scroll position",0.56177884,• Fixed scrolling and dragging when re-ordering the connections list,,0
57,Make the mode change message more consistant between users and servers,0.7441523,• Improved display of user modes set by the server,,1
58,update SSL pin config,0.70520425,• SSL improvements,,1
59,Invite to channel,0.6878083,• View channel modes by tapping the channel topic,,0
60,Strip the query string from pastebin URLs when using the older ClipboardManager API and when opening in browser,0.57764494,• Fix 'Open in Browser' menu item in the pastebin viewer,,0
61,channel_topic_is,0.79170895,• Improved channel topic dialog,,1
62,Use the saved host when re-displaying the login screen,0.73490906,"• Fixed ""user changed host"" message display",,1
63,"Better verification of the CN, display a message to the user if an SSL error occurs on the websocket",0.59187096,• Better indication of disconnected and SSL connections,,0
64,set avatar for sent messages in notifications and remove duplicate remoteinputhistory,0.6408396,• Edited messages no longer get detached from their reply thread,,0
65,keep draft formatting when switching between buffers,0.4885255,• Add a setting to keep color / formatting after sending a message,,0
66,update state when app moves to the background when pressing the home button too,0.6575834,• Add a setting to disable notifications when the app isn't active,,0
67,increase touch area around delete button in files list,0.59247506,• Fixed the edit/delete buttons visibility when viewing your own text snippets,,0
68,keep the cached pre-formatted text when reloading buffers,0.43641663,• Removed unexpected formatting codes when copying join/part/quit lines,,0
69,Enterprise access links,0.62099874,• Fix an issue connecting to enterprise servers,,0
70,unicode 10 :emocodes:,0.8077733,• Emoji 12.1 :emocodes:,,1
71,More material styling,0.6409635,• Shiny new Material-style dialogs,,0
72,Set the images to 32dpx32dp instead of wrap_content,0.5906523,• Resize photos before uploading to imgur,,0
73,Don't scroll the user list when the contents changes,0.62686896,• Fixed scrolling and dragging when re-ordering the connections list,,0
74,Fix cleaning up old notification channels,0.6730379,• Fix an issue that could unexpectedly switch to a different channel when resuming the app,,0
75,Don't show 'Join a Channel' if a connection has deferred archives,0.626512,• Prompt before joining channels when opening links,,0
76,Message view unread indicator,0.687708,"• ""Show unread indicators"" setting no longer hides PM notifications",,0
77,Cancel the existing notification when clearing the invalid bid from the db,0.47459447,• Fix an issue that could prevent notifications from appearing,,0
78,Make sure the URL still gets set for non-images,0.61092937,• Use the correct URL scheme when copying video URLs,,0
79,Add a few accessibility descriptions to buttons and other elements,0.6873549,• Display additional information when tapping the Whois button,,0
80,don't send a reqid for the initial auth message,0.48041722,• Fix an issue that could cause the Quick Reply dialog to send messages to the wrong channel,,0
81,Check in the updated manifest,0.44916105,• Fixed mark as read bug,,0
82,monospace font setting,0.95798254,• Monospace font option,,1
83,Move the hint text from the nested EditText to the parent TextInputLayout to fix a crash on Android 8.0,0.6619077,• Fix an issue that prevented the message text from clearing after being sent and caused nick suggestions to not fill correctly on Android 4.1,,0
84,Jump to channel dialog,0.7783954,• View channel modes by tapping the channel topic,,1
85,update the blockquote regex,0.47825032,"• Support for inline code, code blocks, and > quoted text",,0
86,Add some padding to the custom action bar view,0.64674693,• Add an option to hide the sidebars on landscape tablets,,0
87,use bid from savedInstanceState on clean launch,0.40519333,• Improved app launch time,,0
88,Fix a few issues with inserting and deleting rich text,0.6481055,• Fix join/part/quit text being cut off at the bottom with some font sizes,,0
89,Placeholder text for empty ban lists and ignore lists,0.6365442,"• Dialogs for ban exception, quiet, and invite lists",,0
90,WIP rich text editing prototype,0.5059356,• Pastebins are now known as Text Snippets,,0
91,Improve the landscape login layout on tablets,0.73423934,• Add an option to hide the sidebars on landscape tablets,,1
92,Set the bar color for the Lollipop task switcher,0.6397939,• Improve the appearance of the app in the Android 5 task switcher,,0
93,Load cl.ly URLs in the image viewer,0.68987334,• Fixed: imgur URLs loading in the image viewer,,0
94,detect email addresses in real name field and use gravatar as a fallback avatar source,0.7196957,• Show Gravatar avatars if available for users with an email address in their real name field if an IRCCloud public avatar hasn't been uploaded,,1
95,Update dynamic shortcuts on avatar_change,0.6548904,• Add long press menu to user avatars,,0
96,export log archives,0.56409717,• Download logs to your device as a zip file,,0
97,Improved notifications on Android N and Android Wear 2.0,0.8542563,• Improved notifications on Android 4.x,,1
98,MediaWiki image support,0.6748122,• Support for more sources in the image viewer,,0
99,Fix for launching the app with no network order defined,0.6281518,• Fix an issue that could cause the app to logout unexpectedly on slow network connections,,0
100,better formatting of server mode changes,0.74441326,• Improved display of user modes set by the server,,1
101,update WorkManager,0.48168164,• Fixed: Post-update logout bug,,0
102,configure Fastlane for screenshot generation,0.54501903,• Improved uploading photos from 3rd party apps,,0
103,Unhide the up indicator when hiding the on-screen keyboard,0.6801113,• Add a setting to hide the send button on the on-screen keyboard (doesn't affect tablets),,0
104,Scroll to the correct position when mentioning a user,0.6301254,• Improve the initial scroll position of the conversations drawer,,0
105,attempt to reconnect instead of logging out for auth errors that aren't in response to an auth command,0.6381491,• Fix 'auth' and 'set_shard' error messages while connecting,,0
106,update Android Support Library,0.7441449,• Android 5.0 support,,1
107,Ignore localhost proxy,0.7741786,• HTTP proxy support,,1
108,progress spinners during download,0.6100956,• The loading spinner on the archives header should no longer appear unexpectedly when resuming the app,,0
109,"32x32 add, lock, and world icon",0.483097,• Android 13 themed icon support,,0
110,adaptive app icon,0.7032404,• Android 13 themed icon support,,1
111,replace entities when editing messages and always clear the formatting cache,0.566784,• Fixed HTML entities appearing when editing messages,,0
112,Linkify the topic,0.6540371,• Improved URL hyperlinking,,0
113,PNG screenshots,0.58499277,• Improved uploading photos from 3rd party apps,,0
114,Re-open color tags after closing formatting tags since TextView's html parser wont let them overlap correctly,0.57493347,• Closing the formatting menu will now automatically dismiss the color picker,,0
115,load irccloud image uploads in the image viewer,0.81024724,• Embed thumbnails for IRCCloud file and photo uploads,,1
116,files-enableinline pref,0.50506914,• Transfer message text into the file upload dialog automatically,,0
117,Don't hyperlink # followed by just a number,0.6331541,• Improved URL hyperlinking,,0
118,"Improve the formatting of Pebble notifications, add a checkbox to enable/disable pebble notifications if the Pebble app is installed on the device",0.81540906,• Pebble beta users: enable notifications through the Pebble app for Android Wear support!,,1
119,Add a loading spinner to the buffers list during initial backlog download,0.6316346,• The loading spinner on the archives header should no longer appear unexpectedly when resuming the app,,0
120,Don't show the lock icon for multi person DMs,0.5410979,• Fix an issue that could prevent the users list drawer from being swiped open on tablets,,0
121,Don't enable the uploads button until the config has been loaded at least once as the Uploads and Pastebins dialogs require the URI templates,0.5855843,• Fixed: imgur URLs loading in the image viewer,,0
122,"Speed up the nick suggestions a bit, add a per-channel setting to disable them",0.69110984,• Fix missing nicks when channel topic is changed,,0
123,"Add settings to switch between IRCCloud and imgur, and to keep photos taken with the camera. closes #95",0.66438806,• Embed thumbnails for IRCCloud file and photo uploads,,0
124,"Wrap the Display Options dialog in a ScrollView, closes #43",0.7071748,• The ‘Display Options’ dialog can now be scrolled on small screens,,1
125,Fix an installation error when building with the Android Q SDK,0.599836,• Fix a crash on launch on Android N developer preview,,0
126,Improve the touch feedback for the last user in the userlist groups,0.5485985,• Display additional information when tapping the Whois button,,0
127,Fix notification sound settings on Lollipop,0.7583932,• Improve the appearance of notifications on Lollipop,,1
128,Overhaul the Android Wear notifications to use a single notification per buffer with a 2nd page for multiple highlights,0.7272726,• View and reply to notifications on Android Wear,,1
129,Buffer list long-press menu,0.65762675,• Fix an issue that could cause the long-press menu to show data for the wrong message,,0
130,buffer_archived / buffer_unarchived,0.38277617,• Fixed mark as read bug,,0
131,additional resource files,0.5117985,• View and manage your uploaded files,,0
132,"Hook up ffwd / rewind buttons, gingerbread styling fixes",0.5574373,• Fixed the edit/delete buttons visibility when viewing your own text snippets,,0
133,Add a space between version name and version code in the about section,0.4652837,• Adjust the user list section headers to match the website,,0
134,copy URLs as plain text,0.6467365,• Use the correct URL scheme when copying video URLs,,0
135,update Crashlytics and Play Services,0.60371125,"• Stability improvements, crashes and bug fixes",,0
136,Update junit tests,0.4426761,• Improved error messages,,0
137,match iOS backlog gap behavior,0.53707504,• Fix an issue where the back button wouldn't close the app in certain conditions,,0
138,Fix a crash when displaying an empty buffer,0.5145078,• Fixed some issues with collapsed messages,,0
139,Update to Android Studio 1.3 and Gradle Wrapper 2.4 + small optimization to backlog loading / rendering,0.57560015,• Speed up backlog loading times for Slack connections,,0
140,layout improvements,0.6464395,• Compact Spacing setting,,0
141,Make sure the top unread bar appears if the last_seen_eid is older than the first event in the current backlog,0.45482454,• Fixed the progress bar getting stuck on loading,,0
142,Some improvements to launching and resuming the app with no network connection,0.73248506,• Fix an issue where the app wouldn't reconnect after the network connection drops,,1
143,"inline small avatars, align big avatars with hamburger icon",0.59321547,• Add long press menu to user avatars,,0
144,Clean up some debug messages,0.61265963,• Improved error messages,,0
145,Fix missing highlight background color,0.7720704,• Fix background colors on alert dialogs when using the Dawn theme,,1
146,Fix a few crashes reported through ACRA,0.76776946,• Various crashes and bugs have been fixed,,1
147,Improve the appearance of notices,0.6405752,• Improve the appearance of notifications on Lollipop,,0
148,v3.22,0.497946,• Initial release,,0
149,Merge branch 'master' into Android-O,0.5006593,"• Added support for Android O including adaptive launcher icons, autofill, and notification channels",,0
150,Speed up populating the buffers drawer,0.5860357,• Improve memory usage,,0
151,Make sure the initial buffers list drawer refresh happens after backlog loads,0.5258908,• Speed up backlog loading times for Slack connections,,0
152,"Provide feedback if a voice reply was unable to be sent, closes #74",0.58532035,• Fix an issue that could cause the Quick Reply dialog to send messages to the wrong channel,,0
153,Sort nicks by recent highlights,0.84823895,"• Sort nick completion suggestions by highlights, recently spoken, and then alphabetically",,1
154,prepare to use the downloadable emoji font instead of the bundled version when Play Services 11 is released,0.69740814,• Reduced app size by downloading the emoji font separately,,0
155,Switch buffers when creating a new connection,0.5983412,• Connection reordering,,0
156,Show the correct mode indicator for a popout collapsed event,0.5140466,• Fixed some issues with collapsed messages,,0
157,set the lights and vibration settings on Notification Channels,0.6680608,• Add an option to mute notifications for individual channels and conversations,,0
158,Fix action bar offset on the image viewer on kitkat,0.62235343,• Improve the appearance of notifications and the image viewer on Android 5,,0
159,Play uploaded mp4 / m4v / 3gp / webm files,0.62027645,• View and manage your uploaded files,,0
160,Interpret hostnames starting with irc. as irc:// URLs,0.7140675,• Display IRC formatting codes in hostmasks,,1
161,update Gradle version,0.4393498,• Various bug fixes and improvements,,0
162,bounds checking,0.39474496,"• Dialogs for ban exception, quiet, and invite lists",,0
163,Offset the mention positions for multi-byte emoji codepoints,0.644755,• Autocomplete suggestions for emoji :emocodes:,,0
164,improve inserting temporary entity rows into the listview,0.47509357,• Adjust the user list section headers to match the website,,0
165,Support cross-app drag and drop uploading,0.7442883,"• Share photos, videos, and documents from other apps via drag and drop",,1
166,Fix and improve midnight theme,0.7401094,• New theme: Midnight. This is a variant of the ash theme that uses a pure black background,,1
167,Populate the buffers table when it's created so it will always show some data,0.40852576,• Add network server presets are now kept in sync,,0
168,Hide the drawer when changing orientation,0.6131203,• Hide the users list drawer when not viewing a channel,,0
169,set realname on pending messages,0.54005533,• Added the ability to start a new private conversation with any nickname when you press and hold in the network list,,0
170,Don't show a partial buffers list during initial backlog download,0.5108203,• Fix an issue opening downloaded logs in other apps,,0
171,REPLACE VECTOR UPLOAD BUTTON WITH BITMAP VERSION,0.511272,• The unban button is now available to half-ops,,0
172,members list,0.5716279,• Removed the member list display option on phones,,0
173,Improve expanded notifications on older versions of Android,0.8805569,• Improved notifications support on Android 8.0+,,1
174,Nickchange,0.64392877,• Adjust @nick autocomplete,,0
175,cache ignore list results,0.5007221,• Fix an issue that could prevent the /LIST command from showing any results,,0
176,"Speed up multiple backlog loads and logging out, bring back automatic backlog loading",0.79992115,• Speed up backlog loading times for Slack connections,,1
177,fix who_special_response,0.6136824,• Support the /whowas command,,0
178,"Invalidate the session when logging out, if we recieve a GCM message after logging out then unregister the device again as the network connection may have failed previously",0.5882123,• Fixed: No more push notifications after logging out,,0
179,v2.3,0.48519218,• Initial release,,0
180,Make sure the up button toggles correctly,0.5947885,• The unban button is now available to half-ops,,0
181,move connecting/loading progress out of the login screen,0.621657,• Fixed the progress bar getting stuck on loading,,0
182,Add the 'up' navigation to the MessageActivity action bar,0.68234307,• Fix an issue with tapping the up navigation arrow in various dialogs,,0
183,Escape special characters in the ignore list,0.4752429,"• Dialogs for ban exception, quiet, and invite lists",,0
