Index,Release Note,Release Note Abstract
1,"• Transfer message text into the file upload dialog automatically
• Text snippet syntax highlighting mode can now be set without a filename
• Fixed the edit/delete buttons visibility when viewing your own text snippets
• Fixed share button when viewing a text snippet
• Stability improvements and minor fixes","• Transfer message text into the file upload dialog automatically
• Text snippet syntax highlighting mode can now be set without a filename
• Fixed the edit/delete buttons visibility when viewing your own text snippets
• Fixed share button when viewing a text snippet
• Stability improvements and minor fixes"
2,"• Quickly jump between channels
• Typing indicators on supported networks
• Android 13 themed icon support
• Enable message editing on IRCv3 servers that support labeled-response CAP
• Fix an issue that prevented Android 5.x and 6.x from connecting to the IRCCloud servers
• Stability improvements and minor fixes","• Quickly jump between channels
• Typing indicators on supported networks
• Android 13 themed icon support
• Enable message editing on IRCv3 servers that support labeled-response CAP
• Fix an issue that prevented Android 5.x and 6.x from connecting to the IRCCloud servers
• Stability improvements and minor fixes"
3,"• Emoji 14 :emocode:
• Improve JPEG compression when sharing photos
• Add a network easily from the channels drawer
• Add some additional lines to the WHOIS dialog
• Channels and conversations can now be pinned / unpinned from the overflow menu
• Stability improvements and minor fixes","• Emoji 14 :emocode:
• Improve JPEG compression when sharing photos
• Add a network easily from the channels drawer
• Add some additional lines to the WHOIS dialog
• Channels and conversations can now be pinned / unpinned from the overflow menu
• Stability improvements and minor fixes"
4,• Stability improvements and minor fixes,• Stability improvements and minor fixes
5,"• Fixed colourised mentions when IRC colours are disabled
• Stability improvements and minor fixes","• Fixed colourised mentions when IRC colours are disabled
• Stability improvements and minor fixes"
6,"• Removed support for Android 4.4 due to encryption requirements
• Stability improvements and minor fixes","• Removed support for Android 4.4 due to encryption requirements
• Stability improvements and minor fixes"
7,"• Fix an issue that could unexpectedly switch to a different channel when resuming the app
• Updated :emocode: shortcuts
• Stability improvements and minor fixes","• Fix an issue that could unexpectedly switch to a different channel when resuming the app
• Updated :emocode: shortcuts
• Stability improvements and minor fixes"
8,"• Support for Notification Bubbles on Android 11
• Fix /whois menu on networks with hidden servers
• Fix colorized mentions appearing incorrectly after editing a message
• Stability improvements and minor fixes","• Support for Notification Bubbles on Android 11
• Fix /whois menu on networks with hidden servers
• Fix colorized mentions appearing incorrectly after editing a message
• Stability improvements and minor fixes"
9,"• Pinned channels
• Support for uploading files in reply threads
• Stability improvements and minor fixes","• Pinned channels
• Support for uploading files in reply threads
• Stability improvements and minor fixes"
10,"• Support for managing avatars on IRCv3 servers
• Fix an issue that could cause the long-press menu to show data for the wrong message
• Stability improvements and minor fixes","• Support for managing avatars on IRCv3 servers
• Fix an issue that could cause the long-press menu to show data for the wrong message
• Stability improvements and minor fixes"
11,"• Fix 'Open in Browser' menu item in the pastebin viewer
• Emoji 12.1 :emocodes:
• Sort nick completion suggestions by highlights, recently spoken, and then alphabetically
• Stability improvements and minor fixes","• Fix 'Open in Browser' menu item in the pastebin viewer
• Emoji 12.1 :emocodes:
• Sort nick completion suggestions by highlights, recently spoken, and then alphabetically
• Stability improvements and minor fixes"
12,"• The loading spinner on the archives header should no longer appear unexpectedly when resuming the app
• Show join/parts channel setting now correctly overrides the global join/part setting
• Speed up backlog loading times for Slack connections
• Tapping an avatar will now display a larger version
• Improved detection of hyperlinks
• Removed unexpected formatting codes when copying join/part/quit lines
• Stability improvements and minor fixes","• The loading spinner on the archives header should no longer appear unexpectedly when resuming the app
• Show join/parts channel setting now correctly overrides the global join/part setting
• Speed up backlog loading times for Slack connections
• Tapping an avatar will now display a larger version
• Improved detection of hyperlinks
• Removed unexpected formatting codes when copying join/part/quit lines
• Stability improvements and minor fixes"
13,"• Prompt before joining channels when opening links
• Archived and deleted channels and conversations should no longer re-appear in the drawer
• Improved detection of links when using the single line message layout
• Stability improvements and minor fixes","• Prompt before joining channels when opening links
• Archived and deleted channels and conversations should no longer re-appear in the drawer
• Improved detection of links when using the single line message layout
• Stability improvements and minor fixes"
14,"• Edited messages no longer get detached from their reply thread
• Fix loading public IRCCloud avatars when hostmask begins with a ~
• Dynamic launcher shortcuts for recent channels
• Support the new sharing interface in Android Q
• Add a setting to automatically choose a theme based on the Android Q system dark theme setting or the battery saver status on Android 5.0+
• Phone numbers, addresses, and other types of data can now be detected in messages on Android 9.0+
• Stability improvements and minor fixes","• Edited messages no longer get detached from their reply thread
• Fix loading public IRCCloud avatars when hostmask begins with a ~
• Dynamic launcher shortcuts for recent channels
• Support the new sharing interface in Android Q
• Add a setting to automatically choose a theme based on the Android Q system dark theme setting or the battery saver status on Android 5.0+
• Phone numbers, addresses, and other types of data can now be detected in messages on Android 9.0+
• Stability improvements and minor fixes"
15,"• Add an option to disable displaying IRC colors per-channel and globally
• Improved performance while scrolling and displaying channels with a large number of collapsed joins/parts/quits
• Fixed HTML entities appearing when editing messages
• Stability improvements and minor fixes","• Add an option to disable displaying IRC colors per-channel and globally
• Improved performance while scrolling and displaying channels with a large number of collapsed joins/parts/quits
• Fixed HTML entities appearing when editing messages
• Stability improvements and minor fixes"
