Index,Message,Description,Message Abstract,Description Abstract
1,History.markdown: Fix release date of 0.9.3,,History.markdown: Fix release date of 0.9.3,
2,Update history to reflect merge of #384 [ci skip],,Update history to reflect merge of #384 [ci skip],
3,Fix typos in Readme (#384),Merge pull request 384,Fix typos in Readme (#384),Merge pull request 384
4,Update history to reflect merge of #381 [ci skip],,Update history to reflect merge of #381 [ci skip],
5,Upgrade to Rake 13 to fix master (#381),Merge pull request 381,Upgrade to Rake 13 to fix master (#381),Merge pull request 381
6,Release :gem: v0.17.0,,Release :gem: v0.17.0,
7,Update history to reflect merge of #370 [ci skip],,Update history to reflect merge of #370 [ci skip],
8,Allow disabling of jekyll-feed while in development (#370),Merge pull request 370,Allow disabling of jekyll-feed while in development (#370),Merge pull request 370
9,Update history to reflect merge of #365 [ci skip],,Update history to reflect merge of #365 [ci skip],
10,Add Ruby 3.1 to the CI matrix (#365),Merge pull request 365,Add Ruby 3.1 to the CI matrix (#365),Merge pull request 365
11,Update history to reflect merge of #363 [ci skip],,Update history to reflect merge of #363 [ci skip],
12,Update CI status badge (#363),Merge pull request 363,Update CI status badge (#363),Merge pull request 363
13,Release :gem: v0.16.0,,Release :gem: v0.16.0,
14,Improve readability of entries in History document,,Improve readability of entries in History document,
15,Update history to reflect merge of #359 [ci skip],,Update history to reflect merge of #359 [ci skip],
16,Use .atom extension since we write an Atom feed (#359),Merge pull request 359,Use .atom extension since we write an Atom feed (#359),Merge pull request 359
17,Update history to reflect merge of #332 [ci skip],,Update history to reflect merge of #332 [ci skip],
18,Switched xml_escape for <![CDATA[]]> for post content (#332),Merge pull request 332,Switched xml_escape for <![CDATA[]]> for post content (#332),Merge pull request 332
19,Update history to reflect merge of #357 [ci skip],,Update history to reflect merge of #357 [ci skip],
20,Check post.categories instead of post.category (#357),Merge pull request 357,Check post.categories instead of post.category (#357),Merge pull request 357
21,Update history to reflect merge of #355 [ci skip],,Update history to reflect merge of #355 [ci skip],
22,Add workflow to release gem via GH Action (#355),Merge pull request 355,Add workflow to release gem via GH Action (#355),Merge pull request 355
23,Remove redundant CI entries,,Remove redundant CI entries,
24,Update history to reflect merge of #297 [ci skip],,Update history to reflect merge of #297 [ci skip],
25,Add support for description in front matter (#297),Merge pull request 297,Add support for description in front matter (#297),Merge pull request 297
26,Update history to reflect merge of #327 [ci skip],,Update history to reflect merge of #327 [ci skip],
27,Fold private methods into the :render method as local variables (#327),Merge pull request 327,Fold private methods into the :render method as local variables (#327),Merge pull request 327
28,Update history to reflect merge of #348 [ci skip],,Update history to reflect merge of #348 [ci skip],
29,Lock RuboCop to v1.18.x (#348),Merge pull request 348,Lock RuboCop to v1.18.x (#348),Merge pull request 348
30,Update history to reflect merge of #337 [ci skip],,Update history to reflect merge of #337 [ci skip],
31,Add Ruby 3.0 to CI (#337),Merge pull request 337,Add Ruby 3.0 to CI (#337),Merge pull request 337
32,chore(ci): start simple,,chore(ci): start simple,
33,fix: rss required by Ruby 3.0,,fix: rss required by Ruby 3.0,
34,chore(ci): bundler,,chore(ci): bundler,
35,fix: ruby-version 💎,,fix: ruby-version 💎,
36,chore(ci): Test with GitHub Actions,,chore(ci): Test with GitHub Actions,
37,chore(ci): test against latest versions,,chore(ci): test against latest versions,
38,Release :gem: v0.15.1,,Release :gem: v0.15.1,
39,Update history to reflect merge of #326 [ci skip],,Update history to reflect merge of #326 [ci skip],
40,"MetaTag: when encoding for XML special characters, handle non-string objects (#326)",Merge pull request 326,"MetaTag: when encoding for XML special characters, handle non-string objects (#326)",Merge pull request 326
41,docs: typo,,docs: typo,
42,docs: style feed,fix #323,docs: style feed,fix #323
43,Conditionally load GFM parser in CI builds,,Conditionally load GFM parser in CI builds,
44,chore(release): :gem: 0.15.0,,chore(release): :gem: 0.15.0,
45,Update history to reflect merge of #316 [ci skip],,Update history to reflect merge of #316 [ci skip],
46,Add support to drafts (#316),Merge pull request 316,Add support to drafts (#316),Merge pull request 316
47,chore(release): :gem: 0.14.0,,chore(release): :gem: 0.14.0,
48,style: target Ruby 2.4,,style: target Ruby 2.4,
49,Update history to reflect merge of #153 [ci skip],,Update history to reflect merge of #153 [ci skip],
50,add support for categories frontmatter (#153),Merge pull request 153,add support for categories frontmatter (#153),Merge pull request 153
51,Update history to reflect merge of #264 [ci skip],,Update history to reflect merge of #264 [ci skip],
52,Feed by tag (#264),Merge pull request 264,Feed by tag (#264),Merge pull request 264
53,Update history to reflect merge of #307 [ci skip],,Update history to reflect merge of #307 [ci skip],
54,chore(deps): require Ruby >=2.4.0 (#307),Merge pull request 307,chore(deps): require Ruby >=2.4.0 (#307),Merge pull request 307
55,Update history to reflect merge of #233 [ci skip],,Update history to reflect merge of #233 [ci skip],
56,Dont forget about categories (#233),Merge pull request 233,Dont forget about categories (#233),Merge pull request 233
57,Update history to reflect merge of #314 [ci skip],,Update history to reflect merge of #314 [ci skip],
58,Make posts limit configurable (#314),Merge pull request 314,Make posts limit configurable (#314),Merge pull request 314
59,Update history to reflect merge of #309 [ci skip],,Update history to reflect merge of #309 [ci skip],
60,chore: use Dir class to list files (#309),Merge pull request 309,chore: use Dir class to list files (#309),Merge pull request 309
61,Update history to reflect merge of #306 [ci skip],,Update history to reflect merge of #306 [ci skip],
62,XML escape the title field of feed_meta (#306),Merge pull request 306,XML escape the title field of feed_meta (#306),Merge pull request 306
63,chore(deps): bump Ruby versions,Ruby 2.4 is now EOL,chore(deps): bump Ruby versions,Ruby 2.4 is now EOL
64,Update history to reflect merge of #305 [ci skip],,Update history to reflect merge of #305 [ci skip],
65,Fix generation of feed when post title contains HTML (#305),Merge pull request 305,Fix generation of feed when post title contains HTML (#305),Merge pull request 305
66,chore(dev): simplify require for version,,chore(dev): simplify require for version,
