Index,Message,Description,Message Abstract,Description Abstract
1,Stop profiling memory when Jekyll 3.x,,Stop profiling memory when Jekyll 3.x,
2,[style] Add empty line after guard clause,,[style] Add empty line after guard clause,
3,Update history to reflect merge of #466 [ci skip],,Update history to reflect merge of #466 [ci skip],
4,Support for image paths relative to the page's directory (#466),Merge pull request 466,Support for image paths relative to the page's directory (#466),Merge pull request 466
5,Update history to reflect merge of #464 [ci skip],,Update history to reflect merge of #464 [ci skip],
6,Added the twitter:description tag (#464),Merge pull request 464,Added the twitter:description tag (#464),Merge pull request 464
7,Update history to reflect merge of #462 [ci skip],,Update history to reflect merge of #462 [ci skip],
8,chore: remove git.io (#462),Merge pull request 462,chore: remove git.io (#462),Merge pull request 462
9,Update history to reflect merge of #459 [ci skip],,Update history to reflect merge of #459 [ci skip],
10,Add Ruby 3.1 to CI matrix (#459),Merge pull request 459,Add Ruby 3.1 to CI matrix (#459),Merge pull request 459
11,Release :gem: v2.8.0,,Release :gem: v2.8.0,
12,Update history to reflect merge of #458 [ci skip],,Update history to reflect merge of #458 [ci skip],
13,Sort JSON-LD data by key (#458),Merge pull request 458,Sort JSON-LD data by key (#458),Merge pull request 458
14,Add workflow to release gem via GH Actions,,Add workflow to release gem via GH Actions,
15,Reduce verbosity of workflow job names,,Reduce verbosity of workflow job names,
16,Update history to reflect merge of #454 [ci skip],,Update history to reflect merge of #454 [ci skip],
17,Template: Remove double new line (#454),Merge pull request 454,Template: Remove double new line (#454),Merge pull request 454
18,Update history to reflect merge of #438 [ci skip],,Update history to reflect merge of #438 [ci skip],
19,Add og:image:alt and twitter:image:alt (#438),Merge pull request 438,Add og:image:alt and twitter:image:alt (#438),Merge pull request 438
20,Update history to reflect merge of #455 [ci skip],,Update history to reflect merge of #455 [ci skip],
21,Implement Facebook domain verification (#455),Merge pull request 455,Implement Facebook domain verification (#455),Merge pull request 455
22,Update history to reflect merge of #391 [ci skip],,Update history to reflect merge of #391 [ci skip],
23,Set the default og:type to 'website' (#391),Merge pull request 391,Set the default og:type to 'website' (#391),Merge pull request 391
24,Update history to reflect merge of #453 [ci skip],,Update history to reflect merge of #453 [ci skip],
25,Allow setting author.url (#453),Merge pull request 453,Allow setting author.url (#453),Merge pull request 453
26,Profile using an intermediate shell script,,Profile using an intermediate shell script,
27,Profile with multiple Jekyll versions,,Profile with multiple Jekyll versions,
28,Update history to reflect merge of #452 [ci skip],,Update history to reflect merge of #452 [ci skip],
29,Bump RuboCop to v1.18.x (#452),Merge pull request 452,Bump RuboCop to v1.18.x (#452),Merge pull request 452
30,Update third-party repo profile workflow config, Set ruby_version via strategy.matrix. Migrate to ruby/setup-ruby action. Use double-quoted strings consistently.,Update third-party repo profile workflow config,Set ruby_version via strategy.matrix. Migrate to ruby/setup-ruby action. Use double-quoted strings consistently.
31,Update history to reflect merge of #450 [ci skip],,Update history to reflect merge of #450 [ci skip],
32,Set up Continuous Integration via GH Actions (#450),Merge pull request 450,Set up Continuous Integration via GH Actions (#450),Merge pull request 450
33,Update history to reflect merge of #449 [ci skip],,Update history to reflect merge of #449 [ci skip],
34,docs: fix typo (#449),Merge pull request 449,docs: fix typo (#449),Merge pull request 449
35,Update history to reflect merge of #427 [ci skip],,Update history to reflect merge of #427 [ci skip],
36,Allow to set type for author (#427),Merge pull request 427,Allow to set type for author (#427),Merge pull request 427
37,Remove redundant escapes inside regexp literal,,Remove redundant escapes inside regexp literal,
38,chore(release): v.2.7.1 :gem:,,chore(release): v.2.7.1 :gem:,
39,Update history to reflect merge of #419 [ci skip],,Update history to reflect merge of #419 [ci skip],
40,Mutate site payload instead of duplicating it (#419),Merge pull request 419,Mutate site payload instead of duplicating it (#419),Merge pull request 419
41,chore(release): 2.7.0,,chore(release): 2.7.0,
42,chore(deps): Ruby > 2.4 EOL,,chore(deps): Ruby > 2.4 EOL,
43,Update history to reflect merge of #418 [ci skip],,Update history to reflect merge of #418 [ci skip],
44,Replace read-only empty hash with private constant (#418),Merge pull request 418,Replace read-only empty hash with private constant (#418),Merge pull request 418
45,Update history to reflect merge of #343 [ci skip],,Update history to reflect merge of #343 [ci skip],
