Index,Message,Description,Message Abstract,Description Abstract
1,[maven-release-plugin] prepare for next development iteration,,[maven-release-plugin] prepare for next development iteration,
2,[maven-release-plugin] prepare release blueocean-parent-1.27.4,,[maven-release-plugin] prepare release blueocean-parent-1.27.4,
3,Bump jose4j from 0.7.7 to 0.9.3 (#2434),Bumps jose4j from 0.7.7 to 0.9.3. - Commits  updated-dependencies: - dependency-name: org.bitbucket.b_c:jose4j   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,Bump jose4j from 0.7.7 to 0.9.3 (#2434),Bumps jose4j from 0.7.7 to 0.9.3. - Commits updated-dependencies: - dependency-name: org.bitbucket.b_c:jose4j   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
4,Bump jsoup from 1.14.2 to 1.15.3 (#2334),Bumps jsoup from 1.14.2 to 1.15.3. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: org.jsoup:jsoup   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,Bump jsoup from 1.14.2 to 1.15.3 (#2334),Bumps jsoup from 1.14.2 to 1.15.3. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: org.jsoup:jsoup   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
5,[JENKINS-54250] Disable restarting stages in Jenkinsfile optionally (#2332),"* Add check if restart from stage is enabled or not, when checking if option disableRestartFromStage is set or not Co-authored-by: Olivier Lamy olamy@apache.org",[JENKINS-54250] Disable restarting stages in Jenkinsfile optionally (#2332),"* Add check if restart from stage is enabled or not, when checking if option disableRestartFromStage is set or not Co-authored-by: Olivier Lamy olamy@apache.org"
6,remove comment,Signed-off-by: Olivier Lamy olamy@apache.org,remove comment,Signed-off-by: Olivier Lamy olamy@apache.org
7,Bump BOM and explicitly depend on caffeine-api to fix LoadingCache.refresh (#2435),"  Bump BOM and explicitly depend on caffeine-api to fix LoadingCache.refresh   More dependency management fixes, for example https://github.com/jenkinsci/okhttp-api-plugin/pull/55 & https://github.com/jenkinsci/bom/pull/1676   blueocean-test-ssh-server as used from GitReadSaveTest no longer works ",Bump BOM and explicitly depend on caffeine-api to fix LoadingCache.refresh (#2435),"Bump BOM and explicitly depend on caffeine-api to fix LoadingCache.refresh More dependency management fixes, for example link & link blueocean-test-ssh-server as used from GitReadSaveTest no longer works"
8,Use io.jenkins.plugins:commons-lang3-api (#2433),  Use commons-lang3-api jenkins plugin   Ban org.apache.commons:commons-lang3 ,Use io.jenkins.plugins:commons-lang3-api (#2433),Use commons-lang3-api jenkins plugin Ban org.apache.commons:commons-lang3
9,Upgrade plugin parent POM from 4.53 to 4.57 (#2418),Co-authored-by: Olivier Lamy olamy@apache.org,Upgrade plugin parent POM from 4.53 to 4.57 (#2418),Co-authored-by: Olivier Lamy olamy@apache.org
10,Update Jenkinsfile (#2360),Co-authored-by: Olivier Lamy olamy@apache.org,Update Jenkinsfile (#2360),Co-authored-by: Olivier Lamy olamy@apache.org
11,Bump actions/stale from 7 to 8 (#2422),Bumps actions/stale from 7 to 8. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: actions/stale   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,Bump actions/stale from 7 to 8 (#2422),Bumps actions/stale from 7 to 8. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: actions/stale   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
12,"Revert ""Bump moment from 2.19.3 to 2.29.2 in /jenkins-design-language (#2269)""",This reverts commit fa58295541ad59db8f05afe6a403558a155ab697.,"Revert ""Bump moment from 2.19.3 to 2.29.2 in /jenkins-design-language (#2269)""",This reverts commit fa58295541ad59db8f05afe6a403558a155ab697.
