Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,"JENKINS-42417 Skipped tests should not use ""unstable"" coloring (#999)",0.6218747,JENKINS-39203 - Only show blocks containing a WarningAction as unstable (#1954) @dwnusbaum,,0
2,"Ivan, we need to talk, there's a better way to do this",0.3077181,"Revert ""Make a comment more inclusive"" (#2285) @olamy",,0
3,Merge pull request #81 from jenkinsci/JENKINS-36169,0.56272507,Fix for JENKINS-56383 without rolling back fix for JENKINS-38339 (#1933) @sophistifunk,Bumps jose4j from 0.7.7 to 0.9.3. - Commits  updated-dependencies: - dependency-name: org.bitbucket.b_c:jose4j   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
4,improve docs for shrinkwrap (#565),0.48690376,JENKINS-47929 - Extensible run details tabs (#2345) @stuartrowe,Bumps jsoup from 1.14.2 to 1.15.3. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: org.jsoup:jsoup   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
5,[UX-295] add storybook for Table,0.41482404,Typo in the README.md (#2023) @v1v,"* Add check if restart from stage is enabled or not, when checking if option disableRestartFromStage is set or not Co-authored-by: Olivier Lamy olamy@apache.org",0
6,docs for shrinkwrap (#509),0.53260916,JENKINS-47929 - Extensible run details tabs (#2345) @stuartrowe,Signed-off-by: Olivier Lamy olamy@apache.org,0
7,0.0.108,0.62727195,* Bump jsoup from 1.14.2 to 1.15.3 (#2334) @dependabot,"  Bump BOM and explicitly depend on caffeine-api to fix LoadingCache.refresh   More dependency management fixes, for example https://github.com/jenkinsci/okhttp-api-plugin/pull/55 & https://github.com/jenkinsci/bom/pull/1676   blueocean-test-ssh-server as used from GitReadSaveTest no longer works ",0
8,Buttons should use regular rather than semibold,0.43833983,Bump handlebars from 3.0.6 to 3.0.8 in /jenkins-design-language (#2246) @dependabot,  Use commons-lang3-api jenkins plugin   Ban org.apache.commons:commons-lang3 ,0
9,[ux-412] First working version of log view with node steps,0.54872316,UI for downstream jobs launched with 'build' step JENKINS-38339 ,Co-authored-by: Olivier Lamy olamy@apache.org,0
10,[UX-329] Remove the negative sign,0.57478106,🚨 Removed,Co-authored-by: Olivier Lamy olamy@apache.org,0
11,[FIX JENKINS-42650] - notify when leaving pipeline page (#31),0.7260064,JENKINS-62063 - Fix failure when using pipeline-multibranch-defaults (#2076) @bitwiseman,Bumps actions/stale from 7 to 8. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: actions/stale   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
12,Bump ua-parser-js from 0.7.31 to 0.7.33 in /jenkins-design-language (#2395),0.97416043,* Bump ua-parser-js from 0.7.31 to 0.7.33 in /jenkins-design-language (#2395) @dependabot,This reverts commit fa58295541ad59db8f05afe6a403558a155ab697.,1
13,[maven-release-plugin] prepare release blueocean-parent-1.0.0-b02,0.77614844,https://github.com/jenkinsci/blueocean-plugin/compare/blueocean-parent-1.22.0...blueocean-parent-1.23.0,This reverts commit 57dd98a038e5fdec66fa6f93e64eb9fd0a355f37.,1
14,[JENKINS-35828] rough in the PipelineCard component,0.6506272,JENKINS-55497 - PipelineRunSummary should include a change set (#1919) @stuartrowe,This reverts commit 4d610143fa4c674ac84a04d1850cb9f3653caa2e.,0
15,Fixes regression for empty org folder for github (#49),0.54157513,Minor code cleanup in GitHub Pipeline (#2130) @StefanSpieker,This reverts commit fbfe63a2a3d57668b1c8a82749fa2294aa47d5e0.,0
