Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Upgrade plugin parent POM from 4.57 to 4.65 (#2450),0.9130483,Upgrade plugin parent POM from 4.53 to 4.57 (#2418) @basil,,1
Allow the user to tell the difference between a helpful open button and a generic one (#2442),0.297133,Replace OsUtils.isUnix with Functions.isWindows (#2216) @Vlatombe,Co-authored-by: Olivier Lamy olamy@apache.org,0
Update hamcrest (#2444),0.5924739,Update BOM (#2215) @Vlatombe,Work Update hamcrest,0
Fix typo in description (#2438),0.6295459,Typo in the README.md (#2023) @v1v,,0
[maven-release-plugin] prepare for next development iteration,0.60356057,Upgrade ubuntu maven (#2061) @olamy,,0
[maven-release-plugin] prepare release blueocean-parent-1.27.4,0.65677965,[JENKINS-52825] - Add blueocean-executor-info-plugin to the blueocean meta package as a dependancy (#1925) @halkeye,,0
Bump jose4j from 0.7.7 to 0.9.3 (#2434),0.90133667,Bump jose4j from 0.7.7 to 0.9.3 (#2434) @dependabot,Bumps jose4j from 0.7.7 to 0.9.3. - Commits updated-dependencies: - dependency-name: org.bitbucket.b_c:jose4j   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
Bump jsoup from 1.14.2 to 1.15.3 (#2334),0.9336413,Bump jsoup from 1.14.2 to 1.15.3 (#2334) @dependabot,Bumps jsoup from 1.14.2 to 1.15.3. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: org.jsoup:jsoup   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
[JENKINS-54250] Disable restarting stages in Jenkinsfile optionally (#2332),0.992203,JENKINS-54250 - Disable restarting stages in Jenkinsfile optionally (#2332) @pavlovic-ivan,"* Add check if restart from stage is enabled or not, when checking if option disableRestartFromStage is set or not Co-authored-by: Olivier Lamy olamy@apache.org",1
remove comment,0.47018072,Remove parboiled usage (#2252) @raul-arabaolaza,Signed-off-by: Olivier Lamy olamy@apache.org,0
Bump BOM and explicitly depend on caffeine-api to fix LoadingCache.refresh (#2435),0.9858874,Bump BOM and explicitly depend on caffeine-api to fix LoadingCache.refresh (#2435) @jglick,"Bump BOM and explicitly depend on caffeine-api to fix LoadingCache.refresh More dependency management fixes, for example link & link blueocean-test-ssh-server as used from GitReadSaveTest no longer works",1
Use io.jenkins.plugins:commons-lang3-api (#2433),0.66170305,Bump decode-uri-component from 0.2.0 to 0.2.2 in /jenkins-design-language (#2366) @dependabot,Use commons-lang3-api jenkins plugin Ban org.apache.commons:commons-lang3,0
Upgrade plugin parent POM from 4.53 to 4.57 (#2418),0.96878636,Upgrade plugin parent POM from 4.53 to 4.57 (#2418) @basil,Co-authored-by: Olivier Lamy olamy@apache.org,1
Update Jenkinsfile (#2360),0.775335,JENKINS-70808 - Fix isRestartable by only checking against the curren… (#2416) (#2417) @olamy,Co-authored-by: Olivier Lamy olamy@apache.org,1
