Index,Release Note,Release Note With Abstraction
1," Optional: add a release summary here 
🚀 New features and improvements

JENKINS-54250 - Disable restarting stages in Jenkinsfile optionally (#2332) @pavlovic-ivan

👻 Maintenance

Switch from deprecated useAci syntax to useContainerAgent (#2360) @NotMyFault
Bump BOM and explicitly depend on caffeine-api to fix LoadingCache.refresh (#2435) @jglick

📦 Dependency updates

24 changes

* Bump jose4j from 0.7.7 to 0.9.3 (#2434) @dependabot
* Bump jsoup from 1.14.2 to 1.15.3 (#2334) @dependabot
* Use `io.jenkins.plugins:commons-lang3-api` (#2433) @viceice
* Upgrade plugin parent POM from 4.53 to 4.57 (#2418) @basil
* Bump actions/stale from 7 to 8 (#2422) @dependabot
* Bump moment from 2.19.3 to 2.29.2 in /blueocean-core-js (#2272) @dependabot
* Bump moment from 2.19.3 to 2.29.2 in /blueocean-dashboard (#2271) @dependabot
* Bump moment from 2.19.3 to 2.29.2 in /blueocean-web (#2270) @dependabot
* Bump moment from 2.19.3 to 2.29.2 in /jenkins-design-language (#2269) @dependabot
* Bump decode-uri-component from 0.2.0 to 0.2.2 in /blueocean-config (#2362) @dependabot
* Bump decode-uri-component from 0.2.0 to 0.2.2 in /blueocean-executor-info (#2365) @dependabot
* Bump decode-uri-component from 0.2.0 to 0.2.2 in /jenkins-design-language (#2366) @dependabot
* Bump decode-uri-component from 0.2.0 to 0.2.2 in /blueocean-web (#2367) @dependabot
* Bump decode-uri-component from 0.2.0 to 0.2.2 in /blueocean-pipeline-editor (#2368) @dependabot
* Bump decode-uri-component from 0.2.0 to 0.2.2 in /blueocean-dashboard (#2369) @dependabot
* Bump decode-uri-component from 0.2.0 to 0.2.2 in /blueocean-core-js (#2370) @dependabot
* Bump decode-uri-component from 0.2.0 to 0.2.2 in /blueocean-personalization (#2371) @dependabot
* Bump ua-parser-js from 0.7.19 to 0.7.33 in /blueocean-personalization (#2390) @dependabot
* Bump ua-parser-js from 0.7.19 to 0.7.33 in /blueocean-pipeline-editor (#2391) @dependabot
* Bump ua-parser-js from 0.7.19 to 0.7.33 in /blueocean-core-js (#2393) @dependabot
* Bump ua-parser-js from 0.7.31 to 0.7.33 in /blueocean-executor-info (#2394) @dependabot
* Bump ua-parser-js from 0.7.19 to 0.7.33 in /blueocean-dashboard (#2392) @dependabot
* Bump ua-parser-js from 0.7.31 to 0.7.33 in /jenkins-design-language (#2395) @dependabot
* Bump ua-parser-js from 0.7.19 to 0.7.33 in /blueocean-web (#2389) @dependabot
","Optional: add a release summary here 
🚀 New features and improvements
JENKINS-54250 - Disable restarting stages in Jenkinsfile optionally (#2332) @pavlovic-ivan
👻 Maintenance
Switch from deprecated useAci syntax to useContainerAgent (#2360) @NotMyFault
Bump BOM and explicitly depend on caffeine-api to fix LoadingCache.refresh (#2435) @jglick
📦 Dependency updates
24 changes

Bump jose4j from 0.7.7 to 0.9.3 (#2434) @dependabot
Bump jsoup from 1.14.2 to 1.15.3 (#2334) @dependabot
Use module (#2433) @viceice
Upgrade plugin parent POM from 4.53 to 4.57 (#2418) @basil
Bump actions/stale from 7 to 8 (#2422) @dependabot
Bump moment from 2.19.3 to 2.29.2 in /blueocean-core-js (#2272) @dependabot
Bump moment from 2.19.3 to 2.29.2 in /blueocean-dashboard (#2271) @dependabot
Bump moment from 2.19.3 to 2.29.2 in /blueocean-web (#2270) @dependabot
Bump moment from 2.19.3 to 2.29.2 in /jenkins-design-language (#2269) @dependabot
Bump decode-uri-component from 0.2.0 to 0.2.2 in /blueocean-config (#2362) @dependabot
Bump decode-uri-component from 0.2.0 to 0.2.2 in /blueocean-executor-info (#2365) @dependabot
Bump decode-uri-component from 0.2.0 to 0.2.2 in /jenkins-design-language (#2366) @dependabot
Bump decode-uri-component from 0.2.0 to 0.2.2 in /blueocean-web (#2367) @dependabot
Bump decode-uri-component from 0.2.0 to 0.2.2 in /blueocean-pipeline-editor (#2368) @dependabot
Bump decode-uri-component from 0.2.0 to 0.2.2 in /blueocean-dashboard (#2369) @dependabot
Bump decode-uri-component from 0.2.0 to 0.2.2 in /blueocean-core-js (#2370) @dependabot
Bump decode-uri-component from 0.2.0 to 0.2.2 in /blueocean-personalization (#2371) @dependabot
Bump ua-parser-js from 0.7.19 to 0.7.33 in /blueocean-personalization (#2390) @dependabot
Bump ua-parser-js from 0.7.19 to 0.7.33 in /blueocean-pipeline-editor (#2391) @dependabot
Bump ua-parser-js from 0.7.19 to 0.7.33 in /blueocean-core-js (#2393) @dependabot
Bump ua-parser-js from 0.7.31 to 0.7.33 in /blueocean-executor-info (#2394) @dependabot
Bump ua-parser-js from 0.7.19 to 0.7.33 in /blueocean-dashboard (#2392) @dependabot
Bump ua-parser-js from 0.7.31 to 0.7.33 in /jenkins-design-language (#2395) @dependabot
Bump ua-parser-js from 0.7.19 to 0.7.33 in /blueocean-web (#2389) @dependabot
"
2," Optional: add a release summary here 
🚀 New features and improvements

JENKINS-70808 - Fix isRestartable by only checking against the curren… (#2416) (#2417) @olamy
","Optional: add a release summary here 
🚀 New features and improvements
JENKINS-70808 - Fix isRestartable by only checking against the curren… (#2416) (#2417) @olamy"
3,"What's Changed

[JENKINS-70808] Fix isRestartable by only checking against the curren… by @Dohbedoh in https://github.com/jenkinsci/blueocean-plugin/pull/2416

New Contributors

@Dohbedoh made their first contribution in https://github.com/jenkinsci/blueocean-plugin/pull/2416

Full Changelog: https://github.com/jenkinsci/blueocean-plugin/compare/blueocean-parent-1.25.5.1...blueocean-parent-1.25.5.2","What's Changed
[JENKINS-70808] Fix isRestartable by only checking against the curren… by @Dohbedoh in link
New Contributors
@Dohbedoh made their first contribution in link
Full Changelog: link"
4,"What's Changed

[JENKINS-70559] Fix class not found exception in ssh Pipeline editor by @MarkEWaite in https://github.com/jenkinsci/blueocean-plugin/pull/2397
the method is called twice for the same object so at least we can store the result in a field which reduce call by 2 :) (#2408) by @olamy in https://github.com/jenkinsci/blueocean-plugin/pull/2410
fix some ATH  by @olamy in https://github.com/jenkinsci/blueocean-plugin/pull/2412

Full Changelog: https://github.com/jenkinsci/blueocean-plugin/compare/blueocean-parent-1.27.1...blueocean-parent-1.27.2","What's Changed
[JENKINS-70559] Fix class not found exception in ssh Pipeline editor by @MarkEWaite in link
the method is called twice for the same object so at least we can store the result in a field which reduce call by 2 :) (#2408) by @olamy in link
fix some ATH  by @olamy in link
Full Changelog: link"
5,"What's Changed

the method is called twice for the same object so at least we can store the result in a field which reduce call by 2 :) add some caching to avoid expensive call for completed run by @olamy in https://github.com/jenkinsci/blueocean-plugin/pull/2408

Full Changelog: https://github.com/jenkinsci/blueocean-plugin/compare/blueocean-parent-1.25.5...blueocean-parent-1.25.5.1","What's Changed
the method is called twice for the same object so at least we can store the result in a field which reduce call by 2 :) add some caching to avoid expensive call for completed run by @olamy in link
Full Changelog: link"
6," Optional: add a release summary here 
🐛 Bug fixes

RunSearch.collectRunsParallel returned nondeterministic order (#2386) @jglick

👻 Maintenance

Ceasing to test against non-block-scoped stage (#2385) @jglick

📦 Dependency updates

Bump actions/stale from 6 to 7 (#2378) @dependabot
","Optional: add a release summary here 
🐛 Bug fixes
RunSearch.collectRunsParallel returned nondeterministic order (#2386) @jglick
👻 Maintenance
Ceasing to test against non-block-scoped stage (#2385) @jglick
📦 Dependency updates
Bump actions/stale from 6 to 7 (#2378) @dependabot"
7," Optional: add a release summary here 
🚀 New features and improvements

Require Jenkins 2.361.4 and Java 11 (#2380) @MarkEWaite (#2379) @car-roll 
","Optional: add a release summary here 
🚀 New features and improvements
Require Jenkins 2.361.4 and Java 11 (#2380) @MarkEWaite (#2379) @car-roll "
8," Optional: add a release summary here 
🚨 Removed

remove blueocean-autofavorite from aggregator (#2364) @olamy

🚀 New features and improvements

JENKINS-47929 - Extensible run details tabs (#2345) @stuartrowe

📦 Dependency updates

Bump actions/stale from 5 to 6 (#2339) @dependabot
","Optional: add a release summary here 
🚨 Removed
remove blueocean-autofavorite from aggregator (#2364) @olamy
🚀 New features and improvements
JENKINS-47929 - Extensible run details tabs (#2345) @stuartrowe
📦 Dependency updates
Bump actions/stale from 5 to 6 (#2339) @dependabot"
9," Optional: add a release summary here 
🚨 Removed

remove blueocean-jira from aggregator (#2336) @car-roll

👻 Maintenance

fix missing dependency for ATH tests and simplify using -ntp option (#2335) @olamy
","Optional: add a release summary here 
🚨 Removed
remove blueocean-jira from aggregator (#2336) @car-roll
👻 Maintenance
fix missing dependency for ATH tests and simplify using -ntp option (#2335) @olamy"
10," Optional: add a release summary here 
🐛 Bug fixes

JENKINS-47929 - revert (#2330) as this is causing build failure @olamy
Fix missing parentheses causing logic bug for tests tab failure count (#2305) @wmcbroomd2d

📝 Documentation updates

Adding Blue Ocean statement (#2325) @basil

👻 Maintenance

Remove powermock usage (#2328) @olamy
EOL JSR 305 (#2327) @basil
","Optional: add a release summary here 
🐛 Bug fixes
JENKINS-47929 - revert (#2330) as this is causing build failure @olamy
Fix missing parentheses causing logic bug for tests tab failure count (#2305) @wmcbroomd2d
📝 Documentation updates
Adding Blue Ocean statement (#2325) @basil
👻 Maintenance
Remove powermock usage (#2328) @olamy
EOL JSR 305 (#2327) @basil"
