Index,Message,Description,Message Abstract,Description Abstract
1,Update dependency com.vladsch.flexmark:flexmark-all to v0.64.4,,Update dependency com.vladsch.flexmark:flexmark-all to v0.64.4,
2,Update dependency org.jenkins-ci.plugins:job-dsl to v1.83,,Update dependency org.jenkins-ci.plugins:job-dsl to v1.83,
3,Update dependency org.apache.maven.plugins:maven-checkstyle-plugin to v3.2.2,,Update dependency org.apache.maven.plugins:maven-checkstyle-plugin to v3.2.2,
4,Activate Spotless via Maven property rather than file (#2265),,Activate Spotless via Maven property rather than file (#2265),
5,Update dependency org.jenkins-ci.plugins:artifactory to v3.18.1 (#2263),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,Update dependency org.jenkins-ci.plugins:artifactory to v3.18.1 (#2263),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
6,build(deps-dev): Bump azure-keyvault from 185.v950b_a_591c8d5 to 188.vf46b_7fa_846a_1 in /integrations (#2260),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,build(deps-dev): Bump azure-keyvault from 185.v950b_a_591c8d5 to 188.vf46b_7fa_846a_1 in /integrations (#2260),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
7,build(deps-dev): Bump kubernetes from 3900.va_dce992317b_4 to 3910.ve59cec5e33ea_ in /integrations (#2261),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,build(deps-dev): Bump kubernetes from 3900.va_dce992317b_4 to 3910.ve59cec5e33ea_ in /integrations (#2261),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
8,Create .git-blame-ignore-revs,,Create .git-blame-ignore-revs,
9,Enable Spotless for code formatting (#2258),,Enable Spotless for code formatting (#2258),
10,inbound symbol for JNLPLauncher (#2130),,inbound symbol for JNLPLauncher (#2130),
11,Update dependency org.jenkins-ci.plugins:role-strategy to v587.588.v850a_20a_30162 [SECURITY],,Update dependency org.jenkins-ci.plugins:role-strategy to v587.588.v850a_20a_30162 [SECURITY],
12,Update dependency io.jenkins.tools.bom:bom-2.361.x to v1968 (#2255),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,Update dependency io.jenkins.tools.bom:bom-2.361.x to v1968 (#2255),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
