Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,"Update slack, bom, declarative pipeline, jackson2-api integration tests (#1629)",0.97508836,"Update slack, bom, declarative pipeline, jackson2-api integration tests (#1629) @dependabot",,1
2,Bump pipeline-groovy-lib from 598.vcd66b_a_336510 to 612.v84da_9c54906d (#2085),0.9783008,* Bump pipeline-groovy-lib from 598.vcd66b_a_336510 to 612.v84da_9c54906d (#2085) @dependabot,,1
3,Bump error_prone_annotations from 2.8.1 to 2.9.0 (#1713),0.9695115,Bump error_prone_annotations from 2.8.1 to 2.9.0 (#1713) @dependabot,,1
4,Update ReloadJCascConfigurationCommand.java,0.68707585,CLI command renamed as reload-jcasc-configuration to avoid conflict with core CLI,,0
5,Bump gitea from 1.4.1 to 1.4.3 (#2042),0.9608201,* Bump gitea from 1.4.1 to 1.4.3 (#2042) @dependabot,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,1
6,Demos: run integration tests for the ldap example,0.878721,Validate LDAP demo with the integrations tests (#1225) @v1v,Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
7,Create .git-blame-ignore-revs,0.52857584,Set permissions for GitHub actions (#1964) @naveensrinivasan,Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
8,my bad,0.33553785,🐛 Bug fixes,,0
9,build(deps): Bump checkstyle from 9.3 to 10.3.3 (#2112),0.97195935,* build(deps): Bump checkstyle from 9.3 to 10.3.3 (#2112) @dependabot,,1
10,Bump checkstyle from 8.36.2 to 8.39,0.9296369,Bump checkstyle from 8.36.2 to 8.39 (#1548) @dependabot,,1
11,Bump plugin from 4.42 to 4.43.1 (#2058),0.94683003,* Bump plugin from 4.42 to 4.43.1 (#2058) @dependabot,,1
12,scriptApproval in CasC plugin (#416),0.64544046,Make the io.jenkins.plugins.casc.ConfigurationAsCode API available to plugins (#1203) @escoem,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
13,Bump jira from 3.0.8 to 3.5 (#1634),0.96172464,Bump jira from 3.0.8 to 3.5 (#1634) @dependabot,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,1
14,Bump okio from 3.0.0 to 3.2.0 (#2057),0.9588132,* Bump okio from 3.0.0 to 3.2.0 (#2057) @dependabot,,1
15,Update job-dsl example as id is required (#1034),0.8990085,Update job-dsl example as id is required (#1034) @chris-mac,,1
16,build(deps-dev): Bump github from 1.34.5 to 1.36.0 (#2152),0.9763805,* build(deps-dev): Bump github from 1.34.5 to 1.36.0 (#2152) @dependabot,,1
17,[maven-release-plugin] prepare release configuration-as-code-1.12,0.61721855,"This release was broken, it caused https://github.com/jenkinsci/configuration-as-code-plugin/issues/1339, fixed in https://github.com/jenkinsci/configuration-as-code-plugin/pull/1340, released in v1.38 🌈",,0
18,Merge pull request #20 from batmat/fix-jep-link,0.48277712,Simplify the pull request template and update the checklist (#973) @oleg-nenashev,,0
19,Be explicit about pre-requisites,0.4401744,Add support for secrets while defining jobs declarations.,,0
20,Use JENKINS_HOME for shrinkwrap if present,0.45766795,"We now have a view configuration of jenkins.yml export instead of having to download the configuration, all thanks to @timja.",,0
21,Bump maven-artifact from 3.8.4 to 3.8.5 (#1936),0.9608228,* Bump maven-artifact from 3.8.4 to 3.8.5 (#1936) @dependabot,,1
22,Bump actions/checkout from 3.0.1 to 3.0.2 (#1963),0.9393825,* Bump actions/checkout from 3.0.1 to 3.0.2 (#1963) @dependabot,,1
23,Bump maven-model from 3.8.2 to 3.8.4 (#1869),0.97113585,Bump maven-model from 3.8.2 to 3.8.4 (#1869) @dependabot,,1
24,Update test-harness/src/main/java/io/jenkins/plugins/casc/misc/JenkinsConfiguredWithReadmeRule.java,0.6613357,JENKINS-52906 - Update JIRA Plugin test dependency to verify the JCasC compatibility and support writing roundtrip tests (#956) @oleg-nenashev,,0
25,Bump config-file-provider from 3.10.0 to 3.11.1 (#2065),0.94316995,* Bump config-file-provider from 3.10.0 to 3.11.1 (#2065) @dependabot,,1
26,space,0.43125632,Fix space in logs (#1049) @timja,,0
27,first running implementation to successfuly export yaml from a minimal jenkins instance,0.74953884,Add exportToString() method for YAML export tesing to JenkinsConfiguredWithCodeRule @oleg-nenashev,,1
28,Moved demos that belong to 'unclassified' element,0.5442385,Move matrix-auth ITs to the demos (#1091) @v1v,,0
29,KeyStoreSource does not implement ExtensionPoint,0.54985243,Add Azure KeyVault to secrets doc (#1321) @timja,,0
30,unclassified Descriptors moved to root element,0.52338433,sort Attributes and RootElementConfigurator according to Extension ordinal (#1394) @jetersen,,0
31,add crowd2 doc (#1420),0.90850794,add crowd2 doc (#1420) @jetersen,"... figuration-as-code-plugin/configuration-as-code-plugin/updatecli/update-jenkins.ps1 -PomPath integrations/pom.xml -NewVersion 2.387.1"" Made with ❤️️ by updatecli Co-authored-by: GitHub Actions 41898282+github-actions[bot]@users.noreply.github.com",1
32,Rename REAME.md to README.md,0.56183404,(docs) update README.md (#1553) @vladdoster,,0
33,Remove dependency on the interpolatd library (#972),0.8478422,Remove dependency on the interpolatd library which is no longer used after 1.25 (#972) @oleg-nenashev,,1
34,[maven-release-plugin] prepare for next development iteration,0.6855248,* build(deps-dev): Bump maven-plugin from 3.19 to 3.20 (#2158) @dependabot,Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
35,Bump checkstyle from 8.18 to 8.23 (#1014),0.95274055,Bump checkstyle from 8.18 to 8.23 (#1014) @dependabot,Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
36,Fix description typo,0.53537107,Minor typo fix in readme (#1676) @reggiev,Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
37,Bump jdom from 1.1.1 to 2.0.2 (#1096),0.96465737,Bump jdom from 1.1.1 to 2.0.2 (#1096) @dependabot,Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
