Index,Message,Description,Message Abstract,Description Abstract
1,Merge pull request #1647 from Wadeck/Wadeck-patch-1,Add more details to the security policy,Merge pull request #1647 from Wadeck/Wadeck-patch-1,Add more details to the security policy
2,Merge pull request #1653 from gounthar/fixes-alpine-version,feat(alpine): Pin Alpine version to 3.18.0,Merge pull request #1653 from gounthar/fixes-alpine-version,feat(alpine): Pin Alpine version to 3.18.0
3,"chore(dependencies): Fixes Java 11, 17 and Alpine versions.",,"chore(dependencies): Fixes Java 11, 17 and Alpine versions.",
4,Bump debian in /11/debian/bullseye/hotspot (#1650),,Bump debian in /11/debian/bullseye/hotspot (#1650),
5,Bump debian in /17/debian/bullseye/hotspot (#1651),,Bump debian in /17/debian/bullseye/hotspot (#1651),
6,Bump debian in /17/debian/bullseye-slim/hotspot (#1652),,Bump debian in /17/debian/bullseye-slim/hotspot (#1652),
7,Bump debian in /11/debian/bullseye-slim/hotspot (#1649),,Bump debian in /11/debian/bullseye-slim/hotspot (#1649),
8,Merge pull request #1648 from MarkEWaite/download-from-mirrors,"Download from mirrors, not repo.jenkins-ci.org",Merge pull request #1648 from MarkEWaite/download-from-mirrors,"Download from mirrors, not repo.jenkins-ci.org"
9,Provide RELEASE_LINE in all Windows test paths,,Provide RELEASE_LINE in all Windows test paths,
10,Add RELEASE_LINE always in make.ps1,,Add RELEASE_LINE always in make.ps1,
11,Set RELEASE_LINE in Windows make.ps1,,Set RELEASE_LINE in Windows make.ps1,
12,Limit RELEASE_LINE to use at build time,Remove references to RELEASE_LINE that are not needed,Limit RELEASE_LINE to use at build time,Remove references to RELEASE_LINE that are not needed
13,Calculate RELEASE_LINE inside docker-bake.hcl,Use a regular expression in the docker-bake.hcl to calculate the RELEASE_LINE so that the Dockerfile does not need to become more complicated and so that the caller does not need to provide a release line.  Calculate the release line based on the Jenkins version.,Calculate RELEASE_LINE inside docker-bake.hcl,Use a regular expression in the docker-bake.hcl to calculate the RELEASE_LINE so that the Dockerfile does not need to become more complicated and so that the caller does not need to provide a release line.  Calculate the release line based on the Jenkins version.
14,Export the RELEASE_LINE just like others,,Export the RELEASE_LINE just like others,
15,Identify release line based on Jenkins version,"I previously made the mistake of attempting to reuse the logic that was deciding whether this is the latest weekly or the latest LTS. Reusing that logic fails to determine the correct release line for a non-latest release. If Jenkins 2.500 has already released but we need to build 2.499, then LATEST_WEEKLY will be false and RELEASE_LINE should be ""war"". If Jenkins 2.500.2 has already released but we need to build 2.500.1, then LATEST_LTS will be false and RELEASE_LINE should be ""war-stable"". The RELEASE_LINE calculation needs to be independent of the calculation of latest releases, since they have different conditions.",Identify release line based on Jenkins version,"I previously made the mistake of attempting to reuse the logic that was deciding whether this is the latest weekly or the latest LTS. Reusing that logic fails to determine the correct release line for a non-latest release. If Jenkins 2.500 has already released but we need to build 2.499, then LATEST_WEEKLY will be false and RELEASE_LINE should be ""war"". If Jenkins 2.500.2 has already released but we need to build 2.500.1, then LATEST_LTS will be false and RELEASE_LINE should be ""war-stable"". The RELEASE_LINE calculation needs to be independent of the calculation of latest releases, since they have different conditions."
16,Use RELEASE_LINE instead of DOWNLOAD_DIR,,Use RELEASE_LINE instead of DOWNLOAD_DIR,
17,Include DOWNLOAD_DIR in build scripts,,Include DOWNLOAD_DIR in build scripts,
18,Download war file from Jenkins mirrors,Reduce bandwidth demands on artifactory Faster downloads,Download war file from Jenkins mirrors,Reduce bandwidth demands on artifactory Faster downloads
19,Add more details to the security policy,,Add more details to the security policy,
20,Improve release drafter configuration definition (#1646),"Use weekly release format as the default for the releases.  LTS releases will need edits to provide them.  If we decide to create a separate branch for LTS releases, then the release drafter configuration on that branch could be adjusted to propose LTS version numbers.",Improve release drafter configuration definition (#1646),"Use weekly release format as the default for the releases.  LTS releases will need edits to provide them.  If we decide to create a separate branch for LTS releases, then the release drafter configuration on that branch could be adjusted to propose LTS version numbers."
21,Enable release drafter (#1645),Enable release drafter so that changelogs contain pull requests by default,Enable release drafter (#1645),Enable release drafter so that changelogs contain pull requests by default
22,Bump almalinux from 8.7 to 8.8 in /11/almalinux/almalinux8/hotspot (#1644),,Bump almalinux from 8.7 to 8.8 in /11/almalinux/almalinux8/hotspot (#1644),
23,Bump debian in /11/debian/bullseye-slim/hotspot (#1641),,Bump debian in /11/debian/bullseye-slim/hotspot (#1641),
24,Bump debian in /11/debian/bullseye/hotspot (#1638),,Bump debian in /11/debian/bullseye/hotspot (#1638),
25,Bump debian in /17/debian/bullseye/hotspot (#1639),,Bump debian in /17/debian/bullseye/hotspot (#1639),
26,Bump debian in /17/debian/bullseye-slim/hotspot (#1640),,Bump debian in /17/debian/bullseye-slim/hotspot (#1640),
27,Block dependabot proposals to update to Alma Linux 9 (#1634),https://github.blog/changelog/2021-05-21-dependabot-version-updates-can-now-ignore-major-minor-patch-releases/ shows the technique to allow minor version pull requests but to not propose major version pull requests. Avoid pull requests like:  https://github.com/jenkinsci/docker/pull/1627 https://github.com/MarkEWaite/docker-lfs/pull/148,Block dependabot proposals to update to Alma Linux 9 (#1634),link/ shows the technique to allow minor version pull requests but to not propose major version pull requests. Avoid pull requests like: link link
28,Bump ubi8/ubi from 8.7-1112 to 8.8-854 in /11/rhel/ubi8/hotspot (#1636),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,Bump ubi8/ubi from 8.7-1112 to 8.8-854 in /11/rhel/ubi8/hotspot (#1636),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
29,Skip dependabot pull requests for Java major versions (#1635),Avoid pull requests like:  https://github.com/jenkinsci/docker/pull/1602 https://github.com/jenkinsci/docker/pull/1603 https://github.com/jenkinsci/docker/pull/1604,Skip dependabot pull requests for Java major versions (#1635),Avoid pull requests like: link link link
30,Merge pull request #1633 from MarkEWaite/use-ubi9-jdk-from-temurin,Use JDK from UBI 9 in UBI 9 container,Merge pull request #1633 from MarkEWaite/use-ubi9-jdk-from-temurin,Use JDK from UBI 9 in UBI 9 container
31,Use Eclipse Temurin from UBI 9 for ubi9 container,,Use Eclipse Temurin from UBI 9 for ubi9 container,
32,Merge pull request #1632 from jenkinsci/chore/ksalerno-codeowner,chore: add ksalerno as codeowner,Merge pull request #1632 from jenkinsci/chore/ksalerno-codeowner,chore: add ksalerno as codeowner
33,Merge pull request #1631 from jenkinsci/dduportal-patch-1,chore(Jenkinsfile) fix publication syntax error,Merge pull request #1631 from jenkinsci/dduportal-patch-1,chore(Jenkinsfile) fix publication syntax error
34,chore: add ksalerno as codeowner,,chore: add ksalerno as codeowner,
35,chore(Jenkinsfile) fix publication syntax error,,chore(Jenkinsfile) fix publication syntax error,
36,Merge pull request #1630 from dduportal/chore/trigger-deploy-by-tag,chore(publish) only 'publish' when triggered by a tag to not avoid overriding existing tags,Merge pull request #1630 from dduportal/chore/trigger-deploy-by-tag,chore(publish) only 'publish' when triggered by a tag to not avoid overriding existing tags
37,chore(publish) only 'publish' when triggered by a tag to not avoid overriding existing tags,Signed-off-by: Damien Duportal damien.duportal@gmail.com,chore(publish) only 'publish' when triggered by a tag to not avoid overriding existing tags,Signed-off-by: Damien Duportal damien.duportal@gmail.com
38,Merge pull request #1586 from ksalerno99/master,This patch adds ppc64le support back into the Jenkins CI Docker controller build,Merge pull request #1586 from ksalerno99/master,This patch adds ppc64le support back into the Jenkins CI Docker controller build
39,Merge branch 'master' into master,,Merge branch 'master' into master,
40,Bump alpine from 3.17.3 to 3.18.0 in /11/alpine/hotspot (#1628),,Bump alpine from 3.17.3 to 3.18.0 in /11/alpine/hotspot (#1628),
41,Bump alpine from 3.17.3 to 3.18.0 in /17/alpine/hotspot (#1626),,Bump alpine from 3.17.3 to 3.18.0 in /17/alpine/hotspot (#1626),
42,Bump ubi9/ubi from 9.1.0-1817 to 9.2-489 in /17/rhel/ubi9/hotspot (#1625),,Bump ubi9/ubi from 9.1.0-1817 to 9.2-489 in /17/rhel/ubi9/hotspot (#1625),
