Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,Fix centos test commands,0.5726799,Fix test issues (#910) @slide,Use JDK from UBI 9 in UBI 9 container,0
2,Adds test case for not reinstalling dependencies,0.51398915,814 - Prevent unbound variable error in install-plugins.sh (#815) @lelandsindttouchnet,,0
3,[JENKINS-55087] - “—enable-future-java” is still needed for 2.163,0.5444185,Update the default Jenkins version for development (#869) @jbnetfr,chore: add ksalerno as codeowner,0
4,"option to set JVM parameters, especially system properties",0.3678357,857 - Make the Jenkins WAR path configurable by the JENKINS_WAR env property (#873) @MRamonLeon,chore(Jenkinsfile) fix publication syntax error,0
5,use local variables within functions,0.30419213,🚦 Internal changes,,0
6,Reduce diffs between Dockerfile & Dockerfile-jdk11,0.43236804,Add OpenJ9 images for Java 1.8 and Java 11 (#890) @dzmitrykashlach ,,0
7,move to a simpler tag model,0.5222799,Publish versioned LTS tags so that images can be uodated by Dependabot (#958) @j3parker,chore(publish) only 'publish' when triggered by a tag to not avoid overriding existing tags,0
8,Ignore comments and empty lines in plugins file,0.40183398,814 - Prevent unbound variable error in install-plugins.sh (#815) @lelandsindttouchnet,Signed-off-by: Damien Duportal damien.duportal@gmail.com,0
9,Merge pull request #997 from slide/fix_publish_tagging,0.49336588,Publish versioned LTS tags so that images can be uodated by Dependabot (#958) @j3parker,This patch adds ppc64le support back into the Jenkins CI Docker controller build,0
10,Update jenkins.ps1 (#1435),0.6711731,Update to Jenkins 2.235.1 (changelog) ,,0
11,"709,#861 - Make the REF_DIR configurable in plugin installation scripts (#866)",0.9459961,"709, #861 - Make the REF_DIR configurable in plugin installation scripts (#866) @slide",,1
12,Add missing cmd validation,0.37966684,Fix test issues (#910) @slide,,0
13,Bump debian in /17/debian/bullseye-slim/hotspot,0.4652197,Fix resolution of incrementals version specifications in install-plugins.sh (#834) @halkeye ,,0
14,Make shellcheck happy,0.5077346,Update Shellcheck 0.7.0 (#931) @ducksecops,Add a Security Policy Apply suggestions from code review Co-authored-by: Hervé Le Meur 91831478+lemeurherve@users.noreply.github.com Co-authored-by: Mark Waite mark.earl.waite@gmail.com Improve wording / structure and adding rationale Co-authored-by: Mark Waite mark.earl.waite@gmail.com Co-authored-by: Hervé Le Meur 91831478+lemeurherve@users.noreply.github.com,0
15,Merge pull request #1050 from garethjevans/fix-function-name,0.46013927,814 - Prevent unbound variable error in install-plugins.sh (#815) @lelandsindttouchnet,Bumps debian from bullseye-20230411-slim to bullseye-20230502-slim. updated-dependencies: - dependency-name: debian   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
16,Merge pull request #922 from james-crowley/master,0.3942373,814 - Prevent unbound variable error in install-plugins.sh (#815) @lelandsindttouchnet,Bumps debian from bullseye-20230411 to bullseye-20230502. updated-dependencies: - dependency-name: debian   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
17,Test that optional dependencies are not bundled,0.49631906,814 - Prevent unbound variable error in install-plugins.sh (#815) @lelandsindttouchnet,Bumps debian from bullseye-20230411 to bullseye-20230502. updated-dependencies: - dependency-name: debian   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
18,Merge pull request #1549 from npotluri-rh/add-container-ubi9,0.504738,814 - Prevent unbound variable error in install-plugins.sh (#815) @lelandsindttouchnet,,0
19,Run bats tests in parallel,0.42826247,🚦 Tests,"Use JDK 11.0.19_7, not JDK 11.0.18_10 Use JDK 17.0.7_7, not JDK 17.0.6_10",0
20,Make 3 attempts the default,0.33012104,Always upgrade plugins on startup when PLUGINS_FORCE_UPGRADE is true (#577) @Triqqo @carlossg ,,0
21,fix: ensure that tini is using the correct CPU architecture (#1182),0.4577456,Fix resolution of incrementals version specifications in install-plugins.sh (#834) @halkeye ,,0
22,Prevent jenkins to leak zombie processes,0.40062892,857 - Make the Jenkins WAR path configurable by the JENKINS_WAR env property (#873) @MRamonLeon,,0
23,read of find lockfiles with -r to avoid mangling backslashes,0.44579762,Add a default value for COPY_REFERENCE_FILE_LOG in jenkins.sh (#847) @dsathyan,,0
24,Doc update - reverse proxy (#414),0.5271975,📝 Documentation updates,,0
25,Update hadolint and shellcheck (#1539),0.6774312,Update Shellcheck 0.7.0 (#931) @ducksecops,,0
26,Merge pull request #1373 from basil/DL3046,0.50317305,"709, #861 - Make the REF_DIR configurable in plugin installation scripts (#866) @slide",,0
27,Fix terminology (#1104),0.6110717,🐛 Bug Fixes,,0
28,oops,0.3801495,Fix typos and grammar (#951) @jurnho,,0
29,Dockerfile: add git-lfs,0.6957748,Add git-lfs to all images (#880) @flokli,,0
30,Add jdk8 tag suffix for existing JDK 8 images (#1173),0.6352237,Add OpenJ9 images for Java 1.8 and Java 11 (#890) @dzmitrykashlach ,,0
31,Minor renames in sync plugin manager workflow (#1264),0.52007914,"709, #861 - Make the REF_DIR configurable in plugin installation scripts (#866) @slide",,0
32,Use Java official image as base,0.6266463,Add OpenJ9 images for Java 1.8 and Java 11 (#890) @dzmitrykashlach ,Bump debian from bullseye-20230227 to bullseye-20230320 in /17/debian/bullseye/hotspot,0
33,Fix bats cloning,0.30408773,🐛 Bug Fixes,Bumps debian from bullseye-20230227 to bullseye-20230320. updated-dependencies: - dependency-name: debian   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com,0
34,Add alpine_jdk17 (#1362),0.5365476,936 Added tzdata package (#937) @krufab,,0
35,"Bring back ""chore: Bump Bats to 1.3.0 (#1127)"" (#1145)",0.4444282,Update Shellcheck 0.7.0 (#931) @ducksecops,,0
