Index,Release Note,Release Note Abstract
1,"This is an automatically generated changelog draft for Jenkins weekly releases.
See https://www.jenkins.io/changelog/ for the official changelogs.
🚀 New features and improvements

Improve sign in/register screens appearance on mobile  (#7995) @janfaracik

🐛 Bug fixes

JENKINS-71429 - Fix deleting users via trashcan symbol (#8131) @mawinter69
JENKINS-71383 - Confluence Publisher plugin space check not working (regression in 2.406) (#8100) @basil

👷 Changes for plugin developers

Make widgets really pluggable (#7932) @Vlatombe

📦 Dependency updates

Bump crypto-util from 1.8 to 1.9 (#8122) @dependabot
Bump instance-identity from 142.v04572ca_5b_265 to 173.va_37c494ec4e5 (#8124) @dependabot
Bump jenkins-test-harness from 2024.vcb_b_ede610d76 to 2025.v6f97169a_d6a_f (#8125) @dependabot
Bump jenkins-test-harness from 2010.v1888f1a_cd45a_ to 2024.vcb_b_ede610d76 (#8105) @dependabot
Bump plugin-util-api from 3.2.1 to 3.3.0 (#8093) @dependabot

All contributors: @MarkEWaite, @NotMyFault, @Vlatombe, @basil, @dependabot, @dependabot[bot], @janfaracik, @jenkins-release-bot, @jglick, @mawinter69, @renovate and @renovate[bot]","This is an automatically generated changelog draft for Jenkins weekly releases.
See link/ for the official changelogs.
🚀 New features and improvements
Improve sign in/register screens appearance on mobile  (#7995) @janfaracik
🐛 Bug fixes
JENKINS-71429 - Fix deleting users via trashcan symbol (#8131) @mawinter69
JENKINS-71383 - Confluence Publisher plugin space check not working (regression in 2.406) (#8100) @basil
👷 Changes for plugin developers
Make widgets really pluggable (#7932) @Vlatombe
📦 Dependency updates
Bump crypto-util from 1.8 to 1.9 (#8122) @dependabot
Bump instance-identity from 142.v04572ca_5b_265 to 173.va_37c494ec4e5 (#8124) @dependabot
Bump jenkins-test-harness from 2024.vcb_b_ede610d76 to 2025.v6f97169a_d6a_f (#8125) @dependabot
Bump jenkins-test-harness from 2010.v1888f1a_cd45a_ to 2024.vcb_b_ede610d76 (#8105) @dependabot
Bump plugin-util-api from 3.2.1 to 3.3.0 (#8093) @dependabot
All contributors: @MarkEWaite, @NotMyFault, @Vlatombe, @basil, @dependabot, @dependabot[bot], @janfaracik, @jenkins-release-bot, @jglick, @mawinter69, @renovate and @renovate[bot]"
2,"Please report issues found to the release candidate announcement thread.
Final release is scheduled for 2023-06-28.
Download the release from: https://repo.jenkins-ci.org/incrementals/org/jenkins-ci/main/jenkins-war/2.401.2-rc33573.08ecdb_b_35908/jenkins-war-2.401.2-rc33573.08ecdb_b_35908.war
After final release, the official changelog and official upgrade guide will be available on www.jenkins.io/download.","Please report issues found to the release candidate announcement thread.
Final release is scheduled for 2023-06-28.
Download the release from: link
After final release, the official changelog and official upgrade guide will be available on www.jenkins.io/download."
3,"This is an automatically generated changelog draft for Jenkins weekly releases.
See https://www.jenkins.io/changelog/ for the official changelogs.
🚀 New features and improvements

Use jenkins-button for Repeatable buttons (#7717) @janfaracik

🐛 Bug fixes

JENKINS-71394 - Fedora 38 should not show EOL warning until 2024 (#8082) @zbynek
Don't show arrow next to restart checkbox if OS doesn't support it (#8076) @NotMyFault
JENKINS-71244 - Avoid relative link in update center (#7992) @Bananeweizen

👷 Changes for plugin developers

Move from javax.inject to jakarta.inject (#8065) @basil

📦 Dependency updates

Bump plugin-util-api from 3.2.1 to 3.3.0 (#8093) @dependabot

All contributors: @Bananeweizen, @NotMyFault, @basil, @dependabot, @dependabot[bot], @janfaracik, @jenkins-release-bot, @jglick, @renovate, @renovate[bot], @timja and @zbynek","This is an automatically generated changelog draft for Jenkins weekly releases.
See link/ for the official changelogs.
🚀 New features and improvements
Use jenkins-button for Repeatable buttons (#7717) @janfaracik
🐛 Bug fixes
JENKINS-71394 - Fedora 38 should not show EOL warning until 2024 (#8082) @zbynek
Don't show arrow next to restart checkbox if OS doesn't support it (#8076) @NotMyFault
JENKINS-71244 - Avoid relative link in update center (#7992) @Bananeweizen
👷 Changes for plugin developers
Move from javax.inject to jakarta.inject (#8065) @basil
📦 Dependency updates
Bump plugin-util-api from 3.2.1 to 3.3.0 (#8093) @dependabot
All contributors: @Bananeweizen, @NotMyFault, @basil, @dependabot, @dependabot[bot], @janfaracik, @jenkins-release-bot, @jglick, @renovate, @renovate[bot], @timja and @zbynek"
4,Jenkins 2.408 was not packaged or delivered. All changes planned for 2.408 are included in 2.409.,Jenkins 2.408 was not packaged or delivered. All changes planned for 2.408 are included in 2.409.
5,"Jenkins 2.401.1
We're excited to announce the release of Jenkins 2.401.1 🎉 
❤ Big thanks to all the Jenkins contributors whose work made it into the weekly releases since 2.387 or has been backported to .1:

Alexander Brandes (@NotMyFault)
Allan Burdajewicz (@Dohbedoh)
Antoine Neveux (@aneveux)
Basil Crow (@basil)
Benoit Lacelle (@blacelle)
Carlos Monteiro (@ca-monteiro)
Damian Szczepanik (@damianszczepanik)
Daniel Beck (@daniel-beck)
Denys Digtiar (@duemir)
EBIBO (@benebsiny)
Francis Labrie (@flabrie)
Hervé Le Meur (@lemeurherve)
Ho Yi Wei (@davidho0403)
Ikko Eltociear Ashimine (@eltociear)
Jan Faracik (@janfaracik)
Jeff Thompson (@jeffret-b)
Jesse Glick (@jglick)
Julie Heard (@julieheard)
Kevin Guerroudj (@Kevin-CB)
Mark Waite (@MarkEWaite)
Martin Pokorny (@mPokornyETM)
Mustafa Ulu (@mustafau)
Niral Maruda (@niralmaruda)
Saarthak Maini (@SaarthakMaini)
Stefan Spieker (@StefanSpieker)
Tim Jacomb (@timja)
Vincent Latombe (@Vlatombe)
Wadeck Follonier (@Wadeck)
Yaroslav Afenkin (@yaroslavafenkin)
magesfc (@mamh2021)
wojtekxtx (@wojtekLs)

🎉 Much obliged, Mark Waite (@MarkEWaite), for creating the changelog for this release.
Changelog and upgrade guide
See the changelog and upgrade guide to learn about breaking changes and other considerations when updating.
Reporting issues
If you find an issue with this release, please file an issue on Jira, otherwise use the forums if you're unsure whether you encounter an issue or not.","Jenkins 2.401.1
We're excited to announce the release of Jenkins 2.401.1 🎉 
❤ Big thanks to all the Jenkins contributors whose work made it into the weekly releases since 2.387 or has been backported to .1:
Alexander Brandes (@NotMyFault)
Allan Burdajewicz (@Dohbedoh)
Antoine Neveux (@aneveux)
Basil Crow (@basil)
Benoit Lacelle (@blacelle)
Carlos Monteiro (@ca-monteiro)
Damian Szczepanik (@damianszczepanik)
Daniel Beck (@daniel-beck)
Denys Digtiar (@duemir)
EBIBO (@benebsiny)
Francis Labrie (@flabrie)
Hervé Le Meur (@lemeurherve)
Ho Yi Wei (@davidho0403)
Ikko Eltociear Ashimine (@eltociear)
Jan Faracik (@janfaracik)
Jeff Thompson (@jeffret-b)
Jesse Glick (@jglick)
Julie Heard (@julieheard)
Kevin Guerroudj (@Kevin-CB)
Mark Waite (@MarkEWaite)
Martin Pokorny (@mPokornyETM)
Mustafa Ulu (@mustafau)
Niral Maruda (@niralmaruda)
Saarthak Maini (@SaarthakMaini)
Stefan Spieker (@StefanSpieker)
Tim Jacomb (@timja)
Vincent Latombe (@Vlatombe)
Wadeck Follonier (@Wadeck)
Yaroslav Afenkin (@yaroslavafenkin)
magesfc (@mamh2021)
wojtekxtx (@wojtekLs)
🎉 Much obliged, Mark Waite (@MarkEWaite), for creating the changelog for this release.
Changelog and upgrade guide
See the changelog and upgrade guide to learn about breaking changes and other considerations when updating.
Reporting issues
If you find an issue with this release, please file an issue on Jira, otherwise use the forums if you're unsure whether you encounter an issue or not."
6,"This is an automatically generated changelog draft for Jenkins weekly releases.
See https://www.jenkins.io/changelog/ for the official changelogs.
🚀 New features and improvements

Warn when operating system end of life is approaching (#7913) @MarkEWaite
Minor footer appearance tweaks (#7989) @janfaracik

🐛 Bug fixes

Lazy-load-friendly Job.getEstimatedDurationCandidates (#7998) @jglick

👷 Changes for plugin developers

Make Cloud#reconfigure public as it is necessary for downstream implementations (#8053) @Vlatombe

All contributors: @995560375, @MarkEWaite, @NotMyFault, @PeimingCHEN, @Vlatombe, @basil, @dependabot, @dependabot[bot], @janfaracik, @jenkins-release-bot, @jglick, @renovate, @renovate[bot] and @tillchen","This is an automatically generated changelog draft for Jenkins weekly releases.
See link/ for the official changelogs.
🚀 New features and improvements
Warn when operating system end of life is approaching (#7913) @MarkEWaite
Minor footer appearance tweaks (#7989) @janfaracik
🐛 Bug fixes
Lazy-load-friendly Job.getEstimatedDurationCandidates (#7998) @jglick
👷 Changes for plugin developers
Make Cloud#reconfigure public as it is necessary for downstream implementations (#8053) @Vlatombe
All contributors: @995560375, @MarkEWaite, @NotMyFault, @PeimingCHEN, @Vlatombe, @basil, @dependabot, @dependabot[bot], @janfaracik, @jenkins-release-bot, @jglick, @renovate, @renovate[bot] and @tillchen"
7,"This is an automatically generated changelog draft for Jenkins weekly releases.
See https://www.jenkins.io/changelog/ for the official changelogs.
🚀 New features and improvements

Replace disconnect and system info symbols for agents (#8015) @mawinter69

🐛 Bug fixes

JENKINS-71200 - Fix elements property overload in ListView (#7942) @Dohbedoh

👷 Changes for plugin developers

Unrestrict UserSeedChangeListener (#7997) @Vlatombe
AbstractItem#doReload should not be calling SaveableListener#fireOnChange (#7984) @Vlatombe
Introduced utility HttpServletFilter (#7892) @jglick
Deprecate Form.findMatchingInput Prototype extension in favor of a new non-Prototype replacement (#8008) @basil

All contributors: @Dohbedoh, @MarkEWaite, @NotMyFault, @Vlatombe, @basil, @dependabot, @dependabot[bot], @janfaracik, @jenkins-release-bot, @jglick, @mawinter69, @renovate, @renovate[bot] and @timja","This is an automatically generated changelog draft for Jenkins weekly releases.
See link/ for the official changelogs.
🚀 New features and improvements
Replace disconnect and system info symbols for agents (#8015) @mawinter69
🐛 Bug fixes
JENKINS-71200 - Fix elements property overload in ListView (#7942) @Dohbedoh
👷 Changes for plugin developers
Unrestrict UserSeedChangeListener (#7997) @Vlatombe
AbstractItem#doReload should not be calling SaveableListener#fireOnChange (#7984) @Vlatombe
Introduced utility HttpServletFilter (#7892) @jglick
Deprecate Form.findMatchingInput Prototype extension in favor of a new non-Prototype replacement (#8008) @basil
All contributors: @Dohbedoh, @MarkEWaite, @NotMyFault, @Vlatombe, @basil, @dependabot, @dependabot[bot], @janfaracik, @jenkins-release-bot, @jglick, @mawinter69, @renovate, @renovate[bot] and @timja"
8,"This is an automatically generated changelog draft for Jenkins weekly releases.
See https://www.jenkins.io/changelog/ for the official changelogs.
🚀 New features and improvements

Upgrade from Guice 5.1.0 to 6.0.0 (#7990) @NotMyFault
Refinements to AssociatedConverterImpl.cache (#7976) @jglick
Adjust form label padding (#7962) @janfaracik

🐛 Bug fixes

JENKINS-71236 - Stapler Ajax proxy is broken (#7979) @dependabot
Make the skip link visible (#7956) @janfaracik
Support clouds without a config.jelly (#7972) @Vlatombe

👷 Changes for plugin developers

Introduce jenkins.model.queue.QueueItem interface (#7926) @Vlatombe

📦 Dependency updates

JENKINS-71236 - Stapler Ajax proxy is broken (#7979) @dependabot

All contributors: @Bananeweizen, @NotMyFault, @Vlatombe, @basil, @dependabot, @dependabot[bot], @janfaracik, @jenkins-release-bot, @jglick, @mawinter69, @renovate, @renovate[bot] and @timja","This is an automatically generated changelog draft for Jenkins weekly releases.
See link/ for the official changelogs.
🚀 New features and improvements
Upgrade from Guice 5.1.0 to 6.0.0 (#7990) @NotMyFault
Refinements to AssociatedConverterImpl.cache (#7976) @jglick
Adjust form label padding (#7962) @janfaracik
🐛 Bug fixes
JENKINS-71236 - Stapler Ajax proxy is broken (#7979) @dependabot
Make the skip link visible (#7956) @janfaracik
Support clouds without a config.jelly (#7972) @Vlatombe
👷 Changes for plugin developers
Introduce jenkins.model.queue.QueueItem interface (#7926) @Vlatombe
📦 Dependency updates
JENKINS-71236 - Stapler Ajax proxy is broken (#7979) @dependabot
All contributors: @Bananeweizen, @NotMyFault, @Vlatombe, @basil, @dependabot, @dependabot[bot], @janfaracik, @jenkins-release-bot, @jglick, @mawinter69, @renovate, @renovate[bot] and @timja"
9,"Please report issues found to the release candidate announcement thread.
Final release is scheduled for 2023-05-31.
After final release, the official changelog and official upgrade guide will be available on www.jenkins.io/download.","Please report issues found to the release candidate announcement thread.
Final release is scheduled for 2023-05-31.
After final release, the official changelog and official upgrade guide will be available on www.jenkins.io/download."
10,"This is an automatically generated changelog draft for Jenkins weekly releases.
See https://www.jenkins.io/changelog/ for the official changelogs.
🎉 Major features and improvements

Revamp the sign in and register pages (#7872) @janfaracik

🚀 New features and improvements

JENKINS-71177 - modal with title for legend (#7922) @mawinter69
Move plugins refresh button to app bar (#7770) @janfaracik

🐛 Bug fixes

JENKINS-71182 - Correct Unicode behavior of XML_1_1 (#7924) @jglick
Revert ""JENKINS-71089 - Fix hasHeader attribute for f:hetero-list"" (#7931) @janfaracik

👷 Changes for plugin developers

Add a user experimental flag to run Jenkins without Prototype.js (#7948) @basil

All contributors: @basil, @dependabot, @dependabot[bot], @janfaracik, @jenkins-release-bot, @jglick, @mawinter69, @renovate, @renovate[bot], @timja and @uhafner","This is an automatically generated changelog draft for Jenkins weekly releases.
See link/ for the official changelogs.
🎉 Major features and improvements
Revamp the sign in and register pages (#7872) @janfaracik
🚀 New features and improvements
JENKINS-71177 - modal with title for legend (#7922) @mawinter69
Move plugins refresh button to app bar (#7770) @janfaracik
🐛 Bug fixes
JENKINS-71182 - Correct Unicode behavior of XML_1_1 (#7924) @jglick
Revert ""JENKINS-71089 - Fix hasHeader attribute for f:hetero-list"" (#7931) @janfaracik
👷 Changes for plugin developers
Add a user experimental flag to run Jenkins without Prototype.js (#7948) @basil
All contributors: @basil, @dependabot, @dependabot[bot], @janfaracik, @jenkins-release-bot, @jglick, @mawinter69, @renovate, @renovate[bot], @timja and @uhafner"
