Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Merge pull request #5008 from keystonejs/point-readme-to-ks6,0.63408464," * Update Readme with Keystone 4 documentation references (#4666, thanks @stennie)",Point keystone-classic readme to ks6,0
don't dance around the wording,0.20731065," * Fix grammar in password field description (#4583, thanks @petertdinh)",,0
Point keystone-classic readme to ks6,0.6959898," * Update Readme with Keystone 4 documentation references (#4666, thanks @stennie)","Since there isn't a clear upgrade path, I've just said to use KS6 for new projects and leave off calls to upgrade for this one",0
Update robots.txt,0.4416939,- Removing ?search for URL in Lists doesn't clear the search #3357,,0
Add sitemap and robots.,0.36592346,- how to add sitemap in keystonejs? #2988,,0
Update banner (#4993),0.5375634," * Update Getting Started page (#4708, thanks @stennie)",,0
Fixes #4919: Saving a model before Relationship fields have fully loaded causes data loss (#4978),0.6912726," * Fix: model with required field that defaults to 0 can't be saved (#4397, thanks @jyrkive)",  Implements loading indicator for relationship field values   Suppresses loading indicator for items with relationship fields that have no values ,0
Fix problem with filename ext (ticket: #4765) (#4960),0.45310846,- fileName option ignored for Types.LocalFile ? #2991,,0
Update Version5.js,0.62120867,    * Update react-engine from 4.3.0 to 4.5.1,,0
Update README.md,0.6439463,- Add README to admin/client #3141 (mxstbr),,0
Merge pull request #4974 from keystonejs/update-website-to-v4,0.6171001,"Updated the Keystone 4 website (thanks @tuan23, @dominikwilkowski and @nathsimpson )",Update doc banner,0
Merge branch 'master' into update-website-to-v4,0.4829457,- Update on 0.4 branch #3022,,0
fix banner for v5,0.39443928,Note this release replaces v4.2.0,,0
Merge pull request #4972 from keystonejs/update-website-to-v4,0.619491,"Updated the Keystone 4 website (thanks @tuan23, @dominikwilkowski and @nathsimpson )",Update website content,0
Update website content,0.3260175," * Update Getting Started page (#4708, thanks @stennie)",,0
Merge pull request #4968 from keystonejs/Add-KS5-link,0.57865494," * Update Readme with Keystone 4 documentation references (#4666, thanks @stennie)",Add note about KS 5,0
Merge branch 'master' into Add-KS5-link,0.45482862,Merged pull requests:,,0
Add note about KS 5,0.32478046,v4.0.0-beta.5,,0
Add a note about Keystone 5,0.69540673," * Update Readme with Keystone 4 documentation references (#4666, thanks @stennie)",,0
v4.2.1,0.7516632,v4.0.0-beta.7,,1
Merge branch 'master' of github.com:keystonejs/keystone,0.5295597, * Remove link to keystone-starter (outdated v0.3 demo),,0
v4.2.0,0.79313326,v4.0.0-beta.7,,1
Merge pull request #4895 from pixtron/feature/adminrouteshook,0.563983,Merged pull requests:,Add pre:adminroutes hook,0
Merge branch 'master' into feature/adminrouteshook,0.46306735,Merged pull requests:,,0
Merge pull request #4940 from BarryThePenguin/fix/keystone-tinymce,0.7734866,"update references to keystone-tinymce, thanks @BarryThePenguin",update references to keystone-tinymce,1
Merge branch 'master' into fix/keystone-tinymce,0.6052158,"update references to keystone-tinymce, thanks @BarryThePenguin",,0
Merge pull request #4937 from keystonejs/bugfix/url-field-noedit-value,0.58293223,fix for URL fields in noedit mode,fix value for noEdit InputForm in UrlField,0
update references to keystone-tinymce,0.8832387,"update references to keystone-tinymce, thanks @BarryThePenguin",,1
fix value for noEdit InputForm in UrlField,0.777303,fix for URL fields in noedit mode,,1
v4.1.1,0.731266,v4.0.0-beta.7,,1
Fix for the color field,0.7359147,Colour field bug introduced in 4.1.0 is fixed,,1
Updating package-lock,0.583849,Dependency updates:,,0
Merge pull request #4930 from WenWu92/master,0.7310499,Merged pull requests:,error correction for documentation,1
Adding todo for #4927,0.50443274,- Add Issue Template #2859 (morenoh149),,0
Merge pull request #4927 from ttsirkia/patch-1,0.7197188,Merged pull requests:,Fix incorrect behavior with default values,1
Merge branch 'master' into patch-1,0.5195881,Merged pull requests:,,0
Merge pull request #4932 from keystonejs/bugfix/bring-back-old-test-libs,0.6268424," * Update Readme with Keystone 4 documentation references (#4666, thanks @stennie)",bring back older versions of testing libs,0
adding unit tests to travis,0.5318812,"- Remove date assert e2e tests, re-enable travis e2e #2833 (jstockwin)",,0
Clean up language cookie unit test,0.5835218,"Add support for language cookie options (#4921, thanks @Hsn723 )",,0
Fix failing language cookie unit test,0.63543886,"Add support for language cookie options (#4921, thanks @Hsn723 )",,0
bring back older versions of testing libs,0.4809993,Unit tests running again after 4.1.0 (still working on e2e tests),,0
error correction for documentation,0.41731864,- Better documentation/error handling regarding relationship paths #2812,,0
Fix incorrect behavior with default values,0.59275746,- Dynamic Default Value #3885,Fixes #4737,0
Merge pull request #4926 from autoboxer/master,0.6494241,Merged pull requests:,Update testing to target Node 8 and fix eslint errors,0
Fix eslint errors,0.72638774,- Update eslint to version 2.11.1 🚀 #2976 (greenkeeperio-bot),,1
Update testing to target Node 8,0.48747557, * Remove EOL Node releases from Travis testing (#4652),,0
Merge pull request #4924 from stsourlidakis/patch-2,0.7378405,Merged pull requests:,[DOCS] Fix Application Updates link in Create Items page,1
Merge pull request #4923 from stsourlidakis/patch-1,0.7425802,Merged pull requests:,[DOCS] Fix code highlighting by adding missing newline,1
Merge pull request #4925 from tomjnsn/patch-1,0.7370866,Merged pull requests:,Fix bad link to ConnextCMS,1
FIx bad link to ConnextCMS,0.5053743,- Fix relationship links #3540 (jstockwin),"connextcms.com is now a site enticing you to install a plugin to Chrome, presumably to do something a little shady. Repointed to the actual Github repository.",0
Fix Application Updates link in Create Items page,0.45174253,- noedit URL fields are editable in initial create dialog #3841,,0
Fix code formatting by adding missing newline,0.38048306,- [Nested Lists] formatting #3810 (brianjd),,0
v4.1.0,0.784064,v4.0.0-beta.7,,1
Updating packages build for release,0.5348932,Dependency updates:,,0
Fixing Money field propTypes warning,0.9796346,Fixing Money field propTypes warning (thanks @JedWatson ),,1
"Make clearing single relationships works again, fixes #4711",0.7331439,"Cannot clear Relationship field (without many set to true) (#4711, thanks @JedWatson )",,1
Fixing deprecated isMounted usage,0.9727038,Fixing deprecated isMounted usage (thanks @JedWatson ),,1
