Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,chore(package): update letsencrypt-express to version 2.0.2,0.8486786,- Update letsencrypt-express to version 2.0.6 🚀 #3910 (greenkeeperio-bot),Point keystone-classic readme to ks6,1
2,Merge pull request #2016 from puhastudio/codefield-height,0.6554924,Merged pull requests:,,0
3,Fixl toml file,0.6082639,- Fix error during creation of a localfile field. #2996 (webteckie),"Since there isn't a clear upgrade path, I've just said to use KS6 for new projects and leave off calls to upgrade for this one",0
4,v0.1.38,0.7787901,v4.0.0-beta.8,,1
5,Merge pull request #4112 from intmainvoid/fix-timezone-dates,0.7304222,- Fix timezone handling for Datetime field #2894 (geloescht),,1
6,NumberFilter: move state to props,0.5166037,- Set next list upon transitioning to another item #2986 (webteckie),,0
7,Improvements to default error and 404 handling,0.6210624,- Admin interface errors #3143,Implements loading indicator for relationship field values Suppresses loading indicator for items with relationship fields that have no values,0
8,Merge pull request #3536 from keystonejs/greenkeeper-babel-core-6.16.0,0.62141085,Merged pull requests:,,0
9,implement Toolbar on item details view,0.66897655,- Admin UI renders save toolbar when noedit option is set on list #3644,,0
10,"test(e2e): implement reusable field type page objects.  Now lists, which are already reusable, can also reuse field types.",0.6140424,- test(e2e):  refactor #3341 (webteckie),,0
11,dynamic sidebar implementation,0.540414,- Admin UI renders save toolbar when noedit option is set on list #3644,Update doc banner,0
12,Removing bindEmailTests and 'email tests' option,0.5883174,- easy way to re-enable email functionality #2799,,0
13,Merge pull request #1347 from creynders/fix_linting_errors,0.7032284,Merged pull requests:,,1
14,Rendering the item form toolbar with React,0.5458751,- Add Pull Request Template #2891 (jstockwin),Update website content,0
15,Adding comprehensive NumberArray field tests,0.63086784,- Testing #3129 (mxstbr),,0
16,Reorganised codebase a bit,0.58307076,- 0.4:  CodeMirror support enhancement plan #1979,Add note about KS 5,0
17,v0.1.35,0.8227661,v4.0.0-beta.1,,1
18,fixing default/alt behavior when deleting/removing cloudinary images,0.8113974,- Cloudinary image album delete not working #2951,,1
19,Style fixes for the create form,0.55665666,- Style and improve GH templates #2928 (creynders),,0
20,pre save hook should be updatedOn instead of changedOn as per schema,0.51402014,"new pre:adminroutes hook, thanks @pixtron",,0
21,Merge pull request #1858 from jonathanp/proptypes,0.7019036,Merged pull requests:,,1
22,update name field to use elemental components,0.55436957," * Add iFramely field type (#4600, thanks @vitalbone)",,0
23,Fixing field validation methods for location & password fields. Syntax consistency adjustment in update handler.,0.57315207," * Fix grammar in password field description (#4583, thanks @petertdinh)",,0
24,Fix addFilterToQuery of name field,0.6273284,- Add generateFilename api for CloudinaryImage #3441 (andrewlinfoot),Add pre:adminroutes hook,0
25,move React bindings up to body - one less div,0.51381975,- include react-images in packages.js #3352 (benkroeger),,0
26,Date field WIP,0.67121977,- Add datetime for field #2811 (jstockwin),update references to keystone-tinymce,0
27,Fixing reference to FieldType,0.68272924,- Refactor out field type switch statements #1150,,0
28,Merge pull request #3395 from keystonejs/show-tracking-fields,0.64510393,Merged pull requests:,,0
