Index,Release Note
1,"Minor fixes and a new feature:

update references to keystone-tinymce, thanks @BarryThePenguin
new pre:adminroutes hook, thanks @pixtron
fix for URL fields in noedit mode

Note this release replaces v4.2.0"
2,"Minor fixes, including:

Unit tests running again after 4.1.0 (still working on e2e tests)
Boolean fields work correctly when default: true in set, thanks @ttsirkia 
Colour field bug introduced in 4.1.0 is fixed
Documentation fixes, thanks @WenWu92, @tomjnsn , @stsourlidakis
"
3,"Full changelog
All these people contributed to improving the docs and README.md: @nathsimpson, @stennie, @gverni, @andreicioromila, @codyspate, @lvntruong, @ebrahimamer, @jimulle, @kennedybaird, @laurenskling, @clement-dev, @Vultraz, @sverrisson, @agmt5989, @itzaks, @d400800, @Eyecone, @basilvetas, @cheng306  and @JedWatson 
Updated the Keystone 4 website (thanks @tuan23, @dominikwilkowski and @nathsimpson )
Add alt test to delete button in ListManagement (#4813, thanks @jimulle )
Fixed incorrectly named API method label (#4825, thanks @Vultraz )
Fix UTC DateColumn value display (#4841, thanks @alsoicode)
Added option to hide Today button in Date field (#4869, thanks @marcin-lawrowski)
Fixed dependsOn setting when applied to a boolean field set to false by default (#4867, thanks @marcin-lawrowski )
Allow custom error message in deleteItem (#4683, thanks @RecuencoJones )
Return a 500 error when item.remove fails (#4832, thanks @laurenskling )
Build S3 upload name when not present (#4871, thanks @Tathanen )
Make urlField support thumb option. (#4856, thanks @gemscng )
Moved from letsencrypt-express to greenlock-express (#4885, thanks @akopcz2)
Removed kerberos (#4888, thanks @larrybolt )
Make TinyMCE a real dependency (#4897 & #4887, thanks @gautamsi and @JedWatson )
Fix NumberColumn for money formatting be independent from path name (#4912, thanks @realThinhIT)
Add _req_user to removed item so you can use this in the remove pre/post hook (#4831, thanks @laurenskling )
Add support for language cookie options (#4921, thanks @Hsn723 )
Upgrade to Babel 7 (#4802, thanks ashmore11)
Fixing deprecated isMounted usage (thanks @JedWatson )
Upgraded dependencies (thanks @JedWatson )
Cannot clear Relationship field (without many set to true) (#4711, thanks @JedWatson )
Fixing Money field propTypes warning (thanks @JedWatson )"
4,"Keystone 4.0.0 GA 🎉 
Full Changelog | Documentation | Developer support | Bugs & feature suggestions | KeystoneJS Slack
Bug fixes and improvements:
 * Minor fixes and improvements to the location field type (#4455, thanks @molomby)
 * Improve sanity checking for signin ""from"" param (#4720, thanks @Noviny)
 * Update z-index of color chooser (#4256, thanks @TuurDutoit)
 * Restore/repair s3 image uploaded in tinymce (#4594, thanks @Tathanen)
 * Smooth scroll speed now based on current scroll position (#4635, thanks @AntonyMayer)
 * Added session max age cookie to match keystone.uid cookie expiry (#4565, thanks @millsy)
Dependency updates:
 * Update multer from 0.1.8 to 1.3.1 and automatically clean uploaded files (#4704, thanks @jedwatson)
 * Update mongoose from  4.9.2 to  4.13.14 (#4701, thanks @stennie)
 * Update qs from 4.0.0 to 6.5.2 (#4700, thanks @stennie)
 * Add semver notations to dependencies (#4719, thanks @dominikwilkowski)
Documentation updates:
 * Update Getting Started page (#4708, thanks @stennie)
 * Review & update Setting Up tutorials (#4721, thanks @nathansimpsondesign)
 * Documented breaking change to pre:routes behaviour (thanks @blargity)
 * Added more info on Application updates with required relationships (thanks @blargity)
 * Fix incorrect ""Edit this page"" links (thanks @stennie)
 * Fix API doc 404s for deprecated File field types (thanks @stennie)"
5,"Full Changelog | Documentation | Developer support | Bugs & feature suggestions | KeystoneJS Slack
Bug fixes and improvements:
 * Fix problem saving models with empty file fields in Safari (#4656, thanks @erikvdplas)
 * Include Keystone.version in startup message (#4692, thanks @stennie)
Dependency updates:
 * A number of dependencies were updated to address warnings & deprecations:
    * Update babel-core from 6.26.0 to 6.26.3
    * Update brfs from 1.4.3 to 2.0.0
    * Update browserify from 13.3.0 to 16.2.2
    * Update cloudinary from 1.9.0 to 1.11.0
    * Update debug from 2.6.8 to 3.1.0
    * Update lodash from 4.17.4 to 4.17.10
    * Update react-color from 2.13.8 to 2.14.1
    * Update react-engine from 4.3.0 to 4.5.1
    * Update superagent from 3.6.3 to 3.8.3
Documentation updates:
 * CloudinaryImage(s) fields were incorrectly marked as deprecated (#4686)
 * Reorganise README and add table of contents
 * Remove link to keystone-starter (outdated v0.3 demo)
 * Use https links where available
Testing and CI:
 * Remove --growl from Mocha options"
6,"Full Changelog | Documentation | Developer support | Bugs & feature suggestions | KeystoneJS Slack
Bug fixes and improvements:
 * Fix scrolling for modals in the Admin UI when content overflows (#4169, thanks @saul-mtz)
 * Show color swatch on color field (#4662, thanks @mikehazell )
 * Add new fields and call to the iFramely API instead of oEmbed (#4617, thanks @ticidesign)
 * Add missing DayPicker-WeekdaysRow styling (#4601, thanks @jsundquist )
 * Add iFramely field type (#4600, thanks @vitalbone)
 * Replace hardcoded path breaking custom keystone.adminPath (#4586, thanks @radames)
 * Fix for deleting the last relationship reference in > beta.5 (#4332, thanks @JedWatson)
 * Implement image thumbnails for the File type (#4509, thanks @cadriel)
 * Fix paginate to return on count error (#4167, thanks @ramonfritsch)
 * Deprecate currency setting for Money fields (#4132, thanks @Noviny)
 * Fix autocleanup for cloudinary fixes (#4205, thanks @Noviny)
 * Fix custom nav links (#4387, thanks @frapan)
 * Fix: model with required field that defaults to 0 can't be saved (#4397, thanks @jyrkive)
Dependency updates:
 * Upgrade Moment to address CVE-2017-18214 (#4592, thanks @DeviaVir)
 * Optional: v2.0.0 release of keystone-storage-adapter-s3 which replaces knox with the official AWS JavaScript SDK (thanks @mikehazell)
Documentation updates:
 * Fix typography and Gatsby configuration (thanks @tuan23)
 * Add documentation about customizing the navigation bar  (thanks Francesco Panciroli)
 * Update Readme with Keystone 4 documentation references (#4666, thanks @stennie)
 * Fix grammar in password field description (#4583, thanks @petertdinh)
 * Fix typos in  yo-generator.md and application-updates.md  (#4581 & #4582, thanks @gsklee)
Testing and CI:
 * Fix failing e2e and CI tests (#4643, thanks @dominikwilkowski, @vitalbone, and @stennie)
 * Remove EOL Node releases from Travis testing (#4652)"
7,"v4.0.0-beta.8
Full Changelog

Upgrade marked dependency from 0.3.6 to 0.3.9 (addresses CVE-2017-1000427), thanks Vito Belgiorno-Zegna
"
8,"v4.0.0-beta.7
Full Changelog

Security hardening for sanitizing and escaping raw values (addresses CVE-2017-16570, CVE-2017-15878, and CVE-2017-15879), thanks John Molomby
"
9,"v4.0.0-beta.5
Full Changelog
Fixed bugs:
- Admin UI renders save toolbar when noedit option is set on list #3644
- Sub Menu randomly goes missing? #2883
- [0.4] Keystone does not like String _id field #2234
Closed issues:
- Contact form 500 server error..  #3895
- Dynamic Default Value #3885
- node-sass not found. #3873
- Cloudinary select fields break other Relationship fields when using select: true #3848
- noedit URL fields are editable in initial create dialog #3841
- Heroku Deployment Broken on 4.0.0-beta.4 (Node-sass & Node 6) #3835
- Initial project setup error #3830
- Keystonejs Show all posts created from specific year #3819
- Get ObjectID by using key #3814
- Kerberos causing 'npm install' to fail #3808
- v4 is support Types.LocalFiles ? #3807
- [4.0.0-beta.4] bug in displaying related models in admin UI #3805
- Debug Mode #3799
- Hide the Save button when noedit: true #3796
- Error 500 at demo site  #3792
- Models with Type String Being Ignored #3783
- 4.0 Beta 4 - track {createdBy: 'author'} returns null #3780
- sill doParallel extract 709 #3779
-  KeyStoneJs hangs after starting on Redat7.1 #3770
- how can I enable comment for post #3769
- jade to pug deprecation #3751
- Admin UI: item page RelatedItemsList not loaded #3739
- 500 Error During CRUD #3735
- Requesting npm version bump for 4.0.0 beta #3685
- Roxy Fileman - a file browser #3677
- Error when npm install kerberos@0.0.21  #3657
- Post created, but fails to show details #3649
- Admin UI: packages.js:165 Uncaught SyntaxError: Unexpected string #3642
- Couldn't find preset ""react-app"" relative to directory ""/app"" while parsing file: /app/node_modules/redux-saga/effects.js #3624
- Field type code does not respect noedit: true  #3619
- Keystone doesn't work with server side react-router #3618
- pug engine is not found #3610
- Running Out of Memory on Small Servers #3609
- App/site-wide Cloudinary image folder name #3504
- Admin API: Update List Item Broken Due to CSRF Issue #3420
Merged pull requests:
- Retry e2e travis job once upon failure #3935 (webteckie)
- Update mongoose to version 4.7.8 🚀 #3933 (greenkeeperio-bot)
- Minor improvement to the handling of text indexes #3932 (molomby)
- Update express-session to version 1.15.0 🚀 #3931 (greenkeeperio-bot)
- Update enzyme to version 2.7.1 🚀 #3930 (greenkeeperio-bot)
- fix(0.12 regression): remove arrow functions #3928 (bassjacob)
- Update eslint to version 3.14.0 🚀 #3927 (greenkeeperio-bot)
- Update babel-core to version 6.22.1 🚀 #3923 (greenkeeperio-bot)
- Update babel-preset-stage-2 to version 6.22.0 🚀 #3922 (greenkeeperio-bot)
- Update babel-preset-react to version 6.22.0 🚀 #3921 (greenkeeperio-bot)
- Update babel-polyfill to version 6.22.0 🚀 #3920 (greenkeeperio-bot)
- Update babel-preset-es2015 to version 6.22.0 🚀 #3919 (greenkeeperio-bot)
- Update babel-plugin-transform-object-assign to version 6.22.0 🚀 #3918 (greenkeeperio-bot)
- Update react-router to version 3.0.2 🚀 #3915 (greenkeeperio-bot)
- Update redux-thunk to version 2.2.0 🚀 #3914 (greenkeeperio-bot)
- Update body-parser to version 1.16.0 🚀 #3912 (greenkeeperio-bot)
- Update letsencrypt-express to version 2.0.6 🚀 #3910 (greenkeeperio-bot)
- Feature/healthchecks #3907 (bassjacob)
- Replacing DB connection error event listener; allows recovery after DB connection failure #3906 (molomby)
- Update redux-saga to version 0.14.3 🚀 #3902 (greenkeeperio-bot)
- Update react-markdown to version 2.4.4 🚀 #3900 (greenkeeperio-bot)
- Update object-assign to version 4.1.1 🚀 #3898 (greenkeeperio-bot)
- Update mongoose to version 4.7.7 🚀 #3894 (greenkeeperio-bot)
- Update mime-types to version 2.1.14 🚀 #3893 (greenkeeperio-bot)
- Disable test functionality that does not seem to work well with latest browsers #3891 (webteckie)
- Update must to version 0.13.4 🚀 #3890 (greenkeeperio-bot)
- Fix(AdminUI) multiline Textarea noedit display #3888 (adrien-k)
- Update react-markdown to version 2.4.3 🚀 #3883 (greenkeeperio-bot)
- Update must to version 0.13.3 🚀 #3882 (greenkeeperio-bot)
- Update superagent to version 3.3.2 🚀 #3878 (greenkeeperio-bot)
- Update react-redux to version 5.0.2 🚀 #3876 (greenkeeperio-bot)
- Update eslint to version 3.13.1 🚀 #3874 (greenkeeperio-bot)
- Switch to updated version of keystone-nightwatch-e2e #3866 (jstockwin)
- Update eslint-plugin-react to version 6.9.0 🚀 #3864 (greenkeeperio-bot)
- Update redux-saga to version 0.14.2 🚀 #3863 (greenkeeperio-bot)
- Ensure travis fails if e2e fails #3862 (jstockwin)
- Update KNE version, start sauce_conncet manually #3858 (jstockwin)
- Update eslint to version 3.13.0 🚀 #3855 (greenkeeperio-bot)
- Update react to version 15.4.2 🚀 #3854 (greenkeeperio-bot)
- Update react-dom to version 15.4.2 🚀 #3853 (greenkeeperio-bot)
- Update react-addons-test-utils to version 15.4.2 🚀 #3852 (greenkeeperio-bot)
- Update react-addons-css-transition-group to version 15.4.2 🚀 #3851 (greenkeeperio-bot)
- fixes Cloudinary select fields break other Relationship fields when using select: true (#3848) #3849 (autoboxer)
- Update react-color to version 2.11.1 🚀 #3847 (greenkeeperio-bot)
- write keystone bundles to disk #3842 (bassjacob)
- Update browserify to version 13.3.0 🚀 #3840 (greenkeeperio-bot)
- Update mongoose to version 4.7.6 🚀 #3837 (greenkeeperio-bot)
- Add filters to url params #3836 (Noviny)
- Update lodash to version 4.17.4 🚀 #3833 (greenkeeperio-bot)
- Update sinon to version 1.17.7 🚀 #3832 (greenkeeperio-bot)
- Allow pre:admin configuration. #3831 (gemscng)
- Update cloudinary to version 1.5.0 🚀 #3829 (greenkeeperio-bot)
- Allow HTTP/2 with letsencrypt #3828 (wmertens)
- Update debug to version 2.6.0 🚀 #3827 (greenkeeperio-bot)
- Update vkey to version 1.0.1 🚀 #3826 (greenkeeperio-bot)
- Update enzyme to version 2.7.0 🚀 #3818 (greenkeeperio-bot)
- Update numeral to version 2.0.4 🚀 #3817 (greenkeeperio-bot)
- Update debug to version 2.5.1 🚀 #3816 (greenkeeperio-bot)
- WYSIWYG Editor doesn't refresh for dependsOn #3812 (AurelioDeRosa)
- [Nested Lists] formatting #3810 (brianjd)
- Update superagent to version 3.3.1 🚀 #3809 (greenkeeperio-bot)
- Hide Save button when noedit: true #3797 (AurelioDeRosa)
- Update debug to version 2.4.1 🚀 #3791 (greenkeeperio-bot)
- fix(relationship-field): change button type #3789 (pavethiran)
- Update react-redux to version 5.0.0 🚀 #3788 (greenkeeperio-bot)
- Update eslint to version 3.12.1 🚀 #3787 (greenkeeperio-bot)
- Update superagent to version 3.2.1 🚀 #3785 (greenkeeperio-bot)
- Fix RelatedItemsList.js never loading related items #3782 (jstockwin)
- Update react-engine to version 4.2.1 🚀 #3778 (greenkeeperio-bot)
- [Nested Lists] Adds className and visual offset for list field for better UX. #3775 (jeremyzahner)
- Update babel-polyfill to version 6.20.0 🚀 #3773 (greenkeeperio-bot)
- Update babel-core to version 6.20.0 🚀 #3772 (greenkeeperio-bot)
- Update mongoose to version 4.7.2 🚀 #3768 (greenkeeperio-bot)
- Update numeral to version 2.0.1 🚀 #3767 (greenkeeperio-bot)
- Webpackify Enable HMR for Signin & Fix react-hot-loader >= v3.0.0-beta.6 #3765 (jeremyzahner)
- Update react-color to version 2.10.0 🚀 #3763 (greenkeeperio-bot)
- Update ejs to version 2.5.5 🚀 #3762 (greenkeeperio-bot)
- Update eslint-plugin-react to version 6.8.0 🚀 #3757 (greenkeeperio-bot)
- Update csrf.js, fixes #3420 #3756 (uhhhh2)
- Update moment to version 2.17.1 🚀 #3755 (greenkeeperio-bot)
- Don't cache relationship options, fixes #3598 #3599 (LiquidHelium)
- update handler handles having no req #3568 (Noviny)
- Guide about how to build a blog with Keystone #3480 (ostruzina)"
10,"v4.0.0-beta.4
Full Changelog
Fixed bugs:
- Saving TextArray fields with noedit: true loses data #3575
- Relationship link to linked model page is broken #3528
- Admin Pagination on a sortable list #3494
- Restore support for CloudinaryImage publicId option #3440
- 4.0-Beta-1: Updating password generates 500 error #3428
- Management mode ""Select all"" only selects current page #3374
- SSL: Make ""force"" actually work #3623 (wmertens)
Closed issues:
- Static Files 404 after Page Reload Every Time (ex: public/styles/site.css) #3692
- node keystone error #3655
- Admin API: Nested Objects Not Accessible On Returned Lists #3652
- yo keystone command not found #3651
- Proposal for array type #3646
- Cannot overwrite model once compiled issue #3645
- Unable to configure nav bar in Admin UI for CamelCase model names #3641
- 0.3.x - set specific versions to dependencies #3640
- Hi,  How I can use field Types.File for multiple files upload feature? #3620
- version 4.0.0-beta.1  does not work in heroku #3593
- regex not work in query of Keystonejs #3566
- Documentation: There is no description about ""TextArray"" Type. #3562
- WYSIWYG Editor doesn't refresh for dependsOn. (4.0.0-beta.3) #3551
- Keystone admin loads very slowly after restart in production [bug] #3548
- [4-beta.3] Creating a new item often fails.  #3545
- Pagination doesn't work with deleting #3541
- sortContext isn't implemented in v4 #3521
- [v4.0.0-beta.2] initial noedit fields don't work #3495
Merged pull requests:
- Update react-color to version 2.9.0 🚀 #3753 (greenkeeperio-bot)
- Update uglify-js to version 2.7.5 🚀 #3748 (greenkeeperio-bot)
- Adding custom getData for password fields #3747 (JedWatson)
- Update ejs to version 2.5.3 🚀 #3746 (greenkeeperio-bot)
- Update eslint to version 3.11.1 🚀 #3745 (greenkeeperio-bot)
- Update superagent to version 3.1.0 🚀 #3744 (greenkeeperio-bot)
- Update eslint to version 3.11.0 🚀 #3743 (greenkeeperio-bot)
- Update cloudinary to version 1.4.6 🚀 #3742 (greenkeeperio-bot)
- Update cloudinary to version 1.4.5 🚀 #3741 (greenkeeperio-bot)
- Update mocha to version 3.2.0 🚀 #3740 (greenkeeperio-bot)
- Update numeral to version 1.5.6 🚀 #3738 (greenkeeperio-bot)
- Update xhr to version 2.3.1 🚀 #3737 (greenkeeperio-bot)
- Update mongoose to version 4.7.0 🚀 #3736 (greenkeeperio-bot)
- Add missing x-ua-compatible meta tag #3733 (AurelioDeRosa)
- Update react to version 15.4.1 🚀 #3732 (greenkeeperio-bot)
- Update react-dom to version 15.4.1 🚀 #3731 (greenkeeperio-bot)
- Update react-addons-test-utils to version 15.4.1 🚀 #3730 (greenkeeperio-bot)
- Update async to version 2.1.4 🚀 #3727 (greenkeeperio-bot)
- Update moment to version 2.17.0 🚀 #3726 (greenkeeperio-bot)
- Update numeral to version 1.5.5 🚀 #3725 (greenkeeperio-bot)
- Update xhr to version 2.3.0 🚀 #3723 (greenkeeperio-bot)
- Update method-override to version 2.3.7 🚀 #3721 (greenkeeperio-bot)
- [0.4]align handling in create api with update api #3720 (gemscng)
- Update debug to version 2.3.3 🚀 #3717 (greenkeeperio-bot)
- Update serve-favicon to version 2.3.2 🚀 #3711 (greenkeeperio-bot)
- Update react-images to version 0.5.2 🚀 #3710 (greenkeeperio-bot)
- Update errorhandler to version 1.5.0 🚀 #3704 (greenkeeperio-bot)
- Update mongoose to version 4.6.8 🚀 #3700 (greenkeeperio-bot)
- Update react-redux to version 4.4.6 🚀 #3697 (greenkeeperio-bot)
- Update mongoose to version 4.6.7 🚀 #3687 (greenkeeperio-bot)
- Update updtr to version 0.2.3 🚀 #3686 (greenkeeperio-bot)
- Update debug to version 2.3.2 🚀 #3683 (greenkeeperio-bot)
- Update aphrodite to version 1.1.0 🚀 #3679 (greenkeeperio-bot)
- Update debug to version 2.3.0 🚀 #3678 (greenkeeperio-bot)
- Update react-color to version 2.4.2 🚀 #3673 (greenkeeperio-bot)
- Update scmp to version 1.0.2 🚀 #3671 (greenkeeperio-bot)
- [WIP] Nested Lists #3668 (brianjd)
- Update react-router-redux to version 4.0.7 🚀 #3667 (greenkeeperio-bot)
- Update mongoose to version 4.6.6 🚀 #3666 (greenkeeperio-bot)
- Get the e2e tests passing again #3665 (jstockwin)
- Update scmp to version 1.0.1 🚀 #3663 (greenkeeperio-bot)
- Update updtr to version 0.2.2 🚀 #3661 (greenkeeperio-bot)
- Update babel-core to version 6.18.2 🚀 #3659 (greenkeeperio-bot)
- Update fs-extra to version 1.0.0 🚀 #3656 (greenkeeperio-bot)
- Update lodash to version 4.16.5 🚀 #3654 (greenkeeperio-bot)
- Update express-session to version 1.14.2 🚀 #3653 (greenkeeperio-bot)
- Fixes issue where host is undefined #3650 (LorbusChris)
- E2e updates #3643 (webteckie)
- Added documentation on uploading files. #3639 (blargity)
- Update react-engine to version 4.2.0 🚀 #3637 (greenkeeperio-bot)
- Update babel-preset-stage-2 to version 6.18.0 🚀 #3635 (greenkeeperio-bot)
- Update babel-preset-es2015 to version 6.18.0 🚀 #3634 (greenkeeperio-bot)
- Update babel-core to version 6.18.0 🚀 #3633 (greenkeeperio-bot)
- Update mongoose to version 4.6.5 🚀 #3631 (greenkeeperio-bot)
- Update uglify-js to version 2.7.4 🚀 #3630 (greenkeeperio-bot)
- More improvements around e2e framework API consistency #3628 (webteckie)
- Update browserify to version 13.1.1 🚀 #3627 (greenkeeperio-bot)
- Update react-color to version 2.4.0 🚀 #3626 (greenkeeperio-bot)
- Update supertest to version 2.0.1 🚀 #3622 (greenkeeperio-bot)
- Update enzyme to version 2.5.1 🚀 #3615 (greenkeeperio-bot)
- Update mongoose to version 4.6.4 🚀 #3613 (greenkeeperio-bot)
- Update async to version 2.1.2 🚀 #3611 (greenkeeperio-bot)
- Update express-request-language to version 1.1.8 🚀 #3608 (greenkeeperio-bot)
- Update react-color to version 2.3.4 🚀 #3602 (greenkeeperio-bot)
- Update letsencrypt-express to version 2.0.5 🚀 #3601 (greenkeeperio-bot)
- Update async to version 2.1.1 🚀 #3596 (greenkeeperio-bot)
- Support letsencrypt-express v2 #3594 (wmertens)
- Update mocha to version 3.1.2 🚀 #3591 (greenkeeperio-bot)
- Update mocha to version 3.1.1 🚀 #3588 (greenkeeperio-bot)
- Update aphrodite to version 0.6.0 🚀 #3587 (greenkeeperio-bot)
- Reimplement sortContext option #3585 (andrewlinfoot)
- Refactor home screen tests #3584 (webteckie)
- Update react-color to version 2.3.3 🚀 #3581 (greenkeeperio-bot)
- New group for app level testing and misc refactoring #3579 (webteckie)
- Update watch to version 1.0.1 🚀 #3577 (greenkeeperio-bot)
- Update lodash to version 4.16.4 🚀 #3576 (greenkeeperio-bot)
- Update react-day-picker to version 2.5.0 🚀 #3574 (greenkeeperio-bot)
- Update watch to version 0.19.3 🚀 #3570 (greenkeeperio-bot)
- clone Keystone.csrf.header before passing to xhr #3569 (benkroeger)
- Leverage the latest PO api refactoring. #3561 (webteckie)
- Update es6-promise to version 4.0.5 🚀 #3560 (greenkeeperio-bot)
- Update codeclimate-test-reporter to version 0.4.0 🚀 #3558 (greenkeeperio-bot)
- Update lodash to version 4.16.3 🚀 #3557 (greenkeeperio-bot)
- Update es6-promise to version 4.0.4 🚀 #3556 (greenkeeperio-bot)
- Update redux-saga to version 0.12.0 🚀 #3555 (greenkeeperio-bot)
- Fix TinyMCE not showing bug in Html field when using new dependsOn format #3551 #3554 (stuartforster)
- Update babel-preset-stage-2 to version 6.17.0 🚀 #3553 (greenkeeperio-bot)
- Update babel-core to version 6.17.0 🚀 #3552 (greenkeeperio-bot)
- Update core-assert to version 0.2.1 🚀 #3547 (greenkeeperio-bot)
- Re-implement management mode ""Select All"", fixes #3374 #3546 (jstockwin)
- Update sanitize-filename to version 1.6.1 🚀 #3544 (greenkeeperio-bot)
- Fix re-ordering over multiple pages. Fixes #3494 #3543 (jstockwin)
- Fix deleting items over multiple pages. Fixes #3541 #3542 (jstockwin)
- Fix relationship links #3540 (jstockwin)
- Update babel-preset-stage-2 to version 6.16.0 🚀 #3539 (greenkeeperio-bot)
- Update babel-preset-react to version 6.16.0 🚀 #3538 (greenkeeperio-bot)
- Update babel-preset-es2015 to version 6.16.0 🚀 #3537 (greenkeeperio-bot)
- Update babel-core to version 6.16.0 🚀 #3536 (greenkeeperio-bot)
- test(e2e): use improved po api #3531 (jstockwin)
- Update mocha to version 3.1.0 🚀 #3530 (greenkeeperio-bot)
- Update es6-promise to version 4.0.2 🚀 #3527 (greenkeeperio-bot)
- Update lodash to version 4.16.2 🚀 #3523 (greenkeeperio-bot)
- Elemental Refactor #3472 (jossmac)"
