Index,Message,Description,Message Abstract,Description Abstract
1,"Add Session type parameter for TypeInfo, Lists and Context (#8570)",Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,"Add Session type parameter for TypeInfo, Lists and Context (#8570)",Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com
2,Add ui.basePath which sets the basePath in the AdminUI next config  (#8545),Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com,Add ui.basePath which sets the basePath in the AdminUI next config  (#8545),Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com
3,chore(deps): update pnpm to v8.5.1 (#8579),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update pnpm to v8.5.1 (#8579),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
4,chore(deps): lock file maintenance (#8577),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): lock file maintenance (#8577),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
5,Updated MySQL code example default port (#8572),,Updated MySQL code example default port (#8572),
6,update(docs): Update checkbox.md (#8576),Current documentation for checkbox is outdated. Also maybe you should add description for graphql.isNonNull.update,update(docs): Update checkbox.md (#8576),Current documentation for checkbox is outdated. Also maybe you should add description for graphql.isNonNull.update
7,"Flatten scripts/* and use stderr for errors, add some deprecations (#8569)",Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com Co-authored-by: Josh Calder josh.calder@thinkmill.com.au,"Flatten scripts/* and use stderr for errors, add some deprecations (#8569)",Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com Co-authored-by: Josh Calder josh.calder@thinkmill.com.au
8,Fix keystone dev errors for next@^13.4.0 (#8568),Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com,Fix keystone dev errors for next@^13.4.0 (#8568),Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com
9,fix(deps): update prisma monorepo to v4.14.0 (#8562),Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,fix(deps): update prisma monorepo to v4.14.0 (#8562),Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
10,chore(deps): update dependency @svgr/plugin-prettier to v8 (#8565),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update dependency @svgr/plugin-prettier to v8 (#8565),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
11,chore(deps): update pnpm to v8.5.0 (#8567),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update pnpm to v8.5.0 (#8567),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
12,chore(deps): update dependency @svgr/core to v8 (#8563),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update dependency @svgr/core to v8 (#8563),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
13,chore(deps): update dependency @svgr/plugin-svgo to v8 (#8566),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update dependency @svgr/plugin-svgo to v8 (#8566),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
14,chore(deps): update dependency @svgr/plugin-jsx to v8 (#8564),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update dependency @svgr/plugin-jsx to v8 (#8564),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
15,Add resolveInput.{create|update} list hooks (#8551),Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com Co-authored-by: Josh Calder josh.calder@thinkmill.com.au,Add resolveInput.{create|update} list hooks (#8551),Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com Co-authored-by: Josh Calder josh.calder@thinkmill.com.au
16,chore(deps): update dependency @preconstruct/cli to v2.6.2 (#8558),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update dependency @preconstruct/cli to v2.6.2 (#8558),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
17,chore(deps): update dependency @types/react-transition-group to v4.4.6 (#8559),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update dependency @types/react-transition-group to v4.4.6 (#8559),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
18,fix(deps): update emotion monorepo to v11.11.0 (#8560),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,fix(deps): update emotion monorepo to v11.11.0 (#8560),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
19,Updated url to Next.js example (#8561),,Updated url to Next.js example (#8561),
20,Fix indentation in images-and-files.md documentation (#8557),Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com,Fix indentation in images-and-files.md documentation (#8557),Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com
21,Add custom session strategy example (#8552),Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,Add custom session strategy example (#8552),Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com
22,chore(deps): lock file maintenance (#8555),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): lock file maintenance (#8555),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
