Index,Message,Description,Message Abstract,Description Abstract
1,Add CHANGELOG for 2.2.1 (#8287) (#8289),,Add CHANGELOG for 2.2.1 (#8287) (#8289),
2,limit stencil to inner instructions (#8276),,limit stencil to inner instructions (#8276),
3,Increase timeout of httpbin tests to reduce risk of failures on CI runs (#8263),,Increase timeout of httpbin tests to reduce risk of failures on CI runs (#8263),
4,Ensures that jQuery is always installed (on newer sphinx versions is not the default) (#8251),,Ensures that jQuery is always installed (on newer sphinx versions is not the default) (#8251),
5,Update version for development (#8253),,Update version for development (#8253),
6,Release 2.2.0 (#8249),,Release 2.2.0 (#8249),
7,Update changelog for 2.2.0 (#8245),,Update changelog for 2.2.0 (#8245),
8,Docs review for RPi installation and build instructions (#8234),,Docs review for RPi installation and build instructions (#8234),
9,Bump version to 2.2.0rc1 (#8231),,Bump version to 2.2.0rc1 (#8231),
10,"Sphinx 7.0.0 is incompatible, use <=6.2.1 for now",,"Sphinx 7.0.0 is incompatible, use <=6.2.1 for now",
11,Perform RPi builds on balenalib/raspberrypi3-* images and skip DISPMANX API usage if can't be used (#8223),,Perform RPi builds on balenalib/raspberrypi3-* images and skip DISPMANX API usage if can't be used (#8223),
12,Fix VKeyboard missing with custom keyboard class (#7846),,Fix VKeyboard missing with custom keyboard class (#7846),
13,Build python 3.9 wheels for RPi + fixes the build for RPi wheels (#7852),  Build python 3.9 for rpi as well [build wheel armv7l].   Add missing autoreconf for debian build. [build wheel armv7l]   Add missing libtool for debian build. [build wheel armv7l]   Use the newer cmake based script to build dependencies [build wheel armv7l]    Co-authored-by: Mirko Galimberti me@mirkogalimberti.com,Build python 3.9 wheels for RPi + fixes the build for RPi wheels (#7852),Build python 3.9 for rpi as well [build wheel armv7l]. Add missing autoreconf for debian build. [build wheel armv7l] Add missing libtool for debian build. [build wheel armv7l] Use the newer cmake based script to build dependencies [build wheel armv7l] Co-authored-by: Mirko Galimberti me@mirkogalimberti.com
14,XCode 14.3 fails to build SDL if MACOSX_DEPLOYMENT_TARGET < 10.13 (#8191),,XCode 14.3 fails to build SDL if MACOSX_DEPLOYMENT_TARGET < 10.13 (#8191),
15,Generate-sdist needs packaging as a dependency (#8217),,Generate-sdist needs packaging as a dependency (#8217),
16,Migrate from autotools to cmake for SDL2 linux dependencies (#8203),  Migrate from autotools to cmake for SDL2 linux dependencies   Update Linux install docs ,Migrate from autotools to cmake for SDL2 linux dependencies (#8203),Migrate from autotools to cmake for SDL2 linux dependencies Update Linux install docs
