Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,first try to adjust doc theme to new brownish logo,0.6144153,[#7222]: Docs: minor typo fix in layout docs,,0
2,got texture.pyx compiling and working !,0.5657659,5f6c66eba: Doc: Fixed typo in animation.py,,0
3,More plyer improvements,0.5709882,Highlighted changes:,,0
4,Merge pull request #3541 from Zen-CODE/config_note,0.49307454,[#6969]: Doc: Fix docs for on_dropfile,,0
5,doc: added kv example for uix/effectwidet.py,0.6608921,[#6927]: Doc: Improvements to kv lang docs,,0
6,py2 exception checking in get_capabilities,0.64921755,[#6329]: Add Pyinstaller tests,Build python 3.9 for rpi as well [build wheel armv7l]. Add missing autoreconf for debian build. [build wheel armv7l] Add missing libtool for debian build. [build wheel armv7l] Use the newer cmake based script to build dependencies [build wheel armv7l] Co-authored-by: Mirko Galimberti me@mirkogalimberti.com,0
7,typo/pep,0.56478095,[#5858]: Fixed PEP8 in Pong examples,,0
8,clock: the tick_draw must be done even if the canvas doesn't need redraw.,0.55190915,[#7429]: Clock: Print remaining events before next frame upon too much iteration error,,0
9,Video/gstreamer: fix crash introduce from pep8 fixes,0.7038012,[#7147]: PEP8: Fix PEP8 issues,Migrate from autotools to cmake for SDL2 linux dependencies Update Linux install docs,1
10,"doc: hid ""Scatter."" in ref link",0.6702981,"2ad58a9a0: Doc: cleanup, added doc strign for RecycleLayout to make linkable","Allow left, top, right, and bottom padding values Keep support for deprecated properties handle deprecated properties remove duplicate import update doc and method name add class name to logger message Co-authored-by: Mirko Galimberti me@mirkogalimberti.com fixes and minor refactoring fix padding fix valign center fix halign center fix valign fix halign center with markup=True Co-authored-by: Mirko Galimberti me@mirkogalimberti.com",0
11,"add F6 key to recorder, to play last record in a loop.",0.48408836,[#7102]: Audio: Added loop functionality for SoundAndroidPlayer,remove deprecated properties add comma,0
12,Mock when doc.,0.61325264,Doc,Update config.py On Windows platform without this it cannot write correctly unicode characters Update config.py fix unicode read for Windows platform Update config.py,0
13,Merge pull request #1367 from kivy/py3_fixes,0.66230726,[#6670]: Dependencies: Fix CI PyPI upload and pin to latest kivy_deps versions.,"Qwerty VKeyboard button fix(z,Q and W and ]) on Linux Update kivy/data/keyboards/qwerty.json Co-authored-by: Mirko Galimberti me@mirkogalimberti.com",0
14,"doc: reinstated mvc reference, add view to adapters/init.py",0.64371526,0ccd8ccd9: Doc: tweaks to modules/console.py,allow hide taskbar icon flake8 require config migration move logic into setup_window fix typo,0
15,"Improved EffectWidget, and updated example",0.5784098,5567: EffectWidget: Correct typo 'setdefaults' to 'setdefault',,0
16,"Added the ""disable_multitouch"" option to the mouse provider",0.7005292,[#7065]: Mouse: Added support for the mouse4 and mouse5 buttons,make dpi aware of scale changes Resize on startup if there is any dpi change remove workarounds and use SDL_HINT_WINDOWS_DPI_SCALING,1
17,Merge pull request #2653 from kivy/fix_stacklayout_size_hint,0.5267325,"[#6179]: window: fix multiple resize sent, and always sent the GL size, never …",fix ellipse add warning remove management os minimum segments refactoring to change from close_from_center to close_mode update close_mode value,0
18,py3: make tests works again on python 2.7. Mostly 2to3 changed some import that doesnt work on 2.7.,0.68093,5392: Fix setup.py under python2,add fill_mode remove redundant code update docs fix flake8 error and doc update options name and docs use stencil instructions instead of getting texture region update docs and refactoring,0
19,"add back showcase textinput size change, forgotten at merge",0.68252075,[#7622]: Fixes TextInput cursor issues when resizing/scrolling,,0
20,fix for latest Cython 0.17.2,0.88698983,[#5777]: Update Cython to 0.28.3,:book: Grammar tweaks to focus docstrings,1
21,Merge pull request #5282 from kivy/grid_boundscheck,0.5717428,[#6537]: Doc: fix GridLayout doc,,0
22,remove pillow from required deps,0.49962133,5555: python3 package of Pillow needs a updated Import,,0
23,fix callback->callback.func,0.5911427,[#7541]: SoundLoader: Fix play calls not working in ffpyplayer after the first,,0
24,urlrequest: fix when no headers are sent,0.6522466,5421: Fix host/port handling in UrlRequest,"Make VideoFFPy work with RTSP streams. Remove superfluous loop waiting for metadata from ffpyplayer. This already happens above when checking src_pix_fmt. src_pix_fmt is reported as bytes from ffpyplayer Remove preventing seek on streams, stream may or may not provide seeking. Check src_pix_fmt for both bytes and str in VideoFFPy._next_frame_run. Comment the purpose of VideoFFPy._is_stream",0
25,uix:TextInput add missing image and minor fixes for selection handles,0.72671026,[#7618]: Fixed TextInput visual selection bugs while scrolling,,1
26,Update text_layout.pyx,0.5840109,[#7083]: Core: Add _version.py and move updating version metadata to the CI,Add svg rotation transform support Fixes #8166 - ChatGPT wrote the matrix transformations. I merely fixed type and import errors and verified the code works. Adding some simple screenshot-based Svg tests Simplify rotated example svg Clean up unnecessary lines,0
27,Doc: Splitter add image file for doc,0.65935004,e7d171393: Doc: Added togglebutton image to docs,[WIP] Allows scrolling more than one line using the mouse scroll wheel code to scroll lines based on lines_to_scroll property fix pep typo fix tests and update doc Update test_uix_textinput.py,0
28,doc: corrected versionchanged spacing in uix/widget.py,0.61825055,[#7222]: Docs: minor typo fix in layout docs,,0
29,uix:FileChooser return super,0.6636815,Filechooser,,0
30,Merge pull request #2966 from merriam/merriam_branch_24,0.48978645,58b9685da: @triggered: add cancel method,,0
31,"scroll_timeout: fix the invalid reset in the configuration, force to 250ms, not 55ms.",0.555505,[#6985]: ScrollView: Fix scrollview scroll/effect recursion,,0
32,Make frames incrementing in GraphicUnitTest visible as a method,0.6400981,[#7493]: GraphicUnitTest: Add clear_window_and_event_loop method ,,0
33,doc: added template to adapters diagram,0.60712665,5433: Add simple guide for GraphicUnitTest,,0
34,Add package licensing guide (#4608),0.66943884,[#6303]: Update license file year.,"handle the number of segments, avoid division by zero add warning, update segment calculation Update kivy/graphics/vertex_instructions.pyx Co-authored-by: Mirko Galimberti me@mirkogalimberti.com update docs Co-authored-by: Mirko Galimberti me@mirkogalimberti.com",0
35,Update the clock hash to use the object id.,0.5589194,061891ce1: Add decorator for Clock.create_trigger(),"Fix for radius values large or equal to 0 in the rounded_rectangle Internal segment control to avoid unwanted shapes. Update resolution default value to 90. Corner_radius order changed to match RoundedRectangle radius property (clock-wise). Avoid issues with smoothline if width or height < 2.0 Update doc, add unittests and minor tweaks decrease the number of segments Update doc, refactoring, allow larger radius value Allows to get the generated shape rounded_rectangle rectangle ellipse circle update unittests fixes issue related to number of segments removing code no longer needed since my last commit limit minimum resolution, refactoring Minimum resolution keeps the figure renderable and avoids division by zero removing unnecessary note, typo Apply suggestions from code review Co-authored-by: Gabriel Pettier gabriel.pettier@gmail.com Update vertex_instructions_line.pxi update docs Co-authored-by: Gabriel Pettier gabriel.pettier@gmail.com",0
36,examples/demo/pictures - Delete copyrighted images,0.52668524,[#6947]: Image: Remove 'img_gif' entry from image_libs,Added property for mouse draggable tab scrollbar Fix: W291 trailing whitespace add versionadded 2.2.0 tag,0
37,Merge pull request #395 from akshayaurora/fonts_render,0.50793165,[#5962]: Pango + fontconfig/freetype2 text provider,,0
38,Merge pull request #3423 from kivy/log_gl_error_redo,0.5328059,[#5999]: : Fixes KIVY_GL_DEBUG=1,,0
39,"Clarified difference between main content and content of individual tabs. Added more explanation, especially for TabbedPanelHeader, which would be better named TabbedPanelTab probably. Fixed punctuation and typos.",0.631874,Tabbedpanel,,0
40,Use pip to build wheel so it uses pyproject.toml. (#6659),0.9716344,[#6659]: CI: Use pip to build wheel so it uses pyproject.toml.,,1
41,Made ScreenManager clear_widgets correctly iterate over screens,0.95378405,[#6481]: ScreenManager: Make clear_widgets correctly iterate over screens,,1
42,FBO depth rendering changed to use teexture,0.5521113,5664: Fixes renderbuffer leaking when creating Fbo,Dependencies build tool: exit immediately on fail and allows to debug easier,0
43,gsteamer: fix invalid video start everytime we load it. use STATE_READY instead of STATE_PLAYING. Closes #307,0.6441729,[#7049]: Camera: Fix GI camera provider crash when no texture is available after loading,Use SDL_GetDisplayDPI to get the display DPI if no high DPI was detected using the method described in the warning for the SDL_GetDisplayDPI function (which is the current method for guessing the DPI). If the X server is configured with the DPI of the display then this GetDisplayDPI method returns the correct DPI on Linux.,0
44,text_pango: Don't force alignment to left,0.70168054,[#7631]: Fixes some bugs in the TextInput if the text is right-aligned or center-aligned and not multiline.,"If higher than normal DPI is configured using KIVY_DPI or other means then the density of the screen is higher and this should be reflected in the density. This will make the density calculation on linux the same as Windows and macOS. Unit test change: Use almost equal in density property unit tests Since the density is a floating point number, the tests can fail if the calculated value is slightly rounded.",1
45,MouseMotionEventProvider: Updated doc of disable_hover property.,0.9602777,[#7644]: MouseMotionEventProvider: Update doc of disable_hover property,,1
46,doc: revisions to uix/popup.py,0.7161773,e029bed41: Doc: tweak to uix/spinner.py docs,,1
47,Make the text area a fixed width to give more room to demo results,0.54021376,[#7622]: Fixes TextInput cursor issues when resizing/scrolling,,0
48,"make textures work and start doing texture manager, for multi texturing/batching texture bindings",0.55334103,5298: Add support for saving flipped Textures,,0
49,docs: revisions to app.py (3),0.6802099,[#5833]: Docs: Add note about not yet available py3.7 packages,Accept values for vertical and horizontal spread_radius fix image update docs,0
50,Limit the number of parallel jobs to 4 to prevent overloading the system,0.44668308,[#7118]: GridLayout : optimize GridLayout,,0
51,sandbox: add a little comment for explaining the example,0.45632848,a432e0d73: Let BoxLayout.add_widget use the canvas argument,update BoxShadow docs update images,0
52,add tests for coordinates translation,0.9352034,[#6415]: Test: Add tests for coordinates translation,Introduce build script for SDL dependencies and KIVY_DEPS_ROOT,1
53,Trimming documentation,0.5936305,5520: Documentation consistency,add inset feature update docs Refactor shadow calculation,0
