Index,Message,Description,Message Abstract,Description Abstract
1,Update CHANGELOG,,Update CHANGELOG,
2,Apply fixes from StyleCI,,Apply fixes from StyleCI,
3,Migrate to modules (#246),,Migrate to modules (#246),
4,Update CHANGELOG,,Update CHANGELOG,
5,update config file,,update config file,
6,Remove redundant form data in vue stub (#280),,Remove redundant form data in vue stub (#280),
7,Update 1_Bug_report.yml,,Update 1_Bug_report.yml,
8,Update 1_Bug_report.yml,,Update 1_Bug_report.yml,
9,Update and rename 1_Bug_report.md to 1_Bug_report.yml,,Update and rename 1_Bug_report.md to 1_Bug_report.yml,
10,Update CHANGELOG,,Update CHANGELOG,
11,[1.x] Fix Pest test installation for Inertia stack (#279),  Fix installation of Inertia-specific Pest tests   Add missing failure handler ,[1.x] Fix Pest test installation for Inertia stack (#279),Fix installation of Inertia-specific Pest tests Add missing failure handler
12,Update current_password rule in ProfileController (#278),  update current_password rule   update current_password rule in inertia controller ,Update current_password rule in ProfileController (#278),update current_password rule update current_password rule in inertia controller
13,Fix ref in react TextInput (#277),Fix ref in react TextInput,Fix ref in react TextInput (#277),Fix ref in react TextInput
14,Update CHANGELOG,,Update CHANGELOG,
15,[1.x] Uses Pest 2 (#274),  Uses Pest 2   Updates CI to use L10 only   Fixes unit stub ,[1.x] Uses Pest 2 (#274),Uses Pest 2 Updates CI to use L10 only Fixes unit stub
16,wip,,wip,
17,[1.x] Add opt-in TypeScript support (#267),  Add opt-in TypeScript support   Test TypeScript option in CI   Replace {} type with something safer   Update to TypeScript 5.0   Switch to new bundler moduleResolution   Fix Vue Modal maxWidth prop type   Update InstallsInertiaStacks.php   formatting    Co-authored-by: Taylor Otwell taylor@laravel.com,[1.x] Add opt-in TypeScript support (#267),Add opt-in TypeScript support Test TypeScript option in CI Replace {} type with something safer Update to TypeScript 5.0 Switch to new bundler moduleResolution Fix Vue Modal maxWidth prop type Update InstallsInertiaStacks.php formatting Co-authored-by: Taylor Otwell taylor@laravel.com
18,wip,,wip,
19,wip,,wip,
20,Fix password-update pest tests (#273),  Fix password update pest tests   Update PasswordUpdateTest.php    Co-authored-by: Taylor Otwell taylor@laravel.com,Fix password-update pest tests (#273),Fix password update pest tests Update PasswordUpdateTest.php Co-authored-by: Taylor Otwell taylor@laravel.com
21,[1.x] React - Simplify Form Handler (#268),  Remove handleOnChange functions   Fix default state of login remember checkbox ,[1.x] React - Simplify Form Handler (#268),Remove handleOnChange functions Fix default state of login remember checkbox
22,Fix input focus on update password error (#269),,Fix input focus on update password error (#269),
23,Remove unnecessary text input wrapper (#270),,Remove unnecessary text input wrapper (#270),
24,Fix undefined class (#271),,Fix undefined class (#271),
25,[1.x] Prop consistency (#272),  Mark Checkbox checked prop as required   Remove unnecessary props   Improve prop definition consistency   Pass user object directly to authenticated layout   Destructure all used props   Formatting ,[1.x] Prop consistency (#272),Mark Checkbox checked prop as required Remove unnecessary props Improve prop definition consistency Pass user object directly to authenticated layout Destructure all used props Formatting
26,Adds type checking (#265),,Adds type checking (#265),
27,remove unused function arguments in params (#264),,remove unused function arguments in params (#264),
28,Update CHANGELOG,,Update CHANGELOG,
29,Fix wrong field Id in ForgotPassword.jsx (#262),,Fix wrong field Id in ForgotPassword.jsx (#262),
30,Laravel adjust wording (#259),,Laravel adjust wording (#259),
31,[1.x] Improve React components (#257),  Improve component props   Update usage of components   Prevent adding an undefined class when no className is provided ,[1.x] Improve React components (#257),Improve component props Update usage of components Prevent adding an undefined class when no className is provided
32,wip,,wip,
33,wip,,wip,
34,Update tests.yml,,Update tests.yml,
35,Update tests.yml,,Update tests.yml,
36,Update CHANGELOG,,Update CHANGELOG,
37,wip,,wip,
38,Update CHANGELOG,,Update CHANGELOG,
39,Apply fixes from StyleCI,,Apply fixes from StyleCI,
40,[1.x] Update font and welcome page (#253),  Update font and welcome page   Update text to match skeleton ,[1.x] Update font and welcome page (#253),Update font and welcome page Update text to match skeleton
41,remove unused files from stubs (#255),,remove unused files from stubs (#255),
42,Allowed a hardcoded string to be localized (#254),,Allowed a hardcoded string to be localized (#254),
