Index,Message,Description,Message Abstract,Description Abstract
1,Update UPGRADE.md,,Update UPGRADE.md,
2,Update CHANGELOG,,Update CHANGELOG,
3,Update Cashier.php,,Update Cashier.php,
4,[14.x] Handle automatic payment method updates (#1534),  Handle payment_method.automatically_updated webhook   Remove whitespace   Add payment_method.automatically_updated webhook   Update upgrade guide   formatting    Co-authored-by: Taylor Otwell taylor@laravel.com,[14.x] Handle automatic payment method updates (#1534),Handle payment_method.automatically_updated webhook Remove whitespace Add payment_method.automatically_updated webhook Update upgrade guide formatting Co-authored-by: Taylor Otwell taylor@laravel.com
5,Update CHANGELOG,,Update CHANGELOG,
6,Update Cashier.php,,Update Cashier.php,
7,Fallback for empty pm_type object (#1531),,Fallback for empty pm_type object (#1531),
8,Update CHANGELOG,,Update CHANGELOG,
9,Update Cashier.php,,Update Cashier.php,
10,"[14.x] Add ability to set a description on ""one-off"" charge checkouts (#1525)",  Update PerformsCharges.php   Update PerformsCharges.php   Update PerformsCharges.php    Co-authored-by: Dries Vints dries@vints.be,"[14.x] Add ability to set a description on ""one-off"" charge checkouts (#1525)",Update PerformsCharges.php Update PerformsCharges.php Update PerformsCharges.php Co-authored-by: Dries Vints dries@vints.be
11,Update CHANGELOG,,Update CHANGELOG,
12,Update Cashier.php,,Update Cashier.php,
13,[14.x] Add ability to ignore incomplete payments (#1524),  Ignore incomplete payments   Update HandlesPaymentFailures.php    Co-authored-by: Taylor Otwell taylorotwell@gmail.com,[14.x] Add ability to ignore incomplete payments (#1524),Ignore incomplete payments Update HandlesPaymentFailures.php Co-authored-by: Taylor Otwell taylorotwell@gmail.com
14,Update 1_Bug_report.yml,,Update 1_Bug_report.yml,
15,Rename 1_Bug_report.md to 1_Bug_report.yml,,Rename 1_Bug_report.md to 1_Bug_report.yml,
16,Update 1_Bug_report.md,,Update 1_Bug_report.md,
17,Update CHANGELOG,,Update CHANGELOG,
18,Update Cashier.php,,Update Cashier.php,
19,Update HandlesPaymentFailures.php,,Update HandlesPaymentFailures.php,
20,[14.x] Set payment confirm options (#1516),  Set payment confirm options   wip   wip   formatting    Co-authored-by: Taylor Otwell taylor@laravel.com,[14.x] Set payment confirm options (#1516),Set payment confirm options wip wip formatting Co-authored-by: Taylor Otwell taylor@laravel.com
21,Apply fixes from StyleCI,,Apply fixes from StyleCI,
22,Typo (#1511),,Typo (#1511),
23,Update CHANGELOG,,Update CHANGELOG,
24,Update Cashier.php,,Update Cashier.php,
25,Fix deletion of subscription items in swap() (#1509),This commit fixes an issue in Subscription::swap() where subscription items created via price_data instead of an existing Stripe price are immediately deleted after creation.,Fix deletion of subscription items in swap() (#1509),This commit fixes an issue in Subscription::swap() where subscription items created via price_data instead of an existing Stripe price are immediately deleted after creation.
26,[14.x] Provide findSetupIntent method (#1505),  fix: Provide findSetupIntent method   fix: style fixes   Update ManagesPaymentMethods.php ,[14.x] Provide findSetupIntent method (#1505),fix: Provide findSetupIntent method fix: style fixes Update ManagesPaymentMethods.php
27,[14.x] Adds type checking (#1506),  Adds type checking   Update .gitattributes   Update static-analysis.yml ,[14.x] Adds type checking (#1506),Adds type checking Update .gitattributes Update static-analysis.yml
28,Update CHANGELOG,,Update CHANGELOG,
29,Update Cashier.php,,Update Cashier.php,
30,[14.x] Fix invoice line items (#1503),  Fix invoice line items   Apply fixes from StyleCI    Co-authored-by: StyleCI Bot bot@styleci.io,[14.x] Fix invoice line items (#1503),Fix invoice line items Apply fixes from StyleCI Co-authored-by: StyleCI Bot bot@styleci.io
31,Update CHANGELOG,,Update CHANGELOG,
32,Update Cashier.php,,Update Cashier.php,
33,Update FeatureTestCase.php,,Update FeatureTestCase.php,
34,[14.x] Fix webhook command (#1499),  Add events fallback to webhook command   Re-use commands ,[14.x] Fix webhook command (#1499),Add events fallback to webhook command Re-use commands
35,Update CHANGELOG,,Update CHANGELOG,
36,Update Cashier.php,,Update Cashier.php,
37,Add SyncCustomerDetails job (#1498),  Add SyncCustomerDetails job   Apply fixes from StyleCI    Co-authored-by: StyleCI Bot bot@styleci.io,Add SyncCustomerDetails job (#1498),Add SyncCustomerDetails job Apply fixes from StyleCI Co-authored-by: StyleCI Bot bot@styleci.io
38,Disable HTTP 2 in tests (#1497),,Disable HTTP 2 in tests (#1497),
39,Update CHANGELOG,,Update CHANGELOG,
40,Update Cashier.php,,Update Cashier.php,
41,Return null if attribute isn't found (#1496),,Return null if attribute isn't found (#1496),
42,Update CHANGELOG,,Update CHANGELOG,
43,Update Cashier.php,,Update Cashier.php,
44,Update CHANGELOG.md,,Update CHANGELOG.md,
45,[14.x] Fix wrong foreignKey on SubscriptionItem (#1494), fix wrong fk on SubscriptionItem  fix wrong fk from SubscriptionItem to Subscription (needed on customized migrations)  Update SubscriptionItem.php  Co-authored-by: Dries Vints dries@vints.io,[14.x] Fix wrong foreignKey on SubscriptionItem (#1494),fix wrong fk on SubscriptionItem fix wrong fk from SubscriptionItem to Subscription (needed on customized migrations) Update SubscriptionItem.php Co-authored-by: Dries Vints dries@vints.io
46,Update CHANGELOG,,Update CHANGELOG,
47,Update Cashier.php,,Update Cashier.php,
48,Fix test name,,Fix test name,
49,[14.x] Laravel v10 Support (#1486),  Update composer.json   Update tests.yml   Update composer.json ,[14.x] Laravel v10 Support (#1486),Update composer.json Update tests.yml Update composer.json
50,Update CHANGELOG,,Update CHANGELOG,
51,Update Cashier.php,,Update Cashier.php,
52,Adds types to database migrations and factories (#1472),,Adds types to database migrations and factories (#1472),
53,Update tests.yml,,Update tests.yml,
54,Update Cashier.php,,Update Cashier.php,
