Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,Merge branch 'master' into allow-laravel-8,0.44190174,Fix unicode support in appendSlowly method (#907),,0
2,Update github templates and default files,0.4568479,Add source directory creation on install (#915)﻿,Allow dusk attribute selectors to be chained Add test,0
3,Merge pull request #776 from crynobone/fix-route,0.44502097,Fix assertVueContains and assertVueDoesNotContain (#638),,0
4,Merge pull request #590 from driesvints/fix-multiple-select-bug,0.520862,Bump dependencies by @driesvints in link,,0
5,add missing @throws to docblocks,0.56174195,Add hasStartMaximizedEnabled method by @roksprogar in link,,0
6,Merge branch 'disable-tty5' of link into antonioribeiro-disable-tty5,0.4815532,Adds the missing import for InteractsWithMouse@clickAtXPath (#728),Adds type checking Update .gitattributes Update static-analysis.yml,0
7,Fix 'missing ) after argument list' error when using double quotes in selectors,0.47511128,scrollTo: add support for selectors with quotes (#697),,0
8,Merge pull request #962 from stefanzweifel/patch-1,0.52365935,Fix PHPUnit v10 stubs by @driesvints in link,,0
9,Merge pull request #240 from jhoff/fix_php_binary,0.5778462,Fix PHPUnit v10 stubs by @driesvints in link,,0
10,Merge pull request #748 from hivokas/patch-3,0.4741956,Drop PHPUnit 7 by @driesvints in link,,0
11,order things correctly,0.26239783,Removed,,0
12,Update Chromedriver,0.7926824,Improve detection of latest stable ChromeDriver release (#677),,1
13,Drop PHPUnit v8 support (#861),0.8124862,Support PHPUnit 8 (788e79c),Use PHP 8.2 in stub tests Use PHPUnit v10 xml for Laravel v10 Update src/Console/DuskCommand.php Co-authored-by: Mior Muhammad Zaki crynobone@gmail.com Update src/Console/DuskCommand.php Co-authored-by: Mior Muhammad Zaki crynobone@gmail.com Co-authored-by: Mior Muhammad Zaki crynobone@gmail.com,1
14,clean up config,0.50145525,Refactor redundant purging methods (#886)﻿,,0
15,Update LICENSE.md,0.58570147,Updated,PHPUnit 10 Supports Signed-off-by: Mior Muhammad Zaki crynobone@gmail.com wip Signed-off-by: Mior Muhammad Zaki crynobone@gmail.com wip Signed-off-by: Mior Muhammad Zaki crynobone@gmail.com wip Re-use GHA job wip Signed-off-by: Mior Muhammad Zaki crynobone@gmail.com Co-authored-by: Dries Vints dries@vints.io,0
16,Rename function,0.47266185,Changed,,0
17,Merge pull request #354 from inxilpro/optional-logs,0.48189855,Adds the missing import for InteractsWithMouse@clickAtXPath (#728),,0
18,clean-up all spacing and naming issues,0.39916417,Refactor redundant purging methods (#886)﻿,Update tests.yml Update tests.yml Update tests.yml,0
19,Merge pull request #733 from laravel/lock-constraints,0.5768622,Lock php-webdriver constraints for now (#733),,0
20,Merge pull request #723 from hivokas/patch-1,0.48557502,Drop PHPUnit 7 by @driesvints in link,,0
