Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
add quiet methods to array check,0.5255908,Use a map to prevent unnecessary array access (#32296),,0
fix eachById on hasManyThrough relation (#47479),0.66812253,Fix each method on BelongsToMany relationships (#25832),,0
[10.x] Fix $exceptTables to allow an array of table names (#47477),0.61373216,db:table command properly handle table who doesn't exist (#43669),Change DatabaseTruncation to look for an array of table names in $exceptTables if a connection name is not found. formatting Co-authored-by: Taylor Otwell taylor@laravel.com,0
Update facade docblocks,0.5586841,reverted changes related to the Facade (63d87d7),,0
[10.x] Add PendingRequest withHeader() method (#47474),0.60256875,Add new allowMaxRedirects method to PendingRequest (#42902),Add PendingRequest withHeader() method Space Test names Fix code style Update PendingRequest.php Co-authored-by: Taylor Otwell taylor@laravel.com,0
Refactor: Reduce indent and improve code using ternary instead of 'if-else' structure (#47478),0.6590264,Cleaning up old if-else statement (#43712),,0
Apply fixes from StyleCI,0.48218936,Ensure correct 'integrity' value is used for css assets (#43714),,0
[10.x] Add whenAggregated method to ConditionallyLoadsAttributes trait (#47417),0.8477556,Add whenNull to ConditionallyLoadsAtrribute trait (#43600),Added whenAveraged Update ConditionallyLoadsAttributes.php Added whenAggregated Added tests Co-authored-by: Taylor Otwell taylor@laravel.com,1
[10.x] Add Factory::getNamespace() (#47463),0.5996551,Set correct namespace in model factories when using the app:name command (#20766),Add Factory::getNamespace() Added test for Factory::getNamespace() Style fixes Update Factory.php Update DatabaseEloquentFactoryTest.php Co-authored-by: Taylor Otwell taylor@laravel.com,0
[10.x] Fix return type of prefixedResource & prefixedResource (#47445),0.5488839,"⚠️ Change Resource name away from soft-reserved name (#22969, aad6089)",fix return type of prefixedResource & prefixedResource use FQN in docblocks,0
remove unnecessary param (#47446),0.59253865,Remove useless else statements (#47161),,0
[10.x] Can set custom Response for denial within Gate@inspect() (#47436),0.53934234,"Revert ""[8.x] Add gate policy callback"" (#39290)",can set denial response on Gate fix docblocks for __construct formatting Update Gate.php Co-authored-by: Taylor Otwell taylor@laravel.com,0
Incorrect comment in PredisConnector and PhpRedisConnector (#47438),0.7094569,Make sure the prefix override behaviours are the same between phpredis and predis drivers (#42279),remove incorrect comment in PredisConnector and PhpRedisConnector Update PhpRedisConnector.php Update PredisConnector.php Co-authored-by: Taylor Otwell taylor@laravel.com,1
[10.x] Allow serialization of NotificationSent (#47375),0.5691841,"Support sending notifications via AnonymousNotifiable (#19998, ba82579)",add base64 encoding when serializing SentMessage slim down expression adds test case Update MessageSent.php Co-authored-by: Taylor Otwell taylor@laravel.com,0
Merge branch '10.x' of github.com:laravel/framework into 10.x,0.51955813,Please consult the upgrade guide and release notes in the official Laravel documentation.,,0
fix forceCreate,0.52470624,Fix clone issue on updateOrCreate and firstOrCreate (#42434),,0
fix return type of buildException method (#47422),0.6343082,Fix assert that exception is thrown without message (#42360),,0
Update FileStore.php (#47413),0.4887369,Update mime extension check (#37332),,0
Fix inconsistent type hint for $passwordTimeoutSeconds (#47414),0.56290245,Alleviate breaking change introduced by password confirm feature (#30389),,0
update phpdoc except method in Middleware (#47408),0.48911488,Updated PHPUnit whitelist (#19609),,0
CS fixes,0.6323009,Add some fixes ,,0
Merge branch '9.x' into 10.x,0.4713892,Update dev-master branch aliases from 6.0-dev to 6.x-dev (d06cc79),,0
Fixed invalid phpdoc in TestResponse,0.5701511,"Make assertSessionHasNoErrors in TestResponse.php print the unexpected errors  (#26039, e6bdf8a)",,0
Merge branch '8.x' into 9.x,0.45745772,Update dev-master branch aliases from 6.0-dev to 6.x-dev (d06cc79),,0
Add new error messages for detecting lost connections (#47398),0.693056,Add new lost connection message to DetectsLostConnections for Vapor (#39209),"Ever since I moved from AWS Aurora to using AWS RDS Proxy, which (similar to pgbouncer) is essential to not overload the primary database with connection, I sporadically see these messages. This affects scheduled tasks, worker, HTTP requests; it's across the whole board. This happened across different PHP versions (7.4, 8.2) and different docker base OS images, as well as different Laravel version (8.x, 10.x).",0
"Add new error message ""SSL: Handshake timed out"" handling to PDO Detects Lost Connections (#47392)",0.7299219,Add pdo try again as lost connection message (#32544),After upgrading Laravel from 9 to 10.13.2 and PHP from 8.1 to 8.2 I started to see some strange errors in logs. They might happen 1  per 1-2 hours only in Scheduled commands.  I'm using Vapor and base image of docker php8.2. Using RDS cluster.  Adding new error messages to detect connection was lost helped me to fix issue.,1
add test for withCookies method in RedirectResponse (#47383),0.6297482,Prevent BadMethodCallException in RedirectResponse::withErrors() (#19426),,0
version,0.5268819,v5.7.12 (2018-10-30),,0
patch,0.548849,Update,,0
"Revert ""[10.x] Update Kernel::load() to use same classFromFile logic as events (#47327)"" (#47382)",0.81000763,Update Kernel::load() to use same classFromFile logic as events (#47327),This reverts commit 2b174d50daf0598e8ea04586e1e0e97e4b9880eb.,1
[10.x] Add shouldHashKeys to ThrottleRequests middleware (#47368),0.7030937,"⚠️ Improved ThrottleRequests middleware (#19807, #19860)",Add shouldHashKeys to be able to set throttle store key names set shouldHashKeys default to true Styleci adjustments formatting formatting remove type formatting Co-authored-by: Taylor Otwell taylor@laravel.com,1
[10.x] Add getForeignKeyFrom method (#47378),0.73936987,Use getKeyName() in getForeignKey() (#23362),[10.x] Add getForeignKeyFrom method fix comment,1
[10.x] Pluralisation typo in queue:clear command output (#47376),0.5557069,Improves queue:work command output (#44971),Fixed typo in queue:clear command output Update ClearCommand.php formatting Co-authored-by: Taylor Otwell taylor@laravel.com,0
[10.x] Small test fixes (#47369),0.6896348,Deprecation Test Improvements (#45317),Fix test name typos Fix test names and remove unused variables Remove unused method and import,0
dont use locks when using dynamo,0.73127943,Fix DynamoDB locks with 0 seconds duration (#43365),,1
[10.x] Support ConditionalRules within NestedRules (#47344),0.47825646,Support conditionables that get condition from target object (#43449),failing test filter conditional rules when compiling NestedRules styleci always filter conditional rules modify test split tests,0
[10.x] Fix schedule:list to display named Jobs (#47367),0.56630915,"Improve ScheduleListCommand (#41552, #41535, #41494)",Fix schedule:list to display named jobs Extra test coverage use in array Rename cs cs,0
[10.x] Add test for assertViewHasAll method (#47366),0.68637395,Allow TestResponse::assertViewHas() to see all data (#28893),add test for assertViewHasAll method fix styleci,0
[10.x] Update CHANGELOG.md,0.4943278,"⚠️ Refactored Logging component (#22635, 106ac2a, 7ba0c22, 03f870c, e691230)",,0
Narrow down array type for $attributes in CastsAttributes (#47365),0.57612735,Attribute Cast / Accessor Improvements (#40022),,0
"Revert ""[10.x] Remove session on authenticatable deletion v2 (#47141)"" (#47354)",0.992534,"Revert ""[10.x] Remove session on authenticatable deletion v2"" (#47354)",This reverts commit 8fe2f6585c29f9c8477b3fffde34bdddebc00da1.,1
avoid duplicates in fillable/guarded on merge (#47351),0.7462456,Avoid duplicates in visible/hidden on merge (#47264),,1
[10.x] Remove redundant 'setAccessible' methods (#47348),0.9338207,Remove redundant 'setAccessible' methods (#47348),refactor: remove redundant 'setAccessible' reflection methods style: remove blank line,1
[10.x] Update type on Query/Builder.php (#47349),0.5375471,Replaced the remaining occurrences of newQuery() to newModelQuery() in UPDATE/DELETE queries. (#26158),Update Builder.php Update Builder.php Co-authored-by: Taylor Otwell taylor@laravel.com,0
Fix PHPStan description of Closure returning a union type (#47352),0.54814184,PHP 8.0 fix for Closure jobs (#46505),,0
[10.x] Fix mapped renderable exception handling (#47347),0.949784,Fix mapped renderable exception handling (#47347),Add missing test for renderable exceptions Fix mapped renderable exception handling Use request instance instead of mock,1
typo,0.41344804,Fix typo in method documentation by @shadman-ahmed in link,,0
feat: add missing 'attachMany' method to 'MailMessage' class (#47345),0.5706743,Changed Illuminate\Mail\Mailable::attachData() (#32392),,0
[10.x] Allow headers to be replaced on the HTTP client. (#47335),0.70590365,"Support sending default headers with requests (#20590, c32418e)",Allow headers to be replaced. wip Update PendingRequest.php Co-authored-by: Taylor Otwell taylor@laravel.com,1
[10.x] Update Kernel::load() to use same classFromFile logic as events (#47327),0.9653876,Update Kernel::load() to use same classFromFile logic as events (#47327),Update Kernel::load() to use same classFromFile logic as events formatting Co-authored-by: Taylor Otwell taylor@laravel.com,1
Make handler return types more precise (#47328),0.63038266,console.stub: remove void return type from handle (#46697),,0
add testAssertViewHasWithArray (#47331),0.66128653,Allow TestResponse::assertViewHas() to see all data (#28893),,0
Return mail channel response (#47310),0.60320115,"return only on non empty response from channels (09d53ee, 3944a3e)",,0
fix: typehint for observer property (#47316),0.56746584,Fix registering event listeners with array callback (#43890),,0
"Revert ""[10.x] Fix inconsistentcy between report and render methods (#47201)"" (#47326)",0.9938581,"Revert ""[10.x] Fix inconsistentcy between report and render methods"" (#47326)",This reverts commit c95df924bd9b87ae8b9804f6fdef2aaad99492f8.,1
