Index,Release Note,Release Note Abstract
1,"Added

Added Illuminate/Http/Client/PendingRequest::replaceHeaders() (#47335)
Added Illuminate/Notifications/Messages/MailMessage::attachMany() (#47345)

Reverted

Revert ""[10.x] Remove session on authenticatable deletion v2"" (#47354)

Fixed

Fixes usage of Redis::many() with empty array (#47307)
Fix mapped renderable exception handling (#47347)
Avoid duplicates in fillable/guarded on merge in Illuminate/Database/Eloquent/Concerns/GuardsAttributes.php (#47351)

Changed

Update Kernel::load() to use same classFromFile logic as events (#47327)
Remove redundant 'setAccessible' methods (#47348)
","Added
Added Illuminate/Http/Client/PendingRequest::replaceHeaders() (#47335)
Added Illuminate/Notifications/Messages/MailMessage::attachMany() (#47345)
Reverted
Revert ""[10.x] Remove session on authenticatable deletion v2"" (#47354)
Fixed
Fixes usage of Redis::many() with empty array (#47307)
Fix mapped renderable exception handling (#47347)
Avoid duplicates in fillable/guarded on merge in Illuminate/Database/Eloquent/Concerns/GuardsAttributes.php (#47351)
Changed
Update Kernel::load() to use same classFromFile logic as events (#47327)
Remove redundant 'setAccessible' methods (#47348)"
2,"v10.13.1 (2023-06-02)
Added

Added Illuminate\Contracts\Database\Query\ConditionExpression interface and functional for this (#47210)
Added return type for Illuminate/Notifications/Channels/MailChannel::send() (#47310)

Reverted

Revert ""[10.x] Fix inconsistentcy between report and render methods"" (#47326)

Changed

Display queue runtime in human readable format (#47227)
","v10.13.1 (2023-06-02)
Added
Added Illuminate\Contracts\Database\Query\ConditionExpression interface and functional for this (#47210)
Added return type for Illuminate/Notifications/Channels/MailChannel::send() (#47310)
Reverted
Revert ""[10.x] Fix inconsistentcy between report and render methods"" (#47326)
Changed
Display queue runtime in human readable format (#47227)"
3,"Added

Added Illuminate/Hashing/HashManager::isHashed() (#47197)
Escaping functionality within the Grammar (#46558)
Provide testing hooks in Illuminate/Support/Sleep.php (#47228)
Added missing methods to AssertsStatusCodes (#47277)
Wrap response preparation in events (#47229)

Fixed

Fixed bug when function wrapped around definition of related factory (#47168)
Fixed inconsistentcy between report and render methods (#47201)
Fixes Model::isDirty() when AsCollection or AsEncryptedCollection have arguments (#47235)
Fixed escaped String for JSON_CONTAINS (#47244)
Fixes missing output on ProcessFailedException exception (#47285)

Changed

Remove useless else statements (#47186)
RedisStore improvement - don't open transaction unless all values are serialaizable (#47193)
Use carbon::now() to get current timestamp in takeUntilTimeout lazycollection-method (#47200)
Avoid duplicates in visible/hidden on merge (#47264)
Add a missing semicolon to CompilesClasses (#47280)
Send along value to InvalidPayloadException (#47223)
","Added
Added Illuminate/Hashing/HashManager::isHashed() (#47197)
Escaping functionality within the Grammar (#46558)
Provide testing hooks in Illuminate/Support/Sleep.php (#47228)
Added missing methods to AssertsStatusCodes (#47277)
Wrap response preparation in events (#47229)
Fixed
Fixed bug when function wrapped around definition of related factory (#47168)
Fixed inconsistentcy between report and render methods (#47201)
Fixes Model::isDirty() when AsCollection or AsEncryptedCollection have arguments (#47235)
Fixed escaped String for JSON_CONTAINS (#47244)
Fixes missing output on ProcessFailedException exception (#47285)
Changed
Remove useless else statements (#47186)
RedisStore improvement - don't open transaction unless all values are serialaizable (#47193)
Use carbon::now() to get current timestamp in takeUntilTimeout lazycollection-method (#47200)
Avoid duplicates in visible/hidden on merge (#47264)
Add a missing semicolon to CompilesClasses (#47280)
Send along value to InvalidPayloadException (#47223)"
4,"Fixed

Fixed escaped String for JSON_CONTAINS (#47244)

Changed

Send along value to InvalidPayloadException (#47223)
","Fixed
Fixed escaped String for JSON_CONTAINS (#47244)
Changed
Send along value to InvalidPayloadException (#47223)"
5,"Added

Added Illuminate/Queue/Events/JobTimedOut.php (#47068)
Added when() and unless() methods to Illuminate/Support/Sleep (#47114)
Adds inline attachments support for markdown mailables (#47140)
Added Illuminate/Testing/Concerns/AssertsStatusCodes::assertMethodNotAllowed() (#47169)
Added forceCreateQuietly method (#47162)
Added parameters to timezone validation rule (#47171)

Fixed

Fixes singleton and api singletons creatable|destryoable|only|except combinations (#47098)
Don't use empty key or secret for DynamoDBClient (#47144)

Changed

Remove session on authenticatable deletion (#47141)
Added error handling and ensure re-enabling of foreign key constraints in Illuminate/Database/Schema/Builder::withoutForeignKeyConstraints() (#47182)

Refactoring

Remove useless else statements (#47161)
","Added
Added Illuminate/Queue/Events/JobTimedOut.php (#47068)
Added when() and unless() methods to Illuminate/Support/Sleep (#47114)
Adds inline attachments support for markdown mailables (#47140)
Added Illuminate/Testing/Concerns/AssertsStatusCodes::assertMethodNotAllowed() (#47169)
Added forceCreateQuietly method (#47162)
Added parameters to timezone validation rule (#47171)
Fixed
Fixes singleton and api singletons creatable|destryoable|only|except combinations (#47098)
Don't use empty key or secret for DynamoDBClient (#47144)
Changed
Remove session on authenticatable deletion (#47141)
Added error handling and ensure re-enabling of foreign key constraints in Illuminate/Database/Schema/Builder::withoutForeignKeyConstraints() (#47182)
Refactoring
Remove useless else statements (#47161)"
6,"Added

Added the ability to extend the generic types for DatabaseNotificationCollection (#47048)
Added /Illuminate/Support/Carbon::createFromId() (#47046)
Added Name attributes on slots (#47065)
Added Precognition-Success header (#47081)
Added Macroable trait to Sleep class (#47099)

Fixed

Fixed Illuminate/Database/Console/ShowModelCommand::getPolicy() (#47043)

Changed

Remove return from channelRoutes method (#47059)
Bug in Illuminate/Database/Migrations/Migrator::reset() with string path (#47047)
Unify logic around cursor paginate (#47094)
Clears resolved instance of Vite when using withoutVite (#47091)
Remove workarounds for old Guzzle versions (#47084)
","Added
Added the ability to extend the generic types for DatabaseNotificationCollection (#47048)
Added /Illuminate/Support/Carbon::createFromId() (#47046)
Added Name attributes on slots (#47065)
Added Precognition-Success header (#47081)
Added Macroable trait to Sleep class (#47099)
Fixed
Fixed Illuminate/Database/Console/ShowModelCommand::getPolicy() (#47043)
Changed
Remove return from channelRoutes method (#47059)
Bug in Illuminate/Database/Migrations/Migrator::reset() with string path (#47047)
Unify logic around cursor paginate (#47094)
Clears resolved instance of Vite when using withoutVite (#47091)
Remove workarounds for old Guzzle versions (#47084)"
7,"Added

Added /Illuminate/Collections/Arr::mapWithKeys() (#47000)
Added dd and dump methods to Illuminate/Support/Carbon.php (#47002)
Added Illuminate/Queue/Failed/FileFailedJobProvider (#47007)
Added arguments to the signed middleware to ignore properties (#46987)

Fixed

Added keys length check to prevent mget error in Illuminate/Cache/RedisStore::many() (#46998)
'hashed' cast - do not rehash already hashed value (#47029)

Changed

Used Carbon::now() instead of now() (#47017)
Use file locks when writing failed jobs to disk (b822d28)
Raise visibility of Mailable prepareMailableForDelivery() (#47031)
","Added
Added /Illuminate/Collections/Arr::mapWithKeys() (#47000)
Added dd and dump methods to Illuminate/Support/Carbon.php (#47002)
Added Illuminate/Queue/Failed/FileFailedJobProvider (#47007)
Added arguments to the signed middleware to ignore properties (#46987)
Fixed
Added keys length check to prevent mget error in Illuminate/Cache/RedisStore::many() (#46998)
'hashed' cast - do not rehash already hashed value (#47029)
Changed
Used Carbon::now() instead of now() (#47017)
Use file locks when writing failed jobs to disk (b822d28)
Raise visibility of Mailable prepareMailableForDelivery() (#47031)"
8,"Added

Added $isolated and isolatedExitCode properties to Illuminate/Console/Command (#46925)
Added ability to restore/set Global Scopes (#46922)
Added Illuminate/Collections/Arr::sortRecursiveDesc() (#46945)
Added Illuminate/Support/Sleep (#46904, #46963)
Added Illuminate/Database/Eloquent/Concerns/HasAttributes::castAttributeAsHashedString() ([#46947]https://github.com/laravel/framework/pull/46947)
Added url support for mail config (#46964)

Fixed

Fixed replace missing_unless (89ac58a)
Gracefully handle invalid code points in e() (#46914)
HasCasts returning false instead of true (#46992)

Changed

Use method on UploadedFile to validate image dimensions (#46912)
Expose Js::json() helper (#46935)
Respect parents on middleware priority (#46972)
Do reconnect when redis throws connection lost error (#46989)
Throw timeoutException instead of maxAttemptsExceededException when a job times out (#46968)
","Added
Added $isolated and isolatedExitCode properties to Illuminate/Console/Command (#46925)
Added ability to restore/set Global Scopes (#46922)
Added Illuminate/Collections/Arr::sortRecursiveDesc() (#46945)
Added Illuminate/Support/Sleep (#46904, #46963)
Added Illuminate/Database/Eloquent/Concerns/HasAttributes::castAttributeAsHashedString() ([#46947]link)
Added url support for mail config (#46964)
Fixed
Fixed replace missing_unless (89ac58a)
Gracefully handle invalid code points in e() (#46914)
HasCasts returning false instead of true (#46992)
Changed
Use method on UploadedFile to validate image dimensions (#46912)
Expose Js::json() helper (#46935)
Respect parents on middleware priority (#46972)
Do reconnect when redis throws connection lost error (#46989)
Throw timeoutException instead of maxAttemptsExceededException when a job times out (#46968)"
9,"Added

Add new HTTP status assertions (#46841)
Allow pruning all cancelled and unfinished queue batches (#46833)
Added IGNITION_LOCAL_SITES_PATH to $passthroughVariables in ServeCommand.php (#46857)
Added named static methods for middleware (#46362)

Fixed

Fix date_format rule throw ValueError (#46824)

Changed

Allow separate directory for locks on filestore (#46811)
Allow to whereMorphedTo work with null model (#46821)
Use pivot model fromDateTime instead of assuming Carbon in Illuminate/Database/Eloquent/Relations/Concerns/InteractsWithPivotTable::addTimestampsToAttachment() (#46822)
Make rules method in FormRequest optional (#46846)
Throw LogicException when calling FileFactory@image() if mimetype is not supported (#46859)
Improve job release method to accept date instance (#46854)
Use foreignUlid if model uses HasUlids trait when call foreignIdFor (#46876)
","Added
Add new HTTP status assertions (#46841)
Allow pruning all cancelled and unfinished queue batches (#46833)
Added IGNITION_LOCAL_SITES_PATH to $passthroughVariables in ServeCommand.php (#46857)
Added named static methods for middleware (#46362)
Fixed
Fix date_format rule throw ValueError (#46824)
Changed
Allow separate directory for locks on filestore (#46811)
Allow to whereMorphedTo work with null model (#46821)
Use pivot model fromDateTime instead of assuming Carbon in Illuminate/Database/Eloquent/Relations/Concerns/InteractsWithPivotTable::addTimestampsToAttachment() (#46822)
Make rules method in FormRequest optional (#46846)
Throw LogicException when calling FileFactory@image() if mimetype is not supported (#46859)
Improve job release method to accept date instance (#46854)
Use foreignUlid if model uses HasUlids trait when call foreignIdFor (#46876)"
10,"Changed

Make rules method in FormRequest optional (#46846)
","Changed
Make rules method in FormRequest optional (#46846)"
