Index,Message,Description,Message Abstract,Description Abstract
1,Tagging 14.4.1,,Tagging 14.4.1,
2,Restart services,,Restart services,
3,tagging v14.4.0,,tagging v14.4.0,
4,Add check to enable PHP service when needed,Resolves https://github.com/laravel/homestead/issues/1868,Add check to enable PHP service when needed,Resolves link
5,Remove extra features file touch,,Remove extra features file touch,
6,feat: add logstash feature (#1877),,feat: add logstash feature (#1877),
7,Install rabbitmqadmin CLI tool when enabling rabbitmq feature (#1876),  feat: install rabbitmqadmin cli tool   fix: provide homestead with all topic permissions as well   fix: use quiet output ,Install rabbitmqadmin CLI tool when enabling rabbitmq feature (#1876),feat: install rabbitmqadmin cli tool fix: provide homestead with all topic permissions as well fix: use quiet output
8,fix: use correct environment variables (#1875),fix: use correct command for setting anonymous policy fix: don't attempt to recreate bucket if it exists already,fix: use correct environment variables (#1875),fix: use correct command for setting anonymous policy fix: don't attempt to recreate bucket if it exists already
9,update golang to 1.20.4 (#1872),,update golang to 1.20.4 (#1872),
10,Update readme.md (#1867),From this illuminating answer: https://github.com/laravel/homestead/issues/1394#issuecomment-609072140,Update readme.md (#1867),From this illuminating answer: link
11,Tagging v14.3.1,,Tagging v14.3.1,
12,Faster first startup of feature mariadb and fixing upgrading packages (#1866),,Faster first startup of feature mariadb and fixing upgrading packages (#1866),
13,Add feature for installing Mailpit and disabling Mailhog (#1864), feat: finish mailpit feature,Add feature for installing Mailpit and disabling Mailhog (#1864),feat: finish mailpit feature
14,Tagging v14.3.0,,Tagging v14.3.0,
15,Provide full credentials for mariadb install,,Provide full credentials for mariadb install,
16,Force mysql purge to use new configurations,,Force mysql purge to use new configurations,
17,feat: always enable symlink creation on windows (#1856),"adds in the ""VBoxInternal2/SharedFoldersEnableSymlinksCreate/v-root"" value when running vagrant on windows to ensure symlinks will always work.",feat: always enable symlink creation on windows (#1856),"adds in the ""VBoxInternal2/SharedFoldersEnableSymlinksCreate/v-root"" value when running vagrant on windows to ensure symlinks will always work."
18,"Use virtiofs for default when, no folders are defined. (#1859)",Allow changing the type of user mounts.,"Use virtiofs for default when, no folders are defined. (#1859)",Allow changing the type of user mounts.
19,Libvirt: fix vm naming (#1851),,Libvirt: fix vm naming (#1851),
20,Update golang version to 1.20 (#1853),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com,Update golang version to 1.20 (#1853),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com
21,Bump version,,Bump version,
22,Updates to bring WSL to Settler v13 (#1850),  Updates to bring WSL to Settler v13   Fix comment   Don't try to configure postfix ,Updates to bring WSL to Settler v13 (#1850),Updates to bring WSL to Settler v13 Fix comment Don't try to configure postfix
23,tagging 14.2.0,,tagging 14.2.0,
24,Readd libvirt provider (#1845),,Readd libvirt provider (#1845),
25,update for Ngrok v3 (#1846), adjust call to start ngrok update path to Ngrok config,update for Ngrok v3 (#1846),adjust call to start ngrok update path to Ngrok config
26,ensure single empty newline at EOF (#1848),,ensure single empty newline at EOF (#1848),
27,drop Yarn (#1847),,drop Yarn (#1847),
28,Bump MongoDB PHP driver to v1.15.0 / Install PHP8.2 MongoDB extension (#1844),  mongodb.sh: bump PHP driver to 1.14.1 version   Bump MongoDB PHP driver to v1.15.0   Install PHP8.2 MongoDB extension   mongodb.sh: fix copy'n'paste issue   Co-authored-by: Dusan Maric maricd@firstbeatmedia.com,Bump MongoDB PHP driver to v1.15.0 / Install PHP8.2 MongoDB extension (#1844),mongodb.sh: bump PHP driver to 1.14.1 version Bump MongoDB PHP driver to v1.15.0 Install PHP8.2 MongoDB extension mongodb.sh: fix copy'n'paste issue Co-authored-by: Dusan Maric maricd@firstbeatmedia.com
29,sync up the example file (#1843),,sync up the example file (#1843),
30,Tagging v14.1.1,,Tagging v14.1.1,
31,Remove libvirt provider configuration to fix error on other provider,,Remove libvirt provider configuration to fix error on other provider,
32,Update example to match expected services enabled,,Update example to match expected services enabled,
33,Tagging v14.1.0,,Tagging v14.1.0,
34,Clear PHP 8.1 and PHP 8.2 variables (#1837),,Clear PHP 8.1 and PHP 8.2 variables (#1837),
35,Add basic libvirt support (#1831),,Add basic libvirt support (#1831),
36,Update golang version to 1.19.5 (#1836),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com,Update golang version to 1.19.5 (#1836),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com
37,Revert host only test changes,,Revert host only test changes,
38,Update meilisearch for aarch64 support (#1834)," Update meilisearch for aarch64 support  This updates meilisearch to work with aarch64, related to this thread: https://github.com/meilisearch/meilisearch/discussions/2048, the if statement may not be needed as the sh command would do the check and install, however I left it in as I can only test it using the arm aarch64 variation.  Update meilisearch.sh  removed if statement.",Update meilisearch for aarch64 support (#1834),"Update meilisearch for aarch64 support This updates meilisearch to work with aarch64, related to this thread: link, the if statement may not be needed as the sh command would do the check and install, however I left it in as I can only test it using the arm aarch64 variation. Update meilisearch.sh removed if statement."
39,Updating versions in readme,,Updating versions in readme,
40,tagging 14.0.0,,tagging 14.0.0,
41,14.0.0 (#1828)," Require box 13, but not 14 Default to PHP 8.2",14.0.0 (#1828),"Require box 13, but not 14 Default to PHP 8.2"
42,Update Trader installation script (#1825),  include php8.1 for the extension installation   Update trader extension path and include 8.1 ,Update Trader installation script (#1825),include php8.1 for the extension installation Update trader extension path and include 8.1
43,Update golang version to 1.19.4 (#1822),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com,Update golang version to 1.19.4 (#1822),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com
44,Fix MariaDB set-up script - issue #1816 - vagrant up crashes on create database (#1817),Co-authored-by: Miroslav Koula miroslav.koula@seyvillas.com,Fix MariaDB set-up script - issue #1816 - vagrant up crashes on create database (#1817),Co-authored-by: Miroslav Koula miroslav.koula@seyvillas.com
45,Upgraded MongoDB version from v4.4 to v6.X and NodeJS version from 14.x to 18.x (#1818),,Upgraded MongoDB version from v4.4 to v6.X and NodeJS version from 14.x to 18.x (#1818),
46,Updating HostOnly adapter for VirtualBox 7,Thanks to https://github.com/hashicorp/vagrant/issues/12959#issuecomment-1307010617,Updating HostOnly adapter for VirtualBox 7,Thanks to link
47,fix mysql create script (#1813),  fix mysql create script   Tag v13.3.2 ,fix mysql create script (#1813),fix mysql create script Tag v13.3.2
48,Update golang version to 1.19.3 (#1811),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com,Update golang version to 1.19.3 (#1811),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com
49,Tagging v13.3.1,,Tagging v13.3.1,
50,Add aliases for 8.2,,Add aliases for 8.2,
51,Dockstead (#1809), Split mysql57 into its own script,Dockstead (#1809),Split mysql57 into its own script
52,add Laravel Pint alias (#1808),Pint now comes pre-installed with every new Laravel installation. Adding an alias so we can reference it more easily.,add Laravel Pint alias (#1808),Pint now comes pre-installed with every new Laravel installation. Adding an alias so we can reference it more easily.
53,Adding 8.2 to CICD (#1806),  Adding 8.2 to CICD   Composer update ,Adding 8.2 to CICD (#1806),Adding 8.2 to CICD Composer update
54,Update golang version to 1.19.2 (#1805),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com,Update golang version to 1.19.2 (#1805),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com
55,Feature oh my zsh : set theme and plugins from config (#1798),"With this we can set (and keep after a vagrant destroy command) at least the theme and plugins for our oh my zsh config. If any of theme or plugins is not set, we keep the default config.",Feature oh my zsh : set theme and plugins from config (#1798),"With this we can set (and keep after a vagrant destroy command) at least the theme and plugins for our oh my zsh config. If any of theme or plugins is not set, we keep the default config."
56,mongodb.sh: bump PHP driver to 1.14.1 version (#1800),Co-authored-by: Dusan Maric maricd@firstbeatmedia.com,mongodb.sh: bump PHP driver to 1.14.1 version (#1800),Co-authored-by: Dusan Maric maricd@firstbeatmedia.com
57,Update golang version to 1.19.1 (#1796),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com,Update golang version to 1.19.1 (#1796),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com
58,Update tests.yml (#1795),Signed-off-by: sashashura 93376818+sashashura@users.noreply.github.com Signed-off-by: sashashura 93376818+sashashura@users.noreply.github.com,Update tests.yml (#1795),Signed-off-by: sashashura 93376818+sashashura@users.noreply.github.com Signed-off-by: sashashura 93376818+sashashura@users.noreply.github.com
59,Update golang version to 1.19 (#1791),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com,Update golang version to 1.19 (#1791),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com
60,Update golang version to 1.18.5 (#1790),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com,Update golang version to 1.18.5 (#1790),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com
61,Update golang version to 1.18.4 (#1787),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com,Update golang version to 1.18.4 (#1787),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com
62,Update golang version to 1.18.3 (#1785),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com,Update golang version to 1.18.3 (#1785),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com
63,Update golang version to 1.18.2 (#1783),,Update golang version to 1.18.2 (#1783),
64,feat: add new site type for fastadmin framework (#1779),,feat: add new site type for fastadmin framework (#1779),
65,Fix overriding multiple provisioners in loops (#1772),,Fix overriding multiple provisioners in loops (#1772),
66,Update golang version to 1.18 (#1776),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com,Update golang version to 1.18 (#1776),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com
67,Update golang version to 1.17.8 (#1771),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com,Update golang version to 1.17.8 (#1771),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com
68,Update golang version to 1.17.7 (#1762),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com,Update golang version to 1.17.7 (#1762),Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com
69,Testing symfony ^5/^6 for Laravel 8,,Testing symfony ^5/^6 for Laravel 8,
70,Testing symfony ^5/^6 for Laravel 8,,Testing symfony ^5/^6 for Laravel 8,
