Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Tagging 14.4.1,0.76020473,Tagging v10.17.0 ,,1
Restart services,0.6807013,Restart PHP services after enabling them,,0
tagging v14.4.0,0.8500408,Tagging v10.17.0 ,,1
Add check to enable PHP service when needed,0.76060706,Restart PHP services after enabling them,Resolves https://github.com/laravel/homestead/issues/1868,1
Remove extra features file touch,0.8801751,Remove extra features file touch @svpernova09,,1
feat: add logstash feature (#1877),0.9597968,feat: add logstash feature (#1877) @Sn0wCrack,,1
Install rabbitmqadmin CLI tool when enabling rabbitmq feature (#1876),0.9875095,Install rabbitmqadmin CLI tool when enabling rabbitmq feature (#1876) @Sn0wCrack,  feat: install rabbitmqadmin cli tool   fix: provide homestead with all topic permissions as well   fix: use quiet output ,1
fix: use correct environment variables (#1875),0.81096154,fix: use correct environment variables (#1875) @Sn0wCrack,fix: use correct command for setting anonymous policy fix: don't attempt to recreate bucket if it exists already,1
update golang to 1.20.4 (#1872),0.96481645,update golang to 1.20.4 (#1872) @beemensameh,,1
Update readme.md (#1867),0.9463058,Update readme.md (#1867) @stebogit,From this illuminating answer: https://github.com/laravel/homestead/issues/1394#issuecomment-609072140,1
Tagging v14.3.1,0.8596711,Tagging v10.17.0 ,,1
Faster first startup of feature mariadb and fixing upgrading packages (#1866),0.97791624,Faster first startup of feature MariaDB and fixing upgrading packages (#1866) @marcheffels,,1
Add feature for installing Mailpit and disabling Mailhog (#1864),0.98200536,Add feature for installing Mailpit and disabling Mailhog (#1864) @Sn0wCrack, feat: finish mailpit feature,1
Tagging v14.3.0,0.8603413,Tagging v10.17.0 ,,1
Provide full credentials for mariadb install,0.9061644,Provide full credentials for mariadb install @svpernova09,,1
Force mysql purge to use new configurations,0.9642252,Force mysql purge to use new configurations @svpernova09,,1
feat: always enable symlink creation on windows (#1856),0.9871478,feat: always enable symlink creation on windows (#1856) @Sn0wCrack,"adds in the ""VBoxInternal2/SharedFoldersEnableSymlinksCreate/v-root"" value when running vagrant on windows to ensure symlinks will always work.",1
"Use virtiofs for default when, no folders are defined. (#1859)",0.98782957,"Use virtiofs for default when, no folders are defined. (#1859) @csaba215",Allow changing the type of user mounts.,1
Libvirt: fix vm naming (#1851),0.98589605,Libvirt: fix vm naming (#1851) @csaba215,,1
Update golang version to 1.20 (#1853),0.94607604,Update golang version to 1.20 (#1853) @ricardoseriani,Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com,1
Bump version,0.88736093,Version bump,,1
Updates to bring WSL to Settler v13 (#1850),1.0000002,Updates to bring WSL to Settler v13 (#1850) ,  Updates to bring WSL to Settler v13   Fix comment   Don't try to configure postfix ,1
tagging 14.2.0,0.75521857,Tagging v10.17.0 ,,1
Readd libvirt provider (#1845),0.96015215,Readd libvirt provider (#1845) @csaba215,,1
update for Ngrok v3 (#1846),0.9798259,update for Ngrok v3 (#1846) @browner12, adjust call to start ngrok update path to Ngrok config,1
ensure single empty newline at EOF (#1848),0.94615394,ensure single empty newline at EOF (#1848) @browner12,,1
drop Yarn (#1847),0.8733299,drop Yarn (#1847) @browner12,,1
Bump MongoDB PHP driver to v1.15.0 / Install PHP8.2 MongoDB extension (#1844),0.978534,Bump MongoDB PHP driver to v1.15.0 / Install PHP8.2 MongoDB extension @themaric,  mongodb.sh: bump PHP driver to 1.14.1 version   Bump MongoDB PHP driver to v1.15.0   Install PHP8.2 MongoDB extension   mongodb.sh: fix copy'n'paste issue   Co-authored-by: Dusan Maric maricd@firstbeatmedia.com,1
sync up the example file (#1843),0.93180966,sync up the example file (#1843) @browner12,,1
Tagging v14.1.1,0.8343766,Tagging v10.17.0 ,,1
Remove libvirt provider configuration to fix error on other provider,0.9782753,Remove libvirt provider configuration to fix error on other provider  @svpernova09,,1
Update example to match expected services enabled,0.9050801,Update example to match expected services enabled @svpernova09,,1
Tagging v14.1.0,0.8429171,Tagging v10.17.0 ,,1
Clear PHP 8.1 and PHP 8.2 variables (#1837),0.98029375,Clear PHP 8.1 and PHP 8.2 variables (#1837) @gerardnll ,,1
Add basic libvirt support (#1831),0.96570235,Add basic libvirt support (#1831) @csaba215,,1
Update golang version to 1.19.5 (#1836),0.94891,Update golang version to 1.19.5 (#1836) @ricardoseriani,Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com Signed-off-by: Ricardo Seriani ricardo.seriani@gmail.com,1
Revert host only test changes,0.9999997,Revert host only test changes,,1
