Index,Message,Description,Message Abstract,Description Abstract
1,Update CHANGELOG,,Update CHANGELOG,
2,Respect the prefers-color-scheme setting (#1275),  Respect the prefers-color-scheme setting   Added a scheme toggler   update deps    Co-authored-by: Taylor Otwell taylor@laravel.com,Respect the prefers-color-scheme setting (#1275),Respect the prefers-color-scheme setting Added a scheme toggler update deps Co-authored-by: Taylor Otwell taylor@laravel.com
3,Compile Assets,,Compile Assets,
4,[5.x] Refreshes tags periodically (#1274),  Refreshes tags periodically   Compile Assets   Update index.vue    Co-authored-by: nunomaduro nunomaduro@users.noreply.github.com Co-authored-by: Taylor Otwell taylor@laravel.com,[5.x] Refreshes tags periodically (#1274),Refreshes tags periodically Compile Assets Update index.vue Co-authored-by: nunomaduro nunomaduro@users.noreply.github.com Co-authored-by: Taylor Otwell taylor@laravel.com
5,Update CHANGELOG,,Update CHANGELOG,
6,Fix deprecation errors for PHP 8.2 (#1270),,Fix deprecation errors for PHP 8.2 (#1270),
7,Update 1_Bug_report.yml,,Update 1_Bug_report.yml,
8,Update and rename 1_Bug_report.md to 1_Bug_report.yml,,Update and rename 1_Bug_report.md to 1_Bug_report.yml,
9,Bump webpack from 5.74.0 to 5.76.1 (#1258), Bump webpack from 5.74.0 to 5.76.1  Bumps webpack from 5.74.0 to 5.76.1. - Release notes - Commits  updated-dependencies: - dependency-name: webpack   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com  Apply fixes from StyleCI   Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: StyleCI Bot bot@styleci.io,Bump webpack from 5.74.0 to 5.76.1 (#1258),Bump webpack from 5.74.0 to 5.76.1 Bumps webpack from 5.74.0 to 5.76.1. - Release notes - Commits updated-dependencies: - dependency-name: webpack   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Apply fixes from StyleCI Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: StyleCI Bot bot@styleci.io
10,Update CHANGELOG.md,,Update CHANGELOG.md,
11,Update CHANGELOG,,Update CHANGELOG,
12,Update CHANGELOG,,Update CHANGELOG,
13,add default scaling strategy,,add default scaling strategy,
14,Apply fixes from StyleCI,,Apply fixes from StyleCI,
15,wip,,wip,
16,[5.x] Add autoScalingStrategy option (#1254),  adds autoScalingStrategy option   changes autoScalingStrategy property to runtime   style fix   formatting   move property   fix variable   Update SupervisorOptions.php    Co-authored-by: Taylor Otwell taylor@laravel.com,[5.x] Add autoScalingStrategy option (#1254),adds autoScalingStrategy option changes autoScalingStrategy property to runtime style fix formatting move property fix variable Update SupervisorOptions.php Co-authored-by: Taylor Otwell taylor@laravel.com
17,Compile Assets,,Compile Assets,
18,[5.x] Add cancelled status to batch overview (#1255),  add cancelled status to batch overview   use badge class   Update index.vue    Co-authored-by: Taylor Otwell taylor@laravel.com,[5.x] Add cancelled status to batch overview (#1255),add cancelled status to batch overview use badge class Update index.vue Co-authored-by: Taylor Otwell taylor@laravel.com
19,[5.x] Adds type checking (#1250),  Adds type checking   Update .gitattributes   Update static-analysis.yml ,[5.x] Adds type checking (#1250),Adds type checking Update .gitattributes Update static-analysis.yml
20,Update CHANGELOG,,Update CHANGELOG,
21,Compile Assets,,Compile Assets,
22,chore: bump axios to v1.x (#1247),,chore: bump axios to v1.x (#1247),
23,Apply fixes from StyleCI,,Apply fixes from StyleCI,
24,Remove Lodash (#1246),,Remove Lodash (#1246),
25,Update CHANGELOG,,Update CHANGELOG,
26,Fix missing variable use in anonymous function (#1244),,Fix missing variable use in anonymous function (#1244),
27,wip,,wip,
28,Update UPGRADE.md,,Update UPGRADE.md,
29,Update CHANGELOG,,Update CHANGELOG,
30,[5.x] A fresh coat of paint (#1242),  A fresh coat of paint   Compile Assets   fix silenced viewbox   Co-authored-by: jessarcher jessarcher@users.noreply.github.com Co-authored-by: Taylor Otwell taylor@laravel.com,[5.x] A fresh coat of paint (#1242),A fresh coat of paint Compile Assets fix silenced viewbox Co-authored-by: jessarcher jessarcher@users.noreply.github.com Co-authored-by: Taylor Otwell taylor@laravel.com
31,[5.x] Allow any queued class to be silenced (#1241),  move sileneced logic to job payload   move fixtures and payload test to feature   fix tests   styling   make methods protected ,[5.x] Allow any queued class to be silenced (#1241),move sileneced logic to job payload move fixtures and payload test to feature fix tests styling make methods protected
32,Update CHANGELOG,,Update CHANGELOG,
33,compile,,compile,
34,Increase perPage variable for monitored tags (#1237),"Currently, all pages show 50 jobs per page. Only the Monitored Tags page is limited to 3 jobs per page. In my opinion, this makes little sense and especially if you want to monitor a lot more jobs, it is very difficult to find the right jobs or to get an overview of the last jobs that have been run.",Increase perPage variable for monitored tags (#1237),"Currently, all pages show 50 jobs per page. Only the Monitored Tags page is limited to 3 jobs per page. In my opinion, this makes little sense and especially if you want to monitor a lot more jobs, it is very difficult to find the right jobs or to get an overview of the last jobs that have been run."
35,Implement Silenced interface (#1236),,Implement Silenced interface (#1236),
36,Update CHANGELOG,,Update CHANGELOG,
